metric,FIXEDTIME 20,FIXEDTIME 40,FMA2C,IDQN,IDQN MM,IPPO,MAXPRESSURE,MAXWAVE,MPLight,MPLight MM,STOCHASTIC
duration,119.70 \pm 0.88,114.64 \pm 1.47,86.72 \pm 0.00,141.58 \pm 27.54,133.66 \pm 9.15,113.79 \pm 0.00,143.38 \pm 10.50,220.96 \pm 134.65,125.70 \pm 18.49,113.88 \pm 4.08,177.80 \pm 15.47
waitingTime_car,65.43 \pm 1.12,59.62 \pm 2.64,34.18 \pm 0.00,77.22 \pm 18.41,69.42 \pm 4.92,57.74 \pm 0.00,109.75 \pm 2.15,133.04 \pm 67.53,60.38 \pm 11.73,53.75 \pm 5.18,95.02 \pm 7.52
waitingTime_bike,19.55 \pm 1.57,18.90 \pm 1.10,16.86 \pm 0.00,120.66 \pm 93.67,62.51 \pm 16.37,30.92 \pm 0.00,35.60 \pm 29.39,227.25 \pm 277.17,33.64 \pm 4.64,30.71 \pm 14.84,93.73 \pm 22.33
waitingTime_pedestrian,16.32 \pm 0.52,16.27 \pm 0.70,14.84 \pm 0.00,50.24 \pm 25.62,8.69 \pm 0.69,16.03 \pm 0.00,24.99 \pm 21.93,143.80 \pm 134.58,17.74 \pm 1.78,16.47 \pm 1.89,17.81 \pm 1.15
waitingTime_combined,51.00 \pm 0.87,46.80 \pm 1.18,29.84 \pm 0.00,80.29 \pm 25.81,57.85 \pm 5.44,50.65 \pm 0.00,82.70 \pm 9.16,157.30 \pm 123.96,53.03 \pm 7.84,47.02 \pm 3.88,92.04 \pm 12.13
timeLoss,78.90 \pm 0.82,73.83 \pm 1.37,49.02 \pm 0.00,101.43 \pm 26.85,92.29 \pm 9.33,72.52 \pm 0.00,100.87 \pm 10.34,177.39 \pm 130.21,83.99 \pm 17.11,73.48 \pm 3.33,132.70 \pm 14.96
throughput_car,3607.00 \pm 17.34,3602.80 \pm 8.88,4772.00 \pm 0.00,3829.40 \pm 401.30,3504.60 \pm 40.76,3619.00 \pm 0.00,3306.20 \pm 44.98,3115.40 \pm 976.85,3436.60 \pm 441.53,3758.80 \pm 279.87,2888.60 \pm 200.72
throughput_bike,867.00 \pm 0.00,867.00 \pm 0.00,867.00 \pm 0.00,867.00 \pm 0.00,867.00 \pm 0.00,867.00 \pm 0.00,844.60 \pm 24.31,835.00 \pm 8.38,867.00 \pm 0.00,867.00 \pm 0.00,867.00 \pm 0.00
throughput_pedestrian,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00,742.00 \pm 0.00
throughput_combined,5216.00 \pm 17.34,5211.80 \pm 8.88,6381.00 \pm 0.00,5438.20 \pm 401.25,5113.60 \pm 40.76,5228.00 \pm 0.00,4884.40 \pm 42.73,4692.40 \pm 984.87,5045.60 \pm 441.53,5367.80 \pm 279.87,4497.60 \pm 200.72
never_arrived_car,33.40 \pm 1.88,32.00 \pm 1.52,32.00 \pm 0.00,41.00 \pm 9.66,42.40 \pm 4.53,33.00 \pm 0.00,82.80 \pm 19.60,85.00 \pm 11.11,41.60 \pm 15.04,33.00 \pm 15.53,69.60 \pm 5.59
never_arrived_bike,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.40 \pm 1.11,26.80 \pm 48.46,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00
never_arrived_pedestrian,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00,0.00 \pm 0.00
queue_car,26556.40 \pm 304.93,26282.20 \pm 225.52,20859.00 \pm 0.00,44047.80 \pm 13874.83,36793.40 \pm 4821.43,26118.00 \pm 0.00,29950.20 \pm 6783.21,54035.00 \pm 35567.14,27236.20 \pm 2259.70,25987.20 \pm 1508.69,48211.80 \pm 8931.46
queue_bike,3234.40 \pm 273.71,2959.80 \pm 241.18,2467.00 \pm 0.00,19365.80 \pm 13504.26,11326.80 \pm 7025.80,4325.00 \pm 0.00,4700.20 \pm 5265.08,27132.00 \pm 31267.04,5058.00 \pm 754.09,4188.60 \pm 2272.19,22179.20 \pm 8941.73
queue_ped,4148.80 \pm 94.93,4126.20 \pm 51.63,0.00 \pm 0.00,10018.40 \pm 4230.29,2805.50 \pm 146.12,4089.00 \pm 0.00,6020.80 \pm 4086.51,29367.80 \pm 26597.94,4379.80 \pm 272.34,4150.40 \pm 345.08,4431.80 \pm 217.44
queue_combined,34020.40 \pm 523.73,33409.80 \pm 429.29,23612.00 \pm 0.00,73432.00 \pm 31181.15,49749.20 \pm 6859.12,37706.00 \pm 0.00,41578.80 \pm 15771.49,110534.80 \pm 93413.01,38936.20 \pm 1268.00,36292.20 \pm 3770.93,74670.40 \pm 17708.17
