Edge ID,Number of Vehicles,Ratio
-132042183,23,0.011241446725317693
-133081985#0,102,0.04985337243401759
-133081985#1,91,0.04447702834799609
-133081987#2,94,0.04594330400782014
-186623965#14,640,0.3128054740957967
-186623965#16,377,0.18426197458455523
-186623965#18,291,0.14222873900293256
-194017408#1,1,0.0004887585532746823
-225249129#0,8,0.0039100684261974585
-225249129#1,1,0.0004887585532746823
-22917421#14,117,0.05718475073313783
-22917421#4,44,0.021505376344086023
-22959475#4,0,0.0
-23283472#2,17,0.008308895405669599
-23283579#0,246,0.12023460410557185
-23283579#1,246,0.12023460410557185
-23283580#1,14,0.006842619745845552
-23648008#0,66,0.03225806451612903
-23648008#1,52,0.02541544477028348
-23648008#3,13,0.00635386119257087
-23686088#0,132,0.06451612903225806
-23686088#1,128,0.06256109481915934
-23840712#0,24,0.011730205278592375
-23840712#3,4,0.0019550342130987292
-23840712#4,23,0.011241446725317693
-23840888#0,14,0.006842619745845552
-23840888#1,5,0.0024437927663734115
-23840935,18,0.008797653958944282
-23840971,4,0.0019550342130987292
-23840972,10,0.004887585532746823
-24487264,0,0.0
-24610382,2,0.0009775171065493646
-25166682#0,15,0.007331378299120235
-25168493,6,0.002932551319648094
-28675493,198,0.0967741935483871
-28675494#1,56,0.02737047898338221
-28675510#0,82,0.04007820136852395
-28675510#11,153,0.0747800586510264
-28675510#3,56,0.02737047898338221
-28675510#5,119,0.05816226783968719
-28691861,2,0.0009775171065493646
-290365598#1,15,0.007331378299120235
-297047307,206,0.10068426197458455
-297047308,182,0.08895405669599218
-297047309#0,55,0.026881720430107527
-297047310#2,254,0.1241446725317693
-297047310#3,178,0.08699902248289346
-309744810#1,110,0.053763440860215055
-323450710#0,38,0.01857282502443793
-353069169#0,12,0.005865102639296188
-42925825#2,310,0.15151515151515152
-4936412,98,0.047898338220918865
-8716807#0,101,0.04936461388074291
-8716807#4,102,0.04985337243401759
-8716807#5,72,0.03519061583577713
-8716807#6,61,0.029814271749755622
132042183,7,0.003421309872922776
133081985#0,68,0.033235581622678395
133081985#1,77,0.03763440860215054
133081987#0,56,0.02737047898338221
133081987#3,48,0.02346041055718475
155600123#0,111,0.054252199413489736
155723703#0,49,0.023949169110459433
160807420,35,0.01710654936461388
186623965#15,135,0.06598240469208211
186623965#17,172,0.08406647116324535
186623965#9,135,0.06598240469208211
194017408#0,1,0.0004887585532746823
225249129#0,10,0.004887585532746823
225249129#1,1,0.0004887585532746823
22917421#3,136,0.06647116324535679
22917421#5,91,0.04447702834799609
22959475#0,2,0.0009775171065493646
22959550#0,71,0.03470185728250244
22959550#1,53,0.025904203323558164
22959550#3,71,0.03470185728250244
22959550#4,83,0.04056695992179863
22959552#0,34,0.016617790811339198
22959552#1,20,0.009775171065493646
22959552#2,42,0.020527859237536656
22959552#4,4,0.0019550342130987292
22959552#5,5,0.0024437927663734115
23283435#1,12,0.005865102639296188
23283436,36,0.017595307917888565
23283469,19,0.009286412512218964
23283470#0,34,0.016617790811339198
23283470#2,35,0.01710654936461388
23283470#3,31,0.015151515151515152
23283470#5,19,0.009286412512218964
23283472#0,12,0.005865102639296188
23283473,35,0.01710654936461388
23283474,7,0.003421309872922776
23283579#0,41,0.020039100684261974
23283579#1,60,0.02932551319648094
23283580#0,18,0.008797653958944282
23285888#0,20,0.009775171065493646
23286179#0,11,0.005376344086021506
23286179#1,16,0.007820136852394917
23286179#2,37,0.018084066471163247
23286180,12,0.005865102639296188
23647118,8,0.0039100684261974585
23647126,27,0.013196480938416423
23648008#0,54,0.026392961876832845
23648008#1,44,0.021505376344086023
23648008#2,17,0.008308895405669599
23656410#0,41,0.020039100684261974
23686088#0,19,0.009286412512218964
23686088#1,49,0.023949169110459433
23840712#0,23,0.011241446725317693
23840712#1,91,0.04447702834799609
23840712#4,42,0.020527859237536656
23840713#0,102,0.04985337243401759
23840713#2,75,0.036656891495601175
23840887#0,68,0.033235581622678395
23840887#2,93,0.045454545454545456
23840887#3,87,0.04252199413489736
23840888#0,11,0.005376344086021506
23840888#1,29,0.014173998044965786
23840935,22,0.010752688172043012
23840971,7,0.003421309872922776
23840972,41,0.020039100684261974
24487264,1,0.0004887585532746823
24610382,2,0.0009775171065493646
24675285,41,0.020039100684261974
24694889,18,0.008797653958944282
25166682#0,20,0.009775171065493646
25168493,4,0.0019550342130987292
28675493,73,0.03567937438905181
28675494#0,94,0.04594330400782014
28675510#0,198,0.0967741935483871
28675510#1,272,0.13294232649071358
28675510#4,232,0.11339198435972629
28675510#7,230,0.11241446725317693
28691861,6,0.002932551319648094
290365598#0,35,0.01710654936461388
297047308,63,0.030791788856304986
297047309#0,99,0.04838709677419355
297047310#3,113,0.0552297165200391
297047310#4,85,0.041544477028347994
323416262,12,0.005865102639296188
323450710#0,29,0.014173998044965786
42925825#0,182,0.08895405669599218
4936412,20,0.009775171065493646
60909001,18,0.008797653958944282
8716807#0,174,0.08504398826979472
8716807#1,204,0.09970674486803519
8716807#5,201,0.09824046920821114
8716807#6,220,0.10752688172043011
8716827#0,146,0.07135874877810362
