Edge ID,Number of Vehicles,Ratio
-104010328,18,0.004205607476635514
-10427692#1,128,0.029906542056074768
-10427692#2,131,0.030607476635514018
-10427692#3,132,0.0308411214953271
-10427692#4,132,0.0308411214953271
-10427692#5,132,0.0308411214953271
-10427692#6,132,0.0308411214953271
-10427692#7,132,0.0308411214953271
-10427692#8,4,0.0009345794392523365
-120125554,1,0.00023364485981308412
-128361102#1,214,0.05
-129379918#1,285,0.06658878504672897
-129379920#0,90,0.02102803738317757
-129379920#1,380,0.08878504672897196
-129379921#0,380,0.08878504672897196
-129379921#1,381,0.08901869158878505
-129379922,383,0.08948598130841122
-129379925,291,0.06799065420560747
-136436466,226,0.05280373831775701
-136436468#0,2,0.00046728971962616824
-136436468#2,11,0.0025700934579439253
-136728347#4,305,0.07126168224299065
-137132992#2,1,0.00023364485981308412
-137454133#0,1,0.00023364485981308412
-137454133#1,4,0.0009345794392523365
-137454133#5,3,0.0007009345794392523
-138300620#6,10,0.002336448598130841
-160314345#0,24,0.005607476635514018
-160314345#1,22,0.0051401869158878505
-160314345#2,7,0.0016355140186915889
-160314345#3,10,0.002336448598130841
-160314345#4,11,0.0025700934579439253
-160314345#5,15,0.0035046728971962616
-160314346#0,62,0.014485981308411215
-160314346#1,65,0.015186915887850467
-160314351#0,4,0.0009345794392523365
-160314351#1,2,0.00046728971962616824
-164051413,370,0.08644859813084112
-164078530,3,0.0007009345794392523
-170018165#0,382,0.08925233644859813
-170018165#1,268,0.06261682242990654
-170018165#2.164,391,0.09135514018691589
-170018165#2.210,391,0.09135514018691589
-170018165#3,392,0.09158878504672897
-170425366#6,0,0.0
-173169611#0,40,0.009345794392523364
-173177776#1,1,0.00023364485981308412
-173203413#7,11,0.0025700934579439253
-174800513,167,0.03901869158878505
-18809672#1,21,0.004906542056074766
-18809672#4,19,0.0044392523364485985
-18809672#5,5,0.0011682242990654205
-18809672#6,6,0.0014018691588785046
-18809672#7,4,0.0009345794392523365
-18809673#1.275,177,0.04135514018691589
-18809673#6,177,0.04135514018691589
-18813598#1,150,0.035046728971962614
-18813598#6,150,0.035046728971962614
-18813598#7,155,0.036214953271028034
-18813598#8,146,0.03411214953271028
-201089420#1,144,0.03364485981308411
