5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -7.5}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -51.5}, {'J01': 3}, {'J01': 8}, 
25.0, {'J01': -100.5}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': -158.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -168.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -236.5}, {'J01': 4}, {'J01': 13}, 
45.0, {'J01': -230.5}, {'J01': 3}, {'J01': 15}, 
50.0, {'J01': -293.0}, {'J01': 5}, {'J01': 21}, 
55.0, {'J01': -440.5}, {'J01': 8}, {'J01': 26}, 
60.0, {'J01': -712.5}, {'J01': 8}, {'J01': 31}, 
65.0, {'J01': -726.5}, {'J01': 7}, {'J01': 29}, 
70.0, {'J01': -482.5}, {'J01': 4}, {'J01': 19}, 
75.0, {'J01': -418.5}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -598.0}, {'J01': 4}, {'J01': 24}, 
85.0, {'J01': -664.5}, {'J01': 5}, {'J01': 23}, 
90.0, {'J01': -709.5}, {'J01': 8}, {'J01': 26}, 
95.0, {'J01': -927.0}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -1221.0}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -1132.0}, {'J01': 7}, {'J01': 29}, 
110.0, {'J01': -714.5}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -667.5}, {'J01': 4}, {'J01': 18}, 
120.0, {'J01': -832.0}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -949.5}, {'J01': 6}, {'J01': 26}, 
130.0, {'J01': -959.5}, {'J01': 8}, {'J01': 25}, 
135.0, {'J01': -1215.5}, {'J01': 8}, {'J01': 28}, 
140.0, {'J01': -1508.5}, {'J01': 8}, {'J01': 33}, 
145.0, {'J01': -1556.0}, {'J01': 8}, {'J01': 33}, 
150.0, {'J01': -1029.5}, {'J01': 6}, {'J01': 24}, 
155.0, {'J01': -1084.0}, {'J01': 6}, {'J01': 24}, 
160.0, {'J01': -1337.5}, {'J01': 6}, {'J01': 31}, 
165.0, {'J01': -1417.5}, {'J01': 7}, {'J01': 33}, 
170.0, {'J01': -1514.0}, {'J01': 8}, {'J01': 34}, 
175.0, {'J01': -1764.5}, {'J01': 8}, {'J01': 36}, 
180.0, {'J01': -2132.5}, {'J01': 8}, {'J01': 39}, 
185.0, {'J01': -2531.0}, {'J01': 8}, {'J01': 41}, 
190.0, {'J01': -2759.0}, {'J01': 8}, {'J01': 39}, 
195.0, {'J01': -3018.5}, {'J01': 9}, {'J01': 39}, 
200.0, {'J01': -3327.0}, {'J01': 9}, {'J01': 40}, 
205.0, {'J01': -3605.5}, {'J01': 9}, {'J01': 40}, 
210.0, {'J01': -3942.0}, {'J01': 9}, {'J01': 39}, 
215.0, {'J01': -4112.5}, {'J01': 11}, {'J01': 38}, 
220.0, {'J01': -4500.0}, {'J01': 11}, {'J01': 41}, 
225.0, {'J01': -3856.5}, {'J01': 11}, {'J01': 34}, 
230.0, {'J01': -2569.0}, {'J01': 9}, {'J01': 24}, 
235.0, {'J01': -2165.5}, {'J01': 7}, {'J01': 22}, 
240.0, {'J01': -2398.5}, {'J01': 7}, {'J01': 27}, 
245.0, {'J01': -2418.0}, {'J01': 8}, {'J01': 31}, 
250.0, {'J01': -2420.5}, {'J01': 8}, {'J01': 31}, 
255.0, {'J01': -2739.5}, {'J01': 9}, {'J01': 36}, 
260.0, {'J01': -3102.0}, {'J01': 9}, {'J01': 37}, 
265.0, {'J01': -2287.5}, {'J01': 7}, {'J01': 32}, 
270.0, {'J01': -745.0}, {'J01': 4}, {'J01': 20}, 
