episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FIXEDTIME,1189747.0,106267.0,26525.0,26517.0,3171.0,4036.0,-1200.01296,683.88615,-4924.5,0.0,0.0804,0.0201,0.094,0.1197,0.0,0.0,0.0,1080,20.5
2,FIXEDTIME,1284145.5,143538.5,31001.0,27294.0,3545.0,4106.0,-1321.92963,839.69544,-5675.5,0.0,0.0984,0.0213,0.1014,0.1175,0.0,0.0,0.0,1080,20.9
3,FIXEDTIME,1266304.0,187100.0,26955.5,27133.0,3668.0,4168.0,-1345.74444,916.62211,-5906.0,0.0,0.1264,0.0182,0.1049,0.1192,0.0,0.0,0.0,1080,20.9
4,FIXEDTIME,1241759.0,100115.0,26681.0,26626.0,3046.0,4178.0,-1242.47593,726.26991,-5532.0,0.0,0.0732,0.0195,0.09,0.1234,0.0,0.0,0.0,1080,20.9
5,FIXEDTIME,1113508.0,71815.0,25533.0,25869.0,2696.0,4102.0,-1097.5213,487.49378,-3296.5,0.0,0.0593,0.0211,0.0825,0.1256,0.0,0.0,0.0,1080,20.3
6,FIXEDTIME,1207454.0,91746.5,26536.5,26540.0,2988.0,4228.0,-1202.96343,608.41565,-3890.0,0.0,0.0692,0.02,0.0885,0.1253,0.0,0.0,0.0,1080,20.7
7,FIXEDTIME,1253625.0,117569.0,28358.0,26668.0,3217.0,4168.0,-1269.62407,811.6085,-5502.5,0.0,0.084,0.0203,0.0945,0.1224,0.0,0.0,0.0,1080,20.5
8,FIXEDTIME,1265358.0,103581.5,28617.0,26590.0,3064.0,4212.0,-1267.53657,760.04227,-5824.0,0.0,0.0741,0.0205,0.0905,0.1244,0.0,0.0,0.0,1080,20.2
9,FIXEDTIME,1211521.5,89389.5,32615.0,26106.0,2808.0,4322.0,-1204.54722,655.94227,-4073.5,0.0,0.067,0.0245,0.0845,0.13,0.0,0.0,0.0,1080,20.8
10,FIXEDTIME,1263968.5,105642.5,25948.5,26851.0,3215.0,4096.0,-1268.15833,713.84345,-4903.0,0.0,0.0757,0.0186,0.0941,0.1199,0.0,0.0,0.0,1080,20.8
11,FIXEDTIME,1230570.0,113416.5,27081.0,26587.0,3097.0,4199.0,-1244.43194,713.7001,-4932.5,0.0,0.0827,0.0198,0.0914,0.1239,0.0,0.0,0.0,1080,20.6
12,FIXEDTIME,1192781.0,92074.5,25404.5,26329.0,3001.0,4095.0,-1189.68102,691.88078,-4671.0,0.0,0.0703,0.0194,0.0898,0.1225,0.0,0.0,0.0,1080,20.5
13,FIXEDTIME,1177262.0,129967.0,27774.5,26635.0,3315.0,4208.0,-1210.39722,752.00992,-7047.0,0.0,0.0974,0.0208,0.097,0.1232,0.0,0.0,0.0,1080,20.6
14,FIXEDTIME,1178967.5,92809.5,26381.0,26303.0,2996.0,4173.0,-1177.5713,688.4635,-5525.5,0.0,0.0715,0.0203,0.0895,0.1247,0.0,0.0,0.0,1080,20.6
15,FIXEDTIME,1251172.0,108059.0,27263.5,26540.0,3109.0,4218.0,-1258.54722,744.94356,-4813.5,0.0,0.0779,0.0197,0.0918,0.1245,0.0,0.0,0.0,1080,20.3
16,FIXEDTIME,1143085.5,74509.0,30279.5,25916.0,2736.0,4336.0,-1127.40231,608.4566,-5563.0,0.0,0.0597,0.0243,0.0829,0.1314,0.0,0.0,0.0,1080,20.9
17,FIXEDTIME,1260015.5,143664.0,28067.0,26906.0,3342.0,4175.0,-1299.70324,918.59836,-6531.5,0.0,0.1003,0.0196,0.0971,0.1213,0.0,0.0,0.0,1080,20.7
18,FIXEDTIME,1198891.0,92693.5,27817.0,26381.0,2939.0,4162.0,-1195.91157,656.37961,-5005.5,0.0,0.0703,0.0211,0.0878,0.1243,0.0,0.0,0.0,1080,21.1
19,FIXEDTIME,1178081.5,61964.5,25154.5,25850.0,2500.0,4060.0,-1148.19074,547.32148,-3755.0,0.0,0.049,0.0199,0.0771,0.1253,0.0,0.0,0.0,1080,20.7
20,FIXEDTIME,1208172.5,88197.5,29242.0,26506.0,2929.0,4393.0,-1200.34259,645.6037,-4123.5,0.0,0.0665,0.0221,0.0866,0.1299,0.0,0.0,0.0,1080,20.5
21,FIXEDTIME,1168780.0,85112.0,26744.5,26198.0,2860.0,4234.0,-1161.01111,562.47459,-3630.0,0.0,0.0665,0.0209,0.0859,0.1272,0.0,0.0,0.0,1080,20.6
22,FIXEDTIME,1222244.5,113893.5,26655.5,26704.0,3262.0,4221.0,-1237.16481,664.78191,-4720.0,0.0,0.0836,0.0196,0.0954,0.1235,0.0,0.0,0.0,1080,20.8
23,FIXEDTIME,1277605.5,192233.5,30003.5,27604.0,3941.0,4313.0,-1360.96204,940.82531,-5966.0,0.0,0.1282,0.02,0.1099,0.1203,0.0,0.0,0.0,1080,21.2
24,FIXEDTIME,1283595.0,129991.0,27310.5,26825.0,3378.0,4249.0,-1308.87593,840.20028,-5336.5,0.0,0.0902,0.019,0.098,0.1233,0.0,0.0,0.0,1080,20.8
25,FIXEDTIME,1070704.0,70643.0,26904.0,25452.0,2681.0,4194.0,-1056.80278,473.85997,-4234.5,0.0,0.0605,0.023,0.0829,0.1297,0.0,0.0,0.0,1080,19.8
26,FIXEDTIME,1198246.5,109346.0,26379.0,26648.0,3186.0,4157.0,-1210.7338,703.94838,-5030.5,0.0,0.082,0.0198,0.0937,0.1223,0.0,0.0,0.0,1080,20.5
27,FIXEDTIME,1182174.5,95774.0,27357.5,26557.0,3076.0,4097.0,-1183.28565,627.41585,-4151.5,0.0,0.0734,0.021,0.0912,0.1215,0.0,0.0,0.0,1080,20.9
28,FIXEDTIME,1342641.0,96195.5,28188.5,26748.0,2961.0,4303.0,-1332.25602,843.95462,-6411.0,0.0,0.0656,0.0192,0.0871,0.1265,0.0,0.0,0.0,1080,20.8
29,FIXEDTIME,1211341.5,86818.0,27747.5,26394.0,2903.0,4178.0,-1201.99954,626.99914,-3853.0,0.0,0.0655,0.0209,0.0867,0.1248,0.0,0.0,0.0,1080,20.7
30,FIXEDTIME,1136851.0,85080.5,25534.5,26001.0,2853.0,4124.0,-1131.41806,545.01963,-3678.0,0.0,0.0682,0.0205,0.0865,0.1251,0.0,0.0,0.0,1080,21.0
31,FIXEDTIME,1146819.0,88020.0,28536.5,26156.0,2983.0,4170.0,-1143.36944,594.19676,-4169.0,0.0,0.0697,0.0226,0.0896,0.1252,0.0,0.0,0.0,1080,20.9
32,FIXEDTIME,1219571.0,118624.0,26983.0,26579.0,3125.0,4166.0,-1239.06944,874.51066,-7448.0,0.0,0.0869,0.0198,0.0923,0.123,0.0,0.0,0.0,1080,20.5
33,FIXEDTIME,1182267.0,132183.5,27594.0,26752.0,3421.0,4301.0,-1217.0838,654.29495,-4612.0,0.0,0.0985,0.0206,0.0992,0.1248,0.0,0.0,0.0,1080,21.0
34,FIXEDTIME,1256184.0,176825.5,27666.5,27193.0,3587.0,4207.0,-1326.86065,867.14102,-6307.0,0.0,0.1211,0.0189,0.1025,0.1202,0.0,0.0,0.0,1080,20.8
35,FIXEDTIME,1215018.5,83784.0,29154.5,26249.0,2927.0,4137.0,-1202.59491,621.21758,-3674.5,0.0,0.0631,0.022,0.0879,0.1242,0.0,0.0,0.0,1080,20.4
36,FIXEDTIME,1107012.5,68955.0,26352.5,25730.0,2585.0,4107.0,-1088.8588,547.34278,-4824.0,0.0,0.0574,0.0219,0.0797,0.1267,0.0,0.0,0.0,1080,20.4
37,FIXEDTIME,1160005.5,91029.0,27170.0,26257.0,2978.0,4187.0,-1158.36528,589.43618,-3926.0,0.0,0.0712,0.0213,0.0891,0.1253,0.0,0.0,0.0,1080,20.6
38,FIXEDTIME,1263692.5,134240.5,26920.5,26579.0,3245.0,4115.0,-1294.38241,995.81642,-9166.5,0.0,0.0942,0.0189,0.0956,0.1212,0.0,0.0,0.0,1080,20.6
39,FIXEDTIME,1264980.5,109050.5,29394.0,26833.0,3163.0,4244.0,-1272.25093,742.28924,-5126.5,0.0,0.0777,0.0209,0.0924,0.1239,0.0,0.0,0.0,1080,21.1
