episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FIXEDTIME,1215207.5,101274.5,28786.5,26471.0,3101.0,4383.0,-1218.96481,698.68411,-4956.0,0.0,0.0753,0.0214,0.0913,0.1291,0.0,0.0,0.0,1080,25.0
2,FIXEDTIME,1243920.0,114054.5,24755.0,26778.0,3211.0,4120.0,-1257.3838,676.78004,-4431.5,0.0,0.0825,0.0179,0.0941,0.1208,0.0,0.0,0.0,1080,25.7
3,FIXEDTIME,1194786.0,123771.0,26131.5,26845.0,3371.0,4119.0,-1220.88611,645.14373,-4954.0,0.0,0.092,0.0194,0.0982,0.12,0.0,0.0,0.0,1080,25.3
4,FIXEDTIME,1303256.5,105795.5,26184.0,26695.0,3091.0,4122.0,-1304.67778,789.61369,-5565.0,0.0,0.0737,0.0182,0.0912,0.1216,0.0,0.0,0.0,1080,25.4
5,FIXEDTIME,1382086.5,179671.5,27355.5,27597.0,3805.0,4135.0,-1446.07222,1014.30605,-6945.0,0.0,0.1131,0.0172,0.1071,0.1164,0.0,0.0,0.0,1080,26.6
6,FIXEDTIME,1316140.5,156216.0,25181.0,27121.0,3494.0,4109.0,-1363.29306,942.5461,-7496.0,0.0,0.1043,0.0168,0.1006,0.1183,0.0,0.0,0.0,1080,26.8
7,FIXEDTIME,1176951.0,93913.5,28228.0,26304.0,2975.0,4176.0,-1176.72639,616.02857,-4136.5,0.0,0.0723,0.0217,0.0889,0.1248,0.0,0.0,0.0,1080,25.1
8,FIXEDTIME,1219424.5,152556.0,27442.5,26838.0,3389.0,4170.0,-1270.35231,831.42466,-6845.5,0.0,0.109,0.0196,0.0985,0.1212,0.0,0.0,0.0,1080,26.3
9,FIXEDTIME,1206581.5,128910.0,25563.0,26777.0,3459.0,4076.0,-1236.5662,827.9202,-6053.5,0.0,0.0947,0.0188,0.1008,0.1188,0.0,0.0,0.0,1080,25.6
10,FIXEDTIME,1374017.5,164719.5,26494.5,27316.0,3633.0,4131.0,-1424.75648,1084.95551,-9490.0,0.0,0.1052,0.0169,0.1036,0.1178,0.0,0.0,0.0,1080,26.6
11,FIXEDTIME,1206320.5,135525.5,27069.5,26750.0,3418.0,4180.0,-1242.45,746.82134,-5261.5,0.0,0.099,0.0198,0.0995,0.1217,0.0,0.0,0.0,1080,25.3
12,FIXEDTIME,1200585.0,152154.0,24189.0,27073.0,3644.0,4073.0,-1252.53611,784.84606,-6123.0,0.0,0.1105,0.0176,0.1047,0.1171,0.0,0.0,0.0,1080,26.0
13,FIXEDTIME,1232174.5,112507.0,29704.0,26794.0,3237.0,4282.0,-1245.07546,649.79481,-4982.0,0.0,0.0819,0.0216,0.0943,0.1248,0.0,0.0,0.0,1080,25.7
