5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -11.5}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -70.0}, {'J01': 3}, {'J01': 9}, 
25.0, {'J01': -119.5}, {'J01': 4}, {'J01': 9}, 
30.0, {'J01': -166.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -167.5}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -234.0}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -268.0}, {'J01': 4}, {'J01': 14}, 
50.0, {'J01': -257.0}, {'J01': 5}, {'J01': 21}, 
55.0, {'J01': -427.5}, {'J01': 7}, {'J01': 27}, 
60.0, {'J01': -690.5}, {'J01': 8}, {'J01': 32}, 
65.0, {'J01': -716.5}, {'J01': 7}, {'J01': 30}, 
70.0, {'J01': -466.5}, {'J01': 4}, {'J01': 20}, 
75.0, {'J01': -459.0}, {'J01': 4}, {'J01': 19}, 
80.0, {'J01': -662.0}, {'J01': 4}, {'J01': 26}, 
85.0, {'J01': -798.5}, {'J01': 7}, {'J01': 28}, 
90.0, {'J01': -808.0}, {'J01': 8}, {'J01': 26}, 
95.0, {'J01': -1023.0}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -1321.5}, {'J01': 8}, {'J01': 33}, 
105.0, {'J01': -1185.5}, {'J01': 7}, {'J01': 29}, 
110.0, {'J01': -747.0}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -747.5}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -908.0}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -1086.5}, {'J01': 6}, {'J01': 28}, 
130.0, {'J01': -1260.0}, {'J01': 8}, {'J01': 30}, 
135.0, {'J01': -1498.0}, {'J01': 8}, {'J01': 31}, 
140.0, {'J01': -1817.0}, {'J01': 8}, {'J01': 35}, 
145.0, {'J01': -1696.5}, {'J01': 7}, {'J01': 31}, 
150.0, {'J01': -963.0}, {'J01': 4}, {'J01': 20}, 
155.0, {'J01': -1044.0}, {'J01': 4}, {'J01': 22}, 
160.0, {'J01': -1275.0}, {'J01': 4}, {'J01': 27}, 
165.0, {'J01': -1227.5}, {'J01': 7}, {'J01': 34}, 
170.0, {'J01': -1090.5}, {'J01': 8}, {'J01': 34}, 
175.0, {'J01': -1294.5}, {'J01': 8}, {'J01': 35}, 
180.0, {'J01': -1650.5}, {'J01': 8}, {'J01': 37}, 
185.0, {'J01': -1494.0}, {'J01': 7}, {'J01': 34}, 
190.0, {'J01': -865.0}, {'J01': 5}, {'J01': 21}, 
195.0, {'J01': -829.5}, {'J01': 4}, {'J01': 21}, 
