5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -10.0}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -68.5}, {'J01': 3}, {'J01': 10}, 
25.0, {'J01': -129.5}, {'J01': 4}, {'J01': 10}, 
30.0, {'J01': -165.5}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -163.5}, {'J01': 4}, {'J01': 8}, 
40.0, {'J01': -225.0}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': -228.0}, {'J01': 3}, {'J01': 13}, 
50.0, {'J01': -270.0}, {'J01': 6}, {'J01': 21}, 
55.0, {'J01': -436.5}, {'J01': 7}, {'J01': 26}, 
60.0, {'J01': -695.5}, {'J01': 8}, {'J01': 33}, 
65.0, {'J01': -724.5}, {'J01': 7}, {'J01': 29}, 
70.0, {'J01': -498.0}, {'J01': 4}, {'J01': 20}, 
75.0, {'J01': -500.5}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -695.0}, {'J01': 4}, {'J01': 25}, 
85.0, {'J01': -734.0}, {'J01': 7}, {'J01': 25}, 
90.0, {'J01': -787.5}, {'J01': 8}, {'J01': 24}, 
95.0, {'J01': -995.0}, {'J01': 8}, {'J01': 30}, 
100.0, {'J01': -1303.5}, {'J01': 8}, {'J01': 34}, 
105.0, {'J01': -1211.0}, {'J01': 7}, {'J01': 29}, 
110.0, {'J01': -762.5}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -717.0}, {'J01': 4}, {'J01': 18}, 
120.0, {'J01': -862.5}, {'J01': 4}, {'J01': 24}, 
125.0, {'J01': -1038.5}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1264.0}, {'J01': 8}, {'J01': 31}, 
135.0, {'J01': -1509.5}, {'J01': 8}, {'J01': 32}, 
140.0, {'J01': -1837.5}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -1735.0}, {'J01': 7}, {'J01': 34}, 
150.0, {'J01': -1133.0}, {'J01': 5}, {'J01': 24}, 
155.0, {'J01': -1255.0}, {'J01': 5}, {'J01': 23}, 
160.0, {'J01': -1493.5}, {'J01': 5}, {'J01': 28}, 
165.0, {'J01': -1256.5}, {'J01': 7}, {'J01': 27}, 
170.0, {'J01': -1075.0}, {'J01': 8}, {'J01': 29}, 
175.0, {'J01': -1349.0}, {'J01': 8}, {'J01': 34}, 
180.0, {'J01': -1704.0}, {'J01': 8}, {'J01': 39}, 
185.0, {'J01': -2007.0}, {'J01': 8}, {'J01': 39}, 
190.0, {'J01': -2399.5}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': -2717.0}, {'J01': 8}, {'J01': 42}, 
200.0, {'J01': -3105.5}, {'J01': 8}, {'J01': 42}, 
205.0, {'J01': -3324.0}, {'J01': 8}, {'J01': 39}, 
210.0, {'J01': -3520.5}, {'J01': 8}, {'J01': 37}, 
215.0, {'J01': -3728.0}, {'J01': 8}, {'J01': 35}, 
220.0, {'J01': -4091.0}, {'J01': 9}, {'J01': 39}, 
225.0, {'J01': -4142.0}, {'J01': 9}, {'J01': 38}, 
230.0, {'J01': -3743.0}, {'J01': 9}, {'J01': 34}, 
235.0, {'J01': -3776.0}, {'J01': 7}, {'J01': 32}, 
240.0, {'J01': -4106.5}, {'J01': 8}, {'J01': 38}, 
245.0, {'J01': -4252.0}, {'J01': 8}, {'J01': 36}, 
250.0, {'J01': -4443.5}, {'J01': 8}, {'J01': 36}, 
255.0, {'J01': -4809.5}, {'J01': 9}, {'J01': 39}, 
260.0, {'J01': -5207.0}, {'J01': 10}, {'J01': 42}, 
265.0, {'J01': -5287.5}, {'J01': 10}, {'J01': 42}, 
270.0, {'J01': -5460.5}, {'J01': 11}, {'J01': 39}, 
275.0, {'J01': -5773.5}, {'J01': 12}, {'J01': 40}, 
280.0, {'J01': -6183.5}, {'J01': 13}, {'J01': 45}, 
285.0, {'J01': -6502.0}, {'J01': 14}, {'J01': 43}, 
290.0, {'J01': -6715.5}, {'J01': 15}, {'J01': 41}, 
295.0, {'J01': -7094.0}, {'J01': 15}, {'J01': 42}, 
300.0, {'J01': -7529.0}, {'J01': 16}, {'J01': 47}, 
305.0, {'J01': -5241.5}, {'J01': 13}, {'J01': 38}, 
310.0, {'J01': -2753.5}, {'J01': 9}, {'J01': 24}, 
315.0, {'J01': -2016.0}, {'J01': 6}, {'J01': 21}, 
320.0, {'J01': -2244.0}, {'J01': 7}, {'J01': 29}, 
