5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -11.0}, {'J01': 1}, {'J01': 5}, 
20.0, {'J01': -67.0}, {'J01': 2}, {'J01': 7}, 
25.0, {'J01': -97.0}, {'J01': 3}, {'J01': 7}, 
30.0, {'J01': -147.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -147.5}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -212.0}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -238.5}, {'J01': 3}, {'J01': 14}, 
50.0, {'J01': -240.5}, {'J01': 4}, {'J01': 18}, 
55.0, {'J01': -384.0}, {'J01': 7}, {'J01': 23}, 
60.0, {'J01': -646.0}, {'J01': 8}, {'J01': 32}, 
65.0, {'J01': -608.5}, {'J01': 7}, {'J01': 27}, 
70.0, {'J01': -478.5}, {'J01': 4}, {'J01': 21}, 
75.0, {'J01': -440.5}, {'J01': 4}, {'J01': 18}, 
80.0, {'J01': -632.5}, {'J01': 4}, {'J01': 25}, 
85.0, {'J01': -716.5}, {'J01': 6}, {'J01': 28}, 
90.0, {'J01': -718.0}, {'J01': 8}, {'J01': 26}, 
95.0, {'J01': -935.0}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -1228.0}, {'J01': 8}, {'J01': 31}, 
105.0, {'J01': -1111.5}, {'J01': 7}, {'J01': 28}, 
110.0, {'J01': -725.0}, {'J01': 5}, {'J01': 20}, 
115.0, {'J01': -743.5}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -892.5}, {'J01': 4}, {'J01': 23}, 
125.0, {'J01': -1062.0}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1286.5}, {'J01': 8}, {'J01': 30}, 
135.0, {'J01': -1591.5}, {'J01': 8}, {'J01': 32}, 
140.0, {'J01': -1917.0}, {'J01': 8}, {'J01': 35}, 
145.0, {'J01': -1862.0}, {'J01': 7}, {'J01': 32}, 
150.0, {'J01': -1302.5}, {'J01': 5}, {'J01': 24}, 
