episode,agent,decision,signal_id,reward
1,FIXEDTIME,50,J10,0.0
1,FIXEDTIME,50,J11,-22.0
1,FIXEDTIME,50,J12,-5333.5
1,FIXEDTIME,50,J13,0.0
1,FIXEDTIME,50,cluster3106249630_3106249631_J60_J61_#5more,-1471.5
1,FIXEDTIME,100,J10,-16.0
1,FIXEDTIME,100,J11,-14.0
1,FIXEDTIME,100,J12,-12381.5
1,FIXEDTIME,100,J13,-3.5
1,FIXEDTIME,100,cluster3106249630_3106249631_J60_J61_#5more,-23757.0
1,FIXEDTIME,150,J10,-27.0
1,FIXEDTIME,150,J11,-13.5
1,FIXEDTIME,150,J12,-11631.5
1,FIXEDTIME,150,J13,-59.5
1,FIXEDTIME,150,cluster3106249630_3106249631_J60_J61_#5more,-20372.5
1,FIXEDTIME,200,J10,0.0
1,FIXEDTIME,200,J11,-2.0
1,FIXEDTIME,200,J12,-12507.0
1,FIXEDTIME,200,J13,-180.5
1,FIXEDTIME,200,cluster3106249630_3106249631_J60_J61_#5more,-23250.5
1,FIXEDTIME,250,J10,-23.0
1,FIXEDTIME,250,J11,-19.5
1,FIXEDTIME,250,J12,-13584.5
1,FIXEDTIME,250,J13,-37.5
1,FIXEDTIME,250,cluster3106249630_3106249631_J60_J61_#5more,-27730.0
1,FIXEDTIME,300,J10,-26.5
1,FIXEDTIME,300,J11,-17.5
1,FIXEDTIME,300,J12,-13259.5
1,FIXEDTIME,300,J13,-7.0
1,FIXEDTIME,300,cluster3106249630_3106249631_J60_J61_#5more,-28953.5
1,FIXEDTIME,350,J10,0.0
1,FIXEDTIME,350,J11,-56.0
1,FIXEDTIME,350,J12,-12548.0
1,FIXEDTIME,350,J13,-4.5
1,FIXEDTIME,350,cluster3106249630_3106249631_J60_J61_#5more,-36284.5
1,FIXEDTIME,400,J10,-22.5
1,FIXEDTIME,400,J11,-317.0
1,FIXEDTIME,400,J12,-11131.0
1,FIXEDTIME,400,J13,-16.5
1,FIXEDTIME,400,cluster3106249630_3106249631_J60_J61_#5more,-34185.0
1,FIXEDTIME,450,J10,0.0
1,FIXEDTIME,450,J11,-2367.5
1,FIXEDTIME,450,J12,-9987.5
1,FIXEDTIME,450,J13,-39.5
1,FIXEDTIME,450,cluster3106249630_3106249631_J60_J61_#5more,-35472.5
1,FIXEDTIME,500,J10,-38.0
1,FIXEDTIME,500,J11,-412.5
1,FIXEDTIME,500,J12,-11111.0
1,FIXEDTIME,500,J13,0.0
1,FIXEDTIME,500,cluster3106249630_3106249631_J60_J61_#5more,-44244.5
1,FIXEDTIME,550,J10,-3.0
1,FIXEDTIME,550,J11,-348.5
1,FIXEDTIME,550,J12,-9447.0
1,FIXEDTIME,550,J13,-2.5
1,FIXEDTIME,550,cluster3106249630_3106249631_J60_J61_#5more,-49921.5
1,FIXEDTIME,600,J10,-26.0
1,FIXEDTIME,600,J11,0.0
1,FIXEDTIME,600,J12,-9779.5
1,FIXEDTIME,600,J13,-11.0
1,FIXEDTIME,600,cluster3106249630_3106249631_J60_J61_#5more,-53769.0
1,FIXEDTIME,650,J10,-24.0
1,FIXEDTIME,650,J11,-3.0
1,FIXEDTIME,650,J12,-16530.0
1,FIXEDTIME,650,J13,-125.5
1,FIXEDTIME,650,cluster3106249630_3106249631_J60_J61_#5more,-57738.5
1,FIXEDTIME,700,J10,-25.0
1,FIXEDTIME,700,J11,-23.5
1,FIXEDTIME,700,J12,-14958.5
1,FIXEDTIME,700,J13,-281.5
1,FIXEDTIME,700,cluster3106249630_3106249631_J60_J61_#5more,-68038.5
1,FIXEDTIME,750,J10,0.0
1,FIXEDTIME,750,J11,0.0
1,FIXEDTIME,750,J12,-16077.0
1,FIXEDTIME,750,J13,0.0
1,FIXEDTIME,750,cluster3106249630_3106249631_J60_J61_#5more,-80071.0
1,FIXEDTIME,800,J10,0.0
1,FIXEDTIME,800,J11,0.0
1,FIXEDTIME,800,J12,-11004.0
1,FIXEDTIME,800,J13,-12.0
1,FIXEDTIME,800,cluster3106249630_3106249631_J60_J61_#5more,-96137.5
1,FIXEDTIME,850,J10,0.0
1,FIXEDTIME,850,J11,0.0
1,FIXEDTIME,850,J12,-12310.0
1,FIXEDTIME,850,J13,-20.5
1,FIXEDTIME,850,cluster3106249630_3106249631_J60_J61_#5more,-77365.5
1,FIXEDTIME,900,J10,0.0
1,FIXEDTIME,900,J11,0.0
1,FIXEDTIME,900,J12,-10229.5
1,FIXEDTIME,900,J13,0.0
1,FIXEDTIME,900,cluster3106249630_3106249631_J60_J61_#5more,-80756.0
1,FIXEDTIME,950,J10,0.0
1,FIXEDTIME,950,J11,0.0
1,FIXEDTIME,950,J12,-6987.5
1,FIXEDTIME,950,J13,0.0
1,FIXEDTIME,950,cluster3106249630_3106249631_J60_J61_#5more,-80912.5
1,FIXEDTIME,1000,J10,0.0
1,FIXEDTIME,1000,J11,0.0
1,FIXEDTIME,1000,J12,-17735.0
1,FIXEDTIME,1000,J13,0.0
1,FIXEDTIME,1000,cluster3106249630_3106249631_J60_J61_#5more,-83734.5
1,FIXEDTIME,1050,J10,0.0
1,FIXEDTIME,1050,J11,0.0
1,FIXEDTIME,1050,J12,-24709.0
1,FIXEDTIME,1050,J13,0.0
1,FIXEDTIME,1050,cluster3106249630_3106249631_J60_J61_#5more,-82896.0
2,FIXEDTIME,50,J10,0.0
2,FIXEDTIME,50,J11,-5.0
2,FIXEDTIME,50,J12,-5506.0
2,FIXEDTIME,50,J13,0.0
2,FIXEDTIME,50,cluster3106249630_3106249631_J60_J61_#5more,-1053.0
2,FIXEDTIME,100,J10,-17.0
2,FIXEDTIME,100,J11,-82.5
2,FIXEDTIME,100,J12,-12225.5
2,FIXEDTIME,100,J13,-7.5
2,FIXEDTIME,100,cluster3106249630_3106249631_J60_J61_#5more,-7734.5
2,FIXEDTIME,150,J10,-90.5
2,FIXEDTIME,150,J11,-285.0
2,FIXEDTIME,150,J12,-9016.5
2,FIXEDTIME,150,J13,-65.0
2,FIXEDTIME,150,cluster3106249630_3106249631_J60_J61_#5more,-24580.0
2,FIXEDTIME,200,J10,0.0
2,FIXEDTIME,200,J11,-25.0
2,FIXEDTIME,200,J12,-13858.5
2,FIXEDTIME,200,J13,-131.5
2,FIXEDTIME,200,cluster3106249630_3106249631_J60_J61_#5more,-23849.5
2,FIXEDTIME,250,J10,-13.0
2,FIXEDTIME,250,J11,-19.0
2,FIXEDTIME,250,J12,-13288.0
2,FIXEDTIME,250,J13,-73.5
2,FIXEDTIME,250,cluster3106249630_3106249631_J60_J61_#5more,-28268.5
2,FIXEDTIME,300,J10,-16.0
2,FIXEDTIME,300,J11,-9.5
2,FIXEDTIME,300,J12,-10622.5
2,FIXEDTIME,300,J13,-5.0
2,FIXEDTIME,300,cluster3106249630_3106249631_J60_J61_#5more,-25505.0
2,FIXEDTIME,350,J10,0.0
2,FIXEDTIME,350,J11,-3.0
2,FIXEDTIME,350,J12,-12878.5
2,FIXEDTIME,350,J13,-4.5
2,FIXEDTIME,350,cluster3106249630_3106249631_J60_J61_#5more,-38180.5
2,FIXEDTIME,400,J10,-11.5
2,FIXEDTIME,400,J11,-42.5
2,FIXEDTIME,400,J12,-13953.5
2,FIXEDTIME,400,J13,-25.0
2,FIXEDTIME,400,cluster3106249630_3106249631_J60_J61_#5more,-35759.5
2,FIXEDTIME,450,J10,0.0
2,FIXEDTIME,450,J11,-10.5
2,FIXEDTIME,450,J12,-11978.0
2,FIXEDTIME,450,J13,-26.0
2,FIXEDTIME,450,cluster3106249630_3106249631_J60_J61_#5more,-40395.0
2,FIXEDTIME,500,J10,-23.5
2,FIXEDTIME,500,J11,-37.5
2,FIXEDTIME,500,J12,-10703.5
2,FIXEDTIME,500,J13,0.0
2,FIXEDTIME,500,cluster3106249630_3106249631_J60_J61_#5more,-42194.0
2,FIXEDTIME,550,J10,-13.0
2,FIXEDTIME,550,J11,-34.0
2,FIXEDTIME,550,J12,-11235.5
2,FIXEDTIME,550,J13,-45.5
2,FIXEDTIME,550,cluster3106249630_3106249631_J60_J61_#5more,-56614.5
2,FIXEDTIME,600,J10,-31.5
2,FIXEDTIME,600,J11,-4.0
2,FIXEDTIME,600,J12,-11681.0
2,FIXEDTIME,600,J13,-11.5
2,FIXEDTIME,600,cluster3106249630_3106249631_J60_J61_#5more,-57423.5
2,FIXEDTIME,650,J10,0.0
2,FIXEDTIME,650,J11,-118.0
2,FIXEDTIME,650,J12,-13340.0
2,FIXEDTIME,650,J13,-21.5
2,FIXEDTIME,650,cluster3106249630_3106249631_J60_J61_#5more,-63052.5
2,FIXEDTIME,700,J10,-2.5
2,FIXEDTIME,700,J11,-23.0
2,FIXEDTIME,700,J12,-11756.0
2,FIXEDTIME,700,J13,-407.0
2,FIXEDTIME,700,cluster3106249630_3106249631_J60_J61_#5more,-73912.0
2,FIXEDTIME,750,J10,0.0
2,FIXEDTIME,750,J11,0.0
2,FIXEDTIME,750,J12,-15782.5
2,FIXEDTIME,750,J13,0.0
2,FIXEDTIME,750,cluster3106249630_3106249631_J60_J61_#5more,-77001.5
2,FIXEDTIME,800,J10,0.0
2,FIXEDTIME,800,J11,0.0
2,FIXEDTIME,800,J12,-9754.5
2,FIXEDTIME,800,J13,0.0
2,FIXEDTIME,800,cluster3106249630_3106249631_J60_J61_#5more,-85855.0
2,FIXEDTIME,850,J10,0.0
2,FIXEDTIME,850,J11,0.0
2,FIXEDTIME,850,J12,-10597.5
2,FIXEDTIME,850,J13,-24.5
2,FIXEDTIME,850,cluster3106249630_3106249631_J60_J61_#5more,-83610.5
2,FIXEDTIME,900,J10,0.0
2,FIXEDTIME,900,J11,0.0
2,FIXEDTIME,900,J12,-6769.5
2,FIXEDTIME,900,J13,0.0
2,FIXEDTIME,900,cluster3106249630_3106249631_J60_J61_#5more,-90278.5
2,FIXEDTIME,950,J10,0.0
2,FIXEDTIME,950,J11,0.0
2,FIXEDTIME,950,J12,-17422.5
2,FIXEDTIME,950,J13,0.0
2,FIXEDTIME,950,cluster3106249630_3106249631_J60_J61_#5more,-71356.5
2,FIXEDTIME,1000,J10,0.0
2,FIXEDTIME,1000,J11,0.0
2,FIXEDTIME,1000,J12,-29088.5
2,FIXEDTIME,1000,J13,0.0
2,FIXEDTIME,1000,cluster3106249630_3106249631_J60_J61_#5more,-69640.0
2,FIXEDTIME,1050,J10,0.0
2,FIXEDTIME,1050,J11,0.0
2,FIXEDTIME,1050,J12,-4834.5
2,FIXEDTIME,1050,J13,0.0
2,FIXEDTIME,1050,cluster3106249630_3106249631_J60_J61_#5more,-78988.0
3,FIXEDTIME,50,J10,0.0
3,FIXEDTIME,50,J11,-16.5
3,FIXEDTIME,50,J12,-6426.5
3,FIXEDTIME,50,J13,-2.5
3,FIXEDTIME,50,cluster3106249630_3106249631_J60_J61_#5more,-724.0
3,FIXEDTIME,100,J10,-16.5
3,FIXEDTIME,100,J11,-48.5
3,FIXEDTIME,100,J12,-12843.5
3,FIXEDTIME,100,J13,-4.0
3,FIXEDTIME,100,cluster3106249630_3106249631_J60_J61_#5more,-9954.0
3,FIXEDTIME,150,J10,0.0
3,FIXEDTIME,150,J11,-42.5
3,FIXEDTIME,150,J12,-9772.0
3,FIXEDTIME,150,J13,-39.0
3,FIXEDTIME,150,cluster3106249630_3106249631_J60_J61_#5more,-26257.0
3,FIXEDTIME,200,J10,0.0
3,FIXEDTIME,200,J11,-12.5
3,FIXEDTIME,200,J12,-16407.0
3,FIXEDTIME,200,J13,-128.5
3,FIXEDTIME,200,cluster3106249630_3106249631_J60_J61_#5more,-28305.5
3,FIXEDTIME,250,J10,-13.0
3,FIXEDTIME,250,J11,-19.0
3,FIXEDTIME,250,J12,-13089.5
3,FIXEDTIME,250,J13,-39.0
3,FIXEDTIME,250,cluster3106249630_3106249631_J60_J61_#5more,-16507.5
3,FIXEDTIME,300,J10,-15.0
3,FIXEDTIME,300,J11,-16.5
3,FIXEDTIME,300,J12,-12482.5
3,FIXEDTIME,300,J13,-7.5
3,FIXEDTIME,300,cluster3106249630_3106249631_J60_J61_#5more,-19955.5
3,FIXEDTIME,350,J10,0.0
3,FIXEDTIME,350,J11,0.0
