5.0, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 0, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
10.0, {'J10': 0, 'J11': -0.5, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 0, 'J11': 1, 'J12': 0, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
15.0, {'J10': -1.5, 'J11': -10.5, 'J12': -0.5, 'J13': -1.0, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, {'J10': 1, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 0}, 
20.0, {'J10': -11.5, 'J11': -20.5, 'J12': -10.5, 'J13': -17.5, 'cluster3106249630_3106249631_J60_J61_#5more': -4.0}, {'J10': 1, 'J11': 1, 'J12': 1, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, {'J10': 1, 'J11': 1, 'J12': 1, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 1}, 
25.0, {'J10': 0, 'J11': 0, 'J12': -30.0, 'J13': -29.0, 'cluster3106249630_3106249631_J60_J61_#5more': -22.5}, {'J10': 0, 'J11': 0, 'J12': 2, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 0, 'J12': 5, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
30.0, {'J10': 0, 'J11': 0, 'J12': -80.0, 'J13': -67.5, 'cluster3106249630_3106249631_J60_J61_#5more': -81.0}, {'J10': 0, 'J11': 0, 'J12': 2, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 0, 'J11': 0, 'J12': 5, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
35.0, {'J10': 0, 'J11': 0, 'J12': -133.5, 'J13': -27.5, 'cluster3106249630_3106249631_J60_J61_#5more': -105.0}, {'J10': 0, 'J11': 0, 'J12': 2, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 0, 'J11': 0, 'J12': 6, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 6}, 
40.0, {'J10': -5.0, 'J11': 0, 'J12': -195.0, 'J13': -33.5, 'cluster3106249630_3106249631_J60_J61_#5more': -149.0}, {'J10': 1, 'J11': 0, 'J12': 2, 'J13': 1, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 2, 'J11': 0, 'J12': 7, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, 
45.0, {'J10': -4.0, 'J11': 0, 'J12': -121.5, 'J13': -56.0, 'cluster3106249630_3106249631_J60_J61_#5more': -121.5}, {'J10': 1, 'J11': 0, 'J12': 1, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 2, 'J11': 0, 'J12': 5, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, 
50.0, {'J10': -26.5, 'J11': 0, 'J12': -88.5, 'J13': -86.0, 'cluster3106249630_3106249631_J60_J61_#5more': -38.5}, {'J10': 2, 'J11': 0, 'J12': 2, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 2}, {'J10': 3, 'J11': 0, 'J12': 4, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, 
55.0, {'J10': -12.5, 'J11': 0, 'J12': -62.5, 'J13': -78.5, 'cluster3106249630_3106249631_J60_J61_#5more': -40.0}, {'J10': 1, 'J11': 0, 'J12': 3, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 3}, {'J10': 1, 'J11': 0, 'J12': 7, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, 
