5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -9.0}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -60.0}, {'J01': 3}, {'J01': 9}, 
25.0, {'J01': -93.0}, {'J01': 3}, {'J01': 6}, 
30.0, {'J01': -139.0}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': -141.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -213.5}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -246.0}, {'J01': 3}, {'J01': 16}, 
50.0, {'J01': -270.0}, {'J01': 5}, {'J01': 20}, 
55.0, {'J01': -414.0}, {'J01': 8}, {'J01': 26}, 
60.0, {'J01': -686.5}, {'J01': 8}, {'J01': 32}, 
65.0, {'J01': -700.5}, {'J01': 7}, {'J01': 28}, 
70.0, {'J01': -512.0}, {'J01': 5}, {'J01': 20}, 
75.0, {'J01': -455.0}, {'J01': 4}, {'J01': 16}, 
80.0, {'J01': -630.0}, {'J01': 4}, {'J01': 24}, 
85.0, {'J01': -700.0}, {'J01': 6}, {'J01': 24}, 
90.0, {'J01': -784.5}, {'J01': 8}, {'J01': 25}, 
95.0, {'J01': -987.0}, {'J01': 8}, {'J01': 27}, 
100.0, {'J01': -1269.5}, {'J01': 8}, {'J01': 32}, 
105.0, {'J01': -1252.0}, {'J01': 7}, {'J01': 30}, 
110.0, {'J01': -752.5}, {'J01': 5}, {'J01': 21}, 
115.0, {'J01': -730.5}, {'J01': 4}, {'J01': 19}, 
120.0, {'J01': -915.5}, {'J01': 4}, {'J01': 25}, 
125.0, {'J01': -1047.5}, {'J01': 6}, {'J01': 27}, 
130.0, {'J01': -1272.5}, {'J01': 8}, {'J01': 31}, 
135.0, {'J01': -1523.5}, {'J01': 8}, {'J01': 32}, 
140.0, {'J01': -1853.5}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -1577.0}, {'J01': 7}, {'J01': 31}, 
150.0, {'J01': -1167.5}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -1170.0}, {'J01': 4}, {'J01': 23}, 
160.0, {'J01': -1412.0}, {'J01': 5}, {'J01': 29}, 
165.0, {'J01': -1067.0}, {'J01': 6}, {'J01': 30}, 
170.0, {'J01': -988.0}, {'J01': 8}, {'J01': 30}, 
175.0, {'J01': -1216.0}, {'J01': 8}, {'J01': 33}, 
180.0, {'J01': -1556.0}, {'J01': 8}, {'J01': 37}, 
185.0, {'J01': -1629.5}, {'J01': 7}, {'J01': 36}, 
190.0, {'J01': -1994.5}, {'J01': 7}, {'J01': 38}, 
195.0, {'J01': -2321.0}, {'J01': 7}, {'J01': 40}, 
200.0, {'J01': -2678.5}, {'J01': 8}, {'J01': 44}, 
205.0, {'J01': -2902.0}, {'J01': 8}, {'J01': 39}, 
210.0, {'J01': -3156.5}, {'J01': 8}, {'J01': 37}, 
215.0, {'J01': -3458.0}, {'J01': 9}, {'J01': 39}, 
220.0, {'J01': -3852.0}, {'J01': 9}, {'J01': 41}, 
225.0, {'J01': -3457.5}, {'J01': 9}, {'J01': 38}, 
230.0, {'J01': -2880.5}, {'J01': 7}, {'J01': 32}, 
235.0, {'J01': -3200.5}, {'J01': 7}, {'J01': 32}, 
240.0, {'J01': -3530.0}, {'J01': 7}, {'J01': 37}, 
245.0, {'J01': -3722.0}, {'J01': 8}, {'J01': 40}, 
250.0, {'J01': -3822.0}, {'J01': 8}, {'J01': 39}, 
255.0, {'J01': -4215.5}, {'J01': 9}, {'J01': 43}, 
260.0, {'J01': -4648.0}, {'J01': 9}, {'J01': 44}, 
265.0, {'J01': -4692.5}, {'J01': 9}, {'J01': 45}, 
270.0, {'J01': -4572.5}, {'J01': 11}, {'J01': 41}, 
275.0, {'J01': -4874.0}, {'J01': 12}, {'J01': 42}, 
280.0, {'J01': -5298.5}, {'J01': 12}, {'J01': 44}, 
285.0, {'J01': -5672.0}, {'J01': 12}, {'J01': 44}, 
290.0, {'J01': -5831.0}, {'J01': 15}, {'J01': 43}, 
295.0, {'J01': -6203.0}, {'J01': 16}, {'J01': 44}, 
300.0, {'J01': -6655.0}, {'J01': 16}, {'J01': 49}, 
305.0, {'J01': -5554.5}, {'J01': 14}, {'J01': 43}, 
310.0, {'J01': -3239.5}, {'J01': 10}, {'J01': 29}, 
315.0, {'J01': -2551.5}, {'J01': 9}, {'J01': 28}, 
320.0, {'J01': -2842.0}, {'J01': 10}, {'J01': 34}, 
325.0, {'J01': -3040.0}, {'J01': 12}, {'J01': 36}, 
330.0, {'J01': -3292.5}, {'J01': 13}, {'J01': 39}, 
