episode,agent,decision,signal_id,reward
1,FIXEDTIME,50,J01,-902.5
1,FIXEDTIME,100,J01,-1695.5
1,FIXEDTIME,150,J01,-2289.0
1,FIXEDTIME,200,J01,-2984.5
1,FIXEDTIME,250,J01,-4407.0
1,FIXEDTIME,300,J01,-3576.0
1,FIXEDTIME,350,J01,-921.5
1,FIXEDTIME,400,J01,-783.0
1,FIXEDTIME,450,J01,-793.5
1,FIXEDTIME,500,J01,-1610.5
1,FIXEDTIME,550,J01,-1306.5
1,FIXEDTIME,600,J01,-1558.5
1,FIXEDTIME,650,J01,-3317.0
1,FIXEDTIME,700,J01,-1484.0
1,FIXEDTIME,750,J01,-574.5
1,FIXEDTIME,800,J01,-606.0
1,FIXEDTIME,850,J01,-777.0
1,FIXEDTIME,900,J01,-1209.5
1,FIXEDTIME,950,J01,-466.5
1,FIXEDTIME,1000,J01,-410.5
1,FIXEDTIME,1050,J01,-595.0
2,FIXEDTIME,50,J01,-971.5
2,FIXEDTIME,100,J01,-1655.5
2,FIXEDTIME,150,J01,-893.0
2,FIXEDTIME,200,J01,-986.5
2,FIXEDTIME,250,J01,-1041.0
2,FIXEDTIME,300,J01,-1532.0
2,FIXEDTIME,350,J01,-712.5
2,FIXEDTIME,400,J01,-946.0
2,FIXEDTIME,450,J01,-1496.0
2,FIXEDTIME,500,J01,-1545.0
2,FIXEDTIME,550,J01,-3744.0
2,FIXEDTIME,600,J01,-1971.5
2,FIXEDTIME,650,J01,-6203.5
2,FIXEDTIME,700,J01,-1354.0
2,FIXEDTIME,750,J01,-640.0
2,FIXEDTIME,800,J01,-713.0
2,FIXEDTIME,850,J01,-1056.0
2,FIXEDTIME,900,J01,-1259.5
2,FIXEDTIME,950,J01,-468.5
2,FIXEDTIME,1000,J01,-423.5
2,FIXEDTIME,1050,J01,-612.5
3,FIXEDTIME,50,J01,-1331.5
3,FIXEDTIME,100,J01,-1734.0
3,FIXEDTIME,150,J01,-2885.5
3,FIXEDTIME,200,J01,-1019.0
3,FIXEDTIME,250,J01,-1019.0
3,FIXEDTIME,300,J01,-1478.5
3,FIXEDTIME,350,J01,-934.0
3,FIXEDTIME,400,J01,-962.5
3,FIXEDTIME,450,J01,-1367.5
3,FIXEDTIME,500,J01,-1611.0
3,FIXEDTIME,550,J01,-1473.0
3,FIXEDTIME,600,J01,-1468.0
3,FIXEDTIME,650,J01,-3549.5
3,FIXEDTIME,700,J01,-1570.5
3,FIXEDTIME,750,J01,-615.0
3,FIXEDTIME,800,J01,-730.0
3,FIXEDTIME,850,J01,-748.0
3,FIXEDTIME,900,J01,-1246.0
3,FIXEDTIME,950,J01,-612.5
3,FIXEDTIME,1000,J01,-495.5
3,FIXEDTIME,1050,J01,-704.5
4,FIXEDTIME,50,J01,-1106.0
4,FIXEDTIME,100,J01,-1749.0
