episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FIXEDTIME,1179597.0,70994.5,27949.5,26039.0,2693.0,4199.0,-1157.95509,590.76448,-4213.0,0.0,0.0555,0.0219,0.0818,0.1275,0.0,0.0,0.0,1080,20.3
2,FIXEDTIME,1249355.5,121189.0,27493.0,26867.0,3416.0,4219.0,-1269.02269,766.16288,-5546.0,0.0,0.0867,0.0197,0.099,0.1223,0.0,0.0,0.0,1080,20.7
3,FIXEDTIME,1164653.5,74899.0,24994.5,25894.0,2717.0,4054.0,-1147.7338,575.20054,-3884.5,0.0,0.0592,0.0198,0.0832,0.1241,0.0,0.0,0.0,1080,20.7
4,FIXEDTIME,1177833.5,108729.0,29930.5,26383.0,3169.0,4240.0,-1191.26157,665.71064,-5451.0,0.0,0.0826,0.0227,0.0938,0.1255,0.0,0.0,0.0,1080,20.8
5,FIXEDTIME,1181365.0,100524.5,25439.0,26138.0,2957.0,4139.0,-1186.93472,732.36051,-6850.0,0.0,0.0769,0.0195,0.089,0.1245,0.0,0.0,0.0,1080,20.4
6,FIXEDTIME,1177580.0,74930.0,25626.5,26163.0,2709.0,4132.0,-1159.73148,568.34702,-3547.0,0.0,0.0586,0.02,0.0821,0.1252,0.0,0.0,0.0,1080,21.0
7,FIXEDTIME,1207506.0,83209.5,24930.5,26309.0,2883.0,4067.0,-1195.10694,684.98771,-4767.0,0.0,0.0632,0.0189,0.0867,0.1223,0.0,0.0,0.0,1080,20.8
8,FIXEDTIME,1145465.0,118102.0,26409.5,26242.0,3153.0,4101.0,-1169.96944,648.41259,-4841.0,0.0,0.0916,0.0205,0.0941,0.1224,0.0,0.0,0.0,1080,20.3
9,FIXEDTIME,1145614.0,91919.5,26946.5,26286.0,3011.0,4196.0,-1145.86435,594.23446,-4927.5,0.0,0.0727,0.0213,0.0899,0.1253,0.0,0.0,0.0,1080,20.7
10,FIXEDTIME,1273840.0,97505.5,27270.5,26574.0,3033.0,4173.0,-1269.76435,751.70531,-4773.0,0.0,0.0697,0.0195,0.0898,0.1235,0.0,0.0,0.0,1080,20.8
11,FIXEDTIME,1277330.0,113147.5,27349.5,26809.0,3165.0,4126.0,-1287.47917,684.08709,-4046.0,0.0,0.0798,0.0193,0.0928,0.121,0.0,0.0,0.0,1080,21.0
12,FIXEDTIME,1154545.5,127220.0,25584.0,26665.0,3362.0,4138.0,-1186.81991,654.89687,-4471.0,0.0,0.0973,0.0196,0.0984,0.1211,0.0,0.0,0.0,1080,20.7
13,FIXEDTIME,1162406.0,77616.0,26978.5,26097.0,2761.0,4171.0,-1148.16852,594.17682,-4381.0,0.0,0.0613,0.0213,0.0836,0.1263,0.0,0.0,0.0,1080,20.5
14,FIXEDTIME,1203308.0,86569.0,25213.5,26160.0,2838.0,4120.0,-1194.33056,662.21882,-5075.5,0.0,0.0658,0.0192,0.0857,0.1244,0.0,0.0,0.0,1080,20.3
15,FIXEDTIME,1238746.0,91917.0,27718.5,26599.0,3045.0,4151.0,-1232.09537,678.92068,-4792.5,0.0,0.0677,0.0204,0.0901,0.1228,0.0,0.0,0.0,1080,21.0
