episode,agent,decision,signal_id,reward
1,FMA2C,50,J01,-309.4
1,FMA2C,50,top_mgr,6.0
1,FMA2C,100,J01,-753.8
1,FMA2C,100,top_mgr,0.0
1,FMA2C,150,J01,-871.8
1,FMA2C,150,top_mgr,4.0
1,FMA2C,200,J01,-484.0
1,FMA2C,200,top_mgr,10.0
1,FMA2C,250,J01,-330.8
1,FMA2C,250,top_mgr,12.0
1,FMA2C,300,J01,-816.2
1,FMA2C,300,top_mgr,3.0
1,FMA2C,350,J01,-586.8
1,FMA2C,350,top_mgr,0.0
1,FMA2C,400,J01,-653.0
1,FMA2C,400,top_mgr,1.0
1,FMA2C,450,J01,-358.0
1,FMA2C,450,top_mgr,10.0
1,FMA2C,500,J01,-717.0
1,FMA2C,500,top_mgr,8.0
1,FMA2C,550,J01,-352.6
1,FMA2C,550,top_mgr,7.0
1,FMA2C,600,J01,-465.0
1,FMA2C,600,top_mgr,2.0
1,FMA2C,650,J01,-458.2
1,FMA2C,650,top_mgr,1.0
1,FMA2C,700,J01,-485.8
1,FMA2C,700,top_mgr,11.0
1,FMA2C,750,J01,-526.4
1,FMA2C,750,top_mgr,2.0
1,FMA2C,800,J01,-360.4
1,FMA2C,800,top_mgr,1.0
1,FMA2C,850,J01,-115.6
1,FMA2C,850,top_mgr,5.0
1,FMA2C,900,J01,-221.8
1,FMA2C,900,top_mgr,4.0
1,FMA2C,950,J01,-184.8
1,FMA2C,950,top_mgr,5.0
1,FMA2C,1000,J01,-501.2
1,FMA2C,1000,top_mgr,1.0
1,FMA2C,1050,J01,-277.4
1,FMA2C,1050,top_mgr,0.0
2,FMA2C,50,J01,-501.8
2,FMA2C,50,top_mgr,0.0
2,FMA2C,100,J01,-847.8
2,FMA2C,100,top_mgr,0.0
2,FMA2C,150,J01,-410.8
2,FMA2C,150,top_mgr,5.0
2,FMA2C,200,J01,-1006.2
2,FMA2C,200,top_mgr,1.0
2,FMA2C,250,J01,-626.2
2,FMA2C,250,top_mgr,4.0
2,FMA2C,300,J01,-510.8
2,FMA2C,300,top_mgr,8.0
2,FMA2C,350,J01,-580.4
2,FMA2C,350,top_mgr,0.0
2,FMA2C,400,J01,-402.0
2,FMA2C,400,top_mgr,3.0
2,FMA2C,450,J01,-516.4
2,FMA2C,450,top_mgr,0.0
2,FMA2C,500,J01,-481.8
2,FMA2C,500,top_mgr,2.0
2,FMA2C,550,J01,-258.0
2,FMA2C,550,top_mgr,0.0
2,FMA2C,600,J01,-785.4
2,FMA2C,600,top_mgr,0.0
2,FMA2C,650,J01,-369.8
2,FMA2C,650,top_mgr,1.0
2,FMA2C,700,J01,-757.0
2,FMA2C,700,top_mgr,5.0
2,FMA2C,750,J01,-711.6
2,FMA2C,750,top_mgr,7.0
2,FMA2C,800,J01,-358.0
2,FMA2C,800,top_mgr,0.0
2,FMA2C,850,J01,-256.2
2,FMA2C,850,top_mgr,0.0
2,FMA2C,900,J01,-132.4
2,FMA2C,900,top_mgr,8.0
2,FMA2C,950,J01,-146.8
2,FMA2C,950,top_mgr,4.0
