5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -7.2, 'top_mgr': 3}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': -24.2, 'top_mgr': 2}, {'J01': 2}, {'J01': 5}, 
25.0, {'J01': -46.0, 'top_mgr': 1}, {'J01': 3}, {'J01': 10}, 
30.0, {'J01': -42.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 10}, 
35.0, {'J01': -55.8, 'top_mgr': 3}, {'J01': 5}, {'J01': 13}, 
40.0, {'J01': -83.80000000000001, 'top_mgr': 1}, {'J01': 6}, {'J01': 20}, 
45.0, {'J01': -110.80000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 25}, 
50.0, {'J01': -119.4, 'top_mgr': 6}, {'J01': 7}, {'J01': 25}, 
55.0, {'J01': -100.20000000000002, 'top_mgr': 9}, {'J01': 5}, {'J01': 18}, 
60.0, {'J01': -122.60000000000002, 'top_mgr': 5}, {'J01': 5}, {'J01': 20}, 
65.0, {'J01': -143.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 20}, 
70.0, {'J01': -168.40000000000003, 'top_mgr': 9}, {'J01': 4}, {'J01': 18}, 
75.0, {'J01': -168.0, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
80.0, {'J01': -181.0, 'top_mgr': 3}, {'J01': 4}, {'J01': 25}, 
85.0, {'J01': -198.79999999999998, 'top_mgr': 2}, {'J01': 6}, {'J01': 31}, 
90.0, {'J01': -156.0, 'top_mgr': 9}, {'J01': 8}, {'J01': 27}, 
95.0, {'J01': -189.4, 'top_mgr': 0}, {'J01': 8}, {'J01': 31}, 
100.0, {'J01': -230.80000000000004, 'top_mgr': 0}, {'J01': 8}, {'J01': 36}, 
105.0, {'J01': -194.8, 'top_mgr': 5}, {'J01': 7}, {'J01': 33}, 
110.0, {'J01': -201.4, 'top_mgr': 8}, {'J01': 6}, {'J01': 26}, 
115.0, {'J01': -150.60000000000002, 'top_mgr': 13}, {'J01': 4}, {'J01': 17}, 
120.0, {'J01': -167.00000000000003, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
125.0, {'J01': -191.60000000000002, 'top_mgr': 4}, {'J01': 4}, {'J01': 14}, 
130.0, {'J01': -180.6, 'top_mgr': 7}, {'J01': 3}, {'J01': 12}, 
135.0, {'J01': -224.6, 'top_mgr': 0}, {'J01': 3}, {'J01': 20}, 
140.0, {'J01': -254.4, 'top_mgr': 3}, {'J01': 6}, {'J01': 28}, 
145.0, {'J01': -259.79999999999995, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
150.0, {'J01': -297.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
155.0, {'J01': -338.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
160.0, {'J01': -288.20000000000005, 'top_mgr': 6}, {'J01': 7}, {'J01': 37}, 
165.0, {'J01': -317.80000000000007, 'top_mgr': 7}, {'J01': 7}, {'J01': 34}, 
170.0, {'J01': -269.0, 'top_mgr': 14}, {'J01': 5}, {'J01': 24}, 
175.0, {'J01': -294.0, 'top_mgr': 8}, {'J01': 5}, {'J01': 21}, 
180.0, {'J01': -267.40000000000003, 'top_mgr': 11}, {'J01': 5}, {'J01': 18}, 
185.0, {'J01': -256.0, 'top_mgr': 4}, {'J01': 5}, {'J01': 18}, 
190.0, {'J01': -240.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 22}, 
195.0, {'J01': -236.2, 'top_mgr': 3}, {'J01': 7}, {'J01': 28}, 
200.0, {'J01': -228.39999999999998, 'top_mgr': 3}, {'J01': 8}, {'J01': 31}, 
205.0, {'J01': -267.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 34}, 
210.0, {'J01': -308.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
215.0, {'J01': -349.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 38}, 
220.0, {'J01': -304.0, 'top_mgr': 9}, {'J01': 7}, {'J01': 29}, 
225.0, {'J01': -279.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 24}, 
230.0, {'J01': -258.40000000000003, 'top_mgr': 5}, {'J01': 6}, {'J01': 21}, 
235.0, {'J01': -289.0, 'top_mgr': 3}, {'J01': 6}, {'J01': 25}, 
240.0, {'J01': -281.00000000000006, 'top_mgr': 1}, {'J01': 8}, {'J01': 32}, 
245.0, {'J01': -324.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 35}, 
250.0, {'J01': -320.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 32}, 
255.0, {'J01': -276.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
260.0, {'J01': -322.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 39}, 
265.0, {'J01': -276.4, 'top_mgr': 11}, {'J01': 7}, {'J01': 29}, 
270.0, {'J01': -246.0, 'top_mgr': 11}, {'J01': 5}, {'J01': 21}, 
275.0, {'J01': -202.8, 'top_mgr': 8}, {'J01': 4}, {'J01': 18}, 
280.0, {'J01': -163.60000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 14}, 
285.0, {'J01': -189.60000000000002, 'top_mgr': 6}, {'J01': 4}, {'J01': 15}, 
290.0, {'J01': -174.6, 'top_mgr': 8}, {'J01': 4}, {'J01': 16}, 
295.0, {'J01': -171.00000000000003, 'top_mgr': 2}, {'J01': 3}, {'J01': 22}, 
300.0, {'J01': -180.20000000000002, 'top_mgr': 5}, {'J01': 6}, {'J01': 30}, 
305.0, {'J01': -191.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 34}, 
310.0, {'J01': -234.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 38}, 
315.0, {'J01': -224.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 39}, 
320.0, {'J01': -270.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 42}, 
325.0, {'J01': -283.8, 'top_mgr': 8}, {'J01': 7}, {'J01': 35}, 
330.0, {'J01': -212.00000000000003, 'top_mgr': 17}, {'J01': 4}, {'J01': 23}, 
335.0, {'J01': -181.0, 'top_mgr': 7}, {'J01': 4}, {'J01': 20}, 
340.0, {'J01': -166.2, 'top_mgr': 2}, {'J01': 4}, {'J01': 24}, 
345.0, {'J01': -187.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 23}, 
350.0, {'J01': -210.20000000000002, 'top_mgr': 4}, {'J01': 6}, {'J01': 22}, 
355.0, {'J01': -247.8, 'top_mgr': 1}, {'J01': 6}, {'J01': 27}, 
360.0, {'J01': -293.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 35}, 
365.0, {'J01': -340.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
370.0, {'J01': -386.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
375.0, {'J01': -430.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
380.0, {'J01': -364.2, 'top_mgr': 6}, {'J01': 8}, {'J01': 36}, 
385.0, {'J01': -373.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
390.0, {'J01': -375.6, 'top_mgr': 6}, {'J01': 7}, {'J01': 32}, 
395.0, {'J01': -269.40000000000003, 'top_mgr': 11}, {'J01': 6}, {'J01': 25}, 
