5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -4.0, 'top_mgr': 1}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -16.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 6}, 
25.0, {'J01': -16.0, 'top_mgr': 2}, {'J01': 3}, {'J01': 5}, 
30.0, {'J01': -28.200000000000003, 'top_mgr': 1}, {'J01': 3}, {'J01': 6}, 
35.0, {'J01': -44.800000000000004, 'top_mgr': 2}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': -58.4, 'top_mgr': 2}, {'J01': 4}, {'J01': 13}, 
45.0, {'J01': -85.60000000000001, 'top_mgr': 1}, {'J01': 5}, {'J01': 16}, 
50.0, {'J01': -101.60000000000001, 'top_mgr': 4}, {'J01': 6}, {'J01': 18}, 
55.0, {'J01': -119.20000000000002, 'top_mgr': 6}, {'J01': 6}, {'J01': 22}, 
60.0, {'J01': -130.20000000000002, 'top_mgr': 8}, {'J01': 5}, {'J01': 19}, 
65.0, {'J01': -174.00000000000003, 'top_mgr': 2}, {'J01': 5}, {'J01': 21}, 
70.0, {'J01': -180.20000000000005, 'top_mgr': 4}, {'J01': 6}, {'J01': 23}, 
75.0, {'J01': -187.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 27}, 
80.0, {'J01': -233.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 32}, 
85.0, {'J01': -273.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 35}, 
90.0, {'J01': -245.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
95.0, {'J01': -248.20000000000002, 'top_mgr': 4}, {'J01': 8}, {'J01': 31}, 
100.0, {'J01': -283.00000000000006, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
105.0, {'J01': -327.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
110.0, {'J01': -351.40000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
115.0, {'J01': -366.20000000000005, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
120.0, {'J01': -337.2, 'top_mgr': 5}, {'J01': 8}, {'J01': 33}, 
125.0, {'J01': -376.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
130.0, {'J01': -377.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 39}, 
135.0, {'J01': -417.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 40}, 
140.0, {'J01': -407.6, 'top_mgr': 7}, {'J01': 8}, {'J01': 36}, 
145.0, {'J01': -429.4, 'top_mgr': 1}, {'J01': 8}, {'J01': 40}, 
150.0, {'J01': -474.59999999999997, 'top_mgr': 0}, {'J01': 10}, {'J01': 48}, 
155.0, {'J01': -504.0, 'top_mgr': 2}, {'J01': 10}, {'J01': 46}, 
160.0, {'J01': -517.8, 'top_mgr': 3}, {'J01': 11}, {'J01': 46}, 
165.0, {'J01': -556.8, 'top_mgr': 0}, {'J01': 13}, {'J01': 49}, 
170.0, {'J01': -594.8, 'top_mgr': 0}, {'J01': 13}, {'J01': 51}, 
175.0, {'J01': -631.8, 'top_mgr': 1}, {'J01': 14}, {'J01': 52}, 
180.0, {'J01': -670.8, 'top_mgr': 0}, {'J01': 16}, {'J01': 55}, 
185.0, {'J01': -706.8000000000001, 'top_mgr': 0}, {'J01': 16}, {'J01': 55}, 
190.0, {'J01': -709.6000000000001, 'top_mgr': 4}, {'J01': 17}, {'J01': 52}, 
195.0, {'J01': -675.4, 'top_mgr': 4}, {'J01': 17}, {'J01': 49}, 
200.0, {'J01': -702.2, 'top_mgr': 2}, {'J01': 17}, {'J01': 51}, 
205.0, {'J01': -740.0000000000001, 'top_mgr': 0}, {'J01': 18}, {'J01': 56}, 
210.0, {'J01': -778.0000000000001, 'top_mgr': 0}, {'J01': 18}, {'J01': 58}, 
215.0, {'J01': -814.0000000000001, 'top_mgr': 0}, {'J01': 18}, {'J01': 58}, 
220.0, {'J01': -826.8000000000001, 'top_mgr': 4}, {'J01': 19}, {'J01': 55}, 
225.0, {'J01': -823.4000000000001, 'top_mgr': 3}, {'J01': 20}, {'J01': 53}, 
230.0, {'J01': -850.0, 'top_mgr': 1}, {'J01': 20}, {'J01': 55}, 
235.0, {'J01': -888.0000000000001, 'top_mgr': 0}, {'J01': 20}, {'J01': 59}, 
240.0, {'J01': -927.0, 'top_mgr': 0}, {'J01': 20}, {'J01': 62}, 
245.0, {'J01': -957.4000000000001, 'top_mgr': 2}, {'J01': 20}, {'J01': 61}, 
250.0, {'J01': -969.2, 'top_mgr': 5}, {'J01': 21}, {'J01': 58}, 
255.0, {'J01': -1002.2, 'top_mgr': 3}, {'J01': 22}, {'J01': 59}, 
260.0, {'J01': -1035.2, 'top_mgr': 1}, {'J01': 22}, {'J01': 60}, 
265.0, {'J01': -1033.4, 'top_mgr': 2}, {'J01': 23}, {'J01': 63}, 
270.0, {'J01': -1050.8000000000002, 'top_mgr': 5}, {'J01': 24}, {'J01': 60}, 
275.0, {'J01': -1073.8000000000002, 'top_mgr': 2}, {'J01': 25}, {'J01': 62}, 
280.0, {'J01': -1100.0, 'top_mgr': 2}, {'J01': 25}, {'J01': 61}, 
285.0, {'J01': -1121.2000000000003, 'top_mgr': 3}, {'J01': 26}, {'J01': 62}, 
290.0, {'J01': -1145.4, 'top_mgr': 2}, {'J01': 28}, {'J01': 63}, 
295.0, {'J01': -1174.4, 'top_mgr': 1}, {'J01': 28}, {'J01': 66}, 
300.0, {'J01': -1214.4, 'top_mgr': 0}, {'J01': 29}, {'J01': 70}, 
305.0, {'J01': -1251.4, 'top_mgr': 1}, {'J01': 29}, {'J01': 71}, 
310.0, {'J01': -1268.6000000000001, 'top_mgr': 2}, {'J01': 29}, {'J01': 69}, 
315.0, {'J01': -1290.6000000000001, 'top_mgr': 1}, {'J01': 31}, {'J01': 71}, 
320.0, {'J01': -1313.0000000000002, 'top_mgr': 4}, {'J01': 31}, {'J01': 69}, 
