episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2C,2420080.5,489559.0,60628.5,32452.0,6919.0,5575.0,-186.11194,86.07153,-995.0,17.0,0.1648,0.0204,0.1539,0.124,0.0,0.0,0.0,1080,141.2
2,FMA2C,2344407.5,791083.0,45811.5,33780.0,8422.0,5018.0,-185.14778,92.09195,-979.4,16.0,0.2487,0.0144,0.1784,0.1063,0.0,0.0,0.0,1080,93.6
3,FMA2C,2411078.0,882528.5,48787.5,34623.0,8876.0,5109.0,-190.57769,91.17175,-929.6,15.0,0.264,0.0146,0.1826,0.1051,0.0,0.0,0.0,1080,92.5
4,FMA2C,2435768.0,752549.0,49411.5,34366.0,8331.0,5208.0,-187.43148,78.63066,-987.2,17.0,0.2324,0.0153,0.1739,0.1087,0.0,0.0,0.0,1080,95.9
5,FMA2C,2373403.0,915222.0,55192.5,34656.0,9022.0,5075.0,-192.21944,98.35984,-1102.0,17.0,0.2737,0.0165,0.1851,0.1041,0.0,0.0,0.0,1080,94.7
6,FMA2C,2345506.5,899362.5,45836.5,34728.0,9151.0,4916.0,-192.73787,89.02775,-862.6,16.0,0.2733,0.0139,0.1875,0.1007,0.0,0.0,0.0,1080,92.7
7,FMA2C,2536563.5,656307.0,50854.5,33753.0,8001.0,5231.0,-189.12074,94.42982,-1152.4,18.0,0.2023,0.0157,0.1703,0.1113,0.0,0.0,0.0,1080,94.9
8,FMA2C,2327119.0,936706.5,58234.5,34785.0,9104.0,5142.0,-185.91852,84.10688,-960.2,18.0,0.282,0.0175,0.1857,0.1049,0.0,0.0,0.0,1080,90.5
9,FMA2C,2698376.0,1402083.0,51681.0,36179.0,9822.0,5175.0,-205.905,94.70396,-1045.8,16.0,0.3377,0.0124,0.1919,0.1011,0.0,0.0,0.0,1080,94.4
10,FMA2C,2546533.5,754036.5,68239.0,33809.0,7785.0,5705.0,-194.54685,80.8476,-940.2,17.0,0.2238,0.0203,0.1646,0.1206,0.0,0.0,0.0,1080,91.0
11,FMA2C,2413783.5,1066571.5,40632.5,35157.0,9577.0,5036.0,-193.2637,96.38033,-964.0,19.0,0.3029,0.0115,0.1924,0.1012,0.0,0.0,0.0,1080,94.3
12,FMA2C,2621723.0,1603684.0,56676.0,37878.0,11764.0,5441.0,-217.4025,104.7613,-992.0,15.0,0.3745,0.0132,0.2136,0.0988,0.0,0.0,0.0,1080,96.8
13,FMA2C,2522395.5,1466251.0,41594.5,36862.0,11103.0,5090.0,-210.2388,97.18612,-933.8,17.0,0.3638,0.0103,0.2093,0.0959,0.0,0.0,0.0,1080,91.8
14,FMA2C,2248996.0,1040547.5,59410.5,34175.0,9005.0,5170.0,-183.64824,85.29538,-918.2,18.0,0.3107,0.0177,0.1862,0.1069,0.0,0.0,0.0,1080,89.9
15,FMA2C,2487624.5,1015810.5,73349.5,35623.0,9880.0,5504.0,-200.94528,97.17346,-984.0,17.0,0.284,0.0205,0.1937,0.1079,0.0,0.0,0.0,1080,102.4
16,FMA2C,2256194.0,704322.0,38725.0,33857.0,8196.0,4765.0,-179.36639,80.02005,-880.4,16.0,0.2348,0.0129,0.1751,0.1018,0.0,0.0,0.0,1080,99.8
17,FMA2C,2550509.0,2021804.0,53243.5,37970.0,12394.0,5225.0,-212.28769,96.47519,-1016.0,17.0,0.4371,0.0115,0.223,0.094,0.0,0.0,0.0,1080,99.5
18,FMA2C,2342784.0,699994.0,53316.5,33243.0,7815.0,5362.0,-184.08454,89.42183,-858.0,21.0,0.2261,0.0172,0.1684,0.1155,0.0,0.0,0.0,1080,91.1
19,FMA2C,2306162.0,1513259.0,58096.5,35791.0,10443.0,5316.0,-195.08435,98.62523,-1009.6,19.0,0.3903,0.015,0.2026,0.1031,0.0,0.0,0.0,1080,94.7
20,FMA2C,2334830.5,851377.5,38555.5,33961.0,8340.0,4912.0,-191.2925,90.85019,-961.2,17.0,0.264,0.012,0.1766,0.104,0.0,0.0,0.0,1080,91.5
21,FMA2C,2331976.0,662783.0,53467.0,33241.0,7320.0,5376.0,-184.36944,81.21588,-866.4,18.0,0.2174,0.0175,0.1593,0.117,0.0,0.0,0.0,1080,101.5
22,FMA2C,2521573.0,597878.5,71271.0,32550.0,7321.0,5618.0,-196.00407,97.82064,-968.0,18.0,0.1874,0.0223,0.1609,0.1235,0.0,0.0,0.0,1080,101.8
23,FMA2C,2178971.0,459687.5,49817.5,32090.0,6383.0,5191.0,-173.34343,78.21679,-853.4,18.0,0.171,0.0185,0.1462,0.1189,0.0,0.0,0.0,1080,103.2
24,FMA2C,2398390.5,572883.0,62817.0,32422.0,7155.0,5453.0,-190.49806,96.57026,-1159.4,16.0,0.1888,0.0207,0.1589,0.1211,0.0,0.0,0.0,1080,102.7
25,FMA2C,2347681.0,312426.0,69212.0,31658.0,5776.0,5888.0,-180.38944,86.08959,-937.4,18.0,0.1145,0.0254,0.1333,0.1359,0.0,0.0,0.0,1080,101.8
26,FMA2C,2292601.0,848024.5,57860.0,33460.0,8484.0,5317.0,-180.20583,94.98587,-1060.2,18.0,0.2651,0.0181,0.1795,0.1125,0.0,0.0,0.0,1080,102.4
27,FMA2C,2183776.0,462473.5,41527.0,31781.0,6552.0,5111.0,-168.94694,75.63341,-767.4,17.0,0.1721,0.0155,0.1508,0.1176,0.0,0.0,0.0,1080,96.3
28,FMA2C,2132052.0,541805.0,77466.5,32479.0,7278.0,6012.0,-174.05324,78.26859,-909.4,18.0,0.1969,0.0282,0.159,0.1314,0.0,0.0,0.0,1080,91.4
29,FMA2C,2246698.5,473016.5,44045.0,32182.0,6573.0,4785.0,-175.53343,74.32549,-839.6,17.0,0.1711,0.0159,0.151,0.1099,0.0,0.0,0.0,1080,92.4
30,FMA2C,2355391.0,581230.5,66485.5,33402.0,7441.0,5537.0,-184.53806,88.94053,-928.4,18.0,0.1935,0.0221,0.1604,0.1194,0.0,0.0,0.0,1080,92.3
