episode,agent,decision,signal_id,reward
1,FMA2C,50,J01,-433.2
1,FMA2C,50,top_mgr,4.0
1,FMA2C,100,J01,-301.6
1,FMA2C,100,top_mgr,5.0
1,FMA2C,150,J01,-490.6
1,FMA2C,150,top_mgr,2.0
1,FMA2C,200,J01,-402.6
1,FMA2C,200,top_mgr,2.0
1,FMA2C,250,J01,-625.0
1,FMA2C,250,top_mgr,0.0
1,FMA2C,300,J01,-490.2
1,FMA2C,300,top_mgr,2.0
1,FMA2C,350,J01,-488.6
1,FMA2C,350,top_mgr,5.0
1,FMA2C,400,J01,-323.4
1,FMA2C,400,top_mgr,6.0
1,FMA2C,450,J01,-616.6
1,FMA2C,450,top_mgr,0.0
1,FMA2C,500,J01,-427.4
1,FMA2C,500,top_mgr,8.0
1,FMA2C,550,J01,-693.8
1,FMA2C,550,top_mgr,1.0
1,FMA2C,600,J01,-623.0
1,FMA2C,600,top_mgr,5.0
1,FMA2C,650,J01,-511.8
1,FMA2C,650,top_mgr,3.0
1,FMA2C,700,J01,-281.6
1,FMA2C,700,top_mgr,10.0
1,FMA2C,750,J01,-371.8
1,FMA2C,750,top_mgr,4.0
1,FMA2C,800,J01,-71.6
1,FMA2C,800,top_mgr,2.0
1,FMA2C,850,J01,-296.4
1,FMA2C,850,top_mgr,0.0
1,FMA2C,900,J01,-301.6
1,FMA2C,900,top_mgr,0.0
1,FMA2C,950,J01,-120.8
1,FMA2C,950,top_mgr,5.0
1,FMA2C,1000,J01,-245.6
1,FMA2C,1000,top_mgr,4.0
1,FMA2C,1050,J01,-160.0
1,FMA2C,1050,top_mgr,5.0
2,FMA2C,50,J01,-308.4
2,FMA2C,50,top_mgr,2.0
2,FMA2C,100,J01,-313.6
2,FMA2C,100,top_mgr,8.0
2,FMA2C,150,J01,-258.0
2,FMA2C,150,top_mgr,4.0
2,FMA2C,200,J01,-445.0
2,FMA2C,200,top_mgr,5.0
2,FMA2C,250,J01,-331.0
2,FMA2C,250,top_mgr,8.0
2,FMA2C,300,J01,-605.0
2,FMA2C,300,top_mgr,2.0
2,FMA2C,350,J01,-208.4
2,FMA2C,350,top_mgr,6.0
2,FMA2C,400,J01,-639.6
2,FMA2C,400,top_mgr,3.0
2,FMA2C,450,J01,-904.0
2,FMA2C,450,top_mgr,2.0
2,FMA2C,500,J01,-242.8
2,FMA2C,500,top_mgr,11.0
2,FMA2C,550,J01,-767.2
2,FMA2C,550,top_mgr,1.0
2,FMA2C,600,J01,-392.0
2,FMA2C,600,top_mgr,2.0
2,FMA2C,650,J01,-754.0
2,FMA2C,650,top_mgr,13.0
2,FMA2C,700,J01,-489.0
2,FMA2C,700,top_mgr,5.0
2,FMA2C,750,J01,-260.4
2,FMA2C,750,top_mgr,4.0
2,FMA2C,800,J01,-121.4
2,FMA2C,800,top_mgr,7.0
2,FMA2C,850,J01,-215.4
2,FMA2C,850,top_mgr,1.0
2,FMA2C,900,J01,-167.0
2,FMA2C,900,top_mgr,4.0
2,FMA2C,950,J01,-211.8
2,FMA2C,950,top_mgr,4.0
2,FMA2C,1000,J01,-252.0
2,FMA2C,1000,top_mgr,2.0
2,FMA2C,1050,J01,-356.6
2,FMA2C,1050,top_mgr,2.0
3,FMA2C,50,J01,-724.2
3,FMA2C,50,top_mgr,1.0
3,FMA2C,100,J01,-514.0
3,FMA2C,100,top_mgr,10.0
3,FMA2C,150,J01,-400.0
3,FMA2C,150,top_mgr,2.0
3,FMA2C,200,J01,-642.8
3,FMA2C,200,top_mgr,2.0
3,FMA2C,250,J01,-358.4
3,FMA2C,250,top_mgr,12.0
3,FMA2C,300,J01,-490.6
3,FMA2C,300,top_mgr,0.0
3,FMA2C,350,J01,-501.2
3,FMA2C,350,top_mgr,3.0
3,FMA2C,400,J01,-345.8
3,FMA2C,400,top_mgr,1.0
3,FMA2C,450,J01,-250.4
3,FMA2C,450,top_mgr,3.0
3,FMA2C,500,J01,-596.6
3,FMA2C,500,top_mgr,2.0
3,FMA2C,550,J01,-346.0
3,FMA2C,550,top_mgr,13.0
3,FMA2C,600,J01,-716.0
3,FMA2C,600,top_mgr,2.0
3,FMA2C,650,J01,-711.0
3,FMA2C,650,top_mgr,2.0
3,FMA2C,700,J01,-313.8
3,FMA2C,700,top_mgr,0.0
3,FMA2C,750,J01,-375.6
3,FMA2C,750,top_mgr,2.0
3,FMA2C,800,J01,-108.2
3,FMA2C,800,top_mgr,8.0
3,FMA2C,850,J01,-195.8
3,FMA2C,850,top_mgr,5.0
3,FMA2C,900,J01,-62.8
3,FMA2C,900,top_mgr,10.0
3,FMA2C,950,J01,-148.0
3,FMA2C,950,top_mgr,0.0
3,FMA2C,1000,J01,-358.8
3,FMA2C,1000,top_mgr,1.0
3,FMA2C,1050,J01,-244.4
3,FMA2C,1050,top_mgr,4.0
4,FMA2C,50,J01,-339.2
4,FMA2C,50,top_mgr,16.0
4,FMA2C,100,J01,-683.2
4,FMA2C,100,top_mgr,1.0
4,FMA2C,150,J01,-253.0
4,FMA2C,150,top_mgr,1.0
4,FMA2C,200,J01,-746.6
4,FMA2C,200,top_mgr,1.0
4,FMA2C,250,J01,-292.2
4,FMA2C,250,top_mgr,5.0
4,FMA2C,300,J01,-596.2
4,FMA2C,300,top_mgr,2.0
4,FMA2C,350,J01,-242.8
4,FMA2C,350,top_mgr,4.0
4,FMA2C,400,J01,-410.6
4,FMA2C,400,top_mgr,1.0
4,FMA2C,450,J01,-228.6
4,FMA2C,450,top_mgr,7.0
4,FMA2C,500,J01,-502.0
4,FMA2C,500,top_mgr,0.0
4,FMA2C,550,J01,-307.0
4,FMA2C,550,top_mgr,3.0
4,FMA2C,600,J01,-405.8
4,FMA2C,600,top_mgr,1.0
4,FMA2C,650,J01,-358.2
4,FMA2C,650,top_mgr,2.0
4,FMA2C,700,J01,-380.4
4,FMA2C,700,top_mgr,6.0
4,FMA2C,750,J01,-519.6
4,FMA2C,750,top_mgr,0.0
4,FMA2C,800,J01,-127.6
4,FMA2C,800,top_mgr,2.0
4,FMA2C,850,J01,-367.6
4,FMA2C,850,top_mgr,0.0
4,FMA2C,900,J01,-287.6
4,FMA2C,900,top_mgr,4.0
4,FMA2C,950,J01,-331.4
4,FMA2C,950,top_mgr,0.0
4,FMA2C,1000,J01,-252.8
4,FMA2C,1000,top_mgr,5.0
4,FMA2C,1050,J01,-189.2
4,FMA2C,1050,top_mgr,0.0
5,FMA2C,50,J01,-584.2
5,FMA2C,50,top_mgr,2.0
5,FMA2C,100,J01,-260.4
5,FMA2C,100,top_mgr,11.0
5,FMA2C,150,J01,-351.2
5,FMA2C,150,top_mgr,2.0
5,FMA2C,200,J01,-350.6
5,FMA2C,200,top_mgr,8.0
5,FMA2C,250,J01,-487.8
5,FMA2C,250,top_mgr,7.0
5,FMA2C,300,J01,-515.4
5,FMA2C,300,top_mgr,5.0
5,FMA2C,350,J01,-711.4
5,FMA2C,350,top_mgr,0.0
5,FMA2C,400,J01,-611.2
5,FMA2C,400,top_mgr,0.0
5,FMA2C,450,J01,-610.6
5,FMA2C,450,top_mgr,2.0
5,FMA2C,500,J01,-417.8
5,FMA2C,500,top_mgr,0.0
5,FMA2C,550,J01,-580.2
5,FMA2C,550,top_mgr,0.0
5,FMA2C,600,J01,-307.8
5,FMA2C,600,top_mgr,6.0
5,FMA2C,650,J01,-526.0
5,FMA2C,650,top_mgr,3.0
5,FMA2C,700,J01,-486.2
5,FMA2C,700,top_mgr,5.0
5,FMA2C,750,J01,-166.8
5,FMA2C,750,top_mgr,1.0
5,FMA2C,800,J01,-265.6
5,FMA2C,800,top_mgr,0.0
5,FMA2C,850,J01,-92.2
5,FMA2C,850,top_mgr,2.0
5,FMA2C,900,J01,-181.6
5,FMA2C,900,top_mgr,0.0
5,FMA2C,950,J01,-218.0
5,FMA2C,950,top_mgr,4.0
5,FMA2C,1000,J01,-197.6
5,FMA2C,1000,top_mgr,5.0
5,FMA2C,1050,J01,-263.4
5,FMA2C,1050,top_mgr,0.0
6,FMA2C,50,J01,-653.2
6,FMA2C,50,top_mgr,2.0
6,FMA2C,100,J01,-465.6
6,FMA2C,100,top_mgr,8.0
6,FMA2C,150,J01,-656.6
6,FMA2C,150,top_mgr,12.0
6,FMA2C,200,J01,-514.8
6,FMA2C,200,top_mgr,1.0
6,FMA2C,250,J01,-634.0
6,FMA2C,250,top_mgr,7.0
6,FMA2C,300,J01,-819.0
6,FMA2C,300,top_mgr,5.0
6,FMA2C,350,J01,-249.8
6,FMA2C,350,top_mgr,2.0
6,FMA2C,400,J01,-395.0
6,FMA2C,400,top_mgr,3.0
6,FMA2C,450,J01,-293.4
6,FMA2C,450,top_mgr,0.0
6,FMA2C,500,J01,-345.0
6,FMA2C,500,top_mgr,16.0
6,FMA2C,550,J01,-526.8
6,FMA2C,550,top_mgr,3.0
6,FMA2C,600,J01,-686.2
6,FMA2C,600,top_mgr,3.0
6,FMA2C,650,J01,-486.0
6,FMA2C,650,top_mgr,4.0
6,FMA2C,700,J01,-276.4
6,FMA2C,700,top_mgr,14.0
6,FMA2C,750,J01,-501.2
6,FMA2C,750,top_mgr,7.0
6,FMA2C,800,J01,-150.2
6,FMA2C,800,top_mgr,8.0
6,FMA2C,850,J01,-94.2
6,FMA2C,850,top_mgr,9.0
6,FMA2C,900,J01,-156.2
6,FMA2C,900,top_mgr,0.0
6,FMA2C,950,J01,-247.4
6,FMA2C,950,top_mgr,0.0
6,FMA2C,1000,J01,-434.0
6,FMA2C,1000,top_mgr,0.0
6,FMA2C,1050,J01,-179.2
6,FMA2C,1050,top_mgr,3.0
7,FMA2C,50,J01,-512.2
7,FMA2C,50,top_mgr,0.0
7,FMA2C,100,J01,-403.0
7,FMA2C,100,top_mgr,9.0
7,FMA2C,150,J01,-378.4
7,FMA2C,150,top_mgr,1.0
7,FMA2C,200,J01,-648.0
7,FMA2C,200,top_mgr,1.0
7,FMA2C,250,J01,-609.2
7,FMA2C,250,top_mgr,6.0
7,FMA2C,300,J01,-630.8
7,FMA2C,300,top_mgr,1.0
7,FMA2C,350,J01,-832.0
7,FMA2C,350,top_mgr,1.0
7,FMA2C,400,J01,-468.4
7,FMA2C,400,top_mgr,1.0
7,FMA2C,450,J01,-551.2
7,FMA2C,450,top_mgr,2.0
7,FMA2C,500,J01,-571.4
7,FMA2C,500,top_mgr,0.0
7,FMA2C,550,J01,-366.8
7,FMA2C,550,top_mgr,4.0
7,FMA2C,600,J01,-322.4
7,FMA2C,600,top_mgr,5.0
7,FMA2C,650,J01,-496.4
7,FMA2C,650,top_mgr,4.0
7,FMA2C,700,J01,-491.6
7,FMA2C,700,top_mgr,0.0
7,FMA2C,750,J01,-283.8
7,FMA2C,750,top_mgr,5.0
7,FMA2C,800,J01,-273.8
7,FMA2C,800,top_mgr,0.0
7,FMA2C,850,J01,-156.6
7,FMA2C,850,top_mgr,3.0
7,FMA2C,900,J01,-192.2
7,FMA2C,900,top_mgr,6.0
7,FMA2C,950,J01,-288.4
7,FMA2C,950,top_mgr,4.0
7,FMA2C,1000,J01,-241.0
7,FMA2C,1000,top_mgr,0.0
7,FMA2C,1050,J01,-188.0
7,FMA2C,1050,top_mgr,3.0
8,FMA2C,50,J01,-508.2
8,FMA2C,50,top_mgr,0.0
8,FMA2C,100,J01,-489.6
8,FMA2C,100,top_mgr,2.0
8,FMA2C,150,J01,-385.8
8,FMA2C,150,top_mgr,7.0
8,FMA2C,200,J01,-582.2
8,FMA2C,200,top_mgr,7.0
8,FMA2C,250,J01,-348.4
8,FMA2C,250,top_mgr,7.0
8,FMA2C,300,J01,-372.0
8,FMA2C,300,top_mgr,0.0
8,FMA2C,350,J01,-409.4
8,FMA2C,350,top_mgr,3.0
8,FMA2C,400,J01,-374.0
8,FMA2C,400,top_mgr,3.0
8,FMA2C,450,J01,-162.6
8,FMA2C,450,top_mgr,4.0
8,FMA2C,500,J01,-524.0
8,FMA2C,500,top_mgr,1.0
8,FMA2C,550,J01,-309.8
8,FMA2C,550,top_mgr,2.0
8,FMA2C,600,J01,-346.0
8,FMA2C,600,top_mgr,11.0
8,FMA2C,650,J01,-579.4
8,FMA2C,650,top_mgr,1.0
8,FMA2C,700,J01,-531.8
8,FMA2C,700,top_mgr,8.0
8,FMA2C,750,J01,-301.2
8,FMA2C,750,top_mgr,3.0
8,FMA2C,800,J01,-154.4
8,FMA2C,800,top_mgr,5.0
8,FMA2C,850,J01,-205.2
8,FMA2C,850,top_mgr,9.0
8,FMA2C,900,J01,-278.0
8,FMA2C,900,top_mgr,3.0
8,FMA2C,950,J01,-295.0
8,FMA2C,950,top_mgr,3.0
8,FMA2C,1000,J01,-189.4
8,FMA2C,1000,top_mgr,6.0
8,FMA2C,1050,J01,-283.8
8,FMA2C,1050,top_mgr,3.0
9,FMA2C,50,J01,-666.6
9,FMA2C,50,top_mgr,4.0
9,FMA2C,100,J01,-275.2
9,FMA2C,100,top_mgr,1.0
9,FMA2C,150,J01,-573.4
9,FMA2C,150,top_mgr,1.0
9,FMA2C,200,J01,-371.0
9,FMA2C,200,top_mgr,2.0
9,FMA2C,250,J01,-238.8
9,FMA2C,250,top_mgr,6.0
9,FMA2C,300,J01,-153.6
9,FMA2C,300,top_mgr,8.0
9,FMA2C,350,J01,-560.6
9,FMA2C,350,top_mgr,4.0
9,FMA2C,400,J01,-345.2
9,FMA2C,400,top_mgr,6.0
9,FMA2C,450,J01,-467.2
9,FMA2C,450,top_mgr,0.0
9,FMA2C,500,J01,-441.6
9,FMA2C,500,top_mgr,1.0
9,FMA2C,550,J01,-508.6
9,FMA2C,550,top_mgr,1.0
9,FMA2C,600,J01,-427.8
9,FMA2C,600,top_mgr,0.0
9,FMA2C,650,J01,-566.6
9,FMA2C,650,top_mgr,0.0
9,FMA2C,700,J01,-940.0
9,FMA2C,700,top_mgr,5.0
9,FMA2C,750,J01,-372.4
9,FMA2C,750,top_mgr,9.0
9,FMA2C,800,J01,-251.0
9,FMA2C,800,top_mgr,2.0
9,FMA2C,850,J01,-212.0
9,FMA2C,850,top_mgr,5.0
9,FMA2C,900,J01,-313.4
9,FMA2C,900,top_mgr,4.0
9,FMA2C,950,J01,-423.8
9,FMA2C,950,top_mgr,2.0
9,FMA2C,1000,J01,-305.8
9,FMA2C,1000,top_mgr,6.0
9,FMA2C,1050,J01,-249.2
9,FMA2C,1050,top_mgr,1.0
10,FMA2C,50,J01,-632.6
10,FMA2C,50,top_mgr,7.0
10,FMA2C,100,J01,-442.8
10,FMA2C,100,top_mgr,0.0
10,FMA2C,150,J01,-386.4
10,FMA2C,150,top_mgr,0.0
10,FMA2C,200,J01,-459.0
10,FMA2C,200,top_mgr,4.0
10,FMA2C,250,J01,-590.0
10,FMA2C,250,top_mgr,8.0
10,FMA2C,300,J01,-352.0
10,FMA2C,300,top_mgr,2.0
10,FMA2C,350,J01,-637.8
10,FMA2C,350,top_mgr,0.0
10,FMA2C,400,J01,-462.4
10,FMA2C,400,top_mgr,8.0
10,FMA2C,450,J01,-384.6
10,FMA2C,450,top_mgr,0.0
10,FMA2C,500,J01,-348.8
10,FMA2C,500,top_mgr,4.0
10,FMA2C,550,J01,-731.0
10,FMA2C,550,top_mgr,1.0
10,FMA2C,600,J01,-596.8
10,FMA2C,600,top_mgr,4.0
10,FMA2C,650,J01,-332.6
10,FMA2C,650,top_mgr,2.0
10,FMA2C,700,J01,-432.6
10,FMA2C,700,top_mgr,10.0
10,FMA2C,750,J01,-334.8
10,FMA2C,750,top_mgr,0.0
10,FMA2C,800,J01,-246.6
10,FMA2C,800,top_mgr,4.0
10,FMA2C,850,J01,-279.6
10,FMA2C,850,top_mgr,3.0
10,FMA2C,900,J01,-113.6
10,FMA2C,900,top_mgr,6.0
10,FMA2C,950,J01,-274.8
10,FMA2C,950,top_mgr,4.0
10,FMA2C,1000,J01,-261.2
10,FMA2C,1000,top_mgr,0.0
10,FMA2C,1050,J01,-243.2
10,FMA2C,1050,top_mgr,0.0
11,FMA2C,50,J01,-696.8
11,FMA2C,50,top_mgr,0.0
11,FMA2C,100,J01,-397.0
11,FMA2C,100,top_mgr,4.0
11,FMA2C,150,J01,-244.6
11,FMA2C,150,top_mgr,10.0
11,FMA2C,200,J01,-493.4
11,FMA2C,200,top_mgr,0.0
11,FMA2C,250,J01,-444.8
11,FMA2C,250,top_mgr,6.0
11,FMA2C,300,J01,-267.8
11,FMA2C,300,top_mgr,11.0
11,FMA2C,350,J01,-744.6
11,FMA2C,350,top_mgr,6.0
11,FMA2C,400,J01,-699.6
11,FMA2C,400,top_mgr,0.0
11,FMA2C,450,J01,-691.4
11,FMA2C,450,top_mgr,0.0
11,FMA2C,500,J01,-485.6
11,FMA2C,500,top_mgr,11.0
11,FMA2C,550,J01,-464.0
11,FMA2C,550,top_mgr,3.0
11,FMA2C,600,J01,-521.2
11,FMA2C,600,top_mgr,2.0
11,FMA2C,650,J01,-266.6
11,FMA2C,650,top_mgr,2.0
11,FMA2C,700,J01,-330.2
11,FMA2C,700,top_mgr,0.0
11,FMA2C,750,J01,-270.8
11,FMA2C,750,top_mgr,4.0
11,FMA2C,800,J01,-190.6
11,FMA2C,800,top_mgr,3.0
11,FMA2C,850,J01,-203.2
11,FMA2C,850,top_mgr,6.0
11,FMA2C,900,J01,-103.0
11,FMA2C,900,top_mgr,6.0
11,FMA2C,950,J01,-254.6
11,FMA2C,950,top_mgr,5.0
11,FMA2C,1000,J01,-142.4
11,FMA2C,1000,top_mgr,2.0
11,FMA2C,1050,J01,-340.8
11,FMA2C,1050,top_mgr,4.0
12,FMA2C,50,J01,-291.8
12,FMA2C,50,top_mgr,10.0
12,FMA2C,100,J01,-394.6
12,FMA2C,100,top_mgr,8.0
12,FMA2C,150,J01,-484.4
12,FMA2C,150,top_mgr,3.0
12,FMA2C,200,J01,-546.6
12,FMA2C,200,top_mgr,7.0
12,FMA2C,250,J01,-860.2
12,FMA2C,250,top_mgr,5.0
12,FMA2C,300,J01,-604.6
12,FMA2C,300,top_mgr,9.0
12,FMA2C,350,J01,-186.8
12,FMA2C,350,top_mgr,11.0
12,FMA2C,400,J01,-537.2
12,FMA2C,400,top_mgr,12.0
12,FMA2C,450,J01,-408.0
12,FMA2C,450,top_mgr,4.0
12,FMA2C,500,J01,-613.2
12,FMA2C,500,top_mgr,1.0
12,FMA2C,550,J01,-599.6
12,FMA2C,550,top_mgr,7.0
12,FMA2C,600,J01,-754.6
12,FMA2C,600,top_mgr,3.0
12,FMA2C,650,J01,-791.8
12,FMA2C,650,top_mgr,0.0
12,FMA2C,700,J01,-805.0
12,FMA2C,700,top_mgr,5.0
12,FMA2C,750,J01,-350.8
12,FMA2C,750,top_mgr,6.0
12,FMA2C,800,J01,-241.6
12,FMA2C,800,top_mgr,4.0
12,FMA2C,850,J01,-163.4
12,FMA2C,850,top_mgr,2.0
12,FMA2C,900,J01,-132.4
12,FMA2C,900,top_mgr,5.0
12,FMA2C,950,J01,-192.8
12,FMA2C,950,top_mgr,2.0
12,FMA2C,1000,J01,-309.0
12,FMA2C,1000,top_mgr,0.0
12,FMA2C,1050,J01,-124.8
12,FMA2C,1050,top_mgr,0.0
13,FMA2C,50,J01,-434.6
13,FMA2C,50,top_mgr,4.0
13,FMA2C,100,J01,-687.6
13,FMA2C,100,top_mgr,3.0
13,FMA2C,150,J01,-517.4
13,FMA2C,150,top_mgr,8.0
13,FMA2C,200,J01,-781.6
13,FMA2C,200,top_mgr,0.0
13,FMA2C,250,J01,-350.8
13,FMA2C,250,top_mgr,2.0
13,FMA2C,300,J01,-393.0
13,FMA2C,300,top_mgr,6.0
13,FMA2C,350,J01,-511.2
13,FMA2C,350,top_mgr,0.0
13,FMA2C,400,J01,-601.2
13,FMA2C,400,top_mgr,4.0
13,FMA2C,450,J01,-519.4
13,FMA2C,450,top_mgr,0.0
13,FMA2C,500,J01,-625.0
13,FMA2C,500,top_mgr,0.0
13,FMA2C,550,J01,-702.0
13,FMA2C,550,top_mgr,0.0
13,FMA2C,600,J01,-263.0
13,FMA2C,600,top_mgr,6.0
13,FMA2C,650,J01,-803.2
13,FMA2C,650,top_mgr,3.0
13,FMA2C,700,J01,-591.4
13,FMA2C,700,top_mgr,8.0
13,FMA2C,750,J01,-348.2
13,FMA2C,750,top_mgr,0.0
13,FMA2C,800,J01,-273.8
13,FMA2C,800,top_mgr,4.0
13,FMA2C,850,J01,-117.4
13,FMA2C,850,top_mgr,4.0
13,FMA2C,900,J01,-68.2
13,FMA2C,900,top_mgr,4.0
13,FMA2C,950,J01,-383.6
13,FMA2C,950,top_mgr,2.0
13,FMA2C,1000,J01,-227.2
13,FMA2C,1000,top_mgr,6.0
13,FMA2C,1050,J01,-154.6
13,FMA2C,1050,top_mgr,4.0
14,FMA2C,50,J01,-692.2
14,FMA2C,50,top_mgr,4.0
14,FMA2C,100,J01,-571.0
14,FMA2C,100,top_mgr,1.0
14,FMA2C,150,J01,-564.4
14,FMA2C,150,top_mgr,2.0
14,FMA2C,200,J01,-435.4
14,FMA2C,200,top_mgr,6.0
14,FMA2C,250,J01,-206.8
14,FMA2C,250,top_mgr,8.0
14,FMA2C,300,J01,-397.0
14,FMA2C,300,top_mgr,0.0
14,FMA2C,350,J01,-401.8
14,FMA2C,350,top_mgr,5.0
14,FMA2C,400,J01,-261.4
14,FMA2C,400,top_mgr,0.0
14,FMA2C,450,J01,-385.2
14,FMA2C,450,top_mgr,8.0
14,FMA2C,500,J01,-544.2
14,FMA2C,500,top_mgr,2.0
14,FMA2C,550,J01,-622.4
14,FMA2C,550,top_mgr,0.0
14,FMA2C,600,J01,-380.2
14,FMA2C,600,top_mgr,7.0
14,FMA2C,650,J01,-589.0
14,FMA2C,650,top_mgr,3.0
