5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -14.600000000000001, 'top_mgr': 2}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': -31.6, 'top_mgr': 3}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -49.8, 'top_mgr': 0}, {'J01': 4}, {'J01': 9}, 
30.0, {'J01': -66.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 9}, 
35.0, {'J01': -86.2, 'top_mgr': 3}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -107.4, 'top_mgr': 3}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -92.8, 'top_mgr': 7}, {'J01': 3}, {'J01': 11}, 
50.0, {'J01': -128.0, 'top_mgr': 2}, {'J01': 2}, {'J01': 15}, 
55.0, {'J01': -126.60000000000001, 'top_mgr': 4}, {'J01': 3}, {'J01': 17}, 
60.0, {'J01': -152.8, 'top_mgr': 3}, {'J01': 6}, {'J01': 25}, 
65.0, {'J01': -183.6, 'top_mgr': 5}, {'J01': 8}, {'J01': 29}, 
70.0, {'J01': -228.79999999999998, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
75.0, {'J01': -259.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
80.0, {'J01': -287.6, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
85.0, {'J01': -310.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
90.0, {'J01': -319.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
95.0, {'J01': -318.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 37}, 
100.0, {'J01': -335.0, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
105.0, {'J01': -377.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
110.0, {'J01': -428.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 44}, 
115.0, {'J01': -474.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 45}, 
120.0, {'J01': -484.00000000000006, 'top_mgr': 1}, {'J01': 8}, {'J01': 47}, 
125.0, {'J01': -430.6000000000001, 'top_mgr': 12}, {'J01': 7}, {'J01': 36}, 
130.0, {'J01': -325.8, 'top_mgr': 14}, {'J01': 4}, {'J01': 22}, 
135.0, {'J01': -346.8, 'top_mgr': 9}, {'J01': 4}, {'J01': 19}, 
140.0, {'J01': -264.2, 'top_mgr': 9}, {'J01': 4}, {'J01': 18}, 
145.0, {'J01': -258.8, 'top_mgr': 7}, {'J01': 4}, {'J01': 19}, 
150.0, {'J01': -288.0, 'top_mgr': 4}, {'J01': 4}, {'J01': 25}, 
155.0, {'J01': -318.20000000000005, 'top_mgr': 5}, {'J01': 7}, {'J01': 30}, 
160.0, {'J01': -297.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 34}, 
165.0, {'J01': -334.4000000000001, 'top_mgr': 1}, {'J01': 8}, {'J01': 37}, 
170.0, {'J01': -355.00000000000006, 'top_mgr': 2}, {'J01': 8}, {'J01': 38}, 
175.0, {'J01': -408.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
180.0, {'J01': -453.8, 'top_mgr': 1}, {'J01': 8}, {'J01': 43}, 
185.0, {'J01': -486.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 42}, 
190.0, {'J01': -535.8000000000001, 'top_mgr': 0}, {'J01': 8}, {'J01': 43}, 
195.0, {'J01': -547.0000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 44}, 
200.0, {'J01': -525.4000000000001, 'top_mgr': 4}, {'J01': 8}, {'J01': 42}, 
205.0, {'J01': -548.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 40}, 
210.0, {'J01': -533.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 40}, 
215.0, {'J01': -532.4000000000001, 'top_mgr': 1}, {'J01': 10}, {'J01': 42}, 
220.0, {'J01': -564.2, 'top_mgr': 1}, {'J01': 10}, {'J01': 42}, 
225.0, {'J01': -610.2, 'top_mgr': 0}, {'J01': 10}, {'J01': 44}, 
230.0, {'J01': -512.2, 'top_mgr': 2}, {'J01': 10}, {'J01': 44}, 
235.0, {'J01': -486.6, 'top_mgr': 2}, {'J01': 10}, {'J01': 43}, 
240.0, {'J01': -524.8, 'top_mgr': 1}, {'J01': 10}, {'J01': 42}, 
245.0, {'J01': -545.0, 'top_mgr': 1}, {'J01': 10}, {'J01': 43}, 
250.0, {'J01': -585.4, 'top_mgr': 0}, {'J01': 10}, {'J01': 46}, 
255.0, {'J01': -607.2, 'top_mgr': 6}, {'J01': 10}, {'J01': 42}, 
260.0, {'J01': -639.4000000000001, 'top_mgr': 1}, {'J01': 11}, {'J01': 43}, 
265.0, {'J01': -682.4000000000001, 'top_mgr': 0}, {'J01': 13}, {'J01': 46}, 
270.0, {'J01': -726.4000000000001, 'top_mgr': 0}, {'J01': 13}, {'J01': 50}, 
275.0, {'J01': -616.6000000000001, 'top_mgr': 13}, {'J01': 11}, {'J01': 40}, 
280.0, {'J01': -511.4000000000001, 'top_mgr': 3}, {'J01': 11}, {'J01': 37}, 
285.0, {'J01': -553.0000000000001, 'top_mgr': 0}, {'J01': 11}, {'J01': 41}, 
290.0, {'J01': -547.8000000000001, 'top_mgr': 2}, {'J01': 13}, {'J01': 44}, 
295.0, {'J01': -557.2000000000002, 'top_mgr': 4}, {'J01': 15}, {'J01': 46}, 
300.0, {'J01': -554.6000000000001, 'top_mgr': 4}, {'J01': 15}, {'J01': 47}, 
305.0, {'J01': -570.6000000000001, 'top_mgr': 5}, {'J01': 15}, {'J01': 44}, 
310.0, {'J01': -551.0, 'top_mgr': 8}, {'J01': 13}, {'J01': 37}, 
315.0, {'J01': -401.00000000000006, 'top_mgr': 17}, {'J01': 9}, {'J01': 27}, 
320.0, {'J01': -286.20000000000005, 'top_mgr': 10}, {'J01': 7}, {'J01': 22}, 
325.0, {'J01': -321.20000000000005, 'top_mgr': 10}, {'J01': 6}, {'J01': 21}, 
330.0, {'J01': -270.2, 'top_mgr': 8}, {'J01': 4}, {'J01': 21}, 
335.0, {'J01': -242.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 27}, 
340.0, {'J01': -291.8, 'top_mgr': 0}, {'J01': 6}, {'J01': 36}, 
345.0, {'J01': -337.8, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
350.0, {'J01': -380.20000000000005, 'top_mgr': 0}, {'J01': 8}, {'J01': 43}, 
355.0, {'J01': -392.80000000000007, 'top_mgr': 8}, {'J01': 7}, {'J01': 35}, 
360.0, {'J01': -314.00000000000006, 'top_mgr': 9}, {'J01': 6}, {'J01': 27}, 
365.0, {'J01': -351.4000000000001, 'top_mgr': 1}, {'J01': 6}, {'J01': 31}, 
370.0, {'J01': -302.20000000000005, 'top_mgr': 5}, {'J01': 7}, {'J01': 30}, 
375.0, {'J01': -259.4, 'top_mgr': 3}, {'J01': 8}, {'J01': 30}, 
380.0, {'J01': -288.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 32}, 
385.0, {'J01': -261.0, 'top_mgr': 2}, {'J01': 8}, {'J01': 32}, 
390.0, {'J01': -298.0, 'top_mgr': 1}, {'J01': 8}, {'J01': 34}, 
395.0, {'J01': -270.79999999999995, 'top_mgr': 3}, {'J01': 8}, {'J01': 36}, 
400.0, {'J01': -307.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
405.0, {'J01': -332.40000000000003, 'top_mgr': 2}, {'J01': 8}, {'J01': 37}, 
410.0, {'J01': -376.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
415.0, {'J01': -310.2, 'top_mgr': 9}, {'J01': 7}, {'J01': 33}, 
420.0, {'J01': -266.4, 'top_mgr': 17}, {'J01': 4}, {'J01': 18}, 
425.0, {'J01': -231.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 14}, 
430.0, {'J01': -157.60000000000002, 'top_mgr': 10}, {'J01': 4}, {'J01': 10}, 
435.0, {'J01': -177.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 14}, 
440.0, {'J01': -220.60000000000002, 'top_mgr': 1}, {'J01': 3}, {'J01': 21}, 
445.0, {'J01': -264.20000000000005, 'top_mgr': 1}, {'J01': 6}, {'J01': 28}, 
450.0, {'J01': -313.2, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
455.0, {'J01': -343.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 38}, 
460.0, {'J01': -253.8, 'top_mgr': 5}, {'J01': 8}, {'J01': 33}, 
465.0, {'J01': -282.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 34}, 
470.0, {'J01': -272.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
475.0, {'J01': -263.40000000000003, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
480.0, {'J01': -276.0, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
485.0, {'J01': -299.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
490.0, {'J01': -292.0, 'top_mgr': 6}, {'J01': 8}, {'J01': 36}, 
495.0, {'J01': -270.8, 'top_mgr': 8}, {'J01': 8}, {'J01': 31}, 
500.0, {'J01': -294.4, 'top_mgr': 6}, {'J01': 8}, {'J01': 34}, 
505.0, {'J01': -324.00000000000006, 'top_mgr': 4}, {'J01': 8}, {'J01': 33}, 
510.0, {'J01': -334.2000000000001, 'top_mgr': 5}, {'J01': 9}, {'J01': 34}, 
515.0, {'J01': -380.20000000000005, 'top_mgr': 0}, {'J01': 9}, {'J01': 43}, 
520.0, {'J01': -419.4000000000001, 'top_mgr': 2}, {'J01': 9}, {'J01': 45}, 
525.0, {'J01': -467.8000000000001, 'top_mgr': 1}, {'J01': 10}, {'J01': 49}, 
530.0, {'J01': -513.2, 'top_mgr': 1}, {'J01': 10}, {'J01': 50}, 
535.0, {'J01': -539.0000000000001, 'top_mgr': 5}, {'J01': 10}, {'J01': 47}, 
540.0, {'J01': -534.6000000000001, 'top_mgr': 6}, {'J01': 9}, {'J01': 44}, 
