episode,agent,decision,signal_id,reward
1,FMA2CFull,50,J01,-1072.6
1,FMA2CFull,50,top_mgr,1.0
1,FMA2CFull,100,J01,-1629.6
1,FMA2CFull,100,top_mgr,1.0
1,FMA2CFull,150,J01,-2527.8
1,FMA2CFull,150,top_mgr,2.0
1,FMA2CFull,200,J01,-2163.4
1,FMA2CFull,200,top_mgr,1.0
1,FMA2CFull,250,J01,-1286.6
1,FMA2CFull,250,top_mgr,0.0
1,FMA2CFull,300,J01,-1860.6
1,FMA2CFull,300,top_mgr,0.0
1,FMA2CFull,350,J01,-1524.2
1,FMA2CFull,350,top_mgr,0.0
1,FMA2CFull,400,J01,-1853.2
1,FMA2CFull,400,top_mgr,3.0
1,FMA2CFull,450,J01,-1402.8
1,FMA2CFull,450,top_mgr,1.0
1,FMA2CFull,500,J01,-1856.2
1,FMA2CFull,500,top_mgr,12.0
1,FMA2CFull,550,J01,-1145.0
1,FMA2CFull,550,top_mgr,2.0
1,FMA2CFull,600,J01,-1417.4
1,FMA2CFull,600,top_mgr,2.0
1,FMA2CFull,650,J01,-2415.2
1,FMA2CFull,650,top_mgr,4.0
1,FMA2CFull,700,J01,-2646.8
1,FMA2CFull,700,top_mgr,2.0
1,FMA2CFull,750,J01,-1166.6
1,FMA2CFull,750,top_mgr,0.0
1,FMA2CFull,800,J01,-1009.4
1,FMA2CFull,800,top_mgr,0.0
1,FMA2CFull,850,J01,-375.2
1,FMA2CFull,850,top_mgr,0.0
1,FMA2CFull,900,J01,-718.4
1,FMA2CFull,900,top_mgr,0.0
1,FMA2CFull,950,J01,-708.6
1,FMA2CFull,950,top_mgr,1.0
1,FMA2CFull,1000,J01,-992.8
1,FMA2CFull,1000,top_mgr,1.0
1,FMA2CFull,1050,J01,-248.0
1,FMA2CFull,1050,top_mgr,12.0
2,FMA2CFull,50,J01,-1111.6
2,FMA2CFull,50,top_mgr,2.0
2,FMA2CFull,100,J01,-1533.0
2,FMA2CFull,100,top_mgr,2.0
2,FMA2CFull,150,J01,-984.0
2,FMA2CFull,150,top_mgr,0.0
2,FMA2CFull,200,J01,-757.2
2,FMA2CFull,200,top_mgr,3.0
2,FMA2CFull,250,J01,-1032.4
2,FMA2CFull,250,top_mgr,6.0
2,FMA2CFull,300,J01,-1276.8
2,FMA2CFull,300,top_mgr,0.0
2,FMA2CFull,350,J01,-1147.2
2,FMA2CFull,350,top_mgr,4.0
2,FMA2CFull,400,J01,-881.6
2,FMA2CFull,400,top_mgr,6.0
2,FMA2CFull,450,J01,-1514.8
2,FMA2CFull,450,top_mgr,0.0
2,FMA2CFull,500,J01,-1139.8
2,FMA2CFull,500,top_mgr,1.0
2,FMA2CFull,550,J01,-1463.8
2,FMA2CFull,550,top_mgr,11.0
2,FMA2CFull,600,J01,-1705.6
2,FMA2CFull,600,top_mgr,1.0
2,FMA2CFull,650,J01,-1839.4
