episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,FMA2CFull,2833081.5,1982371.5,37429.0,38617.0,12535.0,4129.0,-233.90315,127.32165,-1452.4,17.0,0.4085,0.0077,0.2268,0.0747,0.0,0.0,0.0,1080,52.0
2,FMA2CFull,2948490.0,2138714.5,49971.5,39313.0,13347.0,4357.0,-233.71194,117.47058,-1171.0,18.0,0.4163,0.0097,0.2341,0.0764,0.0,0.0,0.0,1080,36.5
3,FMA2CFull,2699093.5,4074586.0,27722.0,44488.0,18187.0,4144.0,-246.15787,125.69568,-1175.0,17.0,0.5991,0.0041,0.2722,0.062,0.0,0.0,0.0,1080,36.9
4,FMA2CFull,3000300.0,2517110.0,36148.5,39942.0,13908.0,4281.0,-236.5638,138.15298,-1347.6,15.0,0.4532,0.0065,0.2393,0.0736,0.0,0.0,0.0,1080,36.8
5,FMA2CFull,2741495.0,121397902.0,25211.0,69054.0,44621.0,3601.0,-1762.38444,1241.00975,-8385.0,18.0,0.9777,0.0002,0.3805,0.0307,0.0,0.0,0.0,1080,47.4
6,FMA2CFull,2782766.0,792153.0,46724.0,34169.0,8501.0,4562.0,-202.78741,101.19322,-1057.4,17.0,0.2187,0.0129,0.18,0.0966,0.0,0.0,0.0,1080,36.1
7,FMA2CFull,2722221.5,1462904.0,32529.5,36696.0,10961.0,4240.0,-218.70213,103.95633,-996.4,16.0,0.3469,0.0077,0.2112,0.0817,0.0,0.0,0.0,1080,36.3
8,FMA2CFull,2434904.0,1224313.5,41384.5,35647.0,9731.0,4621.0,-198.36528,100.59406,-1011.0,18.0,0.3308,0.0112,0.1946,0.0924,0.0,0.0,0.0,1080,35.7
9,FMA2CFull,2440592.5,2867065.5,36471.0,38504.0,13254.0,4111.0,-208.05148,135.47834,-1672.8,18.0,0.5365,0.0068,0.2372,0.0736,0.0,0.0,0.0,1080,36.4
10,FMA2CFull,2601536.5,1456904.0,27283.0,37079.0,10899.0,4011.0,-209.12481,106.33626,-992.2,19.0,0.3566,0.0067,0.2096,0.0772,0.0,0.0,0.0,1080,36.2
11,FMA2CFull,2219136.0,1334204.0,29348.5,36597.0,10659.0,4082.0,-193.50491,85.80314,-922.8,18.0,0.3724,0.0082,0.2076,0.0795,0.0,0.0,0.0,1080,36.0
12,FMA2CFull,2758035.5,1595088.5,28797.0,38158.0,11868.0,3995.0,-218.60694,109.40223,-1118.0,21.0,0.364,0.0066,0.2197,0.074,0.0,0.0,0.0,1080,36.6
13,FMA2CFull,2735015.0,656286.5,25819.5,33604.0,7769.0,3809.0,-198.125,112.28674,-1126.6,18.0,0.1921,0.0076,0.1719,0.0843,0.0,0.0,0.0,1080,35.5
14,FMA2CFull,2526846.0,1280345.5,37794.0,36477.0,10524.0,4505.0,-203.96648,97.29049,-1007.6,18.0,0.333,0.0098,0.2043,0.0875,0.0,0.0,0.0,1080,36.0
15,FMA2CFull,2366283.0,659941.5,46105.5,33096.0,7803.0,4668.0,-179.5225,73.7032,-803.8,16.0,0.2148,0.015,0.1712,0.1024,0.0,0.0,0.0,1080,34.9
16,FMA2CFull,2391130.0,1012373.5,39865.0,33900.0,8441.0,4305.0,-188.59824,112.51572,-1116.4,22.0,0.294,0.0116,0.181,0.0923,0.0,0.0,0.0,1080,36.2
17,FMA2CFull,2458904.5,1164835.0,36485.0,35285.0,9271.0,4242.0,-194.48741,92.50298,-894.0,15.0,0.3182,0.01,0.19,0.0869,0.0,0.0,0.0,1080,35.4
18,FMA2CFull,2588134.0,1802701.0,30435.0,37993.0,11802.0,4182.0,-206.67389,108.091,-1068.6,17.0,0.4077,0.0069,0.2186,0.0775,0.0,0.0,0.0,1080,36.2
19,FMA2CFull,2294299.0,753633.0,40031.5,33868.0,7886.0,4584.0,-182.66,89.61769,-993.0,17.0,0.2441,0.013,0.1702,0.0989,0.0,0.0,0.0,1080,35.6
20,FMA2CFull,2509609.5,932578.5,28926.0,34800.0,9128.0,4051.0,-197.07639,99.87521,-1174.2,18.0,0.2687,0.0083,0.1902,0.0844,0.0,0.0,0.0,1080,35.5
21,FMA2CFull,2927394.5,3664750.0,31839.5,43006.0,16556.0,4028.0,-253.22222,121.15384,-1163.6,19.0,0.5533,0.0048,0.2604,0.0633,0.0,0.0,0.0,1080,37.1
22,FMA2CFull,2524671.0,1728171.0,29426.0,37840.0,11855.0,4102.0,-204.76167,105.56511,-1004.6,17.0,0.4036,0.0069,0.2204,0.0762,0.0,0.0,0.0,1080,36.2
23,FMA2CFull,2446498.5,888167.0,31168.0,34384.0,8405.0,4039.0,-187.83713,94.75489,-1195.0,16.0,0.2639,0.0093,0.1795,0.0863,0.0,0.0,0.0,1080,35.3
24,FMA2CFull,2804809.0,1725704.5,29919.5,38296.0,11544.0,4098.0,-223.12213,113.7103,-1185.2,16.0,0.3784,0.0066,0.214,0.076,0.0,0.0,0.0,1080,36.4
25,FMA2CFull,2500314.0,1201356.5,42579.0,35068.0,9571.0,4337.0,-192.81509,111.96561,-1145.2,18.0,0.3209,0.0114,0.1954,0.0886,0.0,0.0,0.0,1080,35.3
26,FMA2CFull,2612942.5,493849.0,28939.5,32068.0,6608.0,3959.0,-180.55944,96.95448,-1094.0,16.0,0.1575,0.0092,0.155,0.0929,0.0,0.0,0.0,1080,35.3
27,FMA2CFull,2598299.0,697455.0,30307.5,34416.0,8346.0,4146.0,-199.37009,103.46034,-930.6,17.0,0.2097,0.0091,0.1779,0.0884,0.0,0.0,0.0,1080,36.0
28,FMA2CFull,2359245.0,387755.5,29236.0,31550.0,5962.0,3996.0,-174.94028,80.44103,-829.6,18.0,0.1397,0.0105,0.1436,0.0963,0.0,0.0,0.0,1080,35.4
29,FMA2CFull,2248510.5,353782.0,45589.0,31542.0,5658.0,4608.0,-169.21991,80.7881,-907.4,17.0,0.1336,0.0172,0.1353,0.1102,0.0,0.0,0.0,1080,35.1
30,FMA2CFull,2493770.0,1096371.0,32348.0,35727.0,9387.0,4229.0,-198.0363,117.81148,-1190.4,19.0,0.3027,0.0089,0.1902,0.0857,0.0,0.0,0.0,1080,35.8
31,FMA2CFull,2775804.0,1547015.0,29132.0,36855.0,10568.0,4294.0,-215.12537,118.9452,-1289.0,18.0,0.3555,0.0067,0.2043,0.083,0.0,0.0,0.0,1080,35.4
32,FMA2CFull,2423379.0,478133.5,42447.0,32214.0,6491.0,4275.0,-178.24056,84.53286,-786.8,17.0,0.1624,0.0144,0.151,0.0995,0.0,0.0,0.0,1080,35.5
33,FMA2CFull,2097094.5,571745.0,50239.0,32033.0,6871.0,4904.0,-165.22824,83.86269,-939.8,16.0,0.2103,0.0185,0.1568,0.1119,0.0,0.0,0.0,1080,35.0
34,FMA2CFull,2045268.5,501576.0,49572.0,31449.0,6453.0,4626.0,-162.99269,81.017,-744.8,15.0,0.1932,0.0191,0.1517,0.1088,0.0,0.0,0.0,1080,34.0
35,FMA2CFull,2230244.5,461592.0,33644.5,31471.0,6344.0,4201.0,-169.26611,93.73016,-940.4,19.0,0.1694,0.0123,0.151,0.1,0.0,0.0,0.0,1080,35.0
36,FMA2CFull,2281564.5,433316.5,44362.5,31757.0,5916.0,4903.0,-176.87741,100.85267,-1308.8,16.0,0.157,0.0161,0.139,0.1152,0.0,0.0,0.0,1080,35.3
37,FMA2CFull,2386268.0,909110.5,41882.5,33267.0,7868.0,4524.0,-184.83037,101.09221,-1069.8,16.0,0.2724,0.0125,0.1723,0.0991,0.0,0.0,0.0,1080,35.4
38,FMA2CFull,2133518.0,397528.0,41447.5,31463.0,6044.0,4557.0,-166.67731,81.23492,-803.2,16.0,0.1545,0.0161,0.1437,0.1083,0.0,0.0,0.0,1080,34.4
39,FMA2CFull,1951652.5,634602.0,48520.0,32116.0,6993.0,4688.0,-167.51333,86.25767,-929.6,16.0,0.2409,0.0184,0.1597,0.107,0.0,0.0,0.0,1080,34.2
40,FMA2CFull,2356618.5,739741.0,50301.5,33645.0,7595.0,5000.0,-182.68815,94.16721,-1101.8,17.0,0.2351,0.016,0.1643,0.1081,0.0,0.0,0.0,1080,35.5
41,FMA2CFull,2256767.0,837151.0,43697.0,33868.0,7663.0,4780.0,-183.6637,100.6062,-1074.0,17.0,0.2668,0.0139,0.1655,0.1032,0.0,0.0,0.0,1080,35.4
42,FMA2CFull,2234624.0,508307.5,49795.5,32310.0,6665.0,4983.0,-179.88565,98.99311,-1132.2,16.0,0.182,0.0178,0.1516,0.1134,0.0,0.0,0.0,1080,33.5
43,FMA2CFull,2453358.0,784214.0,36371.5,33521.0,7500.0,4550.0,-186.6113,99.54053,-1036.8,15.0,0.2395,0.0111,0.1646,0.0998,0.0,0.0,0.0,1080,34.7
44,FMA2CFull,2242096.0,499720.5,36910.0,32393.0,6200.0,4543.0,-180.96593,86.32602,-915.6,16.0,0.1798,0.0133,0.1437,0.1053,0.0,0.0,0.0,1080,34.7
45,FMA2CFull,2006589.5,224365.5,36087.5,29904.0,4580.0,4452.0,-157.61537,72.381,-756.0,15.0,0.099,0.0159,0.1176,0.1143,0.0,0.0,0.0,1080,34.0
46,FMA2CFull,2062783.0,451014.0,50181.0,30732.0,5805.0,4940.0,-168.45685,88.00685,-972.0,18.0,0.1759,0.0196,0.14,0.1191,0.0,0.0,0.0,1080,33.8
47,FMA2CFull,1832726.5,366282.0,53869.5,30660.0,5759.0,5081.0,-149.96231,71.91729,-873.0,17.0,0.1626,0.0239,0.1388,0.1224,0.0,0.0,0.0,1080,34.1
48,FMA2CFull,2088943.5,385228.5,47069.5,30332.0,5774.0,4625.0,-162.74046,90.43527,-893.2,16.0,0.1528,0.0187,0.1418,0.1135,0.0,0.0,0.0,1080,35.0
49,FMA2CFull,2199154.0,553745.5,82930.5,32529.0,6958.0,5631.0,-180.97019,92.68949,-1017.6,16.0,0.1953,0.0292,0.1542,0.1248,0.0,0.0,0.0,1080,34.5
50,FMA2CFull,2100404.5,430920.5,40021.5,31031.0,5909.0,4726.0,-164.53028,83.77349,-877.6,17.0,0.1676,0.0156,0.1418,0.1134,0.0,0.0,0.0,1080,34.8
51,FMA2CFull,2175511.0,490707.0,40850.5,31942.0,6224.0,4558.0,-178.39639,95.07956,-1010.0,15.0,0.1813,0.0151,0.1457,0.1067,0.0,0.0,0.0,1080,34.5
52,FMA2CFull,2096599.0,646437.0,49745.0,31887.0,7219.0,4777.0,-172.37361,94.43689,-905.6,16.0,0.2315,0.0178,0.1645,0.1089,0.0,0.0,0.0,1080,33.6
53,FMA2CFull,2081262.0,349321.5,51203.0,30963.0,5515.0,4907.0,-166.02417,85.23462,-919.4,17.0,0.1408,0.0206,0.1333,0.1186,0.0,0.0,0.0,1080,33.5
54,FMA2CFull,2123195.5,375330.0,43501.0,30367.0,5527.0,4777.0,-164.57231,86.979,-918.6,16.0,0.1476,0.0171,0.1359,0.1175,0.0,0.0,0.0,1080,33.6
55,FMA2CFull,1917596.0,508637.5,54745.5,30998.0,6215.0,4872.0,-159.13176,74.89164,-867.4,17.0,0.205,0.0221,0.1477,0.1158,0.0,0.0,0.0,1080,33.6
56,FMA2CFull,2033781.0,292138.5,48423.5,29690.0,4980.0,4894.0,-166.8087,102.58798,-1121.8,15.0,0.123,0.0204,0.1259,0.1237,0.0,0.0,0.0,1080,32.7
57,FMA2CFull,2025381.5,679492.5,95639.5,31845.0,7148.0,5401.0,-172.53676,92.89181,-913.8,17.0,0.2426,0.0342,0.161,0.1217,0.0,0.0,0.0,1080,33.7
58,FMA2CFull,2090045.0,778448.0,44178.5,32279.0,7199.0,4879.0,-188.59111,115.71944,-1276.6,16.0,0.2673,0.0152,0.1623,0.11,0.0,0.0,0.0,1080,34.0
59,FMA2CFull,2232703.0,648775.5,38071.5,32800.0,7403.0,4462.0,-178.96981,98.68609,-991.8,17.0,0.2222,0.013,0.1657,0.0999,0.0,0.0,0.0,1080,34.0
60,FMA2CFull,1870491.5,317312.5,59074.5,29738.0,5201.0,5055.0,-152.98759,80.38196,-855.8,18.0,0.1412,0.0263,0.13,0.1264,0.0,0.0,0.0,1080,33.4
61,FMA2CFull,1947484.0,517218.5,51907.5,31023.0,6606.0,5082.0,-160.15574,81.89641,-775.2,18.0,0.2055,0.0206,0.1547,0.119,0.0,0.0,0.0,1080,33.9
62,FMA2CFull,1918654.0,296222.5,51851.5,30082.0,5397.0,5064.0,-155.80194,78.34205,-843.6,18.0,0.1307,0.0229,0.1331,0.1249,0.0,0.0,0.0,1080,33.9
63,FMA2CFull,1869481.0,200297.5,49083.5,28928.0,4123.0,4646.0,-147.68287,78.44891,-948.2,18.0,0.0945,0.0232,0.1094,0.1232,0.0,0.0,0.0,1080,32.7
64,FMA2CFull,1998425.5,422342.0,47683.0,30840.0,5769.0,4970.0,-168.77463,91.14136,-1054.4,16.0,0.1711,0.0193,0.1387,0.1195,0.0,0.0,0.0,1080,33.5
65,FMA2CFull,2216693.5,768266.5,69890.0,32739.0,7796.0,5592.0,-187.16657,101.0258,-886.0,15.0,0.2515,0.0229,0.169,0.1212,0.0,0.0,0.0,1080,33.5
66,FMA2CFull,1950713.0,268991.0,89106.5,28608.0,4915.0,5348.0,-158.60204,95.01718,-984.0,17.0,0.1165,0.0386,0.1264,0.1376,0.0,0.0,0.0,1080,32.9
67,FMA2CFull,1973537.5,306578.0,50993.0,29893.0,5096.0,4913.0,-169.2512,96.26703,-929.6,18.0,0.1315,0.0219,0.1277,0.1231,0.0,0.0,0.0,1080,33.6
68,FMA2CFull,1769468.5,226613.5,36996.5,29157.0,4525.0,4606.0,-149.09861,75.97928,-721.6,17.0,0.1115,0.0182,0.1182,0.1203,0.0,0.0,0.0,1080,32.8
69,FMA2CFull,1846999.5,274037.0,43083.5,29422.0,4885.0,4773.0,-156.04648,92.00592,-1046.0,15.0,0.1266,0.0199,0.125,0.1221,0.0,0.0,0.0,1080,32.8
70,FMA2CFull,2127268.0,305212.0,46818.0,30566.0,4987.0,5018.0,-171.31463,97.06881,-1045.6,16.0,0.1231,0.0189,0.1229,0.1237,0.0,0.0,0.0,1080,33.6
71,FMA2CFull,1767166.0,270511.5,48602.5,28739.0,4834.0,4940.0,-160.41241,95.51027,-1019.8,16.0,0.1297,0.0233,0.1255,0.1283,0.0,0.0,0.0,1080,32.2
72,FMA2CFull,1797154.5,252865.5,65475.0,28636.0,4745.0,5460.0,-152.20759,79.99204,-784.0,15.0,0.1195,0.031,0.1222,0.1406,0.0,0.0,0.0,1080,32.9
73,FMA2CFull,2111356.5,365129.0,53986.5,30677.0,5365.0,5149.0,-184.49074,115.00934,-1120.6,15.0,0.1443,0.0213,0.1302,0.125,0.0,0.0,0.0,1080,33.8
74,FMA2CFull,1993706.0,288296.0,44816.5,29388.0,4930.0,4719.0,-163.55176,82.53971,-897.6,16.0,0.1239,0.0193,0.1263,0.1209,0.0,0.0,0.0,1080,32.9
75,FMA2CFull,1932419.0,889990.5,62252.0,32824.0,8204.0,5236.0,-175.6263,97.802,-913.0,16.0,0.3085,0.0216,0.1773,0.1132,0.0,0.0,0.0,1080,33.2
76,FMA2CFull,1848921.5,261521.0,51217.5,29571.0,4834.0,4925.0,-156.78639,83.18147,-857.2,19.0,0.121,0.0237,0.1229,0.1252,0.0,0.0,0.0,1080,32.5
77,FMA2CFull,1917060.5,298561.0,62395.0,29415.0,4922.0,5513.0,-163.49074,87.34454,-902.2,18.0,0.1311,0.0274,0.1235,0.1383,0.0,0.0,0.0,1080,33.3
78,FMA2CFull,1777333.0,313628.0,59487.0,29242.0,5009.0,5133.0,-154.10204,83.50413,-900.0,18.0,0.1458,0.0277,0.1272,0.1303,0.0,0.0,0.0,1080,32.9
79,FMA2CFull,1847851.5,285253.5,54515.5,29148.0,4953.0,5228.0,-156.31509,91.18343,-860.6,18.0,0.1304,0.0249,0.1259,0.1329,0.0,0.0,0.0,1080,32.4
80,FMA2CFull,1759381.5,330923.5,48455.5,29413.0,5262.0,5191.0,-155.985,83.94582,-839.8,16.0,0.1547,0.0227,0.132,0.1302,0.0,0.0,0.0,1080,32.6
81,FMA2CFull,1829254.0,294115.0,90744.0,28432.0,4895.0,6155.0,-162.67083,89.27993,-755.4,14.0,0.1328,0.041,0.124,0.1559,0.0,0.0,0.0,1080,32.0
82,FMA2CFull,1938082.5,292983.0,61497.0,28934.0,4759.0,5260.0,-164.61417,100.18731,-1002.2,17.0,0.1278,0.0268,0.1222,0.135,0.0,0.0,0.0,1080,32.7
83,FMA2CFull,1708352.5,227888.0,46846.0,28292.0,4423.0,4880.0,-145.9662,68.86161,-766.6,15.0,0.1149,0.0236,0.1176,0.1298,0.0,0.0,0.0,1080,32.7
84,FMA2CFull,1744722.0,184579.5,63050.5,28070.0,3931.0,5910.0,-150.77648,79.86363,-770.0,18.0,0.0926,0.0316,0.1037,0.1559,0.0,0.0,0.0,1080,32.3
85,FMA2CFull,1849673.5,359819.0,54361.0,29692.0,5110.0,5140.0,-162.81065,96.58028,-1034.2,17.0,0.1589,0.024,0.1279,0.1287,0.0,0.0,0.0,1080,32.6
86,FMA2CFull,1810016.0,226256.5,55912.0,28211.0,4192.0,5123.0,-159.63287,83.17368,-798.8,16.0,0.1081,0.0267,0.1117,0.1365,0.0,0.0,0.0,1080,32.5
87,FMA2CFull,1706984.0,230708.0,65245.0,28362.0,4445.0,5501.0,-146.79935,74.06311,-727.6,15.0,0.1152,0.0326,0.116,0.1436,0.0,0.0,0.0,1080,31.7
88,FMA2CFull,1799562.0,289955.0,59717.0,28245.0,4652.0,5578.0,-159.84704,87.97047,-814.8,17.0,0.1349,0.0278,0.1209,0.145,0.0,0.0,0.0,1080,31.9
89,FMA2CFull,1800876.0,263783.0,59424.0,28852.0,4566.0,5226.0,-156.66796,83.11421,-818.0,16.0,0.1242,0.028,0.1182,0.1352,0.0,0.0,0.0,1080,32.3
90,FMA2CFull,2013557.0,451756.5,64961.5,30406.0,5562.0,5784.0,-182.60639,98.40933,-998.6,15.0,0.1785,0.0257,0.1332,0.1385,0.0,0.0,0.0,1080,33.1
91,FMA2CFull,1929794.5,161938.5,47719.0,28775.0,3753.0,4922.0,-152.06944,81.96362,-968.8,17.0,0.0757,0.0223,0.1002,0.1314,0.0,0.0,0.0,1080,32.3
92,FMA2CFull,1969881.0,442553.0,45410.0,30758.0,5752.0,4839.0,-175.90435,96.25908,-851.8,16.0,0.1801,0.0185,0.1391,0.117,0.0,0.0,0.0,1080,33.2
93,FMA2CFull,1911756.0,215341.5,50218.0,29168.0,4267.0,5215.0,-162.54519,87.40166,-862.8,15.0,0.0989,0.0231,0.1104,0.1349,0.0,0.0,0.0,1080,33.3
94,FMA2CFull,2096474.5,378336.0,53590.5,30942.0,5519.0,5368.0,-184.06444,106.715,-990.6,16.0,0.1496,0.0212,0.1319,0.1283,0.0,0.0,0.0,1080,33.5
95,FMA2CFull,1640735.5,239606.5,66311.0,27545.0,4464.0,5668.0,-152.61093,89.35207,-852.8,15.0,0.1231,0.0341,0.1185,0.1504,0.0,0.0,0.0,1080,31.2
96,FMA2CFull,1656735.0,296779.5,67738.0,28878.0,4829.0,5555.0,-155.20602,84.96676,-795.2,14.0,0.1468,0.0335,0.123,0.1415,0.0,0.0,0.0,1080,32.2
97,FMA2CFull,1946765.5,187667.5,58784.5,29222.0,4210.0,5449.0,-161.91722,84.48099,-785.6,15.0,0.0856,0.0268,0.1083,0.1401,0.0,0.0,0.0,1080,32.1
98,FMA2CFull,1891176.5,265780.0,52691.0,29142.0,4634.0,5138.0,-158.33083,89.93777,-879.6,17.0,0.1203,0.0238,0.1191,0.132,0.0,0.0,0.0,1080,32.8
99,FMA2CFull,1917002.0,194206.5,40407.0,28666.0,4060.0,4837.0,-162.54963,78.44767,-803.0,14.0,0.0903,0.0188,0.1081,0.1288,0.0,0.0,0.0,1080,32.6
100,FMA2CFull,1702713.5,166345.0,53262.0,27892.0,3687.0,5490.0,-149.92037,74.58619,-719.2,14.0,0.0865,0.0277,0.0995,0.1481,0.0,0.0,0.0,1080,32.9
