5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.6, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -10.600000000000001, 'top_mgr': 2}, {'J01': 2}, {'J01': 4}, 
20.0, {'J01': -29.200000000000003, 'top_mgr': 0}, {'J01': 4}, {'J01': 9}, 
25.0, {'J01': -46.2, 'top_mgr': 1}, {'J01': 4}, {'J01': 10}, 
30.0, {'J01': -68.6, 'top_mgr': 0}, {'J01': 4}, {'J01': 14}, 
35.0, {'J01': -70.39999999999999, 'top_mgr': 3}, {'J01': 5}, {'J01': 15}, 
40.0, {'J01': -70.19999999999999, 'top_mgr': 4}, {'J01': 6}, {'J01': 16}, 
45.0, {'J01': -97.79999999999998, 'top_mgr': 1}, {'J01': 7}, {'J01': 24}, 
50.0, {'J01': -125.20000000000002, 'top_mgr': 4}, {'J01': 7}, {'J01': 25}, 
55.0, {'J01': -164.2, 'top_mgr': 2}, {'J01': 7}, {'J01': 27}, 
60.0, {'J01': -211.2, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
65.0, {'J01': -223.79999999999998, 'top_mgr': 3}, {'J01': 7}, {'J01': 32}, 
70.0, {'J01': -181.8, 'top_mgr': 10}, {'J01': 5}, {'J01': 23}, 
75.0, {'J01': -184.0, 'top_mgr': 7}, {'J01': 5}, {'J01': 19}, 
80.0, {'J01': -222.0, 'top_mgr': 1}, {'J01': 5}, {'J01': 21}, 
85.0, {'J01': -242.20000000000005, 'top_mgr': 2}, {'J01': 7}, {'J01': 23}, 
90.0, {'J01': -278.0, 'top_mgr': 2}, {'J01': 7}, {'J01': 26}, 
95.0, {'J01': -305.40000000000003, 'top_mgr': 4}, {'J01': 7}, {'J01': 25}, 
100.0, {'J01': -311.8, 'top_mgr': 2}, {'J01': 7}, {'J01': 27}, 
105.0, {'J01': -357.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 33}, 
110.0, {'J01': -366.6, 'top_mgr': 1}, {'J01': 7}, {'J01': 34}, 
115.0, {'J01': -405.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 36}, 
120.0, {'J01': -339.0, 'top_mgr': 6}, {'J01': 7}, {'J01': 31}, 
125.0, {'J01': -343.19999999999993, 'top_mgr': 6}, {'J01': 7}, {'J01': 28}, 
130.0, {'J01': -376.8, 'top_mgr': 1}, {'J01': 7}, {'J01': 30}, 
135.0, {'J01': -418.8, 'top_mgr': 0}, {'J01': 7}, {'J01': 34}, 
140.0, {'J01': -466.0, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
145.0, {'J01': -507.2, 'top_mgr': 2}, {'J01': 8}, {'J01': 41}, 
150.0, {'J01': -552.2, 'top_mgr': 0}, {'J01': 9}, {'J01': 42}, 
155.0, {'J01': -597.2, 'top_mgr': 0}, {'J01': 9}, {'J01': 43}, 
160.0, {'J01': -599.4000000000001, 'top_mgr': 5}, {'J01': 9}, {'J01': 40}, 
165.0, {'J01': -619.8000000000001, 'top_mgr': 2}, {'J01': 9}, {'J01': 44}, 
170.0, {'J01': -660.6, 'top_mgr': 1}, {'J01': 10}, {'J01': 45}, 
175.0, {'J01': -636.0, 'top_mgr': 9}, {'J01': 8}, {'J01': 41}, 
180.0, {'J01': -545.2000000000002, 'top_mgr': 10}, {'J01': 6}, {'J01': 31}, 
185.0, {'J01': -574.6, 'top_mgr': 1}, {'J01': 6}, {'J01': 33}, 
190.0, {'J01': -615.0000000000001, 'top_mgr': 0}, {'J01': 7}, {'J01': 40}, 
195.0, {'J01': -624.4000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 42}, 
200.0, {'J01': -570.0, 'top_mgr': 6}, {'J01': 8}, {'J01': 39}, 
205.0, {'J01': -560.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
210.0, {'J01': -556.2, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
215.0, {'J01': -547.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 33}, 
220.0, {'J01': -550.6, 'top_mgr': 3}, {'J01': 10}, {'J01': 35}, 
225.0, {'J01': -537.8000000000001, 'top_mgr': 3}, {'J01': 10}, {'J01': 37}, 
230.0, {'J01': -569.8000000000001, 'top_mgr': 1}, {'J01': 10}, {'J01': 39}, 
235.0, {'J01': -604.8000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 42}, 
240.0, {'J01': -636.8000000000001, 'top_mgr': 0}, {'J01': 10}, {'J01': 42}, 
245.0, {'J01': -661.4, 'top_mgr': 3}, {'J01': 11}, {'J01': 41}, 
250.0, {'J01': -671.2, 'top_mgr': 2}, {'J01': 11}, {'J01': 41}, 
255.0, {'J01': -708.6, 'top_mgr': 0}, {'J01': 12}, {'J01': 46}, 
