episode,agent,decision,signal_id,reward
1,FMA2CVAL,50,J01,-707.8
1,FMA2CVAL,50,top_mgr,2.0
1,FMA2CVAL,100,J01,-672.6
1,FMA2CVAL,100,top_mgr,2.0
1,FMA2CVAL,150,J01,-740.6
1,FMA2CVAL,150,top_mgr,2.0
1,FMA2CVAL,200,J01,-567.4
1,FMA2CVAL,200,top_mgr,10.0
1,FMA2CVAL,250,J01,-515.6
1,FMA2CVAL,250,top_mgr,9.0
1,FMA2CVAL,300,J01,-626.2
1,FMA2CVAL,300,top_mgr,4.0
1,FMA2CVAL,350,J01,-373.2
1,FMA2CVAL,350,top_mgr,2.0
1,FMA2CVAL,400,J01,-271.6
1,FMA2CVAL,400,top_mgr,6.0
1,FMA2CVAL,450,J01,-237.2
1,FMA2CVAL,450,top_mgr,5.0
1,FMA2CVAL,500,J01,-621.0
1,FMA2CVAL,500,top_mgr,5.0
1,FMA2CVAL,550,J01,-1457.2
1,FMA2CVAL,550,top_mgr,4.0
1,FMA2CVAL,600,J01,-1065.6
1,FMA2CVAL,600,top_mgr,11.0
1,FMA2CVAL,650,J01,-471.8
1,FMA2CVAL,650,top_mgr,1.0
1,FMA2CVAL,700,J01,-772.8
1,FMA2CVAL,700,top_mgr,0.0
1,FMA2CVAL,750,J01,-559.8
1,FMA2CVAL,750,top_mgr,0.0
1,FMA2CVAL,800,J01,-254.4
1,FMA2CVAL,800,top_mgr,1.0
1,FMA2CVAL,850,J01,-315.2
1,FMA2CVAL,850,top_mgr,1.0
1,FMA2CVAL,900,J01,-295.6
1,FMA2CVAL,900,top_mgr,5.0
1,FMA2CVAL,950,J01,-88.4
1,FMA2CVAL,950,top_mgr,5.0
1,FMA2CVAL,1000,J01,-338.2
1,FMA2CVAL,1000,top_mgr,1.0
1,FMA2CVAL,1050,J01,-243.6
1,FMA2CVAL,1050,top_mgr,0.0
2,FMA2CVAL,50,J01,-794.8
2,FMA2CVAL,50,top_mgr,0.0
2,FMA2CVAL,100,J01,-413.8
2,FMA2CVAL,100,top_mgr,3.0
2,FMA2CVAL,150,J01,-433.6
2,FMA2CVAL,150,top_mgr,0.0
2,FMA2CVAL,200,J01,-627.4
2,FMA2CVAL,200,top_mgr,1.0
2,FMA2CVAL,250,J01,-502.8
2,FMA2CVAL,250,top_mgr,1.0
2,FMA2CVAL,300,J01,-430.6
2,FMA2CVAL,300,top_mgr,1.0
2,FMA2CVAL,350,J01,-279.8
2,FMA2CVAL,350,top_mgr,7.0
2,FMA2CVAL,400,J01,-248.2
2,FMA2CVAL,400,top_mgr,0.0
2,FMA2CVAL,450,J01,-296.2
2,FMA2CVAL,450,top_mgr,15.0
2,FMA2CVAL,500,J01,-642.2
2,FMA2CVAL,500,top_mgr,1.0
2,FMA2CVAL,550,J01,-1081.2
2,FMA2CVAL,550,top_mgr,12.0
2,FMA2CVAL,600,J01,-1319.2
2,FMA2CVAL,600,top_mgr,0.0
2,FMA2CVAL,650,J01,-678.0
2,FMA2CVAL,650,top_mgr,0.0
2,FMA2CVAL,700,J01,-475.6
2,FMA2CVAL,700,top_mgr,5.0
2,FMA2CVAL,750,J01,-106.6
2,FMA2CVAL,750,top_mgr,3.0
2,FMA2CVAL,800,J01,-259.8
2,FMA2CVAL,800,top_mgr,0.0
2,FMA2CVAL,850,J01,-183.6
2,FMA2CVAL,850,top_mgr,4.0
2,FMA2CVAL,900,J01,-198.2
2,FMA2CVAL,900,top_mgr,4.0
2,FMA2CVAL,950,J01,-512.8
2,FMA2CVAL,950,top_mgr,2.0
2,FMA2CVAL,1000,J01,-277.4
2,FMA2CVAL,1000,top_mgr,0.0
2,FMA2CVAL,1050,J01,-140.6
2,FMA2CVAL,1050,top_mgr,5.0
3,FMA2CVAL,50,J01,-575.4
3,FMA2CVAL,50,top_mgr,1.0
3,FMA2CVAL,100,J01,-279.8
3,FMA2CVAL,100,top_mgr,9.0
3,FMA2CVAL,150,J01,-142.8
3,FMA2CVAL,150,top_mgr,2.0
3,FMA2CVAL,200,J01,-397.6
3,FMA2CVAL,200,top_mgr,3.0
3,FMA2CVAL,250,J01,-478.0
3,FMA2CVAL,250,top_mgr,6.0
3,FMA2CVAL,300,J01,-447.0
3,FMA2CVAL,300,top_mgr,2.0
3,FMA2CVAL,350,J01,-321.4
3,FMA2CVAL,350,top_mgr,6.0
3,FMA2CVAL,400,J01,-209.0
3,FMA2CVAL,400,top_mgr,5.0
3,FMA2CVAL,450,J01,-359.2
3,FMA2CVAL,450,top_mgr,2.0
3,FMA2CVAL,500,J01,-722.0
3,FMA2CVAL,500,top_mgr,0.0
3,FMA2CVAL,550,J01,-593.8
3,FMA2CVAL,550,top_mgr,3.0
3,FMA2CVAL,600,J01,-416.0
3,FMA2CVAL,600,top_mgr,5.0
3,FMA2CVAL,650,J01,-878.2
3,FMA2CVAL,650,top_mgr,7.0
3,FMA2CVAL,700,J01,-707.8
3,FMA2CVAL,700,top_mgr,1.0
3,FMA2CVAL,750,J01,-551.6
3,FMA2CVAL,750,top_mgr,2.0
3,FMA2CVAL,800,J01,-496.0
3,FMA2CVAL,800,top_mgr,4.0
3,FMA2CVAL,850,J01,-624.6
3,FMA2CVAL,850,top_mgr,8.0
3,FMA2CVAL,900,J01,-870.6
3,FMA2CVAL,900,top_mgr,3.0
3,FMA2CVAL,950,J01,-1312.4
3,FMA2CVAL,950,top_mgr,7.0
3,FMA2CVAL,1000,J01,-1465.0
3,FMA2CVAL,1000,top_mgr,0.0
3,FMA2CVAL,1050,J01,-1636.0
3,FMA2CVAL,1050,top_mgr,5.0
4,FMA2CVAL,50,J01,-423.4
4,FMA2CVAL,50,top_mgr,0.0
4,FMA2CVAL,100,J01,-656.4
4,FMA2CVAL,100,top_mgr,3.0
4,FMA2CVAL,150,J01,-433.0
4,FMA2CVAL,150,top_mgr,3.0
4,FMA2CVAL,200,J01,-772.6
4,FMA2CVAL,200,top_mgr,2.0
4,FMA2CVAL,250,J01,-291.4
4,FMA2CVAL,250,top_mgr,2.0
4,FMA2CVAL,300,J01,-728.6
4,FMA2CVAL,300,top_mgr,2.0
4,FMA2CVAL,350,J01,-340.8
4,FMA2CVAL,350,top_mgr,0.0
4,FMA2CVAL,400,J01,-168.8
4,FMA2CVAL,400,top_mgr,4.0
4,FMA2CVAL,450,J01,-345.0
4,FMA2CVAL,450,top_mgr,7.0
4,FMA2CVAL,500,J01,-700.8
4,FMA2CVAL,500,top_mgr,0.0
4,FMA2CVAL,550,J01,-281.2
4,FMA2CVAL,550,top_mgr,6.0
4,FMA2CVAL,600,J01,-405.6
4,FMA2CVAL,600,top_mgr,1.0
4,FMA2CVAL,650,J01,-769.8
4,FMA2CVAL,650,top_mgr,3.0
4,FMA2CVAL,700,J01,-1270.4
4,FMA2CVAL,700,top_mgr,3.0
4,FMA2CVAL,750,J01,-740.4
4,FMA2CVAL,750,top_mgr,2.0
4,FMA2CVAL,800,J01,-528.8
4,FMA2CVAL,800,top_mgr,2.0
4,FMA2CVAL,850,J01,-125.2
4,FMA2CVAL,850,top_mgr,4.0
4,FMA2CVAL,900,J01,-157.2
4,FMA2CVAL,900,top_mgr,7.0
4,FMA2CVAL,950,J01,-310.0
4,FMA2CVAL,950,top_mgr,6.0
4,FMA2CVAL,1000,J01,-184.8
4,FMA2CVAL,1000,top_mgr,2.0
4,FMA2CVAL,1050,J01,-194.4
4,FMA2CVAL,1050,top_mgr,5.0
5,FMA2CVAL,50,J01,-175.8
5,FMA2CVAL,50,top_mgr,1.0
5,FMA2CVAL,100,J01,-900.2
5,FMA2CVAL,100,top_mgr,0.0
5,FMA2CVAL,150,J01,-411.8
5,FMA2CVAL,150,top_mgr,9.0
5,FMA2CVAL,200,J01,-468.4
5,FMA2CVAL,200,top_mgr,5.0
5,FMA2CVAL,250,J01,-283.0
5,FMA2CVAL,250,top_mgr,1.0
5,FMA2CVAL,300,J01,-501.0
5,FMA2CVAL,300,top_mgr,1.0
5,FMA2CVAL,350,J01,-749.6
5,FMA2CVAL,350,top_mgr,1.0
5,FMA2CVAL,400,J01,-423.0
5,FMA2CVAL,400,top_mgr,6.0
5,FMA2CVAL,450,J01,-473.2
5,FMA2CVAL,450,top_mgr,1.0
5,FMA2CVAL,500,J01,-340.6
5,FMA2CVAL,500,top_mgr,3.0
5,FMA2CVAL,550,J01,-598.4
5,FMA2CVAL,550,top_mgr,3.0
5,FMA2CVAL,600,J01,-640.8
5,FMA2CVAL,600,top_mgr,0.0
5,FMA2CVAL,650,J01,-611.0
5,FMA2CVAL,650,top_mgr,3.0
5,FMA2CVAL,700,J01,-514.8
5,FMA2CVAL,700,top_mgr,2.0
5,FMA2CVAL,750,J01,-322.2
5,FMA2CVAL,750,top_mgr,0.0
5,FMA2CVAL,800,J01,-65.4
5,FMA2CVAL,800,top_mgr,4.0
5,FMA2CVAL,850,J01,-209.6
5,FMA2CVAL,850,top_mgr,2.0
5,FMA2CVAL,900,J01,-408.2
5,FMA2CVAL,900,top_mgr,0.0
5,FMA2CVAL,950,J01,-202.2
5,FMA2CVAL,950,top_mgr,4.0
5,FMA2CVAL,1000,J01,-441.0
5,FMA2CVAL,1000,top_mgr,1.0
5,FMA2CVAL,1050,J01,-139.6
5,FMA2CVAL,1050,top_mgr,0.0
6,FMA2CVAL,50,J01,-679.6
6,FMA2CVAL,50,top_mgr,5.0
6,FMA2CVAL,100,J01,-496.8
6,FMA2CVAL,100,top_mgr,2.0
6,FMA2CVAL,150,J01,-530.4
