5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.046875)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.100446425)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.20982143)}, {'J8': 3}, {'J8': 4}, 
35.0, {'J8': np.float32(-0.38839287)}, {'J8': 3}, {'J8': 4}, 
40.0, {'J8': np.float32(-0.42410713)}, {'J8': 2}, {'J8': 3}, 
45.0, {'J8': np.float32(-0.27232143)}, {'J8': 1}, {'J8': 2}, 
50.0, {'J8': np.float32(-0.31919643)}, {'J8': 1}, {'J8': 2}, 
55.0, {'J8': np.float32(-0.36607143)}, {'J8': 1}, {'J8': 2}, 
60.0, {'J8': np.float32(-0.4419643)}, {'J8': 3}, {'J8': 4}, 
65.0, {'J8': np.float32(-0.65848213)}, {'J8': 4}, {'J8': 6}, 
70.0, {'J8': np.float32(-0.828125)}, {'J8': 4}, {'J8': 5}, 
75.0, {'J8': np.float32(-0.9441964)}, {'J8': 4}, {'J8': 4}, 
80.0, {'J8': np.float32(-1.1227678)}, {'J8': 4}, {'J8': 4}, 
85.0, {'J8': np.float32(-1.3125)}, {'J8': 4}, {'J8': 6}, 
90.0, {'J8': np.float32(-1.6160715)}, {'J8': 4}, {'J8': 10}, 
95.0, {'J8': np.float32(-1.9709822)}, {'J8': 4}, {'J8': 10}, 
100.0, {'J8': np.float32(-2.171875)}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': np.float32(-2.1919644)}, {'J8': 5}, {'J8': 7}, 
110.0, {'J8': np.float32(-2.5044644)}, {'J8': 5}, {'J8': 7}, 
115.0, {'J8': np.float32(-2.8504465)}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': np.float32(-3.252232)}, {'J8': 5}, {'J8': 9}, 
125.0, {'J8': np.float32(-3.3348215)}, {'J8': 5}, {'J8': 8}, 
130.0, {'J8': np.float32(-3.450893)}, {'J8': 5}, {'J8': 7}, 
135.0, {'J8': np.float32(-3.7745535)}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 7}, 
155.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 7}, 
