5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0066964286)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.10714286)}, {'J01': 2}, {'J01': 5}, 
20.0, {'J01': np.float32(-0.36160713)}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': np.float32(-0.67633927)}, {'J01': 4}, {'J01': 8}, 
30.0, {'J01': np.float32(-1.0334822)}, {'J01': 4}, {'J01': 8}, 
35.0, {'J01': np.float32(-0.79241073)}, {'J01': 2}, {'J01': 7}, 
40.0, {'J01': np.float32(-1.0)}, {'J01': 2}, {'J01': 6}, 
45.0, {'J01': np.float32(-1.3013393)}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': np.float32(-1.3928572)}, {'J01': 3}, {'J01': 12}, 
55.0, {'J01': np.float32(-2.03125)}, {'J01': 3}, {'J01': 21}, 
60.0, {'J01': np.float32(-2.6875)}, {'J01': 5}, {'J01': 27}, 
65.0, {'J01': np.float32(-3.7544644)}, {'J01': 6}, {'J01': 29}, 
70.0, {'J01': np.float32(-3.2232144)}, {'J01': 7}, {'J01': 26}, 
75.0, {'J01': np.float32(-3.1919644)}, {'J01': 8}, {'J01': 30}, 
80.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
85.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 36}, 
90.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 36}, 
95.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
100.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 33}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 37}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 39}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 41}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 42}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 45}, 
140.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 48}, 
145.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 49}, 
150.0, {'J01': np.float32(-4.0)}, {'J01': 10}, {'J01': 52}, 
155.0, {'J01': np.float32(-4.0)}, {'J01': 10}, {'J01': 52}, 
160.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 55}, 
165.0, {'J01': np.float32(-4.0)}, {'J01': 14}, {'J01': 58}, 
170.0, {'J01': np.float32(-4.0)}, {'J01': 14}, {'J01': 54}, 
175.0, {'J01': np.float32(-4.0)}, {'J01': 16}, {'J01': 52}, 
180.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 53}, 
185.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 53}, 
190.0, {'J01': np.float32(-4.0)}, {'J01': 17}, {'J01': 55}, 
195.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 53}, 
200.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 46}, 
205.0, {'J01': np.float32(-4.0)}, {'J01': 16}, {'J01': 36}, 
210.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 27}, 
215.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 23}, 
220.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 26}, 
225.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 35}, 
230.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 43}, 
235.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 46}, 
240.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 47}, 
245.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 50}, 
250.0, {'J01': np.float32(-4.0)}, {'J01': 12}, {'J01': 47}, 
255.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 43}, 
260.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 43}, 
265.0, {'J01': np.float32(-4.0)}, {'J01': 14}, {'J01': 45}, 
270.0, {'J01': np.float32(-4.0)}, {'J01': 16}, {'J01': 48}, 
275.0, {'J01': np.float32(-4.0)}, {'J01': 16}, {'J01': 51}, 
280.0, {'J01': np.float32(-4.0)}, {'J01': 14}, {'J01': 48}, 
285.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
290.0, {'J01': np.float32(-4.0)}, {'J01': 5}, {'J01': 22}, 
295.0, {'J01': np.float32(-4.0)}, {'J01': 4}, {'J01': 21}, 
300.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 30}, 
305.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 37}, 
310.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 40}, 
315.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 42}, 
