episode,agent,decision,signal_id,reward
1,IDQN,50,J01,-4.0
1,IDQN,100,J01,-4.0
1,IDQN,150,J01,-4.0
1,IDQN,200,J01,-4.0
1,IDQN,250,J01,-4.0
1,IDQN,300,J01,-4.0
1,IDQN,350,J01,-4.0
1,IDQN,400,J01,-4.0
1,IDQN,450,J01,-4.0
1,IDQN,500,J01,-4.0
1,IDQN,550,J01,-4.0
1,IDQN,600,J01,-4.0
1,IDQN,650,J01,-4.0
1,IDQN,700,J01,-4.0
1,IDQN,750,J01,-4.0
1,IDQN,800,J01,-4.0
1,IDQN,850,J01,-4.0
1,IDQN,900,J01,-4.0
1,IDQN,950,J01,-4.0
1,IDQN,1000,J01,-4.0
1,IDQN,1050,J01,-4.0
2,IDQN,50,J01,-4.0
2,IDQN,100,J01,-4.0
2,IDQN,150,J01,-4.0
2,IDQN,200,J01,-4.0
2,IDQN,250,J01,-4.0
2,IDQN,300,J01,-4.0
2,IDQN,350,J01,-4.0
2,IDQN,400,J01,-4.0
2,IDQN,450,J01,-4.0
2,IDQN,500,J01,-4.0
2,IDQN,550,J01,-4.0
2,IDQN,600,J01,-4.0
2,IDQN,650,J01,-4.0
2,IDQN,700,J01,-4.0
2,IDQN,750,J01,-4.0
2,IDQN,800,J01,-4.0
2,IDQN,850,J01,-4.0
2,IDQN,900,J01,-4.0
2,IDQN,950,J01,-4.0
2,IDQN,1000,J01,-4.0
2,IDQN,1050,J01,-4.0
3,IDQN,50,J01,-4.0
3,IDQN,100,J01,-4.0
3,IDQN,150,J01,-4.0
3,IDQN,200,J01,-4.0
3,IDQN,250,J01,-4.0
3,IDQN,300,J01,-4.0
3,IDQN,350,J01,-4.0
3,IDQN,400,J01,-4.0
3,IDQN,450,J01,-4.0
3,IDQN,500,J01,-4.0
3,IDQN,550,J01,-4.0
3,IDQN,600,J01,-4.0
3,IDQN,650,J01,-4.0
3,IDQN,700,J01,-4.0
3,IDQN,750,J01,-4.0
3,IDQN,800,J01,-4.0
3,IDQN,850,J01,-4.0
3,IDQN,900,J01,-4.0
3,IDQN,950,J01,-4.0
3,IDQN,1000,J01,-4.0
3,IDQN,1050,J01,-4.0
4,IDQN,50,J01,-4.0
