5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-7.5)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-9.0)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-9.5)}, {'J8': 1}, {'J8': 2}, 
35.0, {'J8': np.float32(-20.0)}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': np.float32(-27.0)}, {'J8': 2}, {'J8': 4}, 
45.0, {'J8': np.float32(-29.0)}, {'J8': 3}, {'J8': 5}, 
50.0, {'J8': np.float32(-32.0)}, {'J8': 4}, {'J8': 6}, 
55.0, {'J8': np.float32(-66.5)}, {'J8': 4}, {'J8': 9}, 
60.0, {'J8': np.float32(-104.0)}, {'J8': 6}, {'J8': 13}, 
65.0, {'J8': np.float32(-104.0)}, {'J8': 7}, {'J8': 14}, 
70.0, {'J8': np.float32(-43.5)}, {'J8': 7}, {'J8': 11}, 
75.0, {'J8': np.float32(-23.0)}, {'J8': 7}, {'J8': 12}, 
80.0, {'J8': np.float32(82.0)}, {'J8': 4}, {'J8': 11}, 
85.0, {'J8': np.float32(-60.0)}, {'J8': 4}, {'J8': 11}, 
90.0, {'J8': np.float32(-110.0)}, {'J8': 4}, {'J8': 11}, 
95.0, {'J8': np.float32(-111.0)}, {'J8': 4}, {'J8': 12}, 
100.0, {'J8': np.float32(-124.5)}, {'J8': 6}, {'J8': 14}, 
105.0, {'J8': np.float32(-52.0)}, {'J8': 6}, {'J8': 15}, 
110.0, {'J8': np.float32(-59.0)}, {'J8': 5}, {'J8': 14}, 
115.0, {'J8': np.float32(-140.0)}, {'J8': 5}, {'J8': 14}, 
120.0, {'J8': np.float32(-142.0)}, {'J8': 6}, {'J8': 15}, 
125.0, {'J8': np.float32(-151.0)}, {'J8': 7}, {'J8': 16}, 
130.0, {'J8': np.float32(-48.5)}, {'J8': 7}, {'J8': 15}, 
135.0, {'J8': np.float32(-40.0)}, {'J8': 8}, {'J8': 15}, 
140.0, {'J8': np.float32(-29.0)}, {'J8': 8}, {'J8': 14}, 
145.0, {'J8': np.float32(-17.0)}, {'J8': 8}, {'J8': 14}, 
150.0, {'J8': np.float32(6.0)}, {'J8': 7}, {'J8': 16}, 
155.0, {'J8': np.float32(-39.0)}, {'J8': 6}, {'J8': 15}, 
160.0, {'J8': np.float32(-150.0)}, {'J8': 6}, {'J8': 15}, 
165.0, {'J8': np.float32(-16.0)}, {'J8': 5}, {'J8': 14}, 
170.0, {'J8': np.float32(52.0)}, {'J8': 5}, {'J8': 12}, 
175.0, {'J8': np.float32(36.5)}, {'J8': 5}, {'J8': 9}, 
180.0, {'J8': np.float32(58.0)}, {'J8': 5}, {'J8': 10}, 
185.0, {'J8': np.float32(28.5)}, {'J8': 5}, {'J8': 11}, 
190.0, {'J8': np.float32(-91.5)}, {'J8': 5}, {'J8': 11}, 
195.0, {'J8': np.float32(-93.0)}, {'J8': 6}, {'J8': 12}, 
200.0, {'J8': np.float32(-129.0)}, {'J8': 7}, {'J8': 15}, 
205.0, {'J8': np.float32(-155.5)}, {'J8': 8}, {'J8': 17}, 
210.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
215.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
220.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
225.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
230.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
235.0, {'J8': np.float32(51.0)}, {'J8': 7}, {'J8': 16}, 
240.0, {'J8': np.float32(164.0)}, {'J8': 6}, {'J8': 14}, 
245.0, {'J8': np.float32(130.5)}, {'J8': 6}, {'J8': 11}, 
250.0, {'J8': np.float32(11.5)}, {'J8': 5}, {'J8': 11}, 
255.0, {'J8': np.float32(40.0)}, {'J8': 5}, {'J8': 11}, 
260.0, {'J8': np.float32(-118.5)}, {'J8': 5}, {'J8': 13}, 
265.0, {'J8': np.float32(-135.5)}, {'J8': 6}, {'J8': 15}, 
270.0, {'J8': np.float32(0.5)}, {'J8': 6}, {'J8': 15}, 
275.0, {'J8': np.float32(306.0)}, {'J8': 5}, {'J8': 12}, 
280.0, {'J8': np.float32(-86.5)}, {'J8': 5}, {'J8': 11}, 
285.0, {'J8': np.float32(-110.5)}, {'J8': 5}, {'J8': 12}, 
290.0, {'J8': np.float32(-40.5)}, {'J8': 5}, {'J8': 12}, 
