5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': np.float32(-0.042410713)}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': np.float32(-0.13839285)}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': np.float32(-0.21428572)}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': np.float32(-0.3392857)}, {'J01': 3}, {'J01': 10}, 
40.0, {'J01': np.float32(-0.45535713)}, {'J01': 4}, {'J01': 15}, 
45.0, {'J01': np.float32(-0.17410715)}, {'J01': 5}, {'J01': 17}, 
50.0, {'J01': np.float32(-0.6964286)}, {'J01': 6}, {'J01': 19}, 
55.0, {'J01': np.float32(-0.90178573)}, {'J01': 7}, {'J01': 22}, 
60.0, {'J01': np.float32(-1.0245535)}, {'J01': 8}, {'J01': 26}, 
65.0, {'J01': np.float32(-1.1607143)}, {'J01': 8}, {'J01': 26}, 
70.0, {'J01': np.float32(-0.57366073)}, {'J01': 8}, {'J01': 24}, 
75.0, {'J01': np.float32(-0.9620536)}, {'J01': 8}, {'J01': 25}, 
80.0, {'J01': np.float32(-1.1383928)}, {'J01': 8}, {'J01': 27}, 
85.0, {'J01': np.float32(-1.2209822)}, {'J01': 8}, {'J01': 28}, 
90.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
95.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
100.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
105.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
110.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
115.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
120.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
125.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
130.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
135.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
140.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
145.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
150.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
155.0, {'J01': np.float32(-1.25)}, {'J01': 8}, {'J01': 28}, 
160.0, {'J01': np.float32(3.482143)}, {'J01': 7}, {'J01': 24}, 
165.0, {'J01': np.float32(3.544643)}, {'J01': 6}, {'J01': 20}, 
170.0, {'J01': np.float32(3.7455356)}, {'J01': 5}, {'J01': 16}, 
175.0, {'J01': np.float32(4.0)}, {'J01': 4}, {'J01': 10}, 
180.0, {'J01': np.float32(3.9263394)}, {'J01': 4}, {'J01': 7}, 
185.0, {'J01': np.float32(-0.27455357)}, {'J01': 4}, {'J01': 10}, 
190.0, {'J01': np.float32(-0.515625)}, {'J01': 4}, {'J01': 18}, 
195.0, {'J01': np.float32(-0.42410713)}, {'J01': 4}, {'J01': 14}, 
200.0, {'J01': np.float32(0.13616072)}, {'J01': 4}, {'J01': 7}, 
205.0, {'J01': np.float32(-0.3325893)}, {'J01': 4}, {'J01': 8}, 
210.0, {'J01': np.float32(-0.37723213)}, {'J01': 4}, {'J01': 9}, 
215.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
220.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
225.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
230.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
235.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
240.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
245.0, {'J01': np.float32(0.3861607)}, {'J01': 4}, {'J01': 8}, 
250.0, {'J01': np.float32(0.002232143)}, {'J01': 4}, {'J01': 9}, 
255.0, {'J01': np.float32(-0.42410713)}, {'J01': 4}, {'J01': 12}, 
260.0, {'J01': np.float32(-0.57589287)}, {'J01': 4}, {'J01': 15}, 
265.0, {'J01': np.float32(-0.72321427)}, {'J01': 5}, {'J01': 20}, 
270.0, {'J01': np.float32(-0.0066964286)}, {'J01': 4}, {'J01': 15}, 
275.0, {'J01': np.float32(0.37276787)}, {'J01': 4}, {'J01': 7}, 
280.0, {'J01': np.float32(-0.17410715)}, {'J01': 4}, {'J01': 6}, 
285.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
290.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
295.0, {'J01': np.float32(-0.2857143)}, {'J01': 4}, {'J01': 8}, 
300.0, {'J01': np.float32(-0.359375)}, {'J01': 4}, {'J01': 9}, 
305.0, {'J01': np.float32(-0.4330357)}, {'J01': 4}, {'J01': 12}, 
310.0, {'J01': np.float32(-0.58258927)}, {'J01': 4}, {'J01': 16}, 
315.0, {'J01': np.float32(-0.7589286)}, {'J01': 5}, {'J01': 19}, 
320.0, {'J01': np.float32(-0.89285713)}, {'J01': 5}, {'J01': 22}, 
325.0, {'J01': np.float32(-0.99553573)}, {'J01': 6}, {'J01': 23}, 
330.0, {'J01': np.float32(0.29017857)}, {'J01': 6}, {'J01': 20}, 
335.0, {'J01': np.float32(-0.09598214)}, {'J01': 5}, {'J01': 17}, 
340.0, {'J01': np.float32(-0.8035714)}, {'J01': 5}, {'J01': 21}, 
345.0, {'J01': np.float32(0.16964285)}, {'J01': 6}, {'J01': 21}, 
350.0, {'J01': np.float32(1.1517857)}, {'J01': 4}, {'J01': 11}, 
355.0, {'J01': np.float32(-0.2767857)}, {'J01': 4}, {'J01': 12}, 
360.0, {'J01': np.float32(-0.5714286)}, {'J01': 4}, {'J01': 18}, 
365.0, {'J01': np.float32(-0.84598213)}, {'J01': 5}, {'J01': 21}, 
370.0, {'J01': np.float32(-1.0111607)}, {'J01': 7}, {'J01': 26}, 
375.0, {'J01': np.float32(-1.1607143)}, {'J01': 7}, {'J01': 26}, 
380.0, {'J01': np.float32(-1.1785715)}, {'J01': 8}, {'J01': 27}, 
385.0, {'J01': np.float32(0.06473214)}, {'J01': 7}, {'J01': 24}, 
390.0, {'J01': np.float32(1.8504465)}, {'J01': 4}, {'J01': 15}, 
395.0, {'J01': np.float32(0.33035713)}, {'J01': 4}, {'J01': 11}, 
400.0, {'J01': np.float32(0.40401787)}, {'J01': 4}, {'J01': 7}, 
405.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
410.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
415.0, {'J01': np.float32(-0.084821425)}, {'J01': 4}, {'J01': 7}, 
420.0, {'J01': np.float32(-0.34151787)}, {'J01': 4}, {'J01': 10}, 
425.0, {'J01': np.float32(-0.46875)}, {'J01': 4}, {'J01': 13}, 
430.0, {'J01': np.float32(-0.61383927)}, {'J01': 4}, {'J01': 16}, 
435.0, {'J01': np.float32(-0.76116073)}, {'J01': 5}, {'J01': 20}, 
440.0, {'J01': np.float32(-0.14285715)}, {'J01': 5}, {'J01': 16}, 
445.0, {'J01': np.float32(0.45982143)}, {'J01': 4}, {'J01': 9}, 
450.0, {'J01': np.float32(-0.069196425)}, {'J01': 4}, {'J01': 7}, 
455.0, {'J01': np.float32(-0.32589287)}, {'J01': 4}, {'J01': 8}, 
460.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
465.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
470.0, {'J01': np.float32(-0.359375)}, {'J01': 4}, {'J01': 9}, 
475.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
480.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
485.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 9}, 
490.0, {'J01': np.float32(-0.4174107)}, {'J01': 4}, {'J01': 10}, 
495.0, {'J01': np.float32(0.069196425)}, {'J01': 4}, {'J01': 9}, 
500.0, {'J01': np.float32(0.2544643)}, {'J01': 4}, {'J01': 9}, 
505.0, {'J01': np.float32(-0.42410713)}, {'J01': 4}, {'J01': 11}, 
510.0, {'J01': np.float32(-0.53125)}, {'J01': 4}, {'J01': 14}, 
515.0, {'J01': np.float32(0.02232143)}, {'J01': 4}, {'J01': 9}, 
520.0, {'J01': np.float32(-0.051339287)}, {'J01': 4}, {'J01': 6}, 
525.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
530.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
535.0, {'J01': np.float32(-0.28794643)}, {'J01': 4}, {'J01': 7}, 
540.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
545.0, {'J01': np.float32(-0.3325893)}, {'J01': 4}, {'J01': 8}, 
550.0, {'J01': np.float32(-0.36830357)}, {'J01': 4}, {'J01': 9}, 
555.0, {'J01': np.float32(-0.15625)}, {'J01': 4}, {'J01': 8}, 
560.0, {'J01': np.float32(-0.22098215)}, {'J01': 4}, {'J01': 8}, 
565.0, {'J01': np.float32(-0.4017857)}, {'J01': 4}, {'J01': 12}, 
570.0, {'J01': np.float32(-0.5870536)}, {'J01': 4}, {'J01': 16}, 
575.0, {'J01': np.float32(-0.73883927)}, {'J01': 4}, {'J01': 18}, 
580.0, {'J01': np.float32(0.035714287)}, {'J01': 4}, {'J01': 13}, 
585.0, {'J01': np.float32(0.42410713)}, {'J01': 4}, {'J01': 6}, 
590.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
595.0, {'J01': np.float32(-0.28348213)}, {'J01': 4}, {'J01': 7}, 
600.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
605.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
610.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
615.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
620.0, {'J01': np.float32(-0.07589286)}, {'J01': 4}, {'J01': 7}, 
625.0, {'J01': np.float32(-0.3482143)}, {'J01': 4}, {'J01': 10}, 
630.0, {'J01': np.float32(-0.48214287)}, {'J01': 4}, {'J01': 12}, 
635.0, {'J01': np.float32(-0.60714287)}, {'J01': 4}, {'J01': 16}, 
640.0, {'J01': np.float32(-0.734375)}, {'J01': 4}, {'J01': 19}, 
645.0, {'J01': np.float32(0.09821428)}, {'J01': 4}, {'J01': 14}, 
650.0, {'J01': np.float32(0.453125)}, {'J01': 4}, {'J01': 7}, 
655.0, {'J01': np.float32(-0.3125)}, {'J01': 4}, {'J01': 7}, 
660.0, {'J01': np.float32(-0.3236607)}, {'J01': 4}, {'J01': 8}, 
665.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
670.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
675.0, {'J01': np.float32(-0.35714287)}, {'J01': 4}, {'J01': 8}, 
680.0, {'J01': np.float32(-0.087053575)}, {'J01': 4}, {'J01': 9}, 
685.0, {'J01': np.float32(-0.16964285)}, {'J01': 4}, {'J01': 9}, 
690.0, {'J01': np.float32(-0.4330357)}, {'J01': 4}, {'J01': 13}, 
695.0, {'J01': np.float32(-0.60714287)}, {'J01': 4}, {'J01': 17}, 
700.0, {'J01': np.float32(-0.06026786)}, {'J01': 4}, {'J01': 12}, 
705.0, {'J01': np.float32(0.13392857)}, {'J01': 4}, {'J01': 6}, 
710.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
715.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
720.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
725.0, {'J01': np.float32(-0.26785713)}, {'J01': 4}, {'J01': 6}, 
730.0, {'J01': np.float32(-0.2857143)}, {'J01': 4}, {'J01': 8}, 
