5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.08181818)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.2)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-0.47272727)}, {'J8': 3}, {'J8': 4}, 
35.0, {'J8': np.float32(-0.77272725)}, {'J8': 3}, {'J8': 5}, 
40.0, {'J8': np.float32(-0.90909094)}, {'J8': 3}, {'J8': 5}, 
45.0, {'J8': np.float32(-1.0)}, {'J8': 4}, {'J8': 7}, 
50.0, {'J8': np.float32(-1.2727273)}, {'J8': 4}, {'J8': 7}, 
55.0, {'J8': np.float32(-1.3545455)}, {'J8': 4}, {'J8': 9}, 
60.0, {'J8': np.float32(-1.7818182)}, {'J8': 5}, {'J8': 12}, 
65.0, {'J8': np.float32(-2.2636364)}, {'J8': 5}, {'J8': 13}, 
70.0, {'J8': np.float32(-1.1181818)}, {'J8': 6}, {'J8': 14}, 
75.0, {'J8': np.float32(-1.4454546)}, {'J8': 5}, {'J8': 13}, 
80.0, {'J8': np.float32(-1.4)}, {'J8': 4}, {'J8': 12}, 
85.0, {'J8': np.float32(0.47272727)}, {'J8': 4}, {'J8': 9}, 
90.0, {'J8': np.float32(-1.6363636)}, {'J8': 4}, {'J8': 9}, 
95.0, {'J8': np.float32(-1.7727273)}, {'J8': 4}, {'J8': 11}, 
100.0, {'J8': np.float32(-2.0727272)}, {'J8': 5}, {'J8': 13}, 
105.0, {'J8': np.float32(-2.4636364)}, {'J8': 6}, {'J8': 15}, 
110.0, {'J8': np.float32(-2.7363636)}, {'J8': 7}, {'J8': 16}, 
115.0, {'J8': np.float32(-0.43636364)}, {'J8': 5}, {'J8': 14}, 
120.0, {'J8': np.float32(-2.5454545)}, {'J8': 5}, {'J8': 14}, 
125.0, {'J8': np.float32(-1.4090909)}, {'J8': 5}, {'J8': 13}, 
130.0, {'J8': np.float32(0.8363636)}, {'J8': 5}, {'J8': 10}, 
135.0, {'J8': np.float32(-0.9)}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': np.float32(-1.7636364)}, {'J8': 5}, {'J8': 11}, 
145.0, {'J8': np.float32(-2.090909)}, {'J8': 5}, {'J8': 12}, 
150.0, {'J8': np.float32(-2.3272727)}, {'J8': 5}, {'J8': 14}, 
155.0, {'J8': np.float32(-2.6454546)}, {'J8': 7}, {'J8': 16}, 
160.0, {'J8': np.float32(-2.909091)}, {'J8': 7}, {'J8': 16}, 
165.0, {'J8': np.float32(-2.9636364)}, {'J8': 8}, {'J8': 17}, 
170.0, {'J8': np.float32(-0.7818182)}, {'J8': 6}, {'J8': 15}, 
175.0, {'J8': np.float32(-0.54545456)}, {'J8': 5}, {'J8': 13}, 
180.0, {'J8': np.float32(-1.2181818)}, {'J8': 5}, {'J8': 12}, 
185.0, {'J8': np.float32(-2.1818182)}, {'J8': 5}, {'J8': 12}, 
190.0, {'J8': np.float32(-2.2545455)}, {'J8': 5}, {'J8': 13}, 
195.0, {'J8': np.float32(0.55454546)}, {'J8': 5}, {'J8': 12}, 
200.0, {'J8': np.float32(-2.1818182)}, {'J8': 5}, {'J8': 12}, 
205.0, {'J8': np.float32(-2.2181818)}, {'J8': 5}, {'J8': 13}, 
210.0, {'J8': np.float32(-0.7090909)}, {'J8': 5}, {'J8': 13}, 
215.0, {'J8': np.float32(-0.16363636)}, {'J8': 5}, {'J8': 10}, 
220.0, {'J8': np.float32(-1.8181819)}, {'J8': 5}, {'J8': 10}, 
225.0, {'J8': np.float32(-1.8454546)}, {'J8': 5}, {'J8': 11}, 
230.0, {'J8': np.float32(-1.2363636)}, {'J8': 5}, {'J8': 10}, 
235.0, {'J8': np.float32(-1.4272727)}, {'J8': 5}, {'J8': 9}, 
240.0, {'J8': np.float32(-1.6636363)}, {'J8': 5}, {'J8': 10}, 
245.0, {'J8': np.float32(-1.8909091)}, {'J8': 5}, {'J8': 12}, 
250.0, {'J8': np.float32(-1.5545454)}, {'J8': 5}, {'J8': 10}, 
255.0, {'J8': np.float32(-1.8181819)}, {'J8': 5}, {'J8': 10}, 
260.0, {'J8': np.float32(-1.2545455)}, {'J8': 5}, {'J8': 9}, 
265.0, {'J8': np.float32(-1.6636363)}, {'J8': 5}, {'J8': 10}, 
270.0, {'J8': np.float32(-1.9272727)}, {'J8': 5}, {'J8': 12}, 
275.0, {'J8': np.float32(-1.790909)}, {'J8': 5}, {'J8': 11}, 
