5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
20.0, {'J8': np.float32(-0.02232143)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.04464286)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.06696428)}, {'J8': 1}, {'J8': 2}, 
35.0, {'J8': np.float32(-0.08928572)}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': np.float32(-0.11160714)}, {'J8': 2}, {'J8': 3}, 
45.0, {'J8': np.float32(-0.16517857)}, {'J8': 3}, {'J8': 6}, 
50.0, {'J8': np.float32(-0.2924107)}, {'J8': 5}, {'J8': 8}, 
55.0, {'J8': np.float32(-0.36160713)}, {'J8': 6}, {'J8': 9}, 
60.0, {'J8': np.float32(-0.4486607)}, {'J8': 6}, {'J8': 13}, 
65.0, {'J8': np.float32(-0.2857143)}, {'J8': 6}, {'J8': 14}, 
70.0, {'J8': np.float32(0.100446425)}, {'J8': 4}, {'J8': 11}, 
75.0, {'J8': np.float32(-0.20758928)}, {'J8': 4}, {'J8': 10}, 
80.0, {'J8': np.float32(0.24776785)}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': np.float32(-0.3638393)}, {'J8': 5}, {'J8': 9}, 
90.0, {'J8': np.float32(-0.4107143)}, {'J8': 6}, {'J8': 11}, 
95.0, {'J8': np.float32(0.21651785)}, {'J8': 5}, {'J8': 12}, 
100.0, {'J8': np.float32(-0.43973213)}, {'J8': 5}, {'J8': 11}, 
105.0, {'J8': np.float32(-0.4107143)}, {'J8': 5}, {'J8': 11}, 
110.0, {'J8': np.float32(-0.09821428)}, {'J8': 5}, {'J8': 12}, 
115.0, {'J8': np.float32(0.2611607)}, {'J8': 5}, {'J8': 10}, 
120.0, {'J8': np.float32(-0.17857143)}, {'J8': 5}, {'J8': 10}, 
125.0, {'J8': np.float32(-0.03348214)}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': np.float32(-0.09821428)}, {'J8': 5}, {'J8': 10}, 
135.0, {'J8': np.float32(-0.328125)}, {'J8': 5}, {'J8': 11}, 
140.0, {'J8': np.float32(-0.15178572)}, {'J8': 5}, {'J8': 10}, 
145.0, {'J8': np.float32(-0.21205357)}, {'J8': 5}, {'J8': 8}, 
150.0, {'J8': np.float32(-0.109375)}, {'J8': 5}, {'J8': 6}, 
155.0, {'J8': np.float32(-0.296875)}, {'J8': 5}, {'J8': 9}, 
160.0, {'J8': np.float32(-0.4017857)}, {'J8': 5}, {'J8': 9}, 
165.0, {'J8': np.float32(-0.19419643)}, {'J8': 5}, {'J8': 9}, 
170.0, {'J8': np.float32(0.004464286)}, {'J8': 5}, {'J8': 8}, 
175.0, {'J8': np.float32(-0.37723213)}, {'J8': 5}, {'J8': 10}, 
180.0, {'J8': np.float32(-0.34375)}, {'J8': 5}, {'J8': 10}, 
185.0, {'J8': np.float32(-0.39955357)}, {'J8': 5}, {'J8': 9}, 
190.0, {'J8': np.float32(-0.15848215)}, {'J8': 5}, {'J8': 8}, 
195.0, {'J8': np.float32(-0.125)}, {'J8': 5}, {'J8': 7}, 
200.0, {'J8': np.float32(-0.32142857)}, {'J8': 5}, {'J8': 8}, 
205.0, {'J8': np.float32(-0.07589286)}, {'J8': 5}, {'J8': 8}, 
210.0, {'J8': np.float32(0.0066964286)}, {'J8': 5}, {'J8': 6}, 
215.0, {'J8': np.float32(-0.30580357)}, {'J8': 5}, {'J8': 10}, 
220.0, {'J8': np.float32(-0.48214287)}, {'J8': 6}, {'J8': 13}, 
225.0, {'J8': np.float32(-0.49330357)}, {'J8': 8}, {'J8': 14}, 
230.0, {'J8': np.float32(-0.47767857)}, {'J8': 7}, {'J8': 12}, 
235.0, {'J8': np.float32(-0.24330357)}, {'J8': 7}, {'J8': 13}, 
240.0, {'J8': np.float32(-0.3392857)}, {'J8': 6}, {'J8': 12}, 
245.0, {'J8': np.float32(-0.53571427)}, {'J8': 6}, {'J8': 12}, 
250.0, {'J8': np.float32(-0.53571427)}, {'J8': 6}, {'J8': 12}, 
255.0, {'J8': np.float32(-0.59598213)}, {'J8': 7}, {'J8': 16}, 
260.0, {'J8': np.float32(-0.72098213)}, {'J8': 8}, {'J8': 17}, 
265.0, {'J8': np.float32(-0.30357143)}, {'J8': 7}, {'J8': 16}, 
270.0, {'J8': np.float32(0.6964286)}, {'J8': 5}, {'J8': 13}, 
275.0, {'J8': np.float32(-0.011160715)}, {'J8': 5}, {'J8': 11}, 
