episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2912951.0,2960960.5,44650.0,39542.0,13781.0,-0.73776,2.02985,-3.0,3.0,0.5003,0.0075,nan,3.53715,nan,1080,35.0
2,2502189.5,2580637.0,38217.5,39205.0,13873.0,-0.67811,1.94307,-3.0,3.0,0.5039,0.0075,0.9644,2.87842,0.498048,1080,31.4
3,2875448.5,10193743.5,43308.0,54232.0,28718.0,-0.736,1.93679,-3.0,3.0,0.7774,0.0033,0.9407,3.19395,0.588323,1080,33.9
4,2399064.5,3110152.5,28620.0,39828.0,14949.0,-0.61819,1.87367,-3.0,3.0,0.5616,0.0052,0.9169,3.14363,0.686758,1080,32.7
5,2499528.0,1298896.5,25141.0,36230.0,10778.0,-0.61946,1.88501,-3.0,3.0,0.3397,0.0066,0.8932,2.14404,0.664327,1080,31.6
6,2418914.0,1537630.5,25105.0,36324.0,11037.0,-0.60561,1.88118,-3.0,3.0,0.3862,0.0063,0.8694,1.74607,0.650574,1080,32.8
7,2473334.0,6244936.5,27694.5,48150.0,22869.0,-0.61656,1.87176,-3.0,3.0,0.714,0.0032,0.8457,1.06686,0.621017,1080,34.0
8,3257199.5,12212221.5,27899.5,55165.0,29226.0,-0.60783,1.97157,-3.0,3.0,0.788,0.0018,0.8219,0.87205,0.646451,1080,38.1
9,2724712.0,3162968.0,26838.0,41636.0,16190.0,-0.55063,1.88506,-3.0,3.0,0.5348,0.0045,0.7982,0.44991,0.625557,1080,38.2
10,2640200.5,8748151.5,22090.5,51376.0,25886.0,-0.59764,1.99567,-3.0,3.0,0.7667,0.0019,0.7744,0.29887,0.570195,1080,34.7
11,2886489.5,11406801.5,17647.5,54620.0,28707.0,-0.5022,1.94151,-3.0,3.0,0.7971,0.0012,0.7507,-0.55512,0.564542,1080,37.4
12,2523066.5,1808511.5,17997.0,38000.0,12209.0,-0.47233,1.82668,-3.0,3.0,0.4158,0.0041,0.7269,-0.99965,0.608232,1080,34.3
13,2397832.0,9571370.0,17400.0,52070.0,26297.0,-0.47306,1.86442,-3.0,3.0,0.7985,0.0015,0.7032,-1.03017,0.578956,1080,35.9
14,2330849.5,2929757.5,17318.0,39525.0,14661.0,-0.43629,1.89949,-3.0,3.0,0.5551,0.0033,0.6794,-1.47856,0.558057,1080,32.8
15,2447922.0,5712925.0,17086.0,46574.0,21028.0,-0.42048,1.85929,-3.0,3.0,0.6986,0.0021,0.6557,-1.3481,0.549975,1080,36.9
16,2589168.5,11224170.0,17713.5,53509.0,28492.0,-0.4833,1.92222,-3.0,3.0,0.8115,0.0013,0.6319,-1.51708,0.548303,1080,40.5
17,2165829.5,3040761.0,18107.0,40477.0,14753.0,-0.46016,1.88446,-3.0,3.0,0.582,0.0035,0.6082,-0.70193,0.544369,1080,32.1
18,2638644.0,11145651.0,15255.5,53762.0,28494.0,-0.44471,1.90308,-3.0,3.0,0.8077,0.0011,0.5844,-1.05527,0.557611,1080,32.2
19,2287455.0,4873339.0,16718.0,43943.0,19290.0,-0.36975,1.84009,-3.0,3.0,0.679,0.0023,0.5607,-1.13784,0.526949,1080,30.3
20,2239214.5,4911945.5,12819.0,45493.0,19778.0,-0.36948,1.82167,-3.0,3.0,0.6856,0.0018,0.5369,-1.68834,0.538455,1080,30.5
21,2161300.0,8070464.0,12006.5,48022.0,24482.0,-0.33384,1.86162,-3.0,3.0,0.7878,0.0012,0.5132,-1.54665,0.531429,1080,30.8
22,2509451.0,1456401.0,16085.0,36255.0,10795.0,-0.32969,1.74722,-3.0,3.0,0.3658,0.004,0.4894,-1.81332,0.512813,1080,29.7
23,2341569.0,4944670.0,11772.5,44768.0,20110.0,-0.36781,1.82344,-3.0,3.0,0.6775,0.0016,0.4657,-1.96308,0.532696,1080,30.3
24,2363391.5,3055367.5,10764.0,39991.0,14304.0,-0.28348,1.77639,-3.0,3.0,0.5627,0.002,0.4419,-1.49676,0.5297,1080,30.1
25,2125881.0,8904446.5,13683.0,49617.0,25001.0,-0.38609,1.87493,-3.0,3.0,0.8063,0.0012,0.4182,-1.11027,0.517187,1080,31.1
26,2442702.0,6308159.0,9398.5,46313.0,21115.0,-0.29232,1.78393,-3.0,3.0,0.7201,0.0011,0.3944,-1.53265,0.506076,1080,31.0
27,2390867.5,2516304.5,9109.0,39160.0,13572.0,-0.27039,1.73519,-3.0,3.0,0.5118,0.0019,0.3707,-1.9498,0.519319,1080,28.5
28,2422154.5,6385248.0,10366.5,46097.0,21114.0,-0.25922,1.80954,-3.0,3.0,0.7241,0.0012,0.3469,-2.0167,0.505243,1080,29.3
29,2186990.0,5160915.5,9268.5,44552.0,20010.0,-0.27555,1.76921,-3.0,3.0,0.7015,0.0013,0.3232,-1.47946,0.507694,1080,29.2
30,2465363.5,3359791.5,8237.0,41229.0,16323.0,-0.22703,1.74969,-3.0,3.0,0.576,0.0014,0.2994,-2.16773,0.51216,1080,29.4
31,2570152.5,9172520.5,10351.0,50108.0,25065.0,-0.28647,1.89941,-3.0,3.0,0.7804,0.0009,0.2757,-2.13009,0.505762,1080,30.2
32,2520903.0,6153913.5,8565.5,47417.0,21144.0,-0.22219,1.80524,-3.0,3.0,0.7087,0.001,0.2519,-1.78304,0.497258,1080,29.8
