episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,59878673.0,158700589.5,254359.5,74412.0,53848.0,-0.25808,0.35131,-0.70831,2.31156,0.7252,0.0012,nan,5.01081,nan,720,30.6
2,70727667.0,203549821.5,835013.0,88683.0,67366.0,-0.3199,0.55877,-0.81208,3.0,0.7399,0.003,nan,26.81889,0.650003,720,32.9
3,45154651.0,147581704.0,367716.5,77670.0,58872.0,-0.25209,0.37702,-0.70697,3.0,0.7643,0.0019,nan,54.74788,1.251702,720,30.9
4,63526049.0,183132989.0,302434.0,83932.0,64153.0,-0.28447,0.41117,-0.75057,3.0,0.7415,0.0012,nan,58.74212,0.725752,720,34.9
5,57576043.0,162856679.5,40656.5,73278.0,54010.0,-0.24716,0.2773,-0.68613,3.0,0.7387,0.0002,nan,59.97346,0.715009,720,29.3
6,55076852.0,156712511.5,271863.5,72589.0,53441.0,-0.24291,0.3551,-0.61416,3.0,0.739,0.0013,nan,52.06682,0.451376,720,29.9
7,63777752.5,162584000.5,690556.0,77443.0,57739.0,-0.27002,0.56093,-0.78965,3.0,0.7161,0.003,nan,48.43609,0.49316,720,31.8
8,65356731.0,180217507.5,797887.5,83055.0,62055.0,-0.29305,0.56009,-0.87517,3.0,0.7315,0.0032,nan,46.14286,0.466983,720,32.9
9,73815006.0,196315348.5,670427.5,87519.0,65043.0,-0.31668,0.52094,-0.862,3.0,0.7249,0.0025,nan,50.44156,0.571099,720,34.3
10,72510287.5,211635140.0,1906098.5,87876.0,67290.0,-0.36512,0.87958,-0.96393,3.0,0.7398,0.0067,nan,56.42558,0.684799,720,34.4
11,66520705.5,212918070.5,398383.5,90517.0,70058.0,-0.30992,0.45618,-0.71627,3.0,0.7609,0.0014,nan,60.19439,0.775905,720,35.2
12,35521956.0,105847212.5,68220.0,67128.0,47801.0,-0.19806,0.37924,-0.74472,3.0,0.7484,0.0005,nan,57.07307,0.950218,720,27.1
13,65370767.0,193047843.0,790572.0,84376.0,64609.0,-0.29676,0.5624,-0.80238,3.0,0.7448,0.003,nan,54.33054,1.226563,720,33.4
