episode,decision,signal_id,reward
1,50,J01,0.79819
1,100,J01,-0.39584
1,150,J01,-0.15856
1,200,J01,-0.09056
1,250,J01,-0.62719
1,300,J01,-0.69779
1,350,J01,1.58685
1,400,J01,-0.82013
1,450,J01,-0.81582
1,500,J01,-0.56652
1,550,J01,-0.609
1,600,J01,1.838
1,650,J01,-0.45893
1,700,J01,-0.63023
2,50,J01,-0.20117
2,100,J01,-0.30447
2,150,J01,1.92065
2,200,J01,-0.15573
2,250,J01,-0.42634
2,300,J01,-0.4335
2,350,J01,1.02287
2,400,J01,-0.3981
2,450,J01,-0.38229
2,500,J01,-0.5049
2,550,J01,-0.39784
2,600,J01,-0.48933
2,650,J01,0.27392
2,700,J01,-0.47772
3,50,J01,0.71159
3,100,J01,0.46202
3,150,J01,-0.34875
3,200,J01,0.72893
3,250,J01,-0.48336
3,300,J01,-0.48106
3,350,J01,-0.47474
3,400,J01,-0.56408
3,450,J01,-0.52515
3,500,J01,-0.19229
3,550,J01,-0.47064
3,600,J01,-0.73148
3,650,J01,-0.51347
3,700,J01,-0.50957
4,50,J01,0.0091
4,100,J01,-0.55437
4,150,J01,-0.42963
4,200,J01,-0.26946
4,250,J01,-0.46656
4,300,J01,-0.43027
4,350,J01,0.2593
4,400,J01,-0.5659
4,450,J01,0.70909
4,500,J01,0.82588
4,550,J01,-0.40045
4,600,J01,0.7013
4,650,J01,-0.45106
4,700,J01,-0.46468
5,50,J01,-0.26945
5,100,J01,0.54404
5,150,J01,-0.32745
5,200,J01,-0.26885
5,250,J01,-0.3458
5,300,J01,-0.28826
5,350,J01,-0.43321
5,400,J01,-0.49881
5,450,J01,-0.39866
5,500,J01,-0.20712
5,550,J01,0.43133
5,600,J01,0.77648
5,650,J01,-0.21594
5,700,J01,-0.49724
6,50,J01,-0.2333
6,100,J01,-0.31472
6,150,J01,-0.52688
6,200,J01,-0.43448
6,250,J01,-0.48831
6,300,J01,-0.39085
6,350,J01,-0.42805
6,400,J01,-0.46606
6,450,J01,-0.55524
6,500,J01,0.73291
6,550,J01,0.06945
6,600,J01,-0.39188
6,650,J01,-0.4425
6,700,J01,-0.43457
7,50,J01,-0.27638
7,100,J01,-0.34789
7,150,J01,-0.44356
7,200,J01,-0.10435
7,250,J01,0.28382
7,300,J01,-0.54101
7,350,J01,-0.59925
7,400,J01,0.85467
7,450,J01,-0.41611
7,500,J01,-0.23786
7,550,J01,-0.40562
7,600,J01,-0.24402
7,650,J01,-0.41468
7,700,J01,0.67989
8,50,J01,-0.09259
8,100,J01,0.63895
8,150,J01,-0.14838
8,200,J01,-0.2856
8,250,J01,-0.04498
8,300,J01,0.9254
8,350,J01,-0.26789
8,400,J01,-0.36892
8,450,J01,-0.39445
8,500,J01,-0.44069
8,550,J01,-0.48706
8,600,J01,0.27849
8,650,J01,-0.54845
8,700,J01,-0.5251
9,50,J01,-0.10386
9,100,J01,-0.37249
9,150,J01,-0.4791
9,200,J01,-0.45464
9,250,J01,-0.38026
9,300,J01,-0.42079
9,350,J01,-0.46508
9,400,J01,-0.36372
9,450,J01,-0.46494
9,500,J01,-0.50971
9,550,J01,-0.11262
9,600,J01,-0.39292
9,650,J01,-0.40849
9,700,J01,-0.46883
10,50,J01,-0.17844
10,100,J01,-0.15681
10,150,J01,-0.31154
10,200,J01,-0.28445
10,250,J01,-0.10351
10,300,J01,-0.27857
10,350,J01,-0.31123
10,400,J01,-0.4115
10,450,J01,0.72409
10,500,J01,-0.49013
10,550,J01,-0.35275
10,600,J01,0.79137
10,650,J01,-0.30592
10,700,J01,-0.43044
11,50,J01,-0.13259
11,100,J01,-0.31703
11,150,J01,-0.4129
11,200,J01,-0.53464
11,250,J01,-0.50324
11,300,J01,-0.60006
11,350,J01,-0.56649
11,400,J01,-0.63824
11,450,J01,-0.61856
11,500,J01,-0.05017
11,550,J01,-0.63414
11,600,J01,0.57662
11,650,J01,-0.47841
11,700,J01,0.89974
12,50,J01,-0.08285
12,100,J01,1.50466
12,150,J01,-0.43298
12,200,J01,-0.50377
12,250,J01,-0.34065
12,300,J01,-0.53589
12,350,J01,-0.38942
12,400,J01,-0.57212
12,450,J01,-0.60098
12,500,J01,-0.05594
12,550,J01,-0.44915
12,600,J01,-0.52311
12,650,J01,-0.44525
12,700,J01,0.02192
13,50,J01,-0.20138
13,100,J01,-0.38739
13,150,J01,0.70142
13,200,J01,-0.51073
13,250,J01,1.91314
13,300,J01,-0.55279
13,350,J01,-0.68662
13,400,J01,-0.55211
13,450,J01,-0.55016
13,500,J01,-0.51123
13,550,J01,-0.77985
13,600,J01,-0.57352
13,650,J01,-0.43142
13,700,J01,-0.55211
14,50,J01,-0.28617
14,100,J01,-0.3493
14,150,J01,-0.20214
14,200,J01,-0.27798
14,250,J01,0.611
14,300,J01,-0.62718
14,350,J01,-0.53359
14,400,J01,-0.50606
14,450,J01,1.6706
14,500,J01,-0.48417
14,550,J01,-0.28951
14,600,J01,-0.47443
14,650,J01,-0.27783
14,700,J01,-0.42966
15,50,J01,-0.21638
15,100,J01,-0.5431
15,150,J01,-0.25912
15,200,J01,-0.34367
15,250,J01,-0.35174
15,300,J01,0.70246
15,350,J01,-0.35644
15,400,J01,-0.3513
15,450,J01,-0.36
15,500,J01,-0.35424
15,550,J01,-0.56828
15,600,J01,-0.41648
15,650,J01,-0.43398
15,700,J01,-0.38713
16,50,J01,-0.25631
16,100,J01,-0.33803
16,150,J01,-0.02812
16,200,J01,-0.27365
16,250,J01,0.42238
16,300,J01,-0.3635
16,350,J01,-0.33931
16,400,J01,-0.39805
16,450,J01,-0.48544
16,500,J01,0.48339
16,550,J01,-0.36496
16,600,J01,-0.40758
16,650,J01,-0.33965
16,700,J01,-0.31143
17,50,J01,-0.16711
17,100,J01,-0.39929
17,150,J01,-0.21631
17,200,J01,-0.30503
17,250,J01,-0.26626
17,300,J01,-0.33671
17,350,J01,-0.13218
17,400,J01,-0.35906
17,450,J01,-0.2978
17,500,J01,-0.31991
17,550,J01,-0.59091
17,600,J01,-0.33973
17,650,J01,-0.30873
17,700,J01,-0.34879
18,50,J01,0.38441
18,100,J01,-0.37916
18,150,J01,-0.203
18,200,J01,-0.31224
18,250,J01,-0.29933
18,300,J01,-0.66896
18,350,J01,-0.42365
18,400,J01,-0.53231
18,450,J01,-0.4735
18,500,J01,-0.48894
18,550,J01,-0.50027
18,600,J01,-0.39481
18,650,J01,-0.46878
18,700,J01,-0.55054
19,50,J01,-0.16169
19,100,J01,-0.26926
19,150,J01,-0.23267
19,200,J01,-0.31876
19,250,J01,-0.31462
19,300,J01,-0.23617
19,350,J01,-0.28077
19,400,J01,0.91178
19,450,J01,-0.40002
19,500,J01,-0.41415
19,550,J01,-0.53286
19,600,J01,-0.54683
19,650,J01,-0.35511
19,700,J01,-0.3677
20,50,J01,-0.153
20,100,J01,-0.31235
20,150,J01,-0.47016
20,200,J01,-0.05879
20,250,J01,-0.31166
20,300,J01,-0.43979
20,350,J01,-0.47719
20,400,J01,-0.37709
20,450,J01,-0.38648
20,500,J01,-0.22858
20,550,J01,-0.55009
20,600,J01,-0.39582
20,650,J01,-0.29403
20,700,J01,-0.35386
21,50,J01,-0.28457
21,100,J01,-0.12271
21,150,J01,0.29734
21,200,J01,-0.22318
21,250,J01,-0.01657
21,300,J01,-0.31054
21,350,J01,-0.33467
21,400,J01,-0.39969
21,450,J01,-0.24783
21,500,J01,-0.41818
21,550,J01,-0.47062
21,600,J01,-0.30825
21,650,J01,-0.1386
21,700,J01,-0.37381
22,50,J01,-0.37931
22,100,J01,2.90185
22,150,J01,-0.4612
22,200,J01,-0.49958
22,250,J01,-0.46413
22,300,J01,-0.83752
22,350,J01,-0.49834
22,400,J01,-0.81341
22,450,J01,-0.53498
22,500,J01,-0.48437
