episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2828495.0,4939747.5,42786.0,45872.0,19941.0,-0.21937,1.33855,-3.0,3.0,0.6324,0.0055,nan,5.93802,nan,1080,37.3
2,2903732.5,1647286.0,39763.0,37663.0,11525.0,-0.23165,1.30455,-3.0,3.0,0.3588,0.0087,0.9644,38.51014,4.019073,1080,34.2
3,2838415.5,9426242.0,36616.0,52923.0,27524.0,-0.21609,1.39704,-3.0,3.0,0.7663,0.003,0.9407,119.59935,13.224201,1080,38.4
4,3507134.0,12666522.0,48770.0,56741.0,30838.0,-0.2653,1.46878,-3.0,3.0,0.7808,0.003,0.9169,347.48377,44.014375,1080,39.0
5,2980683.5,5693681.0,56059.5,47559.0,21876.0,-0.2928,1.41408,-3.0,3.0,0.6522,0.0064,0.8932,979.16259,127.632023,1080,39.8
6,3376432.0,8816607.0,54461.5,53604.0,27484.0,-0.31655,1.49289,-3.0,3.0,0.7199,0.0044,0.8694,2606.80771,322.581869,1080,42.6
7,3225561.0,3939665.0,86077.5,44329.0,18379.0,-0.40616,1.54554,-3.0,3.0,0.5433,0.0119,0.8457,5448.49405,648.800335,1080,42.9
8,3618520.0,3031666.0,74546.0,44228.0,17675.0,-0.36473,1.52983,-3.0,3.0,0.4508,0.0111,0.8219,14039.67095,1857.702052,1080,42.6
9,4020479.5,12610209.5,77180.0,58966.0,32240.0,-0.39961,1.60171,-3.0,3.0,0.7547,0.0046,0.7982,50670.78175,7855.230448,1080,46.2
10,3160100.0,7116396.5,79256.5,52116.0,25122.0,-0.39299,1.58395,-3.0,3.0,0.6872,0.0077,0.7744,308315.08281,50328.522003,1080,50.1
11,3813642.5,3538101.0,103574.5,43295.0,15977.0,-0.43355,1.61031,-3.0,3.0,0.4746,0.0139,0.7507,2470609.88102,416801.34502,1080,46.0
12,3433022.5,4535582.0,104790.5,46210.0,19155.0,-0.49036,1.65549,-3.0,3.0,0.5618,0.013,0.7269,12731009.95648,2578953.789178,1080,122.0
13,3693693.5,4276843.0,87094.5,46065.0,18524.0,-0.42668,1.60781,-3.0,3.0,0.5308,0.0108,0.7032,43553714.28333,9921094.045688,1080,149.6
14,5199134.5,19017281.5,186546.0,67801.0,40068.0,-0.6393,1.78372,-3.0,3.0,0.7793,0.0076,0.6794,118860469.68519,28076696.150917,1080,70.3
