episode,decision,signal_id,reward
1,50,J09,0.03863
1,100,J09,-0.2907
1,150,J09,-0.24431
1,200,J09,-0.35341
1,250,J09,0.47236
1,300,J09,-0.0742
1,350,J09,-0.18384
1,400,J09,0.19614
1,450,J09,-0.09082
1,500,J09,-0.18486
1,550,J09,-1.21807
1,600,J09,-1.99955
1,650,J09,-1.91518
1,700,J09,-1.58345
2,50,J09,-0.06954
2,100,J09,-0.17874
2,150,J09,-0.26832
2,200,J09,0.37197
2,250,J09,-0.44162
2,300,J09,-0.31045
2,350,J09,-0.273
2,400,J09,-0.29846
2,450,J09,0.4068
2,500,J09,-0.02308
2,550,J09,-0.19621
2,600,J09,-0.28843
2,650,J09,-0.11832
2,700,J09,-0.29231
3,50,J09,-0.04842
3,100,J09,-0.26351
3,150,J09,-0.09051
3,200,J09,0.01013
3,250,J09,0.83419
3,300,J09,-0.10179
3,350,J09,0.17556
3,400,J09,-0.25804
3,450,J09,0.69526
3,500,J09,0.03202
3,550,J09,-0.16588
3,600,J09,-0.21995
3,650,J09,0.02281
3,700,J09,-0.23073
4,50,J09,-0.16125
4,100,J09,-0.305
4,150,J09,-0.98757
4,200,J09,-1.73664
4,250,J09,-2.11275
4,300,J09,0.64004
4,350,J09,3.0
4,400,J09,3.0
4,450,J09,-3.0
4,500,J09,-2.99494
4,550,J09,-3.0
4,600,J09,-3.0
4,650,J09,2.33009
4,700,J09,3.0
5,50,J09,-0.20354
5,100,J09,-0.20532
5,150,J09,-0.20059
5,200,J09,0.04161
5,250,J09,0.95074
5,300,J09,-0.2533
5,350,J09,-0.28376
5,400,J09,-0.08371
5,450,J09,-0.28247
5,500,J09,0.03193
5,550,J09,-0.30024
5,600,J09,-1.40221
5,650,J09,0.13676
5,700,J09,-1.20291
6,50,J09,-0.18187
6,100,J09,-0.25872
6,150,J09,-0.0312
6,200,J09,-0.18182
6,250,J09,-0.19955
6,300,J09,0.30508
6,350,J09,0.32194
6,400,J09,-0.3454
6,450,J09,0.12613
6,500,J09,-0.19358
6,550,J09,-0.03233
6,600,J09,-0.37295
6,650,J09,-1.31673
6,700,J09,-1.87603
7,50,J09,0.27353
7,100,J09,-0.23862
7,150,J09,-0.28974
7,200,J09,-0.09994
7,250,J09,-0.02706
7,300,J09,-1.43895
7,350,J09,-1.62551
7,400,J09,-1.84464
7,450,J09,0.80179
7,500,J09,-2.06072
7,550,J09,-2.12783
7,600,J09,-2.01767
7,650,J09,-1.6046
7,700,J09,-2.41177
8,50,J09,0.1748
8,100,J09,0.09835
8,150,J09,-0.23306
8,200,J09,0.15542
8,250,J09,0.14269
8,300,J09,-0.80448
8,350,J09,-1.00119
8,400,J09,-1.49136
8,450,J09,3.0
8,500,J09,-2.05554
8,550,J09,-1.9789
8,600,J09,-2.26295
8,650,J09,-0.9621
8,700,J09,-2.45293
9,50,J09,0.241
9,100,J09,-0.75537
9,150,J09,-1.38903
9,200,J09,-1.88427
9,250,J09,3.0
9,300,J09,-1.35487
9,350,J09,3.0
9,400,J09,-2.33337
9,450,J09,3.0
9,500,J09,0.72049
9,550,J09,-2.59794
9,600,J09,0.527
9,650,J09,-2.84956
9,700,J09,3.0
10,50,J09,-0.34488
10,100,J09,0.21035
10,150,J09,-0.13551
10,200,J09,-0.27747
10,250,J09,-1.34041
10,300,J09,-0.13031
10,350,J09,-0.98654
10,400,J09,-1.94053
10,450,J09,-1.44731
10,500,J09,-1.72531
10,550,J09,-2.30642
10,600,J09,-2.15302
10,650,J09,-2.54298
10,700,J09,-0.49537
11,50,J09,0.09
11,100,J09,0.20717
11,150,J09,-0.18289
11,200,J09,-0.18308
11,250,J09,-0.28331
11,300,J09,-0.33982
11,350,J09,0.28971
11,400,J09,0.41091
11,450,J09,0.31175
11,500,J09,0.02468
11,550,J09,0.17376
11,600,J09,-0.17907
11,650,J09,-0.14282
11,700,J09,-0.18969
12,50,J09,0.42756
12,100,J09,-0.13248
12,150,J09,-0.24793
12,200,J09,-0.18746
12,250,J09,0.19745
12,300,J09,-0.24312
12,350,J09,-0.0605
12,400,J09,-0.21446
12,450,J09,1.12467
12,500,J09,0.00035
12,550,J09,-0.25887
12,600,J09,-0.38342
12,650,J09,-1.43838
12,700,J09,-2.02328
13,50,J09,0.58279
13,100,J09,-0.14171
13,150,J09,-0.24506
13,200,J09,-0.15941
13,250,J09,-0.1434
13,300,J09,0.02634
13,350,J09,-0.173
13,400,J09,0.23521
13,450,J09,-0.06472
13,500,J09,-0.22399
13,550,J09,0.85468
13,600,J09,-0.01546
13,650,J09,0.05985
13,700,J09,0.09977
14,50,J09,0.13241
14,100,J09,-0.22685
14,150,J09,-0.10969
14,200,J09,-0.26054
14,250,J09,0.00254
14,300,J09,-0.18135
14,350,J09,-0.14938
14,400,J09,-0.19209
14,450,J09,-0.28241
14,500,J09,0.01361
14,550,J09,-0.30173
14,600,J09,-0.31543
14,650,J09,0.16974
14,700,J09,0.08442
15,50,J09,-0.27523
15,100,J09,-0.16594
15,150,J09,-0.63983
15,200,J09,-0.72078
15,250,J09,-1.54505
15,300,J09,-1.36132
15,350,J09,-0.93734
15,400,J09,-1.46584
15,450,J09,-1.4061
15,500,J09,-1.04946
15,550,J09,-1.25664
15,600,J09,0.69115
15,650,J09,1.12177
15,700,J09,0.85969
16,50,J09,0.22389
16,100,J09,0.24093
16,150,J09,0.08333
16,200,J09,-0.15182
16,250,J09,0.1314
16,300,J09,-0.08864
16,350,J09,0.08507
16,400,J09,0.07689
16,450,J09,-0.0995
16,500,J09,-0.10084
16,550,J09,0.02927
16,600,J09,-0.32475
16,650,J09,0.08869
16,700,J09,-0.29438
17,50,J09,0.02006
17,100,J09,0.00338
17,150,J09,-0.3028
17,200,J09,-0.13401
17,250,J09,1.19531
17,300,J09,-0.1965
17,350,J09,-0.22731
17,400,J09,-0.31187
17,450,J09,-0.16453
17,500,J09,-0.25744
17,550,J09,0.43512
17,600,J09,-0.27096
17,650,J09,-0.07619
17,700,J09,-0.22807
18,50,J09,0.26401
18,100,J09,-0.07534
18,150,J09,-0.11628
18,200,J09,0.57683
18,250,J09,1.25213
18,300,J09,0.06122
18,350,J09,-0.27748
18,400,J09,-0.07286
18,450,J09,-0.15118
18,500,J09,-0.29853
18,550,J09,-0.03577
18,600,J09,0.23446
18,650,J09,0.24028
18,700,J09,-0.18967
19,50,J09,0.04186
19,100,J09,0.00641
19,150,J09,-0.1595
19,200,J09,-0.13401
19,250,J09,-0.13745
19,300,J09,-0.18178
19,350,J09,-0.05916
19,400,J09,-0.01615
19,450,J09,0.24841
19,500,J09,0.20476
19,550,J09,0.08408
19,600,J09,-0.2886
19,650,J09,0.75322
19,700,J09,0.36107
20,50,J09,-0.28315
20,100,J09,-0.32321
20,150,J09,-0.07842
20,200,J09,0.03526
20,250,J09,-0.19654
20,300,J09,-0.90125
20,350,J09,0.7558
20,400,J09,-1.68283
20,450,J09,-1.92985
20,500,J09,-1.75293
20,550,J09,-0.24205
20,600,J09,-2.36354
20,650,J09,0.34128
20,700,J09,-2.51647
21,50,J09,-0.14741
21,100,J09,0.6385
21,150,J09,-0.34252
21,200,J09,-0.25787
21,250,J09,0.23767
21,300,J09,-0.06526
21,350,J09,0.75425
21,400,J09,-0.01787
21,450,J09,-0.15979
21,500,J09,0.20848
21,550,J09,-0.04694
21,600,J09,-0.21528
21,650,J09,-0.33351
21,700,J09,0.90753
22,50,J09,-0.14788
22,100,J09,-0.26383
22,150,J09,-0.21373
22,200,J09,-0.12363
22,250,J09,-0.10543
22,300,J09,3.0
22,350,J09,-2.00281
22,400,J09,-2.10203
22,450,J09,-0.88616
22,500,J09,-1.44565
22,550,J09,-1.92199
22,600,J09,3.0
22,650,J09,-2.4557
22,700,J09,-2.62949
23,50,J09,0.0005
