episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,2975291.5,6166163.0,34993.0,48318.0,22632.0,-0.71502,1.93891,-3.0,3.0,0.672,0.0038,nan,-1.22466,nan,1080,38.8
2,2916319.0,3435358.0,33940.0,42027.0,16011.0,-0.68465,1.96068,-3.0,3.0,0.538,0.0053,0.9644,-0.78751,0.533456,1080,37.9
3,2727877.0,2782523.5,31923.0,41080.0,15516.0,-0.66579,1.95199,-3.0,3.0,0.502,0.0058,0.9407,1.66567,0.712255,1080,37.8
4,2829213.0,4050528.0,27865.0,42392.0,16705.0,-0.60138,1.91911,-3.0,3.0,0.5864,0.004,0.9169,2.74079,0.602495,1080,38.1
5,2645052.0,3085315.0,30251.5,40201.0,14900.0,-0.5521,1.90686,-3.0,3.0,0.5356,0.0053,0.8932,2.1648,0.607513,1080,38.0
6,2709110.0,5457810.5,36682.5,46656.0,20928.0,-0.67136,1.9157,-3.0,3.0,0.6653,0.0045,0.8694,1.0862,0.576843,1080,39.4
7,2791082.5,5466695.5,28038.5,46256.0,20642.0,-0.61479,1.90538,-3.0,3.0,0.6598,0.0034,0.8457,-0.08825,0.542588,1080,39.5
8,2518837.5,2231351.5,19767.5,39724.0,13862.0,-0.54716,1.89576,-3.0,3.0,0.4678,0.0041,0.8219,-0.09772,0.563973,1080,42.1
9,2577603.0,2592355.0,20446.0,40627.0,14768.0,-0.53268,1.83842,-3.0,3.0,0.4995,0.0039,0.7982,0.30455,0.553234,1080,41.6
10,2630463.5,2611792.5,20751.5,40298.0,14906.0,-0.47057,1.84689,-3.0,3.0,0.4963,0.0039,0.7744,0.34409,0.549931,1080,40.0
11,2479311.5,2867027.0,23794.5,41101.0,15372.0,-0.52402,1.85562,-3.0,3.0,0.5339,0.0044,0.7507,-0.00394,0.553982,1080,38.7
12,2222058.0,1395218.0,21931.5,36226.0,10741.0,-0.50395,1.89289,-3.0,3.0,0.3834,0.006,0.7269,-0.08351,0.526868,1080,37.6
13,2369712.0,4659925.0,21301.5,44761.0,19003.0,-0.53294,1.86784,-3.0,3.0,0.6609,0.003,0.7032,0.45489,0.505668,1080,40.3
14,2363973.5,1736447.5,17969.5,38661.0,12043.0,-0.50765,1.8312,-3.0,3.0,0.4216,0.0044,0.6794,0.21256,0.507159,1080,38.5
15,2510362.5,7014632.0,15630.5,49748.0,23608.0,-0.39843,1.90539,-3.0,3.0,0.7352,0.0016,0.6557,0.25529,0.513772,1080,41.7
16,2326156.5,6314678.0,14242.0,48313.0,22543.0,-0.35563,1.888,-3.0,3.0,0.7296,0.0016,0.6319,0.44666,0.498387,1080,43.0
17,2350766.5,6986022.5,13490.5,48579.0,23119.0,-0.35407,1.84393,-3.0,3.0,0.7471,0.0014,0.6082,0.10787,0.497421,1080,41.4
18,2321488.5,2359845.0,13871.5,39197.0,13632.0,-0.32734,1.81431,-3.0,3.0,0.5026,0.003,0.5844,-0.51355,0.507404,1080,42.1
19,2283733.5,5284499.5,16613.5,44540.0,19370.0,-0.4421,1.90707,-3.0,3.0,0.6967,0.0022,0.5607,-1.19727,0.515277,1080,38.5
20,2439191.5,4986130.0,12525.0,43755.0,17909.0,-0.36322,1.76568,-3.0,3.0,0.6704,0.0017,0.5369,-0.44778,0.49808,1080,42.7
21,2380169.0,9295850.5,12594.0,51922.0,26115.0,-0.36482,1.87871,-3.0,3.0,0.7953,0.0011,0.5132,0.04426,0.496442,1080,40.8
22,2446865.0,6541514.5,10787.5,48063.0,22740.0,-0.29963,1.81053,-3.0,3.0,0.7269,0.0012,0.4894,-0.00144,0.467706,1080,39.3
23,2531970.0,7219366.0,10637.5,49038.0,23033.0,-0.32361,1.81297,-3.0,3.0,0.7395,0.0011,0.4657,-0.24925,0.466154,1080,39.5
24,2412541.0,858280.0,9728.0,33675.0,8033.0,-0.28111,1.67477,-3.0,3.0,0.2616,0.003,0.4419,-0.8689,0.499837,1080,37.5
25,2701380.5,10643561.0,10789.5,52518.0,26886.0,-0.31992,1.84689,-3.0,3.0,0.7969,0.0008,0.4182,-0.72827,0.483519,1080,40.8
26,2765791.5,9200525.5,9171.5,50682.0,24401.0,-0.28337,1.81911,-3.0,3.0,0.7683,0.0008,0.3944,-1.04431,0.500309,1080,41.3
27,2517663.5,2999401.0,8045.0,39366.0,13046.0,-0.24201,1.72302,-3.0,3.0,0.5429,0.0015,0.3707,-1.70942,0.495227,1080,37.4
28,3461306.5,1133392.5,7587.5,36297.0,8416.0,-0.21259,1.62953,-3.0,3.0,0.2463,0.0016,0.3469,-1.7389,0.48791,1080,37.5
29,2215307.0,4811740.5,7688.0,44906.0,19297.0,-0.20538,1.76116,-3.0,3.0,0.684,0.0011,0.3232,-1.41197,0.47444,1080,38.6
