5.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.0)}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': np.float32(-0.012950972)}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': np.float32(-0.24625902)}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': np.float32(-1.0629325)}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': np.float32(1.3175172)}, {'J01': 1}, {'J01': 2}, 
35.0, {'J01': np.float32(-0.050878815)}, {'J01': 2}, {'J01': 5}, 
40.0, {'J01': np.float32(-0.11933395)}, {'J01': 4}, {'J01': 12}, 
45.0, {'J01': np.float32(-0.24976873)}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': np.float32(-0.38141063)}, {'J01': 8}, {'J01': 28}, 
55.0, {'J01': np.float32(-0.40950128)}, {'J01': 8}, {'J01': 27}, 
60.0, {'J01': np.float32(-0.40955782)}, {'J01': 8}, {'J01': 25}, 
65.0, {'J01': np.float32(-0.20977642)}, {'J01': 8}, {'J01': 23}, 
70.0, {'J01': np.float32(0.084293805)}, {'J01': 7}, {'J01': 24}, 
75.0, {'J01': np.float32(0.20668557)}, {'J01': 6}, {'J01': 21}, 
80.0, {'J01': np.float32(0.5550976)}, {'J01': 4}, {'J01': 18}, 
85.0, {'J01': np.float32(0.21973728)}, {'J01': 4}, {'J01': 14}, 
90.0, {'J01': np.float32(-1.2803857)}, {'J01': 4}, {'J01': 14}, 
95.0, {'J01': np.float32(-3.0)}, {'J01': 4}, {'J01': 18}, 
100.0, {'J01': np.float32(1.2434313)}, {'J01': 4}, {'J01': 21}, 
105.0, {'J01': np.float32(2.8686054)}, {'J01': 6}, {'J01': 25}, 
110.0, {'J01': np.float32(-0.3082952)}, {'J01': 5}, {'J01': 19}, 
115.0, {'J01': np.float32(0.07734209)}, {'J01': 5}, {'J01': 21}, 
120.0, {'J01': np.float32(-2.4588969)}, {'J01': 6}, {'J01': 33}, 
125.0, {'J01': np.float32(-1.2718033)}, {'J01': 8}, {'J01': 35}, 
130.0, {'J01': np.float32(1.8549105)}, {'J01': 8}, {'J01': 35}, 
135.0, {'J01': np.float32(-2.6178412)}, {'J01': 8}, {'J01': 36}, 
140.0, {'J01': np.float32(2.746564)}, {'J01': 8}, {'J01': 35}, 
145.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 42}, 
150.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 42}, 
155.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 43}, 
160.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 41}, 
165.0, {'J01': np.float32(-3.0)}, {'J01': 6}, {'J01': 32}, 
170.0, {'J01': np.float32(-1.5366126)}, {'J01': 5}, {'J01': 30}, 
175.0, {'J01': np.float32(3.0)}, {'J01': 5}, {'J01': 34}, 
180.0, {'J01': np.float32(-1.1132287)}, {'J01': 7}, {'J01': 38}, 
185.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 43}, 
190.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 41}, 
195.0, {'J01': np.float32(-0.8680192)}, {'J01': 8}, {'J01': 40}, 
200.0, {'J01': np.float32(-0.697811)}, {'J01': 7}, {'J01': 36}, 
205.0, {'J01': np.float32(-0.9787383)}, {'J01': 7}, {'J01': 30}, 
210.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 26}, 
215.0, {'J01': np.float32(-0.37082425)}, {'J01': 6}, {'J01': 29}, 
220.0, {'J01': np.float32(-0.18635699)}, {'J01': 7}, {'J01': 30}, 
225.0, {'J01': np.float32(-0.045970306)}, {'J01': 8}, {'J01': 30}, 
230.0, {'J01': np.float32(-2.8279717)}, {'J01': 8}, {'J01': 28}, 
235.0, {'J01': np.float32(2.349655)}, {'J01': 8}, {'J01': 28}, 
240.0, {'J01': np.float32(-0.30536357)}, {'J01': 8}, {'J01': 29}, 
245.0, {'J01': np.float32(-2.803579)}, {'J01': 8}, {'J01': 30}, 
250.0, {'J01': np.float32(1.9692895)}, {'J01': 8}, {'J01': 32}, 
255.0, {'J01': np.float32(-1.071459)}, {'J01': 8}, {'J01': 35}, 
260.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 38}, 
265.0, {'J01': np.float32(-2.5931466)}, {'J01': 7}, {'J01': 32}, 
270.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 34}, 
275.0, {'J01': np.float32(1.0959097)}, {'J01': 7}, {'J01': 34}, 
280.0, {'J01': np.float32(1.178992)}, {'J01': 5}, {'J01': 24}, 
285.0, {'J01': np.float32(-0.10716096)}, {'J01': 4}, {'J01': 19}, 
290.0, {'J01': np.float32(3.0)}, {'J01': 3}, {'J01': 17}, 
295.0, {'J01': np.float32(-0.58067536)}, {'J01': 4}, {'J01': 24}, 
300.0, {'J01': np.float32(-3.0)}, {'J01': 7}, {'J01': 30}, 
305.0, {'J01': np.float32(3.0)}, {'J01': 8}, {'J01': 29}, 
310.0, {'J01': np.float32(-0.9643941)}, {'J01': 8}, {'J01': 32}, 
315.0, {'J01': np.float32(-3.0)}, {'J01': 8}, {'J01': 34}, 
320.0, {'J01': np.float32(3.0)}, {'J01': 7}, {'J01': 30}, 
325.0, {'J01': np.float32(-1.1905501)}, {'J01': 7}, {'J01': 36}, 
330.0, {'J01': np.float32(-2.2804866)}, {'J01': 7}, {'J01': 35}, 
335.0, {'J01': np.float32(3.0)}, {'J01': 6}, {'J01': 29}, 
340.0, {'J01': np.float32(-1.5835669)}, {'J01': 6}, {'J01': 33}, 
345.0, {'J01': np.float32(-2.0894423)}, {'J01': 8}, {'J01': 39}, 
350.0, {'J01': np.float32(1.9397935)}, {'J01': 8}, {'J01': 37}, 
355.0, {'J01': np.float32(-0.47819427)}, {'J01': 8}, {'J01': 37}, 
360.0, {'J01': np.float32(-2.8749857)}, {'J01': 10}, {'J01': 38}, 
365.0, {'J01': np.float32(-3.0)}, {'J01': 10}, {'J01': 39}, 
370.0, {'J01': np.float32(3.0)}, {'J01': 10}, {'J01': 41}, 
375.0, {'J01': np.float32(0.29860702)}, {'J01': 10}, {'J01': 38}, 
380.0, {'J01': np.float32(0.4301184)}, {'J01': 10}, {'J01': 39}, 
385.0, {'J01': np.float32(-0.89562523)}, {'J01': 11}, {'J01': 43}, 
390.0, {'J01': np.float32(-2.852555)}, {'J01': 11}, {'J01': 47}, 
395.0, {'J01': np.float32(3.0)}, {'J01': 12}, {'J01': 46}, 
400.0, {'J01': np.float32(-0.71469694)}, {'J01': 12}, {'J01': 47}, 
405.0, {'J01': np.float32(-1.7742565)}, {'J01': 14}, {'J01': 48}, 
410.0, {'J01': np.float32(-0.9547003)}, {'J01': 14}, {'J01': 49}, 
