episode,decision,signal_id,reward
1,50,J01,-3.0
1,100,J01,-3.0
1,150,J01,-3.0
1,200,J01,-1.20868
1,250,J01,-1.33566
1,300,J01,3.0
1,350,J01,-3.0
1,400,J01,-3.0
1,450,J01,-2.99894
1,500,J01,-0.74659
1,550,J01,-3.0
1,600,J01,-2.97264
1,650,J01,-2.38345
1,700,J01,-1.63434
1,750,J01,-1.52547
1,800,J01,0.52081
1,850,J01,-0.07031
1,900,J01,0.73913
1,950,J01,0.26457
1,1000,J01,-0.44773
1,1050,J01,-0.37558
2,50,J01,-2.35912
2,100,J01,-3.0
2,150,J01,-3.0
2,200,J01,3.0
2,250,J01,-3.0
2,300,J01,-3.0
2,350,J01,3.0
2,400,J01,-3.0
2,450,J01,3.0
2,500,J01,3.0
2,550,J01,3.0
2,600,J01,-3.0
2,650,J01,3.0
2,700,J01,-3.0
2,750,J01,-0.95656
2,800,J01,0.31915
2,850,J01,0.0074
2,900,J01,-0.45606
2,950,J01,-0.44403
2,1000,J01,0.02035
2,1050,J01,-0.14709
3,50,J01,-1.61396
3,100,J01,-1.64797
3,150,J01,-3.0
3,200,J01,-1.89551
3,250,J01,-0.95671
3,300,J01,-0.85122
3,350,J01,-3.0
3,400,J01,-1.88349
3,450,J01,-2.50242
3,500,J01,3.0
3,550,J01,-2.6409
3,600,J01,3.0
3,650,J01,-0.83219
3,700,J01,-3.0
3,750,J01,-0.07401
3,800,J01,-0.41384
3,850,J01,0.06846
3,900,J01,-0.44773
3,950,J01,0.40148
3,1000,J01,0.04348
3,1050,J01,-0.27567
4,50,J01,-3.0
4,100,J01,-1.91386
4,150,J01,-3.0
4,200,J01,-0.70042
4,250,J01,0.38093
4,300,J01,3.0
4,350,J01,-3.0
4,400,J01,-3.0
4,450,J01,0.35932
4,500,J01,-2.01714
4,550,J01,-1.59826
4,600,J01,-3.0
4,650,J01,-3.0
4,700,J01,0.3284
4,750,J01,-0.84624
4,800,J01,0.48678
4,850,J01,-0.47734
4,900,J01,-0.0444
4,950,J01,-0.14524
4,1000,J01,0.19519
4,1050,J01,-0.45976
5,50,J01,-0.3097
5,100,J01,-3.0
5,150,J01,-2.14327
5,200,J01,-3.0
5,250,J01,2.59348
5,300,J01,3.0
5,350,J01,-0.61673
5,400,J01,-3.0
5,450,J01,-3.0
5,500,J01,0.05011
5,550,J01,-3.0
5,600,J01,-1.95944
5,650,J01,-2.24981
5,700,J01,-0.18273
5,750,J01,2.38872
5,800,J01,-0.51804
5,850,J01,-0.40148
5,900,J01,-0.43201
5,950,J01,0.22017
5,1000,J01,0.14524
5,1050,J01,0.01943
6,50,J01,0.05398
6,100,J01,-3.0
6,150,J01,-3.0
6,200,J01,0.91862
6,250,J01,1.56747
6,300,J01,-3.0
6,350,J01,-3.0
6,400,J01,-3.0
6,450,J01,-3.0
6,500,J01,-1.65411
6,550,J01,-3.0
6,600,J01,-3.0
6,650,J01,3.0
6,700,J01,-3.0
6,750,J01,3.0
6,800,J01,0.10909
6,850,J01,-0.44773
6,900,J01,0.50416
6,950,J01,1.25439
6,1000,J01,0.06105
6,1050,J01,0.13321
7,50,J01,3.0
7,100,J01,3.0
7,150,J01,-0.06703
7,200,J01,1.67884
7,250,J01,-1.09836
7,300,J01,-0.41571
7,350,J01,-1.95489
7,400,J01,3.0
7,450,J01,-0.70273
7,500,J01,-0.85638
7,550,J01,3.0
7,600,J01,3.0
7,650,J01,-3.0
7,700,J01,-0.94423
7,750,J01,1.15842
7,800,J01,-0.32285
7,850,J01,-0.13321
7,900,J01,0.13599
7,950,J01,0.08048
7,1000,J01,-0.08326
7,1050,J01,-0.39315
8,50,J01,2.9495
8,100,J01,-2.98591
8,150,J01,-0.99364
8,200,J01,-0.34558
8,250,J01,-1.93385
8,300,J01,1.28844
8,350,J01,-3.0
8,400,J01,-3.0
8,450,J01,-3.0
8,500,J01,3.0
8,550,J01,-1.09192
8,600,J01,-3.0
8,650,J01,-3.0
8,700,J01,-1.97628
8,750,J01,-0.31335
8,800,J01,0.96392
8,850,J01,0.0629
8,900,J01,-0.38575
8,950,J01,-0.51804
8,1000,J01,-0.43663
8,1050,J01,0.33302
