episode,agent,decision,signal_id,reward
1,IDQN_MM2,50,J01,-0.3131
1,IDQN_MM2,100,J01,-2.99264
1,IDQN_MM2,150,J01,3.0
1,IDQN_MM2,200,J01,-1.63469
1,IDQN_MM2,250,J01,-1.5516
1,IDQN_MM2,300,J01,-3.0
1,IDQN_MM2,350,J01,-3.0
1,IDQN_MM2,400,J01,-3.0
1,IDQN_MM2,450,J01,-3.0
1,IDQN_MM2,500,J01,2.67575
1,IDQN_MM2,550,J01,3.0
1,IDQN_MM2,600,J01,-1.59493
1,IDQN_MM2,650,J01,-3.0
1,IDQN_MM2,700,J01,-2.89819
1,IDQN_MM2,750,J01,0.50124
1,IDQN_MM2,800,J01,-0.32285
1,IDQN_MM2,850,J01,-0.17021
1,IDQN_MM2,900,J01,-0.08233
1,IDQN_MM2,950,J01,-0.44588
1,IDQN_MM2,1000,J01,-0.42738
1,IDQN_MM2,1050,J01,-0.29695
2,IDQN_MM2,50,J01,-2.75224
2,IDQN_MM2,100,J01,-3.0
2,IDQN_MM2,150,J01,2.32407
2,IDQN_MM2,200,J01,3.0
2,IDQN_MM2,250,J01,-2.36175
2,IDQN_MM2,300,J01,3.0
2,IDQN_MM2,350,J01,-3.0
2,IDQN_MM2,400,J01,-0.05489
2,IDQN_MM2,450,J01,-0.61086
2,IDQN_MM2,500,J01,-3.0
2,IDQN_MM2,550,J01,-1.04815
2,IDQN_MM2,600,J01,-3.0
2,IDQN_MM2,650,J01,-2.60063
2,IDQN_MM2,700,J01,3.0
2,IDQN_MM2,750,J01,-0.28652
2,IDQN_MM2,800,J01,-0.49121
2,IDQN_MM2,850,J01,0.51619
2,IDQN_MM2,900,J01,-0.41721
2,IDQN_MM2,950,J01,0.18686
2,IDQN_MM2,1000,J01,0.70213
2,IDQN_MM2,1050,J01,-0.06198
3,IDQN_MM2,50,J01,-0.77556
3,IDQN_MM2,100,J01,-2.44989
3,IDQN_MM2,150,J01,3.0
3,IDQN_MM2,200,J01,0.48
3,IDQN_MM2,250,J01,-0.34283
3,IDQN_MM2,300,J01,1.26966
3,IDQN_MM2,350,J01,3.0
3,IDQN_MM2,400,J01,-3.0
3,IDQN_MM2,450,J01,-3.0
3,IDQN_MM2,500,J01,-0.94008
3,IDQN_MM2,550,J01,0.31064
3,IDQN_MM2,600,J01,3.0
3,IDQN_MM2,650,J01,1.43033
3,IDQN_MM2,700,J01,-3.0
3,IDQN_MM2,750,J01,-1.79187
3,IDQN_MM2,800,J01,0.84736
3,IDQN_MM2,850,J01,0.73821
3,IDQN_MM2,900,J01,-0.34968
3,IDQN_MM2,950,J01,-0.42368
3,IDQN_MM2,1000,J01,0.05365
3,IDQN_MM2,1050,J01,-0.51804
4,IDQN_MM2,50,J01,-0.49433
4,IDQN_MM2,100,J01,-2.42054
4,IDQN_MM2,150,J01,-3.0
4,IDQN_MM2,200,J01,-2.75047
4,IDQN_MM2,250,J01,3.0
4,IDQN_MM2,300,J01,-3.0
4,IDQN_MM2,350,J01,-1.20445
4,IDQN_MM2,400,J01,1.7836
4,IDQN_MM2,450,J01,-3.0
4,IDQN_MM2,500,J01,-0.76569
4,IDQN_MM2,550,J01,-3.0
4,IDQN_MM2,600,J01,-2.18687
4,IDQN_MM2,650,J01,-1.26943
4,IDQN_MM2,700,J01,-3.0
4,IDQN_MM2,750,J01,2.80213
4,IDQN_MM2,800,J01,-0.02405
4,IDQN_MM2,850,J01,-0.23867
4,IDQN_MM2,900,J01,-0.28585
4,IDQN_MM2,950,J01,0.6087
4,IDQN_MM2,1000,J01,-0.23497
4,IDQN_MM2,1050,J01,0.48289
5,IDQN_MM2,50,J01,-0.91573
5,IDQN_MM2,100,J01,-3.0
5,IDQN_MM2,150,J01,-2.26461
5,IDQN_MM2,200,J01,1.15291
5,IDQN_MM2,250,J01,-0.16177
5,IDQN_MM2,300,J01,-2.35231
5,IDQN_MM2,350,J01,-1.9626
5,IDQN_MM2,400,J01,3.0
5,IDQN_MM2,450,J01,3.0
5,IDQN_MM2,500,J01,-1.31982
5,IDQN_MM2,550,J01,-3.0
5,IDQN_MM2,600,J01,1.23983
5,IDQN_MM2,650,J01,1.03914
5,IDQN_MM2,700,J01,-3.0
5,IDQN_MM2,750,J01,-0.44027
5,IDQN_MM2,800,J01,-0.35708
5,IDQN_MM2,850,J01,-0.07586
5,IDQN_MM2,900,J01,0.46161
5,IDQN_MM2,950,J01,-0.42646
5,IDQN_MM2,1000,J01,0.14616
5,IDQN_MM2,1050,J01,-0.48011
6,IDQN_MM2,50,J01,-1.33465
6,IDQN_MM2,100,J01,-0.09021
6,IDQN_MM2,150,J01,3.0
6,IDQN_MM2,200,J01,-1.88164
6,IDQN_MM2,250,J01,-2.96939
6,IDQN_MM2,300,J01,3.0
6,IDQN_MM2,350,J01,0.23918
6,IDQN_MM2,400,J01,-1.78415
6,IDQN_MM2,450,J01,-0.5647
6,IDQN_MM2,500,J01,-1.22809
6,IDQN_MM2,550,J01,-2.72426
6,IDQN_MM2,600,J01,1.0323
6,IDQN_MM2,650,J01,-3.0
6,IDQN_MM2,700,J01,-3.0
6,IDQN_MM2,750,J01,-0.2023
6,IDQN_MM2,800,J01,0.52914
6,IDQN_MM2,850,J01,0.19796
6,IDQN_MM2,900,J01,-0.21924
6,IDQN_MM2,950,J01,0.37558
6,IDQN_MM2,1000,J01,0.14616
6,IDQN_MM2,1050,J01,0.08418
7,IDQN_MM2,50,J01,3.0
7,IDQN_MM2,100,J01,3.0
7,IDQN_MM2,150,J01,3.0
7,IDQN_MM2,200,J01,-0.34188
