episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,IDQN_MM2,3400404.5,67795869.0,102737.5,183515.0,158624.0,0.0,-0.11047,0.45331,-2.37835,3.0,0.9509,0.0014,0.4636,0.0,0.9896,5.45007,nan,1080,156.7
2,IDQN_MM2,3774530.0,47393749.5,139636.5,179578.0,154002.0,0.0,-0.08908,0.44249,-2.90287,3.0,0.9237,0.0027,0.4617,0.0,0.9715,17.90327,1.171768,1080,147.6
3,IDQN_MM2,3338030.0,57167079.0,61160.5,181058.0,157187.0,0.0,-0.10292,0.43196,-2.17021,3.0,0.9439,0.001,0.4647,0.0,0.9525,24.00584,4.581702,1080,152.4
4,IDQN_MM2,2346443.5,66823271.5,87305.5,184747.0,164410.0,0.0,-0.09784,0.42664,-2.40888,3.0,0.9649,0.0013,0.4709,0.0,0.9335,60.74602,42.028959,1080,159.7
5,IDQN_MM2,2700063.5,65260449.5,74677.5,181715.0,160372.0,0.0,-0.09247,0.42043,-2.3358,3.0,0.9592,0.0011,0.4688,0.0,0.9145,255.47355,264.077343,1080,158.6
6,IDQN_MM2,2873877.5,58130247.5,53340.5,176672.0,154705.0,0.0,-0.08262,0.42015,-2.37373,3.0,0.9521,0.0009,0.4669,0.0,0.8955,1132.01284,1065.584589,1080,150.6
7,IDQN_MM2,2597159.5,37382351.0,54076.0,162562.0,144177.0,0.0,-0.04767,0.40038,-2.42553,3.0,0.9338,0.0014,0.47,0.0,0.8765,3917.43535,3360.11058,1080,157.0
8,IDQN_MM2,1705470.5,42846749.5,74087.5,154813.0,139041.0,0.0,-0.0506,0.36792,-2.43848,3.0,0.9601,0.0017,0.4732,0.0,0.8575,10758.61266,9022.743388,1080,162.7
9,IDQN_MM2,1555445.0,40193213.0,200381.0,155299.0,140260.0,0.0,-0.04971,0.38355,-2.18964,3.0,0.9581,0.0048,0.4746,0.0,0.8385,23280.94252,18961.768947,1080,154.0
10,IDQN_MM2,1478950.0,38473863.5,94360.0,148742.0,135485.0,0.0,-0.04345,0.37684,-1.91674,3.0,0.9607,0.0024,0.4767,0.0,0.8195,50874.24226,39327.154488,1080,159.3
11,IDQN_MM2,1503765.0,61668538.0,91728.0,156968.0,144414.0,0.0,-0.07215,0.36564,-2.20999,3.0,0.9748,0.0014,0.4792,0.0,0.8005,93367.22233,75507.933824,1080,163.5
12,IDQN_MM2,2355705.0,52435568.0,3149967.0,163516.0,147619.0,0.0,-0.08059,0.42185,-3.0,3.0,0.905,0.0544,0.4745,0.0,0.7815,147745.77084,120799.47682,1080,163.0
13,IDQN_MM2,2005889.0,44318367.0,106375.5,157791.0,142695.0,0.0,-0.05533,0.38831,-2.27567,3.0,0.9545,0.0023,0.4749,0.0,0.7625,239150.51748,194444.188604,1080,173.3
14,IDQN_MM2,1501656.5,37804614.0,94685.0,143825.0,131303.0,0.0,-0.04508,0.35164,-2.34228,3.0,0.9595,0.0024,0.4772,0.0,0.7435,337044.99984,281970.417309,1080,157.5
15,IDQN_MM2,1438330.5,55518693.5,119091.5,148220.0,137043.0,0.0,-0.0658,0.3537,-3.0,3.0,0.9727,0.0021,0.4804,0.0,0.7245,546895.63507,427609.183283,1080,169.8
16,IDQN_MM2,2337021.5,48918519.0,2825176.5,136861.0,123033.0,0.0,-0.05802,0.37768,-2.73913,3.0,0.9045,0.0522,0.4734,0.0,0.7055,835446.87807,608291.713498,1080,156.8
17,IDQN_MM2,2342142.0,68935650.0,128335.0,142318.0,131711.0,0.0,-0.07755,0.34965,-2.07863,3.0,0.9654,0.0018,0.4806,0.0,0.6865,1232590.56267,897219.103627,1080,160.8
18,IDQN_MM2,1423530.5,38282319.0,143047.5,149374.0,137270.0,0.0,-0.04146,0.35359,-1.95005,3.0,0.9607,0.0036,0.4789,0.0,0.6675,1999524.68021,1230841.378603,1080,160.5
19,IDQN_MM2,1182746.0,32465608.5,160200.5,133648.0,123579.0,0.0,-0.03902,0.32272,-2.70305,3.0,0.9603,0.0047,0.4804,0.0,0.6485,2733554.98264,1673198.034371,1080,156.9
20,IDQN_MM2,1607106.0,34176302.5,305883.0,127565.0,115825.0,0.0,-0.04641,0.32261,-1.87419,3.0,0.947,0.0085,0.4759,0.0,0.6295,4279164.97361,2286374.026748,1080,161.6
21,IDQN_MM2,2036859.5,49044496.0,136209.5,125710.0,114917.0,0.0,-0.06296,0.31542,-1.6827,3.0,0.9576,0.0027,0.4776,0.0,0.6105,5790410.48403,3013897.255654,1080,164.1
22,IDQN_MM2,1451171.5,43707797.5,232785.0,132236.0,122650.0,0.0,-0.0602,0.32928,-1.81869,3.0,0.9629,0.0051,0.4812,0.0,0.5915,8146167.30278,3930252.242547,1080,165.5
23,IDQN_MM2,1917651.0,50459949.5,192595.5,135667.0,123985.0,0.0,-0.07452,0.32881,-1.68363,3.0,0.9599,0.0037,0.4775,0.0,0.5725,10687245.12083,5016595.152064,1080,170.9
24,IDQN_MM2,1796126.5,62825670.5,244894.5,147438.0,136523.0,0.0,-0.07973,0.36386,-1.84181,3.0,0.9685,0.0038,0.4808,0.0,0.5535,14364790.89074,6287470.366335,1080,169.2
