episode,agent,decision,signal_id,reward
1,IDQN_MM2,50,J10,0.0037
1,IDQN_MM2,50,J11,0.00463
1,IDQN_MM2,50,J12,0.19889
1,IDQN_MM2,50,J13,0.04903
1,IDQN_MM2,50,cluster3106249630_3106249631_J60_J61_#5more,0.58464
1,IDQN_MM2,100,J10,-0.02498
1,IDQN_MM2,100,J11,-0.04255
1,IDQN_MM2,100,J12,1.15449
1,IDQN_MM2,100,J13,-0.00925
1,IDQN_MM2,100,cluster3106249630_3106249631_J60_J61_#5more,-1.71045
1,IDQN_MM2,150,J10,0.03885
1,IDQN_MM2,150,J11,0.0074
1,IDQN_MM2,150,J12,0.23219
1,IDQN_MM2,150,J13,-0.0407
1,IDQN_MM2,150,cluster3106249630_3106249631_J60_J61_#5more,-1.79278
1,IDQN_MM2,200,J10,-0.037
1,IDQN_MM2,200,J11,-0.01943
1,IDQN_MM2,200,J12,-1.14801
1,IDQN_MM2,200,J13,0.11378
1,IDQN_MM2,200,cluster3106249630_3106249631_J60_J61_#5more,-1.50139
1,IDQN_MM2,250,J10,-0.17299
1,IDQN_MM2,250,J11,-0.20629
1,IDQN_MM2,250,J12,-1.32007
1,IDQN_MM2,250,J13,-0.18964
1,IDQN_MM2,250,cluster3106249630_3106249631_J60_J61_#5more,3.0
1,IDQN_MM2,300,J10,-0.03978
1,IDQN_MM2,300,J11,-0.13506
1,IDQN_MM2,300,J12,-1.24237
1,IDQN_MM2,300,J13,0.06105
1,IDQN_MM2,300,cluster3106249630_3106249631_J60_J61_#5more,-1.30897
1,IDQN_MM2,350,J10,-0.0037
1,IDQN_MM2,350,J11,-0.24792
1,IDQN_MM2,350,J12,0.48751
1,IDQN_MM2,350,J13,0.38575
1,IDQN_MM2,350,cluster3106249630_3106249631_J60_J61_#5more,1.24607
1,IDQN_MM2,400,J10,-0.0
1,IDQN_MM2,400,J11,-0.13784
1,IDQN_MM2,400,J12,-1.48659
1,IDQN_MM2,400,J13,0.09251
1,IDQN_MM2,400,cluster3106249630_3106249631_J60_J61_#5more,0.94912
1,IDQN_MM2,450,J10,0.08326
1,IDQN_MM2,450,J11,0.40426
1,IDQN_MM2,450,J12,-1.15634
1,IDQN_MM2,450,J13,0.12951
1,IDQN_MM2,450,cluster3106249630_3106249631_J60_J61_#5more,-2.03238
1,IDQN_MM2,500,J10,-0.0
1,IDQN_MM2,500,J11,-0.06475
1,IDQN_MM2,500,J12,2.08696
1,IDQN_MM2,500,J13,0.07401
1,IDQN_MM2,500,cluster3106249630_3106249631_J60_J61_#5more,-1.29602
1,IDQN_MM2,550,J10,0.13043
1,IDQN_MM2,550,J11,-0.07123
1,IDQN_MM2,550,J12,3.0
1,IDQN_MM2,550,J13,-0.0555
1,IDQN_MM2,550,cluster3106249630_3106249631_J60_J61_#5more,2.07678
1,IDQN_MM2,600,J10,-0.18409
1,IDQN_MM2,600,J11,-0.02035
1,IDQN_MM2,600,J12,-0.95375
1,IDQN_MM2,600,J13,-0.0037
1,IDQN_MM2,600,cluster3106249630_3106249631_J60_J61_#5more,-1.89732
1,IDQN_MM2,650,J10,-0.0
1,IDQN_MM2,650,J11,0.04255
1,IDQN_MM2,650,J12,-1.3284
1,IDQN_MM2,650,J13,-0.00648
1,IDQN_MM2,650,cluster3106249630_3106249631_J60_J61_#5more,-1.55689
1,IDQN_MM2,700,J10,0.08696
1,IDQN_MM2,700,J11,-0.06383
1,IDQN_MM2,700,J12,-1.42091
1,IDQN_MM2,700,J13,-0.33025
1,IDQN_MM2,700,cluster3106249630_3106249631_J60_J61_#5more,1.17114
1,IDQN_MM2,750,J10,-0.0
1,IDQN_MM2,750,J11,-0.00093
1,IDQN_MM2,750,J12,2.20074
1,IDQN_MM2,750,J13,1.08233
1,IDQN_MM2,750,cluster3106249630_3106249631_J60_J61_#5more,-1.99815
1,IDQN_MM2,800,J10,-0.0
1,IDQN_MM2,800,J11,-0.0
1,IDQN_MM2,800,J12,-0.89732
1,IDQN_MM2,800,J13,-0.0
1,IDQN_MM2,800,cluster3106249630_3106249631_J60_J61_#5more,-1.86864
1,IDQN_MM2,850,J10,-0.0
1,IDQN_MM2,850,J11,-0.0
1,IDQN_MM2,850,J12,-1.17299
1,IDQN_MM2,850,J13,-0.037
1,IDQN_MM2,850,cluster3106249630_3106249631_J60_J61_#5more,-1.68363
1,IDQN_MM2,900,J10,-0.0
1,IDQN_MM2,900,J11,-0.0
1,IDQN_MM2,900,J12,-0.9371
1,IDQN_MM2,900,J13,-0.0
1,IDQN_MM2,900,cluster3106249630_3106249631_J60_J61_#5more,-1.82239
1,IDQN_MM2,950,J10,-0.0
1,IDQN_MM2,950,J11,-0.0
1,IDQN_MM2,950,J12,0.93617
1,IDQN_MM2,950,J13,-0.0
1,IDQN_MM2,950,cluster3106249630_3106249631_J60_J61_#5more,-0.82979
1,IDQN_MM2,1000,J10,-0.0
1,IDQN_MM2,1000,J11,-0.0
1,IDQN_MM2,1000,J12,-0.36818
1,IDQN_MM2,1000,J13,-0.0
1,IDQN_MM2,1000,cluster3106249630_3106249631_J60_J61_#5more,-2.07216
1,IDQN_MM2,1050,J10,-0.0
1,IDQN_MM2,1050,J11,-0.0
1,IDQN_MM2,1050,J12,-0.98057
1,IDQN_MM2,1050,J13,-0.0
1,IDQN_MM2,1050,cluster3106249630_3106249631_J60_J61_#5more,-1.78908
2,IDQN_MM2,50,J10,-0.02128
2,IDQN_MM2,50,J11,-0.0222
2,IDQN_MM2,50,J12,-0.28585
2,IDQN_MM2,50,J13,-0.14986
2,IDQN_MM2,50,cluster3106249630_3106249631_J60_J61_#5more,-0.96392
2,IDQN_MM2,100,J10,0.00925
2,IDQN_MM2,100,J11,0.00648
2,IDQN_MM2,100,J12,-0.2766
2,IDQN_MM2,100,J13,0.03238
2,IDQN_MM2,100,cluster3106249630_3106249631_J60_J61_#5more,-2.03608
2,IDQN_MM2,150,J10,-0.12396
2,IDQN_MM2,150,J11,0.20907
2,IDQN_MM2,150,J12,0.78353
2,IDQN_MM2,150,J13,0.01018
2,IDQN_MM2,150,cluster3106249630_3106249631_J60_J61_#5more,2.57909
2,IDQN_MM2,200,J10,0.0185
2,IDQN_MM2,200,J11,0.25439
2,IDQN_MM2,200,J12,1.9741
2,IDQN_MM2,200,J13,0.74006
2,IDQN_MM2,200,cluster3106249630_3106249631_J60_J61_#5more,3.0
2,IDQN_MM2,250,J10,-0.11193
2,IDQN_MM2,250,J11,-0.05643
2,IDQN_MM2,250,J12,-1.26087
2,IDQN_MM2,250,J13,0.11008
2,IDQN_MM2,250,cluster3106249630_3106249631_J60_J61_#5more,-1.80389
2,IDQN_MM2,300,J10,0.0444
2,IDQN_MM2,300,J11,0.0333
2,IDQN_MM2,300,J12,2.27752
2,IDQN_MM2,300,J13,-0.0185
2,IDQN_MM2,300,cluster3106249630_3106249631_J60_J61_#5more,1.27105
2,IDQN_MM2,350,J10,-0.01758
2,IDQN_MM2,350,J11,0.20814
2,IDQN_MM2,350,J12,-1.13228
2,IDQN_MM2,350,J13,0.0555
2,IDQN_MM2,350,cluster3106249630_3106249631_J60_J61_#5more,0.20259
2,IDQN_MM2,400,J10,-0.13691
2,IDQN_MM2,400,J11,-0.14339
2,IDQN_MM2,400,J12,0.12026
2,IDQN_MM2,400,J13,-0.15449
2,IDQN_MM2,400,cluster3106249630_3106249631_J60_J61_#5more,-2.46716
2,IDQN_MM2,450,J10,0.07863
2,IDQN_MM2,450,J11,-0.14154
2,IDQN_MM2,450,J12,-1.05735
2,IDQN_MM2,450,J13,-0.22387
2,IDQN_MM2,450,cluster3106249630_3106249631_J60_J61_#5more,-1.66327
2,IDQN_MM2,500,J10,-0.01943
2,IDQN_MM2,500,J11,-0.12673
2,IDQN_MM2,500,J12,-1.58464
2,IDQN_MM2,500,J13,0.15634
2,IDQN_MM2,500,cluster3106249630_3106249631_J60_J61_#5more,-1.19796
2,IDQN_MM2,550,J10,0.36633
2,IDQN_MM2,550,J11,-0.42368
2,IDQN_MM2,550,J12,1.16374
2,IDQN_MM2,550,J13,-0.12951
2,IDQN_MM2,550,cluster3106249630_3106249631_J60_J61_#5more,3.0
2,IDQN_MM2,600,J10,-0.02128
2,IDQN_MM2,600,J11,-0.13784
2,IDQN_MM2,600,J12,-1.13321
2,IDQN_MM2,600,J13,-0.23497
2,IDQN_MM2,600,cluster3106249630_3106249631_J60_J61_#5more,-1.33488
2,IDQN_MM2,650,J10,-0.02683
2,IDQN_MM2,650,J11,-0.12026
2,IDQN_MM2,650,J12,-0.81869
2,IDQN_MM2,650,J13,-0.08603
2,IDQN_MM2,650,cluster3106249630_3106249631_J60_J61_#5more,-1.35153
2,IDQN_MM2,700,J10,-0.01943
2,IDQN_MM2,700,J11,-0.14524
2,IDQN_MM2,700,J12,-1.02683
2,IDQN_MM2,700,J13,-0.02035
2,IDQN_MM2,700,cluster3106249630_3106249631_J60_J61_#5more,-1.84274
2,IDQN_MM2,750,J10,-0.0
2,IDQN_MM2,750,J11,-0.0148
2,IDQN_MM2,750,J12,0.17021
2,IDQN_MM2,750,J13,-0.00925
2,IDQN_MM2,750,cluster3106249630_3106249631_J60_J61_#5more,-1.94265
2,IDQN_MM2,800,J10,-0.0
2,IDQN_MM2,800,J11,-0.0
2,IDQN_MM2,800,J12,0.13691
2,IDQN_MM2,800,J13,-0.0
2,IDQN_MM2,800,cluster3106249630_3106249631_J60_J61_#5more,-1.3876
2,IDQN_MM2,850,J10,-0.0
2,IDQN_MM2,850,J11,-0.0
2,IDQN_MM2,850,J12,-1.03515
2,IDQN_MM2,850,J13,-0.0
2,IDQN_MM2,850,cluster3106249630_3106249631_J60_J61_#5more,-1.66512
2,IDQN_MM2,900,J10,-0.0
2,IDQN_MM2,900,J11,-0.0
2,IDQN_MM2,900,J12,-0.89454
2,IDQN_MM2,900,J13,-0.0185
2,IDQN_MM2,900,cluster3106249630_3106249631_J60_J61_#5more,-1.68363
2,IDQN_MM2,950,J10,-0.0
2,IDQN_MM2,950,J11,-0.0
2,IDQN_MM2,950,J12,-1.0592
2,IDQN_MM2,950,J13,-0.0
2,IDQN_MM2,950,cluster3106249630_3106249631_J60_J61_#5more,-1.55134
2,IDQN_MM2,1000,J10,-0.0
2,IDQN_MM2,1000,J11,-0.0
2,IDQN_MM2,1000,J12,-0.98335
2,IDQN_MM2,1000,J13,-0.0
2,IDQN_MM2,1000,cluster3106249630_3106249631_J60_J61_#5more,-1.83164
2,IDQN_MM2,1050,J10,-0.0
2,IDQN_MM2,1050,J11,-0.0
2,IDQN_MM2,1050,J12,1.52544
2,IDQN_MM2,1050,J13,-0.0
2,IDQN_MM2,1050,cluster3106249630_3106249631_J60_J61_#5more,-1.77798
3,IDQN_MM2,50,J10,-0.0
3,IDQN_MM2,50,J11,0.0444
3,IDQN_MM2,50,J12,0.08973
3,IDQN_MM2,50,J13,-0.04718
3,IDQN_MM2,50,cluster3106249630_3106249631_J60_J61_#5more,-0.32747
3,IDQN_MM2,100,J10,0.0629
3,IDQN_MM2,100,J11,-0.03423
3,IDQN_MM2,100,J12,-0.77058
3,IDQN_MM2,100,J13,-0.03978
3,IDQN_MM2,100,cluster3106249630_3106249631_J60_J61_#5more,-1.38298
3,IDQN_MM2,150,J10,-0.04255
3,IDQN_MM2,150,J11,-0.06753
3,IDQN_MM2,150,J12,-0.72248
3,IDQN_MM2,150,J13,0.06938
3,IDQN_MM2,150,cluster3106249630_3106249631_J60_J61_#5more,-1.39685
3,IDQN_MM2,200,J10,0.10176
3,IDQN_MM2,200,J11,0.20907
3,IDQN_MM2,200,J12,-1.18131
3,IDQN_MM2,200,J13,-0.12488
3,IDQN_MM2,200,cluster3106249630_3106249631_J60_J61_#5more,2.77058
3,IDQN_MM2,250,J10,-0.21647
3,IDQN_MM2,250,J11,-0.13969
3,IDQN_MM2,250,J12,-0.89547
3,IDQN_MM2,250,J13,0.22849
3,IDQN_MM2,250,cluster3106249630_3106249631_J60_J61_#5more,2.74561
3,IDQN_MM2,300,J10,-0.0666
3,IDQN_MM2,300,J11,-0.00925
3,IDQN_MM2,300,J12,-1.17206
3,IDQN_MM2,300,J13,-0.0148
3,IDQN_MM2,300,cluster3106249630_3106249631_J60_J61_#5more,-1.64292
3,IDQN_MM2,350,J10,-0.00278
3,IDQN_MM2,350,J11,-0.03978
3,IDQN_MM2,350,J12,-0.67993
3,IDQN_MM2,350,J13,0.0444
3,IDQN_MM2,350,cluster3106249630_3106249631_J60_J61_#5more,3.0
3,IDQN_MM2,400,J10,-0.00555
3,IDQN_MM2,400,J11,-0.06846
3,IDQN_MM2,400,J12,-1.24607
3,IDQN_MM2,400,J13,-0.12673
3,IDQN_MM2,400,cluster3106249630_3106249631_J60_J61_#5more,-1.3876
3,IDQN_MM2,450,J10,-0.04533
3,IDQN_MM2,450,J11,-0.0518
3,IDQN_MM2,450,J12,3.0
3,IDQN_MM2,450,J13,0.69195
3,IDQN_MM2,450,cluster3106249630_3106249631_J60_J61_#5more,-1.70675
3,IDQN_MM2,500,J10,-0.00925
3,IDQN_MM2,500,J11,0.14061
3,IDQN_MM2,500,J12,-0.77243
3,IDQN_MM2,500,J13,-0.2877
3,IDQN_MM2,500,cluster3106249630_3106249631_J60_J61_#5more,-1.68548
3,IDQN_MM2,550,J10,0.04163
3,IDQN_MM2,550,J11,-0.14061
3,IDQN_MM2,550,J12,0.38483
3,IDQN_MM2,550,J13,0.12766
3,IDQN_MM2,550,cluster3106249630_3106249631_J60_J61_#5more,1.29787
3,IDQN_MM2,600,J10,-0.10361
3,IDQN_MM2,600,J11,0.06753
3,IDQN_MM2,600,J12,-0.65865
3,IDQN_MM2,600,J13,-0.0
3,IDQN_MM2,600,cluster3106249630_3106249631_J60_J61_#5more,1.51804
3,IDQN_MM2,650,J10,-0.49954
3,IDQN_MM2,650,J11,-0.09991
3,IDQN_MM2,650,J12,0.57539
3,IDQN_MM2,650,J13,-0.10731
3,IDQN_MM2,650,cluster3106249630_3106249631_J60_J61_#5more,2.54024
3,IDQN_MM2,700,J10,-0.21832
3,IDQN_MM2,700,J11,-0.18224
3,IDQN_MM2,700,J12,-1.18039
3,IDQN_MM2,700,J13,-0.24422
3,IDQN_MM2,700,cluster3106249630_3106249631_J60_J61_#5more,-1.2692
3,IDQN_MM2,750,J10,-0.49954
3,IDQN_MM2,750,J11,-0.00925
3,IDQN_MM2,750,J12,-1.49861
3,IDQN_MM2,750,J13,-0.0
3,IDQN_MM2,750,cluster3106249630_3106249631_J60_J61_#5more,3.0
3,IDQN_MM2,800,J10,-0.49954
3,IDQN_MM2,800,J11,-0.0
3,IDQN_MM2,800,J12,0.19241
3,IDQN_MM2,800,J13,0.06475
3,IDQN_MM2,800,cluster3106249630_3106249631_J60_J61_#5more,-1.92507
3,IDQN_MM2,850,J10,-0.48751
3,IDQN_MM2,850,J11,-0.0
3,IDQN_MM2,850,J12,-0.6864
3,IDQN_MM2,850,J13,-0.0
3,IDQN_MM2,850,cluster3106249630_3106249631_J60_J61_#5more,-1.48196
3,IDQN_MM2,900,J10,-0.0
3,IDQN_MM2,900,J11,-0.0
3,IDQN_MM2,900,J12,-0.86957
3,IDQN_MM2,900,J13,-0.0
3,IDQN_MM2,900,cluster3106249630_3106249631_J60_J61_#5more,-1.88714
3,IDQN_MM2,950,J10,-0.0
3,IDQN_MM2,950,J11,-0.0
3,IDQN_MM2,950,J12,-1.07308
3,IDQN_MM2,950,J13,-0.0
3,IDQN_MM2,950,cluster3106249630_3106249631_J60_J61_#5more,-2.05365
3,IDQN_MM2,1000,J10,-0.0
3,IDQN_MM2,1000,J11,-0.0
3,IDQN_MM2,1000,J12,-0.01943
3,IDQN_MM2,1000,J13,-0.0
3,IDQN_MM2,1000,cluster3106249630_3106249631_J60_J61_#5more,-0.60407
3,IDQN_MM2,1050,J10,-0.0
3,IDQN_MM2,1050,J11,-0.0
3,IDQN_MM2,1050,J12,-0.70953
3,IDQN_MM2,1050,J13,-0.0
3,IDQN_MM2,1050,cluster3106249630_3106249631_J60_J61_#5more,-2.02313
4,IDQN_MM2,50,J10,-0.00648
4,IDQN_MM2,50,J11,0.19241
4,IDQN_MM2,50,J12,-1.23312
4,IDQN_MM2,50,J13,-0.04348
4,IDQN_MM2,50,cluster3106249630_3106249631_J60_J61_#5more,-0.87419
4,IDQN_MM2,100,J10,-0.10361
4,IDQN_MM2,100,J11,-0.06013
4,IDQN_MM2,100,J12,0.23404
4,IDQN_MM2,100,J13,-0.08326
4,IDQN_MM2,100,cluster3106249630_3106249631_J60_J61_#5more,-1.43941
4,IDQN_MM2,150,J10,-0.01388
4,IDQN_MM2,150,J11,-0.10916
4,IDQN_MM2,150,J12,-0.67808
4,IDQN_MM2,150,J13,-0.05735
4,IDQN_MM2,150,cluster3106249630_3106249631_J60_J61_#5more,3.0
4,IDQN_MM2,200,J10,0.01388
4,IDQN_MM2,200,J11,-0.10176
4,IDQN_MM2,200,J12,-1.26087
4,IDQN_MM2,200,J13,0.02035
4,IDQN_MM2,200,cluster3106249630_3106249631_J60_J61_#5more,-0.76873
4,IDQN_MM2,250,J10,-0.08696
4,IDQN_MM2,250,J11,0.03608
4,IDQN_MM2,250,J12,-1.45883
4,IDQN_MM2,250,J13,-0.0555
4,IDQN_MM2,250,cluster3106249630_3106249631_J60_J61_#5more,-1.75486
4,IDQN_MM2,300,J10,-0.06846
4,IDQN_MM2,300,J11,-0.06105
4,IDQN_MM2,300,J12,-1.49954
4,IDQN_MM2,300,J13,-0.18871
4,IDQN_MM2,300,cluster3106249630_3106249631_J60_J61_#5more,-1.75023
4,IDQN_MM2,350,J10,-0.01203
4,IDQN_MM2,350,J11,-0.20814
4,IDQN_MM2,350,J12,2.69843
4,IDQN_MM2,350,J13,-0.02313
4,IDQN_MM2,350,cluster3106249630_3106249631_J60_J61_#5more,3.0
4,IDQN_MM2,400,J10,-0.0
4,IDQN_MM2,400,J11,0.9371
4,IDQN_MM2,400,J12,-1.22664
4,IDQN_MM2,400,J13,-0.07308
4,IDQN_MM2,400,cluster3106249630_3106249631_J60_J61_#5more,-1.22942
4,IDQN_MM2,450,J10,-0.0
4,IDQN_MM2,450,J11,-0.57909
4,IDQN_MM2,450,J12,-0.49399
4,IDQN_MM2,450,J13,-0.2803
4,IDQN_MM2,450,cluster3106249630_3106249631_J60_J61_#5more,3.0
4,IDQN_MM2,500,J10,-0.01573
4,IDQN_MM2,500,J11,1.91397
4,IDQN_MM2,500,J12,-0.85661
4,IDQN_MM2,500,J13,0.11008
4,IDQN_MM2,500,cluster3106249630_3106249631_J60_J61_#5more,-1.57539
4,IDQN_MM2,550,J10,0.07586
4,IDQN_MM2,550,J11,-0.50231
4,IDQN_MM2,550,J12,0.6938
4,IDQN_MM2,550,J13,0.13969
4,IDQN_MM2,550,cluster3106249630_3106249631_J60_J61_#5more,-1.87419
4,IDQN_MM2,600,J10,0.09621
4,IDQN_MM2,600,J11,0.66142
4,IDQN_MM2,600,J12,-1.36448
4,IDQN_MM2,600,J13,-0.0
4,IDQN_MM2,600,cluster3106249630_3106249631_J60_J61_#5more,-1.9741
4,IDQN_MM2,650,J10,-0.0185
4,IDQN_MM2,650,J11,-0.46994
4,IDQN_MM2,650,J12,-1.46809
4,IDQN_MM2,650,J13,0.44218
4,IDQN_MM2,650,cluster3106249630_3106249631_J60_J61_#5more,-1.26457
4,IDQN_MM2,700,J10,0.02405
4,IDQN_MM2,700,J11,-0.50139
4,IDQN_MM2,700,J12,-0.6716
4,IDQN_MM2,700,J13,0.11563
4,IDQN_MM2,700,cluster3106249630_3106249631_J60_J61_#5more,-2.395
4,IDQN_MM2,750,J10,-0.0
4,IDQN_MM2,750,J11,-0.04625
4,IDQN_MM2,750,J12,1.07123
4,IDQN_MM2,750,J13,-0.0
4,IDQN_MM2,750,cluster3106249630_3106249631_J60_J61_#5more,-1.15634
4,IDQN_MM2,800,J10,-0.0
4,IDQN_MM2,800,J11,-0.037
4,IDQN_MM2,800,J12,1.44958
4,IDQN_MM2,800,J13,-0.0
4,IDQN_MM2,800,cluster3106249630_3106249631_J60_J61_#5more,0.23682
4,IDQN_MM2,850,J10,-0.0
4,IDQN_MM2,850,J11,-0.0
4,IDQN_MM2,850,J12,-1.30342
4,IDQN_MM2,850,J13,-0.0
4,IDQN_MM2,850,cluster3106249630_3106249631_J60_J61_#5more,-1.88714
4,IDQN_MM2,900,J10,-0.0
4,IDQN_MM2,900,J11,-0.0
4,IDQN_MM2,900,J12,-0.98242
4,IDQN_MM2,900,J13,-0.0037
4,IDQN_MM2,900,cluster3106249630_3106249631_J60_J61_#5more,1.56429
4,IDQN_MM2,950,J10,-0.0
4,IDQN_MM2,950,J11,-0.0
4,IDQN_MM2,950,J12,0.43016
4,IDQN_MM2,950,J13,-0.0
4,IDQN_MM2,950,cluster3106249630_3106249631_J60_J61_#5more,3.0
4,IDQN_MM2,1000,J10,-0.0
4,IDQN_MM2,1000,J11,-0.0
4,IDQN_MM2,1000,J12,-0.26735
4,IDQN_MM2,1000,J13,-0.0
4,IDQN_MM2,1000,cluster3106249630_3106249631_J60_J61_#5more,-1.40611
