episode,decision,signal_id,reward
1,50,J01,-1.84804
1,100,J01,-3.0
1,150,J01,-3.0
1,200,J01,-3.0
1,250,J01,-3.0
1,300,J01,-3.0
1,350,J01,-3.0
1,400,J01,-3.0
1,450,J01,-3.0
1,500,J01,-3.0
1,550,J01,-3.0
1,600,J01,-3.0
1,650,J01,-3.0
1,700,J01,-2.98601
1,750,J01,3.0
1,800,J01,0.6605
1,850,J01,1.96947
1,900,J01,-0.28215
1,950,J01,0.32285
1,1000,J01,-0.0407
1,1050,J01,-0.44311
2,50,J01,-2.70264
2,100,J01,-0.46551
2,150,J01,3.0
2,200,J01,-3.0
2,250,J01,3.0
2,300,J01,-3.0
2,350,J01,-3.0
2,400,J01,-3.0
2,450,J01,3.0
2,500,J01,-0.67511
2,550,J01,-3.0
2,600,J01,-3.0
2,650,J01,3.0
2,700,J01,-1.36797
2,750,J01,-0.60044
2,800,J01,-0.50543
2,850,J01,0.40056
2,900,J01,-0.06738
2,950,J01,-0.44866
2,1000,J01,-0.25809
2,1050,J01,-0.12211
3,50,J01,3.0
3,100,J01,3.0
3,150,J01,-3.0
3,200,J01,-0.63004
3,250,J01,-0.01849
3,300,J01,-3.0
3,350,J01,-3.0
3,400,J01,-2.96888
3,450,J01,-0.28131
3,500,J01,-3.0
3,550,J01,-3.0
3,600,J01,-3.0
3,650,J01,2.22673
3,700,J01,-3.0
3,750,J01,3.0
3,800,J01,-0.01943
3,850,J01,0.33302
3,900,J01,-0.50231
3,950,J01,-0.17299
3,1000,J01,0.06105
3,1050,J01,-0.36818
4,50,J01,-3.0
4,100,J01,3.0
4,150,J01,-1.01273
4,200,J01,1.34085
4,250,J01,-3.0
4,300,J01,3.0
4,350,J01,-1.24638
4,400,J01,-3.0
4,450,J01,3.0
4,500,J01,-0.62682
4,550,J01,-3.0
4,600,J01,-2.37007
4,650,J01,-1.77524
4,700,J01,-3.0
4,750,J01,-0.52132
4,800,J01,-0.28677
4,850,J01,0.53377
4,900,J01,-0.21184
4,950,J01,-0.08048
4,1000,J01,-0.45051
4,1050,J01,-0.15634
5,50,J01,-1.99657
5,100,J01,0.3905
5,150,J01,-3.0
5,200,J01,-2.11016
5,250,J01,-0.58916
5,300,J01,-3.0
5,350,J01,0.96384
5,400,J01,-3.0
5,450,J01,-0.30785
5,500,J01,-1.07859
5,550,J01,3.0
5,600,J01,-0.46289
5,650,J01,-3.0
5,700,J01,-0.03862
5,750,J01,-2.10842
5,800,J01,0.13599
5,850,J01,0.03238
5,900,J01,-0.09991
5,950,J01,-0.21832
5,1000,J01,-0.42368
5,1050,J01,-0.2914
6,50,J01,-0.70609
6,100,J01,-2.06537
6,150,J01,-1.9442
6,200,J01,-3.0
6,250,J01,-1.89655
6,300,J01,-3.0
6,350,J01,0.38617
6,400,J01,-3.0
6,450,J01,3.0
6,500,J01,1.56327
6,550,J01,-3.0
6,600,J01,1.92801
6,650,J01,0.10731
6,700,J01,-1.03
6,750,J01,-0.53702
6,800,J01,-0.0074
6,850,J01,-0.36263
6,900,J01,-0.07586
6,950,J01,0.10444
6,1000,J01,-0.00555
6,1050,J01,-0.37003
7,50,J01,-3.0
7,100,J01,-3.0
7,150,J01,-2.09181
7,200,J01,-3.0
7,250,J01,-0.92449
7,300,J01,2.18288
7,350,J01,-0.05503
7,400,J01,-3.0
7,450,J01,-0.30383
7,500,J01,-0.55624
7,550,J01,-3.0
7,600,J01,3.0
7,650,J01,-3.0
7,700,J01,-3.0
7,750,J01,1.1576
7,800,J01,-0.20074
7,850,J01,-0.41258
7,900,J01,-0.48659
7,950,J01,0.24052
7,1000,J01,-0.31267
7,1050,J01,0.6901
8,50,J01,3.0
8,100,J01,-3.0
8,150,J01,-3.0
8,200,J01,-0.49555
8,250,J01,0.04712
8,300,J01,-1.38634
8,350,J01,-3.0
8,400,J01,-1.17848
8,450,J01,-3.0
8,500,J01,-3.0
8,550,J01,3.0
8,600,J01,3.0
8,650,J01,-3.0
8,700,J01,-3.0
8,750,J01,0.13631
8,800,J01,-0.56993
8,850,J01,-0.15726
8,900,J01,0.07863
8,950,J01,-0.38113
8,1000,J01,0.41998
8,1050,J01,-0.40981
9,50,J01,1.71971
9,100,J01,-3.0
9,150,J01,-3.0
9,200,J01,-1.08225
9,250,J01,-2.91912
9,300,J01,3.0
9,350,J01,-3.0
9,400,J01,3.0
9,450,J01,-3.0
9,500,J01,-1.92571
9,550,J01,-3.0
9,600,J01,-2.48767
9,650,J01,2.27243
