5.0, {'J01': np.float32(0.0)}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': np.float32(-0.011160715)}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': np.float32(-0.03348214)}, {'J01': 1}, {'J01': 4}, 
20.0, {'J01': np.float32(-0.125)}, {'J01': 1}, {'J01': 5}, 
25.0, {'J01': np.float32(-0.3794643)}, {'J01': 3}, {'J01': 9}, 
30.0, {'J01': np.float32(-0.56473213)}, {'J01': 4}, {'J01': 12}, 
35.0, {'J01': np.float32(-0.66071427)}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': np.float32(-0.79464287)}, {'J01': 4}, {'J01': 8}, 
45.0, {'J01': np.float32(-0.921875)}, {'J01': 4}, {'J01': 8}, 
50.0, {'J01': np.float32(-1.3058035)}, {'J01': 4}, {'J01': 12}, 
55.0, {'J01': np.float32(-1.8214285)}, {'J01': 4}, {'J01': 22}, 
60.0, {'J01': np.float32(-2.921875)}, {'J01': 7}, {'J01': 32}, 
65.0, {'J01': np.float32(-3.377232)}, {'J01': 8}, {'J01': 29}, 
70.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
75.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 31}, 
80.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
85.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 29}, 
90.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 22}, 
95.0, {'J01': np.float32(-4.0)}, {'J01': 7}, {'J01': 26}, 
100.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 29}, 
105.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 34}, 
110.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
115.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
120.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 37}, 
125.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 37}, 
130.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 32}, 
135.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 36}, 
140.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 42}, 
145.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 39}, 
150.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 35}, 
155.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 38}, 
160.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 41}, 
165.0, {'J01': np.float32(-4.0)}, {'J01': 8}, {'J01': 41}, 
170.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 42}, 
175.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 46}, 
180.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 46}, 
185.0, {'J01': np.float32(-4.0)}, {'J01': 9}, {'J01': 47}, 
190.0, {'J01': np.float32(-4.0)}, {'J01': 10}, {'J01': 48}, 
195.0, {'J01': np.float32(-4.0)}, {'J01': 10}, {'J01': 49}, 
200.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 50}, 
205.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 51}, 
210.0, {'J01': np.float32(-4.0)}, {'J01': 11}, {'J01': 52}, 
215.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 54}, 
220.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 54}, 
225.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 52}, 
230.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 50}, 
235.0, {'J01': np.float32(-4.0)}, {'J01': 13}, {'J01': 50}, 
240.0, {'J01': np.float32(-4.0)}, {'J01': 14}, {'J01': 52}, 
245.0, {'J01': np.float32(-4.0)}, {'J01': 15}, {'J01': 55}, 
250.0, {'J01': np.float32(-4.0)}, {'J01': 15}, {'J01': 55}, 
255.0, {'J01': np.float32(-4.0)}, {'J01': 15}, {'J01': 57}, 
260.0, {'J01': np.float32(-4.0)}, {'J01': 15}, {'J01': 57}, 
265.0, {'J01': np.float32(-4.0)}, {'J01': 15}, {'J01': 57}, 
270.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 60}, 
275.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 61}, 
280.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 61}, 
285.0, {'J01': np.float32(-4.0)}, {'J01': 18}, {'J01': 62}, 
290.0, {'J01': np.float32(-4.0)}, {'J01': 21}, {'J01': 62}, 
295.0, {'J01': np.float32(-4.0)}, {'J01': 21}, {'J01': 60}, 
300.0, {'J01': np.float32(-4.0)}, {'J01': 22}, {'J01': 61}, 
305.0, {'J01': np.float32(-4.0)}, {'J01': 22}, {'J01': 62}, 
310.0, {'J01': np.float32(-4.0)}, {'J01': 22}, {'J01': 62}, 
315.0, {'J01': np.float32(-4.0)}, {'J01': 23}, {'J01': 63}, 
320.0, {'J01': np.float32(-4.0)}, {'J01': 26}, {'J01': 66}, 
325.0, {'J01': np.float32(-4.0)}, {'J01': 26}, {'J01': 66}, 
330.0, {'J01': np.float32(-4.0)}, {'J01': 26}, {'J01': 66}, 
335.0, {'J01': np.float32(-4.0)}, {'J01': 26}, {'J01': 66}, 
340.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 68}, 
345.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 68}, 
350.0, {'J01': np.float32(-4.0)}, {'J01': 28}, {'J01': 69}, 
355.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 69}, 
360.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 70}, 
365.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 70}, 
370.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 70}, 
375.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 70}, 
380.0, {'J01': np.float32(-4.0)}, {'J01': 30}, {'J01': 70}, 
385.0, {'J01': np.float32(-4.0)}, {'J01': 31}, {'J01': 71}, 
