5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -10.5}, {'J01': 1}, {'J01': 3}, 
25.0, {'J01': -45.0}, {'J01': 2}, {'J01': 5}, 
30.0, {'J01': -100.0}, {'J01': 3}, {'J01': 7}, 
35.0, {'J01': -179.5}, {'J01': 3}, {'J01': 11}, 
40.0, {'J01': -288.0}, {'J01': 4}, {'J01': 14}, 
45.0, {'J01': -438.0}, {'J01': 5}, {'J01': 18}, 
50.0, {'J01': -620.0}, {'J01': 7}, {'J01': 21}, 
55.0, {'J01': -838.0}, {'J01': 8}, {'J01': 23}, 
60.0, {'J01': -1085.0}, {'J01': 8}, {'J01': 28}, 
65.0, {'J01': -1386.0}, {'J01': 8}, {'J01': 34}, 
70.0, {'J01': -1726.5}, {'J01': 8}, {'J01': 35}, 
75.0, {'J01': -2085.0}, {'J01': 8}, {'J01': 37}, 
80.0, {'J01': -2460.0}, {'J01': 8}, {'J01': 38}, 
85.0, {'J01': -2845.0}, {'J01': 8}, {'J01': 39}, 
90.0, {'J01': -3240.0}, {'J01': 8}, {'J01': 40}, 
95.0, {'J01': -3640.0}, {'J01': 8}, {'J01': 40}, 
100.0, {'J01': -4051.5}, {'J01': 8}, {'J01': 43}, 
105.0, {'J01': -4482.5}, {'J01': 8}, {'J01': 44}, 
110.0, {'J01': -3679.5}, {'J01': 7}, {'J01': 35}, 
115.0, {'J01': -2565.5}, {'J01': 4}, {'J01': 23}, 
120.0, {'J01': -2240.0}, {'J01': 4}, {'J01': 21}, 
125.0, {'J01': -1907.0}, {'J01': 4}, {'J01': 18}, 
130.0, {'J01': -2088.5}, {'J01': 4}, {'J01': 19}, 
135.0, {'J01': -2283.0}, {'J01': 4}, {'J01': 21}, 
140.0, {'J01': -2498.0}, {'J01': 5}, {'J01': 23}, 
145.0, {'J01': -2729.5}, {'J01': 5}, {'J01': 24}, 
150.0, {'J01': -2978.0}, {'J01': 5}, {'J01': 26}, 
155.0, {'J01': -3238.0}, {'J01': 5}, {'J01': 26}, 
160.0, {'J01': -3498.0}, {'J01': 5}, {'J01': 26}, 
165.0, {'J01': -3765.0}, {'J01': 6}, {'J01': 28}, 
170.0, {'J01': -2837.5}, {'J01': 6}, {'J01': 23}, 
175.0, {'J01': -2521.0}, {'J01': 6}, {'J01': 24}, 
180.0, {'J01': -2619.0}, {'J01': 7}, {'J01': 22}, 
185.0, {'J01': -2839.0}, {'J01': 7}, {'J01': 22}, 
190.0, {'J01': -3059.0}, {'J01': 7}, {'J01': 22}, 
195.0, {'J01': -3279.0}, {'J01': 7}, {'J01': 22}, 
200.0, {'J01': -3499.0}, {'J01': 7}, {'J01': 22}, 
205.0, {'J01': -3726.5}, {'J01': 8}, {'J01': 24}, 
210.0, {'J01': -3970.5}, {'J01': 8}, {'J01': 26}, 
215.0, {'J01': -4219.0}, {'J01': 8}, {'J01': 26}, 
220.0, {'J01': -4414.0}, {'J01': 8}, {'J01': 23}, 
225.0, {'J01': -4648.0}, {'J01': 8}, {'J01': 24}, 
230.0, {'J01': -4888.0}, {'J01': 8}, {'J01': 24}, 
235.0, {'J01': -4355.5}, {'J01': 8}, {'J01': 21}, 
240.0, {'J01': -4555.5}, {'J01': 8}, {'J01': 22}, 
245.0, {'J01': -4785.0}, {'J01': 8}, {'J01': 26}, 
250.0, {'J01': -4994.5}, {'J01': 9}, {'J01': 25}, 
255.0, {'J01': -5200.0}, {'J01': 9}, {'J01': 23}, 
260.0, {'J01': -5434.0}, {'J01': 9}, {'J01': 25}, 
265.0, {'J01': -5687.5}, {'J01': 9}, {'J01': 26}, 
270.0, {'J01': -5954.0}, {'J01': 9}, {'J01': 29}, 
275.0, {'J01': -6251.5}, {'J01': 9}, {'J01': 32}, 
280.0, {'J01': -6577.5}, {'J01': 9}, {'J01': 34}, 
285.0, {'J01': -6791.0}, {'J01': 9}, {'J01': 31}, 
290.0, {'J01': -6969.0}, {'J01': 9}, {'J01': 27}, 
295.0, {'J01': -7247.5}, {'J01': 10}, {'J01': 30}, 
