5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -8.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -25.5}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -47.5}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -98.5}, {'J01': 2}, {'J01': 8}, 
35.0, {'J01': -132.0}, {'J01': 2}, {'J01': 7}, 
40.0, {'J01': -161.0}, {'J01': 2}, {'J01': 8}, 
45.0, {'J01': -228.0}, {'J01': 2}, {'J01': 15}, 
50.0, {'J01': -297.0}, {'J01': 2}, {'J01': 14}, 
55.0, {'J01': -387.0}, {'J01': 3}, {'J01': 15}, 
60.0, {'J01': -555.5}, {'J01': 4}, {'J01': 25}, 
65.0, {'J01': -840.5}, {'J01': 7}, {'J01': 38}, 
70.0, {'J01': -1065.5}, {'J01': 7}, {'J01': 37}, 
75.0, {'J01': -1175.5}, {'J01': 5}, {'J01': 29}, 
80.0, {'J01': -1229.5}, {'J01': 4}, {'J01': 23}, 
85.0, {'J01': -1274.5}, {'J01': 3}, {'J01': 22}, 
90.0, {'J01': -1338.5}, {'J01': 4}, {'J01': 24}, 
95.0, {'J01': -1544.0}, {'J01': 6}, {'J01': 31}, 
100.0, {'J01': -1731.5}, {'J01': 5}, {'J01': 29}, 
105.0, {'J01': -1797.5}, {'J01': 4}, {'J01': 23}, 
110.0, {'J01': -1916.5}, {'J01': 4}, {'J01': 20}, 
115.0, {'J01': -2134.5}, {'J01': 4}, {'J01': 29}, 
120.0, {'J01': -2440.5}, {'J01': 7}, {'J01': 37}, 
125.0, {'J01': -2645.5}, {'J01': 7}, {'J01': 34}, 
130.0, {'J01': -2796.5}, {'J01': 5}, {'J01': 29}, 
135.0, {'J01': -2950.5}, {'J01': 4}, {'J01': 26}, 
140.0, {'J01': -3032.0}, {'J01': 4}, {'J01': 27}, 
145.0, {'J01': -2533.5}, {'J01': 4}, {'J01': 29}, 
150.0, {'J01': -2638.5}, {'J01': 7}, {'J01': 37}, 
155.0, {'J01': -3012.0}, {'J01': 8}, {'J01': 44}, 
160.0, {'J01': -3180.5}, {'J01': 7}, {'J01': 41}, 
165.0, {'J01': -3266.5}, {'J01': 5}, {'J01': 32}, 
170.0, {'J01': -3428.5}, {'J01': 5}, {'J01': 28}, 
175.0, {'J01': -3520.5}, {'J01': 5}, {'J01': 24}, 
180.0, {'J01': -2773.0}, {'J01': 3}, {'J01': 17}, 
185.0, {'J01': -2323.0}, {'J01': 3}, {'J01': 18}, 
190.0, {'J01': -2450.0}, {'J01': 6}, {'J01': 26}, 
195.0, {'J01': -2735.5}, {'J01': 8}, {'J01': 36}, 
200.0, {'J01': -2912.5}, {'J01': 7}, {'J01': 32}, 
