episode,agent,decision,signal_id,reward
1,MAXPRESSURE,50,J01,-3036.5
1,MAXPRESSURE,100,J01,-9583.0
1,MAXPRESSURE,150,J01,-16515.0
1,MAXPRESSURE,200,J01,-21014.5
1,MAXPRESSURE,250,J01,-28118.0
1,MAXPRESSURE,300,J01,-37464.0
1,MAXPRESSURE,350,J01,-46956.0
1,MAXPRESSURE,400,J01,-56394.0
1,MAXPRESSURE,450,J01,-65987.5
1,MAXPRESSURE,500,J01,-75620.5
1,MAXPRESSURE,550,J01,-84954.0
1,MAXPRESSURE,600,J01,-94442.5
1,MAXPRESSURE,650,J01,-90862.5
1,MAXPRESSURE,700,J01,-80987.0
1,MAXPRESSURE,750,J01,-85216.5
1,MAXPRESSURE,800,J01,-94717.0
1,MAXPRESSURE,850,J01,-104218.0
1,MAXPRESSURE,900,J01,-113717.5
1,MAXPRESSURE,950,J01,-123218.5
1,MAXPRESSURE,1000,J01,-132717.5
1,MAXPRESSURE,1050,J01,-142218.0
2,MAXPRESSURE,50,J01,-4301.5
2,MAXPRESSURE,100,J01,-11360.0
2,MAXPRESSURE,150,J01,-14858.0
2,MAXPRESSURE,200,J01,-24351.5
2,MAXPRESSURE,250,J01,-33837.5
2,MAXPRESSURE,300,J01,-43343.5
2,MAXPRESSURE,350,J01,-53583.0
2,MAXPRESSURE,400,J01,-15491.0
2,MAXPRESSURE,450,J01,-44051.5
2,MAXPRESSURE,500,J01,-63505.0
2,MAXPRESSURE,550,J01,-89694.5
2,MAXPRESSURE,600,J01,-128624.0
2,MAXPRESSURE,650,J01,-175607.5
2,MAXPRESSURE,700,J01,-217319.0
2,MAXPRESSURE,750,J01,-264889.5
2,MAXPRESSURE,800,J01,-288982.5
2,MAXPRESSURE,850,J01,-323220.5
2,MAXPRESSURE,900,J01,-352485.5
2,MAXPRESSURE,950,J01,-394805.5
2,MAXPRESSURE,1000,J01,-428171.5
2,MAXPRESSURE,1050,J01,-334656.0
3,MAXPRESSURE,50,J01,-3786.5
3,MAXPRESSURE,100,J01,-8918.5
3,MAXPRESSURE,150,J01,-17787.5
3,MAXPRESSURE,200,J01,-26820.0
3,MAXPRESSURE,250,J01,-33854.5
3,MAXPRESSURE,300,J01,-43107.0
3,MAXPRESSURE,350,J01,-52766.0
3,MAXPRESSURE,400,J01,-46082.0
3,MAXPRESSURE,450,J01,-52047.0
3,MAXPRESSURE,500,J01,-61510.5
3,MAXPRESSURE,550,J01,-64163.0
3,MAXPRESSURE,600,J01,-73497.5
3,MAXPRESSURE,650,J01,-83027.0
3,MAXPRESSURE,700,J01,-79621.5
3,MAXPRESSURE,750,J01,-85005.5
3,MAXPRESSURE,800,J01,-94505.5
3,MAXPRESSURE,850,J01,-104005.5
3,MAXPRESSURE,900,J01,-113505.5
3,MAXPRESSURE,950,J01,-123005.5
3,MAXPRESSURE,1000,J01,-132505.5
3,MAXPRESSURE,1050,J01,-142005.5
4,MAXPRESSURE,50,J01,-3501.5
4,MAXPRESSURE,100,J01,-12367.5
4,MAXPRESSURE,150,J01,-21800.5
4,MAXPRESSURE,200,J01,-23577.5
4,MAXPRESSURE,250,J01,-33053.5
4,MAXPRESSURE,300,J01,-42722.5
4,MAXPRESSURE,350,J01,-43970.0
4,MAXPRESSURE,400,J01,-53577.5
4,MAXPRESSURE,450,J01,-63212.5
4,MAXPRESSURE,500,J01,-72551.0
4,MAXPRESSURE,550,J01,-82014.0
4,MAXPRESSURE,600,J01,-91494.0
4,MAXPRESSURE,650,J01,-73203.5
4,MAXPRESSURE,700,J01,-76801.0
4,MAXPRESSURE,750,J01,-86175.5
4,MAXPRESSURE,800,J01,-95675.5
4,MAXPRESSURE,850,J01,-105175.5
4,MAXPRESSURE,900,J01,-114675.5
4,MAXPRESSURE,950,J01,-124175.5
4,MAXPRESSURE,1000,J01,-133675.5
4,MAXPRESSURE,1050,J01,-143175.5
5,MAXPRESSURE,50,J01,-3966.0
5,MAXPRESSURE,100,J01,-11805.5
5,MAXPRESSURE,150,J01,-21191.0
5,MAXPRESSURE,200,J01,-26889.0
5,MAXPRESSURE,250,J01,-36413.5
5,MAXPRESSURE,300,J01,-45968.0
5,MAXPRESSURE,350,J01,-55414.5
5,MAXPRESSURE,400,J01,-64871.5
5,MAXPRESSURE,450,J01,-74343.0
5,MAXPRESSURE,500,J01,-83794.5
5,MAXPRESSURE,550,J01,-93316.5
5,MAXPRESSURE,600,J01,-102909.5
5,MAXPRESSURE,650,J01,-85953.5
5,MAXPRESSURE,700,J01,-87677.0
5,MAXPRESSURE,750,J01,-84117.5
5,MAXPRESSURE,800,J01,-93620.5
5,MAXPRESSURE,850,J01,-103118.0
5,MAXPRESSURE,900,J01,-112620.0
5,MAXPRESSURE,950,J01,-122121.0
5,MAXPRESSURE,1000,J01,-131618.0
5,MAXPRESSURE,1050,J01,-141121.0
6,MAXPRESSURE,50,J01,-4024.5
6,MAXPRESSURE,100,J01,-10903.5
6,MAXPRESSURE,150,J01,-20298.5
6,MAXPRESSURE,200,J01,-29832.0
6,MAXPRESSURE,250,J01,-32200.0
6,MAXPRESSURE,300,J01,-41853.5
6,MAXPRESSURE,350,J01,-51287.5
6,MAXPRESSURE,400,J01,-60727.0
6,MAXPRESSURE,450,J01,-70213.0
6,MAXPRESSURE,500,J01,-79861.0
6,MAXPRESSURE,550,J01,-89207.0
6,MAXPRESSURE,600,J01,-71225.5
6,MAXPRESSURE,650,J01,-80848.0
6,MAXPRESSURE,700,J01,-83265.5
6,MAXPRESSURE,750,J01,-81363.5
6,MAXPRESSURE,800,J01,-90863.5
6,MAXPRESSURE,850,J01,-100363.5
6,MAXPRESSURE,900,J01,-109863.5
6,MAXPRESSURE,950,J01,-119363.5
6,MAXPRESSURE,1000,J01,-128863.5
6,MAXPRESSURE,1050,J01,-138363.5
7,MAXPRESSURE,50,J01,-1426.5
7,MAXPRESSURE,100,J01,-5929.5
7,MAXPRESSURE,150,J01,-13838.5
7,MAXPRESSURE,200,J01,-23946.0
7,MAXPRESSURE,250,J01,-26030.5
7,MAXPRESSURE,300,J01,-35602.5
7,MAXPRESSURE,350,J01,-34188.5
7,MAXPRESSURE,400,J01,-39030.0
7,MAXPRESSURE,450,J01,-48393.5
7,MAXPRESSURE,500,J01,-57980.5
7,MAXPRESSURE,550,J01,-58980.0
7,MAXPRESSURE,600,J01,-62011.0
7,MAXPRESSURE,650,J01,-66012.5
7,MAXPRESSURE,700,J01,-73491.5
7,MAXPRESSURE,750,J01,-82995.5
7,MAXPRESSURE,800,J01,-92493.5
7,MAXPRESSURE,850,J01,-101993.5
7,MAXPRESSURE,900,J01,-111493.0
7,MAXPRESSURE,950,J01,-120993.5
7,MAXPRESSURE,1000,J01,-130495.0
7,MAXPRESSURE,1050,J01,-139993.0
8,MAXPRESSURE,50,J01,-3542.5
8,MAXPRESSURE,100,J01,-12456.5
8,MAXPRESSURE,150,J01,-15109.0
8,MAXPRESSURE,200,J01,-24308.0
8,MAXPRESSURE,250,J01,-29667.5
8,MAXPRESSURE,300,J01,-39006.0
8,MAXPRESSURE,350,J01,-48554.0
8,MAXPRESSURE,400,J01,-46836.0
8,MAXPRESSURE,450,J01,-49847.5
8,MAXPRESSURE,500,J01,-59282.5
8,MAXPRESSURE,550,J01,-68778.5
8,MAXPRESSURE,600,J01,-78283.5
8,MAXPRESSURE,650,J01,-87845.0
8,MAXPRESSURE,700,J01,-97332.5
8,MAXPRESSURE,750,J01,-82193.0
8,MAXPRESSURE,800,J01,-91694.5
8,MAXPRESSURE,850,J01,-101192.5
8,MAXPRESSURE,900,J01,-110694.5
8,MAXPRESSURE,950,J01,-120193.5
8,MAXPRESSURE,1000,J01,-129693.0
8,MAXPRESSURE,1050,J01,-139194.5
9,MAXPRESSURE,50,J01,-4325.0
9,MAXPRESSURE,100,J01,-12949.0
9,MAXPRESSURE,150,J01,-22134.5
9,MAXPRESSURE,200,J01,-21260.5
9,MAXPRESSURE,250,J01,-29247.0
9,MAXPRESSURE,300,J01,-38355.5
9,MAXPRESSURE,350,J01,-47902.5
9,MAXPRESSURE,400,J01,-47366.5
9,MAXPRESSURE,450,J01,-56810.5
9,MAXPRESSURE,500,J01,-66167.5
9,MAXPRESSURE,550,J01,-75638.0
9,MAXPRESSURE,600,J01,-72134.5
9,MAXPRESSURE,650,J01,-70167.0
9,MAXPRESSURE,700,J01,-76925.0
9,MAXPRESSURE,750,J01,-86409.0
9,MAXPRESSURE,800,J01,-95910.5
9,MAXPRESSURE,850,J01,-105408.5
9,MAXPRESSURE,900,J01,-114908.5
9,MAXPRESSURE,950,J01,-124410.0
9,MAXPRESSURE,1000,J01,-133909.0
9,MAXPRESSURE,1050,J01,-143412.0
10,MAXPRESSURE,50,J01,-3841.5
10,MAXPRESSURE,100,J01,-12908.5
10,MAXPRESSURE,150,J01,-22166.5
10,MAXPRESSURE,200,J01,-24356.5
10,MAXPRESSURE,250,J01,-33976.5
10,MAXPRESSURE,300,J01,-38267.0
10,MAXPRESSURE,350,J01,-41370.5
10,MAXPRESSURE,400,J01,-47097.0
10,MAXPRESSURE,450,J01,-56156.0
10,MAXPRESSURE,500,J01,-65661.0
10,MAXPRESSURE,550,J01,-75150.0
10,MAXPRESSURE,600,J01,-77259.0
10,MAXPRESSURE,650,J01,-86407.0
10,MAXPRESSURE,700,J01,-76901.0
10,MAXPRESSURE,750,J01,-83355.0
10,MAXPRESSURE,800,J01,-92855.0
10,MAXPRESSURE,850,J01,-102355.0
10,MAXPRESSURE,900,J01,-111855.0
10,MAXPRESSURE,950,J01,-121355.0
10,MAXPRESSURE,1000,J01,-130855.0
10,MAXPRESSURE,1050,J01,-140355.0
11,MAXPRESSURE,50,J01,-3512.5
11,MAXPRESSURE,100,J01,-9098.0
11,MAXPRESSURE,150,J01,-15923.5
11,MAXPRESSURE,200,J01,-21279.0
11,MAXPRESSURE,250,J01,-27577.5
11,MAXPRESSURE,300,J01,-36819.0
11,MAXPRESSURE,350,J01,-46353.5
11,MAXPRESSURE,400,J01,-55886.0
11,MAXPRESSURE,450,J01,-58845.0
11,MAXPRESSURE,500,J01,-68324.0
11,MAXPRESSURE,550,J01,-59526.0
11,MAXPRESSURE,600,J01,-69132.0
11,MAXPRESSURE,650,J01,-74526.5
11,MAXPRESSURE,700,J01,-76501.5
11,MAXPRESSURE,750,J01,-85824.5
11,MAXPRESSURE,800,J01,-95324.5
11,MAXPRESSURE,850,J01,-104824.5
11,MAXPRESSURE,900,J01,-114324.5
11,MAXPRESSURE,950,J01,-123824.5
11,MAXPRESSURE,1000,J01,-133324.5
11,MAXPRESSURE,1050,J01,-142824.5
12,MAXPRESSURE,50,J01,-3300.0
12,MAXPRESSURE,100,J01,-11026.0
12,MAXPRESSURE,150,J01,-16471.0
12,MAXPRESSURE,200,J01,-20286.0
12,MAXPRESSURE,250,J01,-29196.5
12,MAXPRESSURE,300,J01,-38611.0
12,MAXPRESSURE,350,J01,-48092.5
12,MAXPRESSURE,400,J01,-47297.5
12,MAXPRESSURE,450,J01,-6996.5
12,MAXPRESSURE,500,J01,-24225.0
12,MAXPRESSURE,550,J01,-50553.5
12,MAXPRESSURE,600,J01,-75037.5
12,MAXPRESSURE,650,J01,-109442.5
12,MAXPRESSURE,700,J01,-152532.0
12,MAXPRESSURE,750,J01,-194128.0
12,MAXPRESSURE,800,J01,-228142.5
12,MAXPRESSURE,850,J01,-261617.0
12,MAXPRESSURE,900,J01,-288258.0
12,MAXPRESSURE,950,J01,-319172.5
12,MAXPRESSURE,1000,J01,-185650.0
12,MAXPRESSURE,1050,J01,-107119.0
13,MAXPRESSURE,50,J01,-5171.0
13,MAXPRESSURE,100,J01,-10729.5
13,MAXPRESSURE,150,J01,-19975.5
13,MAXPRESSURE,200,J01,-23215.0
13,MAXPRESSURE,250,J01,-28252.0
13,MAXPRESSURE,300,J01,-37765.5
13,MAXPRESSURE,350,J01,-43574.5
13,MAXPRESSURE,400,J01,-53039.0
13,MAXPRESSURE,450,J01,-62564.5
13,MAXPRESSURE,500,J01,-72035.5
13,MAXPRESSURE,550,J01,-81556.5
13,MAXPRESSURE,600,J01,-91043.0
13,MAXPRESSURE,650,J01,-91939.0
13,MAXPRESSURE,700,J01,-101431.0
13,MAXPRESSURE,750,J01,-110845.0
13,MAXPRESSURE,800,J01,-120345.5
