5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -8.0}, {'J01': 1}, {'J01': 3}, 
20.0, {'J01': -41.0}, {'J01': 2}, {'J01': 5}, 
25.0, {'J01': -51.0}, {'J01': 2}, {'J01': 4}, 
30.0, {'J01': -91.0}, {'J01': 2}, {'J01': 4}, 
35.0, {'J01': -148.0}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -228.0}, {'J01': 3}, {'J01': 8}, 
45.0, {'J01': -309.5}, {'J01': 3}, {'J01': 9}, 
50.0, {'J01': -417.0}, {'J01': 4}, {'J01': 15}, 
55.0, {'J01': -575.0}, {'J01': 4}, {'J01': 18}, 
60.0, {'J01': -755.5}, {'J01': 4}, {'J01': 19}, 
65.0, {'J01': -711.5}, {'J01': 3}, {'J01': 16}, 
70.0, {'J01': -612.0}, {'J01': 3}, {'J01': 15}, 
75.0, {'J01': -672.5}, {'J01': 3}, {'J01': 20}, 
80.0, {'J01': -897.5}, {'J01': 4}, {'J01': 29}, 
85.0, {'J01': -1057.0}, {'J01': 5}, {'J01': 29}, 
90.0, {'J01': -1168.0}, {'J01': 4}, {'J01': 22}, 
95.0, {'J01': -1290.5}, {'J01': 4}, {'J01': 19}, 
100.0, {'J01': -1449.5}, {'J01': 4}, {'J01': 18}, 
105.0, {'J01': -1629.5}, {'J01': 4}, {'J01': 18}, 
110.0, {'J01': -1809.5}, {'J01': 4}, {'J01': 18}, 
115.0, {'J01': -1994.0}, {'J01': 4}, {'J01': 20}, 
120.0, {'J01': -2197.5}, {'J01': 4}, {'J01': 21}, 
125.0, {'J01': -2126.5}, {'J01': 3}, {'J01': 19}, 
130.0, {'J01': -2208.5}, {'J01': 4}, {'J01': 22}, 
135.0, {'J01': -2416.5}, {'J01': 5}, {'J01': 25}, 
140.0, {'J01': -2639.0}, {'J01': 5}, {'J01': 26}, 
145.0, {'J01': -2807.5}, {'J01': 5}, {'J01': 24}, 
150.0, {'J01': -3015.5}, {'J01': 5}, {'J01': 23}, 
155.0, {'J01': -2415.0}, {'J01': 4}, {'J01': 19}, 
160.0, {'J01': -2439.5}, {'J01': 4}, {'J01': 25}, 
165.0, {'J01': -2694.5}, {'J01': 6}, {'J01': 35}, 
170.0, {'J01': -2945.0}, {'J01': 5}, {'J01': 32}, 
175.0, {'J01': -3073.0}, {'J01': 5}, {'J01': 24}, 
180.0, {'J01': -3253.5}, {'J01': 5}, {'J01': 23}, 
185.0, {'J01': -3488.5}, {'J01': 6}, {'J01': 24}, 
190.0, {'J01': -2964.5}, {'J01': 7}, {'J01': 23}, 
195.0, {'J01': -3094.5}, {'J01': 7}, {'J01': 28}, 
200.0, {'J01': -3406.0}, {'J01': 7}, {'J01': 39}, 
