episode,agent,decision,signal_id,reward
1,MPLight_MM,50,J01,-74.431
1,MPLight_MM,100,J01,-153.619
1,MPLight_MM,150,J01,-137.845
1,MPLight_MM,200,J01,-140.402
1,MPLight_MM,250,J01,-100.169
1,MPLight_MM,300,J01,-144.942
1,MPLight_MM,350,J01,-106.703
1,MPLight_MM,400,J01,-115.442
1,MPLight_MM,450,J01,-150.209
1,MPLight_MM,500,J01,-126.05
1,MPLight_MM,550,J01,-169.931
1,MPLight_MM,600,J01,-145.942
1,MPLight_MM,650,J01,-139.874
1,MPLight_MM,700,J01,-163.192
1,MPLight_MM,750,J01,-90.544
1,MPLight_MM,800,J01,-13.0
1,MPLight_MM,850,J01,-20.0
1,MPLight_MM,900,J01,-17.0
1,MPLight_MM,950,J01,-15.0
1,MPLight_MM,1000,J01,-26.0
1,MPLight_MM,1050,J01,-21.0
2,MPLight_MM,50,J01,-56.239
2,MPLight_MM,100,J01,-98.716
2,MPLight_MM,150,J01,-88.681
2,MPLight_MM,200,J01,-168.788
2,MPLight_MM,250,J01,-123.572
2,MPLight_MM,300,J01,-192.868
2,MPLight_MM,350,J01,-136.226
2,MPLight_MM,400,J01,-138.942
2,MPLight_MM,450,J01,-115.823
2,MPLight_MM,500,J01,-119.181
2,MPLight_MM,550,J01,-169.846
2,MPLight_MM,600,J01,-111.908
2,MPLight_MM,650,J01,-134.816
2,MPLight_MM,700,J01,-129.425
2,MPLight_MM,750,J01,-117.68
2,MPLight_MM,800,J01,-35.267
2,MPLight_MM,850,J01,-14.0
2,MPLight_MM,900,J01,-26.0
2,MPLight_MM,950,J01,-13.0
2,MPLight_MM,1000,J01,-14.0
2,MPLight_MM,1050,J01,-27.0
3,MPLight_MM,50,J01,-68.369
3,MPLight_MM,100,J01,-120.738
3,MPLight_MM,150,J01,-115.175
3,MPLight_MM,200,J01,-123.595
3,MPLight_MM,250,J01,-120.481
3,MPLight_MM,300,J01,-104.26
3,MPLight_MM,350,J01,-126.22
3,MPLight_MM,400,J01,-140.766
3,MPLight_MM,450,J01,-110.556
3,MPLight_MM,500,J01,-113.084
3,MPLight_MM,550,J01,-117.295
3,MPLight_MM,600,J01,-110.016
3,MPLight_MM,650,J01,-87.59
3,MPLight_MM,700,J01,-122.806
3,MPLight_MM,750,J01,-79.658
3,MPLight_MM,800,J01,-24.0
3,MPLight_MM,850,J01,-15.0
3,MPLight_MM,900,J01,-25.0
3,MPLight_MM,950,J01,-25.0
3,MPLight_MM,1000,J01,-27.0
3,MPLight_MM,1050,J01,-21.0
4,MPLight_MM,50,J01,-59.301
4,MPLight_MM,100,J01,-116.233
4,MPLight_MM,150,J01,-94.482
4,MPLight_MM,200,J01,-108.641
4,MPLight_MM,250,J01,-113.794
4,MPLight_MM,300,J01,-117.357
4,MPLight_MM,350,J01,-91.71
4,MPLight_MM,400,J01,-85.267
4,MPLight_MM,450,J01,-56.233
4,MPLight_MM,500,J01,-65.92
4,MPLight_MM,550,J01,-72.688
4,MPLight_MM,600,J01,-86.29
4,MPLight_MM,650,J01,-97.573
4,MPLight_MM,700,J01,-83.642
4,MPLight_MM,750,J01,-22.0
4,MPLight_MM,800,J01,-8.0
4,MPLight_MM,850,J01,-26.0
4,MPLight_MM,900,J01,-28.0
4,MPLight_MM,950,J01,-25.0
4,MPLight_MM,1000,J01,-26.0
4,MPLight_MM,1050,J01,-15.0
5,MPLight_MM,50,J01,-57.682
5,MPLight_MM,100,J01,-71.255
5,MPLight_MM,150,J01,-107.403
5,MPLight_MM,200,J01,-106.902
5,MPLight_MM,250,J01,-68.454
5,MPLight_MM,300,J01,-109.761
5,MPLight_MM,350,J01,-132.841
5,MPLight_MM,400,J01,-138.05
5,MPLight_MM,450,J01,-106.846
5,MPLight_MM,500,J01,-96.482
5,MPLight_MM,550,J01,-82.909
5,MPLight_MM,600,J01,-152.352
5,MPLight_MM,650,J01,-151.714
5,MPLight_MM,700,J01,-107.618
5,MPLight_MM,750,J01,-103.811
5,MPLight_MM,800,J01,-20.0
5,MPLight_MM,850,J01,-28.0
