5.0, {'J01': -0.0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -6.182}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2.0}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -1.0}, {'J01': 1}, {'J01': 1}, 
25.0, {'J01': -3.0}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': -4.0}, {'J01': 3}, {'J01': 4}, 
35.0, {'J01': -18.273}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': -19.182000000000002}, {'J01': 4}, {'J01': 13}, 
45.0, {'J01': -27.631}, {'J01': 5}, {'J01': 14}, 
50.0, {'J01': -29.631}, {'J01': 5}, {'J01': 16}, 
55.0, {'J01': -30.898}, {'J01': 4}, {'J01': 16}, 
60.0, {'J01': -18.267}, {'J01': 4}, {'J01': 17}, 
65.0, {'J01': -29.983000000000004}, {'J01': 5}, {'J01': 20}, 
70.0, {'J01': -31.165000000000003}, {'J01': 4}, {'J01': 15}, 
75.0, {'J01': -32.256}, {'J01': 4}, {'J01': 13}, 
80.0, {'J01': -35.438}, {'J01': 4}, {'J01': 10}, 
85.0, {'J01': -29.432}, {'J01': 4}, {'J01': 12}, 
90.0, {'J01': -21.631}, {'J01': 3}, {'J01': 8}, 
95.0, {'J01': -39.705}, {'J01': 3}, {'J01': 13}, 
100.0, {'J01': -58.512}, {'J01': 4}, {'J01': 20}, 
105.0, {'J01': -34.340999999999994}, {'J01': 4}, {'J01': 20}, 
110.0, {'J01': -47.057}, {'J01': 5}, {'J01': 24}, 
115.0, {'J01': -61.772999999999996}, {'J01': 5}, {'J01': 30}, 
120.0, {'J01': -55.766999999999996}, {'J01': 5}, {'J01': 32}, 
125.0, {'J01': -61.034000000000006}, {'J01': 7}, {'J01': 36}, 
130.0, {'J01': -77.66499999999999}, {'J01': 8}, {'J01': 39}, 
135.0, {'J01': -79.495}, {'J01': 6}, {'J01': 31}, 
140.0, {'J01': -78.23400000000001}, {'J01': 5}, {'J01': 23}, 
145.0, {'J01': -78.23400000000001}, {'J01': 5}, {'J01': 23}, 
150.0, {'J01': -89.774}, {'J01': 5}, {'J01': 24}, 
155.0, {'J01': -33.608000000000004}, {'J01': 5}, {'J01': 18}, 
160.0, {'J01': -69.04599999999999}, {'J01': 5}, {'J01': 28}, 
165.0, {'J01': -77.313}, {'J01': 6}, {'J01': 35}, 
170.0, {'J01': -82.489}, {'J01': 8}, {'J01': 42}, 
175.0, {'J01': -90.762}, {'J01': 7}, {'J01': 41}, 
180.0, {'J01': -76.404}, {'J01': 5}, {'J01': 31}, 
185.0, {'J01': -38.517}, {'J01': 5}, {'J01': 26}, 
190.0, {'J01': -50.614}, {'J01': 5}, {'J01': 27}, 
195.0, {'J01': -66.063}, {'J01': 7}, {'J01': 35}, 
200.0, {'J01': -70.506}, {'J01': 8}, {'J01': 40}, 
205.0, {'J01': -74.421}, {'J01': 8}, {'J01': 39}, 
210.0, {'J01': -76.60300000000001}, {'J01': 8}, {'J01': 35}, 
215.0, {'J01': -50.608000000000004}, {'J01': 8}, {'J01': 35}, 
220.0, {'J01': -59.233000000000004}, {'J01': 8}, {'J01': 38}, 
225.0, {'J01': -46.784000000000006}, {'J01': 7}, {'J01': 33}, 
230.0, {'J01': -55.057}, {'J01': 7}, {'J01': 32}, 
235.0, {'J01': -51.96600000000001}, {'J01': 7}, {'J01': 32}, 
240.0, {'J01': -52.141999999999996}, {'J01': 7}, {'J01': 34}, 
245.0, {'J01': -52.875}, {'J01': 8}, {'J01': 36}, 
250.0, {'J01': -60.5}, {'J01': 8}, {'J01': 38}, 
255.0, {'J01': -66.773}, {'J01': 8}, {'J01': 35}, 
260.0, {'J01': -51.881}, {'J01': 6}, {'J01': 27}, 
265.0, {'J01': -35.983000000000004}, {'J01': 6}, {'J01': 26}, 
270.0, {'J01': -41.517}, {'J01': 6}, {'J01': 29}, 
275.0, {'J01': -61.766999999999996}, {'J01': 7}, {'J01': 38}, 
280.0, {'J01': -61.330000000000005}, {'J01': 6}, {'J01': 29}, 
285.0, {'J01': -37.517}, {'J01': 5}, {'J01': 25}, 
290.0, {'J01': -49.96600000000001}, {'J01': 5}, {'J01': 30}, 
