5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -7}, {'J01': 4}, {'J01': 7}, 
25.0, {'J01': -5}, {'J01': 3}, {'J01': 5}, 
30.0, {'J01': -6}, {'J01': 2}, {'J01': 6}, 
35.0, {'J01': -5}, {'J01': 3}, {'J01': 5}, 
40.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
45.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
50.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
55.0, {'J01': -9}, {'J01': 2}, {'J01': 9}, 
60.0, {'J01': -9}, {'J01': 2}, {'J01': 9}, 
65.0, {'J01': -15}, {'J01': 3}, {'J01': 15}, 
70.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
75.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
80.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
85.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
90.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
95.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
100.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
105.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
110.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
115.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
120.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
125.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
130.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
135.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
140.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
145.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
150.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
155.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
160.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
165.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
170.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
175.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
180.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
185.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
190.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
195.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
200.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
205.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
210.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
215.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
220.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
225.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
230.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
235.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
240.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
245.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
250.0, {'J01': -22}, {'J01': 8}, {'J01': 22}, 
255.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
260.0, {'J01': -22}, {'J01': 8}, {'J01': 22}, 
265.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
270.0, {'J01': -22}, {'J01': 8}, {'J01': 22}, 
275.0, {'J01': -21}, {'J01': 7}, {'J01': 21}, 
280.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
285.0, {'J01': -24}, {'J01': 7}, {'J01': 24}, 
290.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
295.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
300.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
305.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
310.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
315.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
320.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
325.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
330.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
335.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
340.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
345.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
350.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
355.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
360.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
365.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
370.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
375.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
380.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
385.0, {'J01': -24}, {'J01': 8}, {'J01': 24}, 
390.0, {'J01': -22}, {'J01': 7}, {'J01': 22}, 
395.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
400.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
405.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
410.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
415.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
420.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
425.0, {'J01': -20}, {'J01': 6}, {'J01': 20}, 
430.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
435.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
440.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
445.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
450.0, {'J01': -16}, {'J01': 5}, {'J01': 16}, 
455.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
460.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
465.0, {'J01': -18}, {'J01': 5}, {'J01': 18}, 
470.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
475.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
480.0, {'J01': -22}, {'J01': 7}, {'J01': 22}, 
485.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
490.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
495.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
500.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
505.0, {'J01': -22}, {'J01': 7}, {'J01': 22}, 
510.0, {'J01': -18}, {'J01': 6}, {'J01': 18}, 
515.0, {'J01': -16}, {'J01': 5}, {'J01': 16}, 
520.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
525.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
530.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
535.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
540.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
545.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
550.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
555.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
560.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
565.0, {'J01': -21}, {'J01': 6}, {'J01': 21}, 
570.0, {'J01': -17}, {'J01': 5}, {'J01': 17}, 
575.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
580.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
585.0, {'J01': -18}, {'J01': 5}, {'J01': 18}, 
590.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
595.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
600.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
605.0, {'J01': -7}, {'J01': 2}, {'J01': 7}, 
610.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
615.0, {'J01': -10}, {'J01': 4}, {'J01': 10}, 
620.0, {'J01': -10}, {'J01': 3}, {'J01': 10}, 
625.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
630.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
635.0, {'J01': -9}, {'J01': 4}, {'J01': 9}, 
640.0, {'J01': -11}, {'J01': 3}, {'J01': 11}, 
645.0, {'J01': -14}, {'J01': 3}, {'J01': 14}, 
650.0, {'J01': -8}, {'J01': 3}, {'J01': 8}, 
655.0, {'J01': -17}, {'J01': 3}, {'J01': 17}, 
660.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
665.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
670.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
675.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
680.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
685.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
690.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
695.0, {'J01': -22}, {'J01': 5}, {'J01': 22}, 
700.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
705.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
710.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
715.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
720.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
725.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
730.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
735.0, {'J01': -27}, {'J01': 8}, {'J01': 27}, 
740.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
745.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
750.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
755.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
760.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
765.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
770.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
775.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
780.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
785.0, {'J01': -20}, {'J01': 3}, {'J01': 20}, 
790.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
795.0, {'J01': -12}, {'J01': 3}, {'J01': 12}, 
