5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': -3}, {'J8': 1}, {'J8': 3}, 
30.0, {'J8': -7}, {'J8': 3}, {'J8': 7}, 
35.0, {'J8': -9}, {'J8': 4}, {'J8': 9}, 
40.0, {'J8': -11}, {'J8': 5}, {'J8': 11}, 
45.0, {'J8': -15}, {'J8': 6}, {'J8': 15}, 
50.0, {'J8': -15}, {'J8': 7}, {'J8': 15}, 
55.0, {'J8': -17}, {'J8': 7}, {'J8': 17}, 
60.0, {'J8': -20}, {'J8': 8}, {'J8': 20}, 
65.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
70.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
75.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
80.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
85.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
90.0, {'J8': -21}, {'J8': 8}, {'J8': 21}, 
95.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
100.0, {'J8': -17}, {'J8': 6}, {'J8': 17}, 
105.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
110.0, {'J8': -14}, {'J8': 5}, {'J8': 14}, 
115.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
120.0, {'J8': -12}, {'J8': 5}, {'J8': 12}, 
125.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
130.0, {'J8': -19}, {'J8': 7}, {'J8': 19}, 
135.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
140.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
145.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
150.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
155.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
160.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
165.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
170.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
175.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
180.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
185.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
190.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
195.0, {'J8': -13}, {'J8': 5}, {'J8': 13}, 
200.0, {'J8': -17}, {'J8': 6}, {'J8': 17}, 
205.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
210.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
215.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
220.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
225.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
230.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
235.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
240.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
245.0, {'J8': -23}, {'J8': 8}, {'J8': 23}, 
250.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
255.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
260.0, {'J8': -22}, {'J8': 8}, {'J8': 22}, 
265.0, {'J8': -22}, {'J8': 7}, {'J8': 22}, 
270.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
275.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
280.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
285.0, {'J8': -20}, {'J8': 5}, {'J8': 20}, 
290.0, {'J8': -19}, {'J8': 6}, {'J8': 19}, 
295.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
300.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
305.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
310.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
315.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
320.0, {'J8': -24}, {'J8': 8}, {'J8': 24}, 
325.0, {'J8': -23}, {'J8': 7}, {'J8': 23}, 
330.0, {'J8': -20}, {'J8': 6}, {'J8': 20}, 
335.0, {'J8': -18}, {'J8': 5}, {'J8': 18}, 
340.0, {'J8': -16}, {'J8': 5}, {'J8': 16}, 
345.0, {'J8': -15}, {'J8': 5}, {'J8': 15}, 
350.0, {'J8': -12}, {'J8': 5}, {'J8': 12}, 
355.0, {'J8': -17}, {'J8': 5}, {'J8': 17}, 
360.0, {'J8': -21}, {'J8': 6}, {'J8': 21}, 
365.0, {'J8': -22}, {'J8': 6}, {'J8': 22}, 
370.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
375.0, {'J8': -21}, {'J8': 7}, {'J8': 21}, 
380.0, {'J8': -20}, {'J8': 7}, {'J8': 20}, 
385.0, {'J8': -21}, {'J8': 6}, {'J8': 21}, 
390.0, {'J8': -18}, {'J8': 6}, {'J8': 18}, 
