episode,agent,decision,signal_id,reward
1,MPLight,50,J01,-46.0
1,MPLight,100,J01,-36.0
1,MPLight,150,J01,-56.0
1,MPLight,200,J01,-59.0
1,MPLight,250,J01,-65.0
1,MPLight,300,J01,-68.0
1,MPLight,350,J01,-68.0
1,MPLight,400,J01,-50.0
1,MPLight,450,J01,-32.0
1,MPLight,500,J01,-48.0
1,MPLight,550,J01,-37.0
1,MPLight,600,J01,-51.0
1,MPLight,650,J01,-63.0
1,MPLight,700,J01,-62.0
1,MPLight,750,J01,-71.0
1,MPLight,800,J01,-23.0
1,MPLight,850,J01,-23.0
1,MPLight,900,J01,-26.0
1,MPLight,950,J01,-18.0
1,MPLight,1000,J01,-8.0
1,MPLight,1050,J01,-26.0
2,MPLight,50,J01,-49.0
2,MPLight,100,J01,-32.0
2,MPLight,150,J01,-52.0
2,MPLight,200,J01,-42.0
2,MPLight,250,J01,-45.0
2,MPLight,300,J01,-32.0
2,MPLight,350,J01,-31.0
2,MPLight,400,J01,-32.0
2,MPLight,450,J01,-16.0
2,MPLight,500,J01,-40.0
2,MPLight,550,J01,-39.0
2,MPLight,600,J01,-40.0
2,MPLight,650,J01,-58.0
2,MPLight,700,J01,-67.0
2,MPLight,750,J01,-42.0
2,MPLight,800,J01,-22.0
2,MPLight,850,J01,-28.0
2,MPLight,900,J01,-20.0
2,MPLight,950,J01,-21.0
2,MPLight,1000,J01,-20.0
2,MPLight,1050,J01,-18.0
3,MPLight,50,J01,-41.0
3,MPLight,100,J01,-68.0
3,MPLight,150,J01,-60.0
3,MPLight,200,J01,-65.0
3,MPLight,250,J01,-55.0
3,MPLight,300,J01,-49.0
3,MPLight,350,J01,-53.0
3,MPLight,400,J01,-76.0
3,MPLight,450,J01,-55.0
3,MPLight,500,J01,-75.0
3,MPLight,550,J01,-76.0
3,MPLight,600,J01,-72.0
3,MPLight,650,J01,-60.0
3,MPLight,700,J01,-78.0
3,MPLight,750,J01,-69.0
3,MPLight,800,J01,-23.0
3,MPLight,850,J01,-22.0
3,MPLight,900,J01,-10.0
3,MPLight,950,J01,-24.0
3,MPLight,1000,J01,-23.0
3,MPLight,1050,J01,-26.0
4,MPLight,50,J01,-10.0
4,MPLight,100,J01,-46.0
4,MPLight,150,J01,-69.0
4,MPLight,200,J01,-72.0
4,MPLight,250,J01,-56.0
4,MPLight,300,J01,-67.0
4,MPLight,350,J01,-73.0
4,MPLight,400,J01,-73.0
4,MPLight,450,J01,-73.0
4,MPLight,500,J01,-73.0
4,MPLight,550,J01,-63.0
4,MPLight,600,J01,-57.0
4,MPLight,650,J01,-69.0
4,MPLight,700,J01,-76.0
4,MPLight,750,J01,-56.0
4,MPLight,800,J01,-25.0
4,MPLight,850,J01,-11.0
4,MPLight,900,J01,-22.0
4,MPLight,950,J01,-22.0
4,MPLight,1000,J01,-18.0
4,MPLight,1050,J01,-16.0
5,MPLight,50,J01,-30.0
5,MPLight,100,J01,-36.0
5,MPLight,150,J01,-44.0
5,MPLight,200,J01,-46.0
5,MPLight,250,J01,-30.0
5,MPLight,300,J01,-24.0
5,MPLight,350,J01,-63.0
5,MPLight,400,J01,-72.0
5,MPLight,450,J01,-48.0
5,MPLight,500,J01,-74.0
5,MPLight,550,J01,-60.0
5,MPLight,600,J01,-66.0
5,MPLight,650,J01,-62.0
5,MPLight,700,J01,-68.0
5,MPLight,750,J01,-52.0
5,MPLight,800,J01,-27.0
5,MPLight,850,J01,-23.0
5,MPLight,900,J01,-13.0
5,MPLight,950,J01,-26.0
5,MPLight,1000,J01,-13.0
5,MPLight,1050,J01,-24.0
6,MPLight,50,J01,-33.0
6,MPLight,100,J01,-65.0
6,MPLight,150,J01,-56.0
6,MPLight,200,J01,-43.0
6,MPLight,250,J01,-33.0
6,MPLight,300,J01,-42.0
6,MPLight,350,J01,-37.0
6,MPLight,400,J01,-45.0
6,MPLight,450,J01,-18.0
6,MPLight,500,J01,-28.0
6,MPLight,550,J01,-32.0
6,MPLight,600,J01,-43.0
6,MPLight,650,J01,-44.0
6,MPLight,700,J01,-44.0
6,MPLight,750,J01,-14.0
6,MPLight,800,J01,-24.0
6,MPLight,850,J01,-16.0
6,MPLight,900,J01,-25.0
6,MPLight,950,J01,-29.0
6,MPLight,1000,J01,-10.0
6,MPLight,1050,J01,-9.0
7,MPLight,50,J01,-47.0
7,MPLight,100,J01,-55.0
7,MPLight,150,J01,-62.0
7,MPLight,200,J01,-48.0
7,MPLight,250,J01,-47.0
7,MPLight,300,J01,-35.0
7,MPLight,350,J01,-28.0
7,MPLight,400,J01,-36.0
7,MPLight,450,J01,-29.0
7,MPLight,500,J01,-34.0
7,MPLight,550,J01,-36.0
7,MPLight,600,J01,-24.0
7,MPLight,650,J01,-43.0
7,MPLight,700,J01,-51.0
7,MPLight,750,J01,-12.0
7,MPLight,800,J01,-28.0
7,MPLight,850,J01,-24.0
7,MPLight,900,J01,-21.0
7,MPLight,950,J01,-21.0
7,MPLight,1000,J01,-8.0
7,MPLight,1050,J01,-21.0
8,MPLight,50,J01,-27.0
8,MPLight,100,J01,-12.0
8,MPLight,150,J01,-39.0
8,MPLight,200,J01,-39.0
8,MPLight,250,J01,-48.0
8,MPLight,300,J01,-54.0
8,MPLight,350,J01,-30.0
8,MPLight,400,J01,-49.0
8,MPLight,450,J01,-32.0
8,MPLight,500,J01,-58.0
8,MPLight,550,J01,-46.0
8,MPLight,600,J01,-50.0
8,MPLight,650,J01,-53.0
8,MPLight,700,J01,-49.0
8,MPLight,750,J01,-18.0
8,MPLight,800,J01,-10.0
8,MPLight,850,J01,-22.0
8,MPLight,900,J01,-19.0
8,MPLight,950,J01,-22.0
8,MPLight,1000,J01,-12.0
8,MPLight,1050,J01,-14.0
9,MPLight,50,J01,-38.0
9,MPLight,100,J01,-60.0
9,MPLight,150,J01,-53.0
9,MPLight,200,J01,-53.0
9,MPLight,250,J01,-50.0
9,MPLight,300,J01,-44.0
9,MPLight,350,J01,-30.0
9,MPLight,400,J01,-46.0
9,MPLight,450,J01,-21.0
9,MPLight,500,J01,-36.0
9,MPLight,550,J01,-26.0
9,MPLight,600,J01,-39.0
9,MPLight,650,J01,-40.0
9,MPLight,700,J01,-40.0
9,MPLight,750,J01,-22.0
9,MPLight,800,J01,-21.0
9,MPLight,850,J01,-7.0
9,MPLight,900,J01,-15.0
9,MPLight,950,J01,-16.0
9,MPLight,1000,J01,-24.0
9,MPLight,1050,J01,-24.0
10,MPLight,50,J01,-31.0
10,MPLight,100,J01,-36.0
10,MPLight,150,J01,-37.0
10,MPLight,200,J01,-43.0
10,MPLight,250,J01,-29.0
10,MPLight,300,J01,-40.0
10,MPLight,350,J01,-38.0
10,MPLight,400,J01,-31.0
10,MPLight,450,J01,-61.0
10,MPLight,500,J01,-44.0
10,MPLight,550,J01,-23.0
10,MPLight,600,J01,-39.0
10,MPLight,650,J01,-50.0
