5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -1}, {'J01': 1}, {'J01': 1}, 
20.0, {'J01': -4}, {'J01': 2}, {'J01': 4}, 
25.0, {'J01': -3}, {'J01': 1}, {'J01': 3}, 
30.0, {'J01': -5}, {'J01': 3}, {'J01': 5}, 
35.0, {'J01': -8}, {'J01': 3}, {'J01': 8}, 
40.0, {'J01': -13}, {'J01': 3}, {'J01': 13}, 
45.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
50.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
55.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
60.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
65.0, {'J01': -25}, {'J01': 6}, {'J01': 25}, 
70.0, {'J01': -22}, {'J01': 6}, {'J01': 22}, 
75.0, {'J01': -20}, {'J01': 6}, {'J01': 20}, 
80.0, {'J01': -25}, {'J01': 6}, {'J01': 25}, 
85.0, {'J01': -32}, {'J01': 7}, {'J01': 32}, 
90.0, {'J01': -37}, {'J01': 8}, {'J01': 37}, 
95.0, {'J01': -36}, {'J01': 8}, {'J01': 36}, 
100.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
105.0, {'J01': -23}, {'J01': 7}, {'J01': 23}, 
110.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
115.0, {'J01': -30}, {'J01': 7}, {'J01': 30}, 
120.0, {'J01': -30}, {'J01': 8}, {'J01': 30}, 
125.0, {'J01': -31}, {'J01': 8}, {'J01': 31}, 
130.0, {'J01': -37}, {'J01': 8}, {'J01': 37}, 
135.0, {'J01': -36}, {'J01': 8}, {'J01': 36}, 
140.0, {'J01': -37}, {'J01': 8}, {'J01': 37}, 
145.0, {'J01': -44}, {'J01': 8}, {'J01': 44}, 
150.0, {'J01': -43}, {'J01': 8}, {'J01': 43}, 
155.0, {'J01': -33}, {'J01': 6}, {'J01': 33}, 
160.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
