episode,agent,decision,signal_id,reward
1,MPLight_MM,50,J01,-43.171
1,MPLight_MM,100,J01,-87.71
1,MPLight_MM,150,J01,-107.107
1,MPLight_MM,200,J01,-149.294
1,MPLight_MM,250,J01,-114.413
1,MPLight_MM,300,J01,-160.482
1,MPLight_MM,350,J01,-139.965
1,MPLight_MM,400,J01,-183.152
1,MPLight_MM,450,J01,-110.243
1,MPLight_MM,500,J01,-108.879
1,MPLight_MM,550,J01,-181.647
1,MPLight_MM,600,J01,-135.845
1,MPLight_MM,650,J01,-129.636
1,MPLight_MM,700,J01,-73.414
1,MPLight_MM,750,J01,-87.033
1,MPLight_MM,800,J01,-22.0
1,MPLight_MM,850,J01,-15.0
1,MPLight_MM,900,J01,-25.0
1,MPLight_MM,950,J01,-22.0
1,MPLight_MM,1000,J01,-27.0
1,MPLight_MM,1050,J01,-10.0
2,MPLight_MM,50,J01,-86.085
2,MPLight_MM,100,J01,-121.624
2,MPLight_MM,150,J01,-130.601
2,MPLight_MM,200,J01,-123.328
2,MPLight_MM,250,J01,-137.311
2,MPLight_MM,300,J01,-168.993
2,MPLight_MM,350,J01,-171.999
2,MPLight_MM,400,J01,-162.896
2,MPLight_MM,450,J01,-148.004
2,MPLight_MM,500,J01,-139.288
2,MPLight_MM,550,J01,-182.119
2,MPLight_MM,600,J01,-120.067
2,MPLight_MM,650,J01,-148.18
2,MPLight_MM,700,J01,-132.22
2,MPLight_MM,750,J01,-113.146
2,MPLight_MM,800,J01,-29.0
2,MPLight_MM,850,J01,-16.0
2,MPLight_MM,900,J01,-23.0
2,MPLight_MM,950,J01,-14.0
2,MPLight_MM,1000,J01,-20.0
2,MPLight_MM,1050,J01,-24.0
3,MPLight_MM,50,J01,-55.409
3,MPLight_MM,100,J01,-83.853
3,MPLight_MM,150,J01,-59.591
3,MPLight_MM,200,J01,-41.318
3,MPLight_MM,250,J01,-49.034
3,MPLight_MM,300,J01,-97.335
3,MPLight_MM,350,J01,-132.245
3,MPLight_MM,400,J01,-92.596
3,MPLight_MM,450,J01,-67.694
3,MPLight_MM,500,J01,-65.477
3,MPLight_MM,550,J01,-79.439
3,MPLight_MM,600,J01,-81.665
3,MPLight_MM,650,J01,-76.352
3,MPLight_MM,700,J01,-71.216
3,MPLight_MM,750,J01,-40.784
3,MPLight_MM,800,J01,-24.0
3,MPLight_MM,850,J01,-19.0
3,MPLight_MM,900,J01,-28.0
3,MPLight_MM,950,J01,-25.0
3,MPLight_MM,1000,J01,-12.0
3,MPLight_MM,1050,J01,-14.0
4,MPLight_MM,50,J01,-43.25
4,MPLight_MM,100,J01,-65.694
4,MPLight_MM,150,J01,-55.131
4,MPLight_MM,200,J01,-111.084
4,MPLight_MM,250,J01,-62.363
4,MPLight_MM,300,J01,-79.284
4,MPLight_MM,350,J01,-54.233
4,MPLight_MM,400,J01,-125.653
4,MPLight_MM,450,J01,-85.466
4,MPLight_MM,500,J01,-92.033
4,MPLight_MM,550,J01,-128.22
4,MPLight_MM,600,J01,-136.499
4,MPLight_MM,650,J01,-117.732
4,MPLight_MM,700,J01,-119.897
4,MPLight_MM,750,J01,-61.431
4,MPLight_MM,800,J01,-24.0
4,MPLight_MM,850,J01,-23.0
4,MPLight_MM,900,J01,-21.0
4,MPLight_MM,950,J01,-15.0
4,MPLight_MM,1000,J01,-17.0
4,MPLight_MM,1050,J01,-27.0
5,MPLight_MM,50,J01,-66.011
5,MPLight_MM,100,J01,-129.034
5,MPLight_MM,150,J01,-125.858
5,MPLight_MM,200,J01,-92.755
5,MPLight_MM,250,J01,-130.477
5,MPLight_MM,300,J01,-44.165
5,MPLight_MM,350,J01,-83.404
5,MPLight_MM,400,J01,-87.472
5,MPLight_MM,450,J01,-64.125
5,MPLight_MM,500,J01,-69.187
5,MPLight_MM,550,J01,-129.425
5,MPLight_MM,600,J01,-113.494
5,MPLight_MM,650,J01,-40.966
5,MPLight_MM,700,J01,-58.415
5,MPLight_MM,750,J01,-38.335
5,MPLight_MM,800,J01,-28.0
5,MPLight_MM,850,J01,-19.0
5,MPLight_MM,900,J01,-24.0
5,MPLight_MM,950,J01,-18.0
5,MPLight_MM,1000,J01,-18.0
5,MPLight_MM,1050,J01,-14.0
6,MPLight_MM,50,J01,-68.454
6,MPLight_MM,100,J01,-65.034
6,MPLight_MM,150,J01,-81.762
6,MPLight_MM,200,J01,-96.124
6,MPLight_MM,250,J01,-47.148
6,MPLight_MM,300,J01,-30.165
6,MPLight_MM,350,J01,-76.222
6,MPLight_MM,400,J01,-56.943
6,MPLight_MM,450,J01,-56.966
6,MPLight_MM,500,J01,-77.108
6,MPLight_MM,550,J01,-76.075
6,MPLight_MM,600,J01,-57.086
6,MPLight_MM,650,J01,-62.386
6,MPLight_MM,700,J01,-54.171
6,MPLight_MM,750,J01,-22.0
6,MPLight_MM,800,J01,-20.0
6,MPLight_MM,850,J01,-26.0
6,MPLight_MM,900,J01,-31.0
6,MPLight_MM,950,J01,-31.0
6,MPLight_MM,1000,J01,-26.0
6,MPLight_MM,1050,J01,-24.0
7,MPLight_MM,50,J01,-72.926
7,MPLight_MM,100,J01,-65.415
7,MPLight_MM,150,J01,-82.437
7,MPLight_MM,200,J01,-127.572
7,MPLight_MM,250,J01,-97.368
7,MPLight_MM,300,J01,-97.687
7,MPLight_MM,350,J01,-121.777
7,MPLight_MM,400,J01,-111.732
7,MPLight_MM,450,J01,-137.874
7,MPLight_MM,500,J01,-101.931
7,MPLight_MM,550,J01,-144.551
7,MPLight_MM,600,J01,-59.591
7,MPLight_MM,650,J01,-114.181
7,MPLight_MM,700,J01,-54.347
7,MPLight_MM,750,J01,-22.0
7,MPLight_MM,800,J01,-12.0
7,MPLight_MM,850,J01,-25.0
7,MPLight_MM,900,J01,-14.0
7,MPLight_MM,950,J01,-16.0
7,MPLight_MM,1000,J01,-21.0
7,MPLight_MM,1050,J01,-18.0
8,MPLight_MM,50,J01,-35.989
8,MPLight_MM,100,J01,-73.172
8,MPLight_MM,150,J01,-46.807
8,MPLight_MM,200,J01,-34.983
8,MPLight_MM,250,J01,-52.494
8,MPLight_MM,300,J01,-81.756
8,MPLight_MM,350,J01,-105.784
8,MPLight_MM,400,J01,-125.653
8,MPLight_MM,450,J01,-79.619
8,MPLight_MM,500,J01,-58.92
8,MPLight_MM,550,J01,-77.973
8,MPLight_MM,600,J01,-91.199
8,MPLight_MM,650,J01,-117.67
8,MPLight_MM,700,J01,-80.613
8,MPLight_MM,750,J01,-31.182
8,MPLight_MM,800,J01,-25.0
8,MPLight_MM,850,J01,-10.0
8,MPLight_MM,900,J01,-21.0
8,MPLight_MM,950,J01,-25.0
8,MPLight_MM,1000,J01,-27.0
8,MPLight_MM,1050,J01,-18.0
9,MPLight_MM,50,J01,-52.585
9,MPLight_MM,100,J01,-60.063
9,MPLight_MM,150,J01,-95.42
9,MPLight_MM,200,J01,-81.642
9,MPLight_MM,250,J01,-68.539
9,MPLight_MM,300,J01,-103.484
9,MPLight_MM,350,J01,-77.574
9,MPLight_MM,400,J01,-74.665
9,MPLight_MM,450,J01,-65.512
9,MPLight_MM,500,J01,-43.784
9,MPLight_MM,550,J01,-95.449
9,MPLight_MM,600,J01,-107.341
9,MPLight_MM,650,J01,-81.205
9,MPLight_MM,700,J01,-89.909
9,MPLight_MM,750,J01,-29.182
9,MPLight_MM,800,J01,-23.0
9,MPLight_MM,850,J01,-16.0
9,MPLight_MM,900,J01,-25.0
9,MPLight_MM,950,J01,-14.0
9,MPLight_MM,1000,J01,-13.0
9,MPLight_MM,1050,J01,-21.0
10,MPLight_MM,50,J01,-60.568
10,MPLight_MM,100,J01,-86.704
10,MPLight_MM,150,J01,-29.534
10,MPLight_MM,200,J01,-53.142
10,MPLight_MM,250,J01,-53.409
10,MPLight_MM,300,J01,-45.25
10,MPLight_MM,350,J01,-34.426
10,MPLight_MM,400,J01,-62.477
10,MPLight_MM,450,J01,-55.063
10,MPLight_MM,500,J01,-36.716
10,MPLight_MM,550,J01,-77.489
10,MPLight_MM,600,J01,-111.494
10,MPLight_MM,650,J01,-117.204
10,MPLight_MM,700,J01,-77.17
10,MPLight_MM,750,J01,-60.738
10,MPLight_MM,800,J01,-19.0
10,MPLight_MM,850,J01,-13.0
10,MPLight_MM,900,J01,-19.0
10,MPLight_MM,950,J01,-24.0
10,MPLight_MM,1000,J01,-27.0
10,MPLight_MM,1050,J01,-5.0
11,MPLight_MM,50,J01,-69.988
11,MPLight_MM,100,J01,-96.097
11,MPLight_MM,150,J01,-74.278
11,MPLight_MM,200,J01,-78.528
11,MPLight_MM,250,J01,-34.159
11,MPLight_MM,300,J01,-65.887
11,MPLight_MM,350,J01,-56.79
11,MPLight_MM,400,J01,-52.057
11,MPLight_MM,450,J01,-71.069
11,MPLight_MM,500,J01,-54.779
11,MPLight_MM,550,J01,-86.876
11,MPLight_MM,600,J01,-46.546
11,MPLight_MM,650,J01,-68.835
11,MPLight_MM,700,J01,-52.409
11,MPLight_MM,750,J01,-16.0
11,MPLight_MM,800,J01,-11.0
11,MPLight_MM,850,J01,-11.0
11,MPLight_MM,900,J01,-21.0
11,MPLight_MM,950,J01,-25.0
11,MPLight_MM,1000,J01,-18.0
11,MPLight_MM,1050,J01,-6.0
12,MPLight_MM,50,J01,-53.119
12,MPLight_MM,100,J01,-71.216
12,MPLight_MM,150,J01,-37.165
12,MPLight_MM,200,J01,-68.034
12,MPLight_MM,250,J01,-63.653
12,MPLight_MM,300,J01,-89.267
12,MPLight_MM,350,J01,-58.523
12,MPLight_MM,400,J01,-68.392
12,MPLight_MM,450,J01,-69.398
12,MPLight_MM,500,J01,-55.353
12,MPLight_MM,550,J01,-37.409
12,MPLight_MM,600,J01,-65.694
12,MPLight_MM,650,J01,-80.551
12,MPLight_MM,700,J01,-83.886
12,MPLight_MM,750,J01,-20.091
12,MPLight_MM,800,J01,-16.0
12,MPLight_MM,850,J01,-19.0
12,MPLight_MM,900,J01,-26.0
12,MPLight_MM,950,J01,-26.0
12,MPLight_MM,1000,J01,-24.0
12,MPLight_MM,1050,J01,-8.0
13,MPLight_MM,50,J01,-45.784
13,MPLight_MM,100,J01,-85.437
13,MPLight_MM,150,J01,-66.63
13,MPLight_MM,200,J01,-77.75
13,MPLight_MM,250,J01,-53.148
13,MPLight_MM,300,J01,-56.262
13,MPLight_MM,350,J01,-57.051
13,MPLight_MM,400,J01,-114.051
13,MPLight_MM,450,J01,-65.62
13,MPLight_MM,500,J01,-54.676
13,MPLight_MM,550,J01,-92.29
13,MPLight_MM,600,J01,-35.341
13,MPLight_MM,650,J01,-54.688
13,MPLight_MM,700,J01,-73.864
13,MPLight_MM,750,J01,-24.182
13,MPLight_MM,800,J01,-18.0
13,MPLight_MM,850,J01,-20.0
13,MPLight_MM,900,J01,-26.0
13,MPLight_MM,950,J01,-15.0
13,MPLight_MM,1000,J01,-14.0
13,MPLight_MM,1050,J01,-7.0
14,MPLight_MM,50,J01,-43.875
14,MPLight_MM,100,J01,-78.551
14,MPLight_MM,150,J01,-73.75
14,MPLight_MM,200,J01,-56.585
14,MPLight_MM,250,J01,-59.943
14,MPLight_MM,300,J01,-67.301
14,MPLight_MM,350,J01,-40.165
14,MPLight_MM,400,J01,-61.881
14,MPLight_MM,450,J01,-37.807
14,MPLight_MM,500,J01,-27.716
14,MPLight_MM,550,J01,-90.756
14,MPLight_MM,600,J01,-78.967
14,MPLight_MM,650,J01,-59.653
14,MPLight_MM,700,J01,-36.904
14,MPLight_MM,750,J01,-28.0
