5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
20.0, {'J01': -3.5}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -17.0}, {'J01': 3}, {'J01': 3}, 
30.0, {'J01': -54.5}, {'J01': 4}, {'J01': 5}, 
35.0, {'J01': -93.0}, {'J01': 4}, {'J01': 6}, 
40.0, {'J01': -147.5}, {'J01': 4}, {'J01': 7}, 
45.0, {'J01': -156.0}, {'J01': 3}, {'J01': 10}, 
50.0, {'J01': -203.0}, {'J01': 4}, {'J01': 12}, 
55.0, {'J01': -336.5}, {'J01': 4}, {'J01': 18}, 
60.0, {'J01': -442.5}, {'J01': 5}, {'J01': 20}, 
65.0, {'J01': -452.5}, {'J01': 6}, {'J01': 18}, 
70.0, {'J01': -629.5}, {'J01': 8}, {'J01': 24}, 
75.0, {'J01': -885.5}, {'J01': 8}, {'J01': 30}, 
80.0, {'J01': -1145.5}, {'J01': 8}, {'J01': 33}, 
85.0, {'J01': -1451.0}, {'J01': 8}, {'J01': 34}, 
90.0, {'J01': -1585.0}, {'J01': 8}, {'J01': 29}, 
95.0, {'J01': -1792.0}, {'J01': 8}, {'J01': 29}, 
100.0, {'J01': -2018.0}, {'J01': 8}, {'J01': 30}, 
105.0, {'J01': -2257.0}, {'J01': 8}, {'J01': 31}, 
110.0, {'J01': -2576.5}, {'J01': 8}, {'J01': 35}, 
115.0, {'J01': -2937.5}, {'J01': 8}, {'J01': 38}, 
120.0, {'J01': -3318.5}, {'J01': 8}, {'J01': 39}, 
125.0, {'J01': -3666.5}, {'J01': 8}, {'J01': 42}, 
130.0, {'J01': -4097.5}, {'J01': 8}, {'J01': 45}, 
135.0, {'J01': -3171.0}, {'J01': 7}, {'J01': 36}, 
140.0, {'J01': -2944.0}, {'J01': 6}, {'J01': 33}, 
145.0, {'J01': -3292.5}, {'J01': 7}, {'J01': 40}, 
150.0, {'J01': -3700.0}, {'J01': 7}, {'J01': 44}, 
155.0, {'J01': -3664.5}, {'J01': 8}, {'J01': 39}, 
160.0, {'J01': -3553.0}, {'J01': 8}, {'J01': 39}, 
165.0, {'J01': -3911.5}, {'J01': 8}, {'J01': 43}, 
170.0, {'J01': -4345.5}, {'J01': 8}, {'J01': 46}, 
175.0, {'J01': -4750.5}, {'J01': 9}, {'J01': 49}, 
180.0, {'J01': -3380.5}, {'J01': 6}, {'J01': 39}, 
185.0, {'J01': -1870.0}, {'J01': 4}, {'J01': 24}, 
190.0, {'J01': -1583.0}, {'J01': 4}, {'J01': 24}, 
195.0, {'J01': -1660.0}, {'J01': 3}, {'J01': 28}, 
200.0, {'J01': -1880.0}, {'J01': 6}, {'J01': 34}, 
205.0, {'J01': -2068.0}, {'J01': 8}, {'J01': 39}, 
210.0, {'J01': -2461.0}, {'J01': 8}, {'J01': 40}, 
215.0, {'J01': -2798.5}, {'J01': 8}, {'J01': 39}, 
220.0, {'J01': -2611.0}, {'J01': 8}, {'J01': 36}, 
225.0, {'J01': -2563.5}, {'J01': 8}, {'J01': 32}, 
230.0, {'J01': -2890.0}, {'J01': 8}, {'J01': 35}, 
235.0, {'J01': -3217.0}, {'J01': 8}, {'J01': 33}, 
240.0, {'J01': -3553.5}, {'J01': 8}, {'J01': 37}, 
245.0, {'J01': -3227.5}, {'J01': 8}, {'J01': 37}, 
250.0, {'J01': -3270.0}, {'J01': 8}, {'J01': 37}, 
255.0, {'J01': -3551.0}, {'J01': 8}, {'J01': 38}, 
260.0, {'J01': -3900.0}, {'J01': 8}, {'J01': 39}, 
265.0, {'J01': -3182.0}, {'J01': 7}, {'J01': 35}, 
270.0, {'J01': -3447.5}, {'J01': 7}, {'J01': 34}, 
275.0, {'J01': -3796.5}, {'J01': 8}, {'J01': 38}, 
280.0, {'J01': -4148.0}, {'J01': 9}, {'J01': 40}, 
285.0, {'J01': -4470.5}, {'J01': 9}, {'J01': 40}, 
290.0, {'J01': -4824.0}, {'J01': 10}, {'J01': 43}, 
295.0, {'J01': -3731.0}, {'J01': 10}, {'J01': 43}, 
