episode,agent,decision,signal_id,reward
1,STOCHASTIC,50,J01,-2470.5
1,STOCHASTIC,100,J01,-6325.5
1,STOCHASTIC,150,J01,-10093.0
1,STOCHASTIC,200,J01,-26003.5
1,STOCHASTIC,250,J01,-20627.0
1,STOCHASTIC,300,J01,-12675.0
1,STOCHASTIC,350,J01,-10665.0
1,STOCHASTIC,400,J01,-18011.5
1,STOCHASTIC,450,J01,-16718.5
1,STOCHASTIC,500,J01,-11573.0
1,STOCHASTIC,550,J01,-15315.5
1,STOCHASTIC,600,J01,-11585.0
1,STOCHASTIC,650,J01,-19099.5
1,STOCHASTIC,700,J01,-5121.0
1,STOCHASTIC,750,J01,-8944.5
1,STOCHASTIC,800,J01,-1695.5
1,STOCHASTIC,850,J01,-2517.0
1,STOCHASTIC,900,J01,-1543.0
1,STOCHASTIC,950,J01,-1079.0
1,STOCHASTIC,1000,J01,-1854.0
1,STOCHASTIC,1050,J01,-2084.5
2,STOCHASTIC,50,J01,-6729.0
2,STOCHASTIC,100,J01,-19845.0
2,STOCHASTIC,150,J01,-15039.5
2,STOCHASTIC,200,J01,-14126.0
2,STOCHASTIC,250,J01,-21067.0
2,STOCHASTIC,300,J01,-31990.0
2,STOCHASTIC,350,J01,-30289.0
2,STOCHASTIC,400,J01,-22537.5
2,STOCHASTIC,450,J01,-31015.5
2,STOCHASTIC,500,J01,-38908.0
2,STOCHASTIC,550,J01,-33164.5
2,STOCHASTIC,600,J01,-10585.5
2,STOCHASTIC,650,J01,-23201.0
2,STOCHASTIC,700,J01,-31897.0
2,STOCHASTIC,750,J01,-11607.5
2,STOCHASTIC,800,J01,-8586.0
2,STOCHASTIC,850,J01,-7010.0
2,STOCHASTIC,900,J01,-1817.5
2,STOCHASTIC,950,J01,-257.5
2,STOCHASTIC,1000,J01,-2985.0
2,STOCHASTIC,1050,J01,-499.0
3,STOCHASTIC,50,J01,-5647.0
3,STOCHASTIC,100,J01,-8708.0
3,STOCHASTIC,150,J01,-7953.0
3,STOCHASTIC,200,J01,-2451.5
3,STOCHASTIC,250,J01,-8401.5
3,STOCHASTIC,300,J01,-2467.0
3,STOCHASTIC,350,J01,-1839.5
3,STOCHASTIC,400,J01,-9876.0
3,STOCHASTIC,450,J01,-15738.5
3,STOCHASTIC,500,J01,-23702.5
3,STOCHASTIC,550,J01,-30956.0
3,STOCHASTIC,600,J01,-15434.5
3,STOCHASTIC,650,J01,-30624.5
3,STOCHASTIC,700,J01,-21363.5
3,STOCHASTIC,750,J01,-18412.0
3,STOCHASTIC,800,J01,-9758.0
3,STOCHASTIC,850,J01,-377.5
3,STOCHASTIC,900,J01,-1925.0
3,STOCHASTIC,950,J01,-3293.5
3,STOCHASTIC,1000,J01,-634.0
3,STOCHASTIC,1050,J01,-1670.5
4,STOCHASTIC,50,J01,-2660.5
4,STOCHASTIC,100,J01,-7154.0
4,STOCHASTIC,150,J01,-3324.5
4,STOCHASTIC,200,J01,-12121.0
4,STOCHASTIC,250,J01,-4503.5
4,STOCHASTIC,300,J01,-6259.5
4,STOCHASTIC,350,J01,-8736.5
4,STOCHASTIC,400,J01,-3264.5
4,STOCHASTIC,450,J01,-3370.0
4,STOCHASTIC,500,J01,-3157.5
4,STOCHASTIC,550,J01,-5779.0
4,STOCHASTIC,600,J01,-14889.0
4,STOCHASTIC,650,J01,-9577.0
4,STOCHASTIC,700,J01,-11841.5
4,STOCHASTIC,750,J01,-6520.5
4,STOCHASTIC,800,J01,-2733.0
4,STOCHASTIC,850,J01,-2967.0
4,STOCHASTIC,900,J01,-578.0
4,STOCHASTIC,950,J01,-321.5
4,STOCHASTIC,1000,J01,-3193.0
4,STOCHASTIC,1050,J01,-1913.5
5,STOCHASTIC,50,J01,-4606.5
5,STOCHASTIC,100,J01,-7938.0
5,STOCHASTIC,150,J01,-7586.0
5,STOCHASTIC,200,J01,-13568.0
5,STOCHASTIC,250,J01,-9019.5
5,STOCHASTIC,300,J01,-3211.0
5,STOCHASTIC,350,J01,-4014.0
5,STOCHASTIC,400,J01,-1119.5
5,STOCHASTIC,450,J01,-1599.5
5,STOCHASTIC,500,J01,-5409.5
5,STOCHASTIC,550,J01,-1331.5
5,STOCHASTIC,600,J01,-5122.0
5,STOCHASTIC,650,J01,-2796.0
5,STOCHASTIC,700,J01,-3942.5
5,STOCHASTIC,750,J01,-1309.5
5,STOCHASTIC,800,J01,-1412.5
5,STOCHASTIC,850,J01,-3871.0
5,STOCHASTIC,900,J01,-4142.5
5,STOCHASTIC,950,J01,-3223.0
5,STOCHASTIC,1000,J01,-2421.0
5,STOCHASTIC,1050,J01,-2979.0
6,STOCHASTIC,50,J01,-3172.5
6,STOCHASTIC,100,J01,-3440.5
6,STOCHASTIC,150,J01,-3262.5
6,STOCHASTIC,200,J01,-2214.0
6,STOCHASTIC,250,J01,-4260.5
6,STOCHASTIC,300,J01,-3027.0
6,STOCHASTIC,350,J01,-2802.5
6,STOCHASTIC,400,J01,-1489.0
6,STOCHASTIC,450,J01,-1554.5
6,STOCHASTIC,500,J01,-3099.5
6,STOCHASTIC,550,J01,-6119.0
6,STOCHASTIC,600,J01,-18365.0
6,STOCHASTIC,650,J01,-13943.0
6,STOCHASTIC,700,J01,-14848.5
6,STOCHASTIC,750,J01,-9232.0
6,STOCHASTIC,800,J01,-11470.5
6,STOCHASTIC,850,J01,-726.0
6,STOCHASTIC,900,J01,-493.0
6,STOCHASTIC,950,J01,-3100.0
6,STOCHASTIC,1000,J01,-3841.5
6,STOCHASTIC,1050,J01,-855.0
7,STOCHASTIC,50,J01,-5549.0
7,STOCHASTIC,100,J01,-11324.0
7,STOCHASTIC,150,J01,-15789.5
7,STOCHASTIC,200,J01,-33278.5
7,STOCHASTIC,250,J01,-28796.5
7,STOCHASTIC,300,J01,-18110.0
7,STOCHASTIC,350,J01,-20429.5
7,STOCHASTIC,400,J01,-20896.5
7,STOCHASTIC,450,J01,-6882.0
7,STOCHASTIC,500,J01,-10537.0
7,STOCHASTIC,550,J01,-23058.0
7,STOCHASTIC,600,J01,-38406.5
7,STOCHASTIC,650,J01,-34852.5
7,STOCHASTIC,700,J01,-22032.0
7,STOCHASTIC,750,J01,-7048.5
7,STOCHASTIC,800,J01,-26795.0
7,STOCHASTIC,850,J01,-482.0
7,STOCHASTIC,900,J01,-1377.0
7,STOCHASTIC,950,J01,-1585.0
7,STOCHASTIC,1000,J01,-526.5
7,STOCHASTIC,1050,J01,-1715.0
8,STOCHASTIC,50,J01,-1945.0
8,STOCHASTIC,100,J01,-2717.5
8,STOCHASTIC,150,J01,-2403.5
8,STOCHASTIC,200,J01,-743.0
8,STOCHASTIC,250,J01,-4474.0
8,STOCHASTIC,300,J01,-1781.5
8,STOCHASTIC,350,J01,-5347.5
8,STOCHASTIC,400,J01,-12838.5
8,STOCHASTIC,450,J01,-6222.0
8,STOCHASTIC,500,J01,-7711.0
8,STOCHASTIC,550,J01,-2668.0
