5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -2.0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -21.5}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': -51.0}, {'J01': 2}, {'J01': 6}, 
25.0, {'J01': -98.5}, {'J01': 3}, {'J01': 8}, 
30.0, {'J01': -145.5}, {'J01': 3}, {'J01': 9}, 
35.0, {'J01': -170.0}, {'J01': 4}, {'J01': 9}, 
40.0, {'J01': -272.0}, {'J01': 4}, {'J01': 15}, 
45.0, {'J01': -432.5}, {'J01': 5}, {'J01': 22}, 
50.0, {'J01': -678.5}, {'J01': 8}, {'J01': 32}, 
55.0, {'J01': -842.5}, {'J01': 8}, {'J01': 29}, 
60.0, {'J01': -952.5}, {'J01': 8}, {'J01': 26}, 
65.0, {'J01': -1212.5}, {'J01': 8}, {'J01': 26}, 
70.0, {'J01': -1206.5}, {'J01': 8}, {'J01': 26}, 
75.0, {'J01': -1094.5}, {'J01': 7}, {'J01': 24}, 
80.0, {'J01': -1014.0}, {'J01': 6}, {'J01': 25}, 
85.0, {'J01': -1223.0}, {'J01': 6}, {'J01': 28}, 
90.0, {'J01': -1450.0}, {'J01': 7}, {'J01': 27}, 
95.0, {'J01': -1669.0}, {'J01': 8}, {'J01': 30}, 
100.0, {'J01': -1932.0}, {'J01': 8}, {'J01': 33}, 
105.0, {'J01': -2243.0}, {'J01': 8}, {'J01': 33}, 
110.0, {'J01': -2555.0}, {'J01': 8}, {'J01': 34}, 
115.0, {'J01': -2863.0}, {'J01': 8}, {'J01': 34}, 
120.0, {'J01': -3208.0}, {'J01': 8}, {'J01': 36}, 
125.0, {'J01': -3558.0}, {'J01': 8}, {'J01': 36}, 
130.0, {'J01': -3920.0}, {'J01': 8}, {'J01': 37}, 
135.0, {'J01': -4303.0}, {'J01': 8}, {'J01': 42}, 
140.0, {'J01': -4740.0}, {'J01': 9}, {'J01': 47}, 
145.0, {'J01': -4617.5}, {'J01': 9}, {'J01': 44}, 
150.0, {'J01': -5046.0}, {'J01': 10}, {'J01': 45}, 
155.0, {'J01': -5332.0}, {'J01': 11}, {'J01': 49}, 
160.0, {'J01': -5569.5}, {'J01': 13}, {'J01': 46}, 
165.0, {'J01': -6004.5}, {'J01': 13}, {'J01': 47}, 
170.0, {'J01': -6493.5}, {'J01': 15}, {'J01': 53}, 
175.0, {'J01': -6948.5}, {'J01': 16}, {'J01': 55}, 
