episode,agent,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,ped_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,bike_queue_frac,ped_queue_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
1,STOCHASTIC,3326624.0,12233432.5,32430.0,57008.0,31008.0,4101.0,-14407.45972,10981.9199,-44848.0,0.0,0.7846,0.0021,0.3366,0.0445,0.0,0.0,0.0,1080,34.5
2,STOCHASTIC,2810082.0,2383270.0,38740.5,40800.0,14897.0,4248.0,-4808.65926,3801.65389,-20642.5,0.0,0.4555,0.0074,0.2485,0.0709,0.0,0.0,0.0,1080,30.4
3,STOCHASTIC,2799374.0,1891147.5,58460.0,38121.0,12454.0,4885.0,-4343.07546,3740.96457,-23444.5,0.0,0.3982,0.0123,0.2246,0.0881,0.0,0.0,0.0,1080,29.7
4,STOCHASTIC,3065512.5,13274175.0,36473.0,56604.0,30423.0,4466.0,-15129.34028,11644.42151,-40348.5,0.0,0.8106,0.0022,0.3325,0.0488,0.0,0.0,0.0,1080,36.5
5,STOCHASTIC,2770965.0,5186958.5,52329.5,45502.0,19630.0,4847.0,-7368.44769,7435.85324,-40680.5,0.0,0.6475,0.0065,0.2805,0.0693,0.0,0.0,0.0,1080,31.6
6,STOCHASTIC,2837221.5,3503778.0,38594.5,42354.0,16639.0,4124.0,-5871.29583,5088.2921,-24953.0,0.0,0.5492,0.006,0.2636,0.0653,0.0,0.0,0.0,1080,31.0
7,STOCHASTIC,3636754.5,11774487.5,25198.0,56744.0,30544.0,3923.0,-14269.66852,11308.36946,-50001.0,0.0,0.7628,0.0016,0.3349,0.043,0.0,0.0,0.0,1080,34.4
8,STOCHASTIC,2696021.5,3785278.5,40761.5,41428.0,15710.0,4575.0,-6001.2037,6452.09469,-30724.0,0.0,0.5804,0.0062,0.2546,0.0741,0.0,0.0,0.0,1080,30.6
9,STOCHASTIC,3445754.0,6775423.5,38997.0,49594.0,23725.0,4475.0,-9464.05324,8213.40307,-34371.5,0.0,0.6604,0.0038,0.305,0.0575,0.0,0.0,0.0,1080,32.6
10,STOCHASTIC,3132061.0,11612005.5,41295.5,55610.0,30262.0,4403.0,-13651.91343,10834.36501,-52542.5,0.0,0.7854,0.0028,0.3352,0.0488,0.0,0.0,0.0,1080,34.6
11,STOCHASTIC,2693623.0,1748377.0,41295.5,37748.0,11918.0,4554.0,-4112.96296,3623.4316,-21053.5,0.0,0.39,0.0092,0.2198,0.084,0.0,0.0,0.0,1080,30.0
12,STOCHASTIC,3040437.0,7143758.5,41407.0,50695.0,24549.0,4588.0,-9429.81065,6940.38587,-31483.0,0.0,0.6986,0.004,0.3075,0.0575,0.0,0.0,0.0,1080,34.8
13,STOCHASTIC,2588866.5,1831197.0,46791.5,38211.0,12631.0,4530.0,-4092.65139,3172.00164,-18481.5,0.0,0.41,0.0105,0.2281,0.0818,0.0,0.0,0.0,1080,30.0
