5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.046875)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-0.09151786)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.14285715)}, {'J8': 1}, {'J8': 3}, 
35.0, {'J8': np.float32(-0.22991072)}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': np.float32(-0.3236607)}, {'J8': 2}, {'J8': 3}, 
45.0, {'J8': np.float32(-0.47098213)}, {'J8': 3}, {'J8': 4}, 
50.0, {'J8': np.float32(-0.66741073)}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': np.float32(-0.5245536)}, {'J8': 2}, {'J8': 3}, 
60.0, {'J8': np.float32(-0.45089287)}, {'J8': 3}, {'J8': 5}, 
65.0, {'J8': np.float32(-0.70535713)}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': np.float32(-0.9754464)}, {'J8': 4}, {'J8': 9}, 
75.0, {'J8': np.float32(-1.2589285)}, {'J8': 4}, {'J8': 9}, 
80.0, {'J8': np.float32(-1.5178572)}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': np.float32(-1.875)}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': np.float32(-2.232143)}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': np.float32(-2.5892856)}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': np.float32(-2.3549106)}, {'J8': 4}, {'J8': 7}, 
105.0, {'J8': np.float32(-2.685268)}, {'J8': 5}, {'J8': 8}, 
110.0, {'J8': np.float32(-3.080357)}, {'J8': 5}, {'J8': 12}, 
115.0, {'J8': np.float32(-3.622768)}, {'J8': 5}, {'J8': 13}, 
120.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
125.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
130.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 10}, 
135.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 10}, 
140.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 10}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 11}, 
155.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 12}, 
