5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': -1.0}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': -11.0}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': -22.0}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': -45.5}, {'J8': 2}, {'J8': 3}, 
35.0, {'J8': -75.5}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': -109.0}, {'J8': 4}, {'J8': 5}, 
45.0, {'J8': -159.0}, {'J8': 4}, {'J8': 5}, 
50.0, {'J8': -209.0}, {'J8': 4}, {'J8': 5}, 
55.0, {'J8': -259.0}, {'J8': 4}, {'J8': 5}, 
60.0, {'J8': -315.5}, {'J8': 4}, {'J8': 7}, 
65.0, {'J8': -390.0}, {'J8': 4}, {'J8': 8}, 
70.0, {'J8': -470.0}, {'J8': 4}, {'J8': 8}, 
75.0, {'J8': -550.0}, {'J8': 4}, {'J8': 8}, 
80.0, {'J8': -630.0}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': -710.0}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': -790.0}, {'J8': 4}, {'J8': 8}, 
95.0, {'J8': -870.0}, {'J8': 4}, {'J8': 8}, 
100.0, {'J8': -950.0}, {'J8': 4}, {'J8': 8}, 
105.0, {'J8': -1034.0}, {'J8': 5}, {'J8': 9}, 
110.0, {'J8': -1124.0}, {'J8': 5}, {'J8': 9}, 
115.0, {'J8': -1214.0}, {'J8': 5}, {'J8': 9}, 
120.0, {'J8': -1304.0}, {'J8': 5}, {'J8': 9}, 
125.0, {'J8': -1394.0}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': -1484.0}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': -1574.0}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': -1664.0}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': -1754.0}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': -1844.0}, {'J8': 5}, {'J8': 9}, 
155.0, {'J8': -1934.0}, {'J8': 5}, {'J8': 9}, 
160.0, {'J8': -2024.0}, {'J8': 5}, {'J8': 9}, 
165.0, {'J8': -2114.0}, {'J8': 5}, {'J8': 9}, 
170.0, {'J8': -2204.0}, {'J8': 5}, {'J8': 9}, 
175.0, {'J8': -2294.0}, {'J8': 5}, {'J8': 9}, 
180.0, {'J8': -2384.0}, {'J8': 5}, {'J8': 9}, 
185.0, {'J8': -2474.0}, {'J8': 5}, {'J8': 9}, 
190.0, {'J8': -2564.0}, {'J8': 5}, {'J8': 9}, 
195.0, {'J8': -2654.0}, {'J8': 5}, {'J8': 9}, 
200.0, {'J8': -2744.0}, {'J8': 5}, {'J8': 9}, 
205.0, {'J8': -2834.0}, {'J8': 5}, {'J8': 9}, 
210.0, {'J8': -2924.0}, {'J8': 5}, {'J8': 9}, 
215.0, {'J8': -3014.0}, {'J8': 5}, {'J8': 9}, 
220.0, {'J8': -3104.0}, {'J8': 5}, {'J8': 9}, 
225.0, {'J8': -3194.0}, {'J8': 5}, {'J8': 9}, 
230.0, {'J8': -3284.0}, {'J8': 5}, {'J8': 9}, 
235.0, {'J8': -3374.0}, {'J8': 5}, {'J8': 9}, 
240.0, {'J8': -3464.0}, {'J8': 5}, {'J8': 9}, 
245.0, {'J8': -3554.0}, {'J8': 5}, {'J8': 9}, 
250.0, {'J8': -3644.0}, {'J8': 5}, {'J8': 9}, 
255.0, {'J8': -3734.0}, {'J8': 5}, {'J8': 9}, 
260.0, {'J8': -3824.0}, {'J8': 5}, {'J8': 9}, 
265.0, {'J8': -3914.0}, {'J8': 5}, {'J8': 9}, 
270.0, {'J8': -4004.0}, {'J8': 5}, {'J8': 9}, 
275.0, {'J8': -4094.0}, {'J8': 5}, {'J8': 9}, 
280.0, {'J8': -4184.0}, {'J8': 5}, {'J8': 9}, 
285.0, {'J8': -4274.0}, {'J8': 5}, {'J8': 9}, 
