5.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': 0}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
35.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
40.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
45.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
50.0, {'J8': -2}, {'J8': 1}, {'J8': 2}, 
55.0, {'J8': -1}, {'J8': 1}, {'J8': 1}, 
60.0, {'J8': -4}, {'J8': 3}, {'J8': 4}, 
65.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
70.0, {'J8': -6}, {'J8': 4}, {'J8': 6}, 
75.0, {'J8': -5}, {'J8': 4}, {'J8': 5}, 
80.0, {'J8': -8}, {'J8': 4}, {'J8': 8}, 
85.0, {'J8': -8}, {'J8': 4}, {'J8': 8}, 
90.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
95.0, {'J8': -10}, {'J8': 6}, {'J8': 10}, 
100.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
105.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
110.0, {'J8': -13}, {'J8': 7}, {'J8': 13}, 
115.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
120.0, {'J8': -11}, {'J8': 5}, {'J8': 11}, 
125.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
130.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
140.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
145.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
150.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
155.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
160.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
165.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
170.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
175.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
180.0, {'J8': -14}, {'J8': 8}, {'J8': 14}, 
185.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
190.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
195.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
200.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
205.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
210.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
215.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
220.0, {'J8': -11}, {'J8': 5}, {'J8': 11}, 
225.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
230.0, {'J8': -8}, {'J8': 5}, {'J8': 8}, 
235.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
240.0, {'J8': -7}, {'J8': 5}, {'J8': 7}, 
245.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
250.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
255.0, {'J8': -6}, {'J8': 5}, {'J8': 6}, 
260.0, {'J8': -9}, {'J8': 5}, {'J8': 9}, 
265.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
270.0, {'J8': -12}, {'J8': 6}, {'J8': 12}, 
275.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
280.0, {'J8': -14}, {'J8': 8}, {'J8': 14}, 
285.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
290.0, {'J8': -14}, {'J8': 8}, {'J8': 14}, 
295.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
300.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
305.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
310.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
315.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
320.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
325.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
330.0, {'J8': -10}, {'J8': 5}, {'J8': 10}, 
335.0, {'J8': -11}, {'J8': 6}, {'J8': 11}, 
340.0, {'J8': -13}, {'J8': 7}, {'J8': 13}, 
345.0, {'J8': -12}, {'J8': 7}, {'J8': 12}, 
350.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
355.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
360.0, {'J8': -14}, {'J8': 8}, {'J8': 14}, 
365.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
370.0, {'J8': -14}, {'J8': 8}, {'J8': 14}, 
375.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
380.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
385.0, {'J8': -13}, {'J8': 8}, {'J8': 13}, 
390.0, {'J8': -13}, {'J8': 7}, {'J8': 13}, 
