5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.002232143)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-0.06026786)}, {'J8': 1}, {'J8': 2}, 
25.0, {'J8': np.float32(-0.09151786)}, {'J8': 1}, {'J8': 1}, 
30.0, {'J8': np.float32(-0.140625)}, {'J8': 1}, {'J8': 2}, 
35.0, {'J8': np.float32(-0.24107143)}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': np.float32(-0.22544643)}, {'J8': 1}, {'J8': 1}, 
45.0, {'J8': np.float32(-0.27455357)}, {'J8': 1}, {'J8': 2}, 
50.0, {'J8': np.float32(-0.37723213)}, {'J8': 2}, {'J8': 3}, 
55.0, {'J8': np.float32(-0.359375)}, {'J8': 1}, {'J8': 1}, 
60.0, {'J8': np.float32(-0.4375)}, {'J8': 3}, {'J8': 4}, 
65.0, {'J8': np.float32(-0.59598213)}, {'J8': 4}, {'J8': 5}, 
70.0, {'J8': np.float32(-0.77008927)}, {'J8': 4}, {'J8': 5}, 
75.0, {'J8': np.float32(-0.9464286)}, {'J8': 4}, {'J8': 5}, 
80.0, {'J8': np.float32(-1.125)}, {'J8': 4}, {'J8': 5}, 
85.0, {'J8': np.float32(-1.296875)}, {'J8': 4}, {'J8': 4}, 
90.0, {'J8': np.float32(-1.4977678)}, {'J8': 4}, {'J8': 6}, 
95.0, {'J8': np.float32(-1.6651785)}, {'J8': 4}, {'J8': 5}, 
100.0, {'J8': np.float32(-1.84375)}, {'J8': 4}, {'J8': 5}, 
105.0, {'J8': np.float32(-2.1049106)}, {'J8': 5}, {'J8': 7}, 
110.0, {'J8': np.float32(-2.4174106)}, {'J8': 5}, {'J8': 7}, 
115.0, {'J8': np.float32(-2.595982)}, {'J8': 5}, {'J8': 7}, 
120.0, {'J8': np.float32(-2.7745535)}, {'J8': 5}, {'J8': 7}, 
125.0, {'J8': np.float32(-2.9910715)}, {'J8': 5}, {'J8': 7}, 
130.0, {'J8': np.float32(-3.2075894)}, {'J8': 5}, {'J8': 7}, 
135.0, {'J8': np.float32(-3.5200894)}, {'J8': 5}, {'J8': 7}, 
140.0, {'J8': np.float32(-3.6964285)}, {'J8': 5}, {'J8': 7}, 
145.0, {'J8': np.float32(-3.8169644)}, {'J8': 5}, {'J8': 5}, 
150.0, {'J8': np.float32(-4.0)}, {'J8': 5}, {'J8': 6}, 
