5.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
10.0, {'J8': np.float32(0.0)}, {'J8': 0}, {'J8': 0}, 
15.0, {'J8': np.float32(-0.5)}, {'J8': 1}, {'J8': 1}, 
20.0, {'J8': np.float32(-10.0)}, {'J8': 1}, {'J8': 1}, 
25.0, {'J8': np.float32(-12.0)}, {'J8': 1}, {'J8': 2}, 
30.0, {'J8': np.float32(-26.5)}, {'J8': 3}, {'J8': 4}, 
35.0, {'J8': np.float32(-18.0)}, {'J8': 2}, {'J8': 3}, 
40.0, {'J8': np.float32(-9.0)}, {'J8': 2}, {'J8': 4}, 
45.0, {'J8': np.float32(-43.5)}, {'J8': 2}, {'J8': 5}, 
50.0, {'J8': np.float32(-70.0)}, {'J8': 4}, {'J8': 9}, 
55.0, {'J8': np.float32(-61.0)}, {'J8': 4}, {'J8': 9}, 
60.0, {'J8': np.float32(-72.0)}, {'J8': 4}, {'J8': 11}, 
65.0, {'J8': np.float32(-144.0)}, {'J8': 6}, {'J8': 14}, 
70.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 16}, 
75.0, {'J8': np.float32(-114.5)}, {'J8': 7}, {'J8': 15}, 
80.0, {'J8': np.float32(-18.5)}, {'J8': 5}, {'J8': 13}, 
85.0, {'J8': np.float32(5.5)}, {'J8': 4}, {'J8': 11}, 
90.0, {'J8': np.float32(9.0)}, {'J8': 4}, {'J8': 9}, 
95.0, {'J8': np.float32(-39.5)}, {'J8': 4}, {'J8': 9}, 
100.0, {'J8': np.float32(-91.5)}, {'J8': 4}, {'J8': 10}, 
105.0, {'J8': np.float32(-105.5)}, {'J8': 5}, {'J8': 12}, 
110.0, {'J8': np.float32(-120.0)}, {'J8': 5}, {'J8': 12}, 
115.0, {'J8': np.float32(-80.5)}, {'J8': 5}, {'J8': 12}, 
120.0, {'J8': np.float32(-47.5)}, {'J8': 5}, {'J8': 10}, 
125.0, {'J8': np.float32(-103.0)}, {'J8': 5}, {'J8': 11}, 
130.0, {'J8': np.float32(-65.5)}, {'J8': 5}, {'J8': 9}, 
135.0, {'J8': np.float32(120.0)}, {'J8': 5}, {'J8': 9}, 
140.0, {'J8': np.float32(99.5)}, {'J8': 5}, {'J8': 9}, 
145.0, {'J8': np.float32(-70.0)}, {'J8': 5}, {'J8': 9}, 
150.0, {'J8': np.float32(-72.5)}, {'J8': 5}, {'J8': 10}, 
155.0, {'J8': np.float32(-106.0)}, {'J8': 5}, {'J8': 12}, 
160.0, {'J8': np.float32(-129.0)}, {'J8': 5}, {'J8': 14}, 
165.0, {'J8': np.float32(-108.5)}, {'J8': 5}, {'J8': 13}, 
170.0, {'J8': np.float32(-96.0)}, {'J8': 5}, {'J8': 12}, 
175.0, {'J8': np.float32(134.0)}, {'J8': 5}, {'J8': 12}, 
180.0, {'J8': np.float32(137.5)}, {'J8': 6}, {'J8': 13}, 
185.0, {'J8': np.float32(-72.5)}, {'J8': 6}, {'J8': 14}, 
190.0, {'J8': np.float32(-80.0)}, {'J8': 5}, {'J8': 14}, 
195.0, {'J8': np.float32(-66.0)}, {'J8': 5}, {'J8': 13}, 
200.0, {'J8': np.float32(6.0)}, {'J8': 5}, {'J8': 10}, 
205.0, {'J8': np.float32(-57.5)}, {'J8': 5}, {'J8': 9}, 
210.0, {'J8': np.float32(41.5)}, {'J8': 5}, {'J8': 9}, 
215.0, {'J8': np.float32(160.0)}, {'J8': 5}, {'J8': 7}, 
220.0, {'J8': np.float32(-38.5)}, {'J8': 5}, {'J8': 6}, 
225.0, {'J8': np.float32(-64.5)}, {'J8': 5}, {'J8': 9}, 
230.0, {'J8': np.float32(-98.5)}, {'J8': 5}, {'J8': 12}, 
235.0, {'J8': np.float32(-123.5)}, {'J8': 5}, {'J8': 13}, 
240.0, {'J8': np.float32(-133.0)}, {'J8': 6}, {'J8': 15}, 
245.0, {'J8': np.float32(-151.0)}, {'J8': 7}, {'J8': 16}, 
250.0, {'J8': np.float32(-108.5)}, {'J8': 6}, {'J8': 15}, 
255.0, {'J8': np.float32(-2.0)}, {'J8': 5}, {'J8': 12}, 
260.0, {'J8': np.float32(-77.5)}, {'J8': 5}, {'J8': 11}, 
265.0, {'J8': np.float32(-18.5)}, {'J8': 5}, {'J8': 9}, 
270.0, {'J8': np.float32(8.5)}, {'J8': 5}, {'J8': 9}, 
275.0, {'J8': np.float32(25.0)}, {'J8': 5}, {'J8': 7}, 
280.0, {'J8': np.float32(38.5)}, {'J8': 5}, {'J8': 7}, 
285.0, {'J8': np.float32(36.0)}, {'J8': 5}, {'J8': 9}, 
290.0, {'J8': np.float32(-104.5)}, {'J8': 5}, {'J8': 14}, 
295.0, {'J8': np.float32(-130.0)}, {'J8': 5}, {'J8': 14}, 
300.0, {'J8': np.float32(-151.0)}, {'J8': 6}, {'J8': 15}, 
305.0, {'J8': np.float32(-98.0)}, {'J8': 5}, {'J8': 14}, 
310.0, {'J8': np.float32(11.0)}, {'J8': 5}, {'J8': 11}, 
315.0, {'J8': np.float32(-51.0)}, {'J8': 5}, {'J8': 11}, 
320.0, {'J8': np.float32(77.0)}, {'J8': 5}, {'J8': 8}, 
325.0, {'J8': np.float32(-58.0)}, {'J8': 5}, {'J8': 8}, 
330.0, {'J8': np.float32(60.0)}, {'J8': 5}, {'J8': 8}, 
335.0, {'J8': np.float32(-84.0)}, {'J8': 5}, {'J8': 9}, 
340.0, {'J8': np.float32(-90.0)}, {'J8': 5}, {'J8': 9}, 
345.0, {'J8': np.float32(-90.0)}, {'J8': 5}, {'J8': 9}, 
350.0, {'J8': np.float32(-41.0)}, {'J8': 5}, {'J8': 9}, 
355.0, {'J8': np.float32(8.0)}, {'J8': 5}, {'J8': 9}, 
360.0, {'J8': np.float32(-15.0)}, {'J8': 5}, {'J8': 8}, 
365.0, {'J8': np.float32(-38.5)}, {'J8': 5}, {'J8': 8}, 
370.0, {'J8': np.float32(-46.5)}, {'J8': 5}, {'J8': 7}, 
375.0, {'J8': np.float32(-49.0)}, {'J8': 5}, {'J8': 6}, 
380.0, {'J8': np.float32(-71.5)}, {'J8': 5}, {'J8': 9}, 
385.0, {'J8': np.float32(-99.5)}, {'J8': 5}, {'J8': 13}, 
390.0, {'J8': np.float32(-95.0)}, {'J8': 5}, {'J8': 14}, 
395.0, {'J8': np.float32(-108.5)}, {'J8': 5}, {'J8': 13}, 
400.0, {'J8': np.float32(-50.5)}, {'J8': 5}, {'J8': 11}, 
405.0, {'J8': np.float32(-15.5)}, {'J8': 5}, {'J8': 9}, 
410.0, {'J8': np.float32(8.0)}, {'J8': 5}, {'J8': 8}, 
415.0, {'J8': np.float32(-8.0)}, {'J8': 5}, {'J8': 6}, 
420.0, {'J8': np.float32(-67.5)}, {'J8': 5}, {'J8': 9}, 
425.0, {'J8': np.float32(-104.0)}, {'J8': 5}, {'J8': 14}, 
430.0, {'J8': np.float32(-144.5)}, {'J8': 6}, {'J8': 15}, 
435.0, {'J8': np.float32(-155.0)}, {'J8': 7}, {'J8': 16}, 
440.0, {'J8': np.float32(-162.0)}, {'J8': 8}, {'J8': 17}, 
445.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
450.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
455.0, {'J8': np.float32(35.0)}, {'J8': 6}, {'J8': 15}, 
460.0, {'J8': np.float32(7.0)}, {'J8': 5}, {'J8': 13}, 
465.0, {'J8': np.float32(27.5)}, {'J8': 5}, {'J8': 11}, 
470.0, {'J8': np.float32(160.0)}, {'J8': 5}, {'J8': 8}, 
475.0, {'J8': np.float32(-8.0)}, {'J8': 5}, {'J8': 7}, 
480.0, {'J8': np.float32(-74.5)}, {'J8': 5}, {'J8': 10}, 
485.0, {'J8': np.float32(-106.0)}, {'J8': 5}, {'J8': 12}, 
490.0, {'J8': np.float32(137.5)}, {'J8': 5}, {'J8': 12}, 
495.0, {'J8': np.float32(-124.5)}, {'J8': 6}, {'J8': 13}, 
500.0, {'J8': np.float32(-91.0)}, {'J8': 5}, {'J8': 14}, 
505.0, {'J8': np.float32(-96.0)}, {'J8': 5}, {'J8': 13}, 
510.0, {'J8': np.float32(-130.0)}, {'J8': 5}, {'J8': 13}, 
515.0, {'J8': np.float32(-136.0)}, {'J8': 6}, {'J8': 15}, 
520.0, {'J8': np.float32(-152.5)}, {'J8': 7}, {'J8': 16}, 
525.0, {'J8': np.float32(-160.0)}, {'J8': 7}, {'J8': 16}, 
530.0, {'J8': np.float32(-164.5)}, {'J8': 8}, {'J8': 17}, 
535.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
540.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
545.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
550.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
555.0, {'J8': np.float32(133.0)}, {'J8': 8}, {'J8': 15}, 
560.0, {'J8': np.float32(-150.0)}, {'J8': 8}, {'J8': 15}, 
565.0, {'J8': np.float32(-152.0)}, {'J8': 8}, {'J8': 17}, 
570.0, {'J8': np.float32(-170.0)}, {'J8': 8}, {'J8': 17}, 
575.0, {'J8': np.float32(12.0)}, {'J8': 7}, {'J8': 16}, 
580.0, {'J8': np.float32(379.5)}, {'J8': 5}, {'J8': 13}, 
585.0, {'J8': np.float32(14.0)}, {'J8': 5}, {'J8': 12}, 
590.0, {'J8': np.float32(62.0)}, {'J8': 5}, {'J8': 11}, 
595.0, {'J8': np.float32(202.0)}, {'J8': 5}, {'J8': 9}, 
600.0, {'J8': np.float32(236.5)}, {'J8': 5}, {'J8': 10}, 
605.0, {'J8': np.float32(45.0)}, {'J8': 5}, {'J8': 12}, 
610.0, {'J8': np.float32(-65.5)}, {'J8': 5}, {'J8': 10}, 
615.0, {'J8': np.float32(-69.0)}, {'J8': 5}, {'J8': 9}, 
620.0, {'J8': np.float32(-91.0)}, {'J8': 5}, {'J8': 10}, 
625.0, {'J8': np.float32(-47.0)}, {'J8': 5}, {'J8': 9}, 
630.0, {'J8': np.float32(61.5)}, {'J8': 5}, {'J8': 8}, 
635.0, {'J8': np.float32(-81.0)}, {'J8': 5}, {'J8': 9}, 
640.0, {'J8': np.float32(-85.5)}, {'J8': 5}, {'J8': 10}, 
645.0, {'J8': np.float32(-15.5)}, {'J8': 5}, {'J8': 9}, 
650.0, {'J8': np.float32(-96.0)}, {'J8': 5}, {'J8': 11}, 
655.0, {'J8': np.float32(-28.0)}, {'J8': 5}, {'J8': 10}, 
660.0, {'J8': np.float32(-57.5)}, {'J8': 5}, {'J8': 9}, 
665.0, {'J8': np.float32(-91.0)}, {'J8': 5}, {'J8': 10}, 
670.0, {'J8': np.float32(-100.0)}, {'J8': 5}, {'J8': 10}, 
675.0, {'J8': np.float32(-107.5)}, {'J8': 5}, {'J8': 12}, 
680.0, {'J8': np.float32(-55.0)}, {'J8': 5}, {'J8': 13}, 
685.0, {'J8': np.float32(-69.5)}, {'J8': 7}, {'J8': 14}, 
690.0, {'J8': np.float32(-91.5)}, {'J8': 6}, {'J8': 15}, 
695.0, {'J8': np.float32(-105.0)}, {'J8': 5}, {'J8': 14}, 
700.0, {'J8': np.float32(-87.5)}, {'J8': 5}, {'J8': 13}, 
705.0, {'J8': np.float32(-78.5)}, {'J8': 5}, {'J8': 12}, 
710.0, {'J8': np.float32(-120.0)}, {'J8': 5}, {'J8': 12}, 
715.0, {'J8': np.float32(-128.5)}, {'J8': 5}, {'J8': 14}, 
720.0, {'J8': np.float32(-61.5)}, {'J8': 6}, {'J8': 15}, 
725.0, {'J8': np.float32(49.0)}, {'J8': 5}, {'J8': 12}, 
730.0, {'J8': np.float32(230.5)}, {'J8': 5}, {'J8': 9}, 
735.0, {'J8': np.float32(92.0)}, {'J8': 5}, {'J8': 8}, 
